r-gram,Counts
bəmə,2191
əməd,409
mədʒ,228
ədʒə,356
dʒəm,869
ʒəmə,388
əmər,912
məri,250
ərij,640
rija,2070
ʔɨɡɨ,9225
ɨɡɨz,8725
ɡɨzi,8715
ɨziʔ,8708
ziʔa,8699
iʔaβ,8692
ʔaβɨ,9601
aβɨh,8744
βɨhe,8708
ɨher,8696
səma,1878
əmaj,1780
majɨ,902
ajɨn,1182
jɨnɨ,333
ɨnɨn,1749
nɨna,2257
mɨdɨ,3012
ɨdɨr,3227
dɨrɨ,1792
ɨrɨn,680
fətʼə,133
ətʼər,545
tʼərə,164
ɨrɨm,706
bado,52
nəβə,5744
əβər,6331
βərə,2513
ərət,716
rətʃ,326
ʔanɨ,5803
anɨd,3406
nɨda,2575
ɨdat,690
datʃ,745
atʃɨ,8315
tʃɨm,1343
ʔalɨ,2862
alɨn,2724
lɨnə,267
ɨnəβ,204
ərəβ,561
rəβa,160
əβat,1304
βatɨ,414
atɨm,913
tʃʼəl,242
ʃʼələ,210
ələm,1198
ləma,713
əmam,376
bətʼɨ,223
ətʼɨl,110
tʼɨlɨ,135
ɨlɨkʼ,588
lɨkʼu,94
jəʔɨ,3266
əʔɨɡ,3660
herɨ,2906
erɨm,1752
mənɨ,2628
ənɨf,796
nɨfə,749
ɨfəs,599
bəwɨ,541
əwɨh,249
wɨha,674
səfɨ,159
əfɨf,16
fɨfo,3
bɨrɨ,366
ɨrɨh,684
rɨha,609
ɨhan,425
jɨhu,1779
ɨhun,1507
ʔalə,5084
hanɨ,199
anɨm,1564
honə,2273
hanu,20
məlɨ,2410
əlɨk,1183
lɨka,808
ɨkam,789
ʔɨnɨ,15081
ɨnɨd,13612
nɨdə,5571
ʔajə,319
ɨziβ,3
ziβɨ,3
iβɨh,4
anɨn,1064
nɨnɨ,510
əman,363
ləjə,141
anun,176
bɨlo,1004
tʼəra,550
əraw,964
əmaw,202
mawɨ,409
awɨn,1933
wɨnɨ,1834
