r-gram,Counts
ʔalb,2336
alba,2214
lbad,39
badʔ,32
χalq,28
ʔall,8868
alla,9555
llaa,2146
laah,2146
ʔass,4164
assm,298
ssmu,267
smua,273
muat,391
wala,1257
alar,2270
lardˤ,1899
wkan,1279
kant,526
χurb,54
urba,143
wχal,5
χali,47
alij,1623
lijj,128
ijja,1716
jjah,1436
wʕla,472
wadʒ,953
adʒh,571
ʔalɣ,715
alɣa,547
lɣam,31
ɣama,28
amar,200
ðulm,159
ulma,86
wɹuħ,22
ʕala,4652
ʔalm,7739
almi,628
lmia,172
miah,281
wqal,1443
lajj,944
ajjk,54
jjku,54
jkun,61
kunn,1597
unna,1701
faka,200
akan,604
wɹaa,2
ʔann,1723
annu,255
nnuɹ,8
ħasa,863
asan,255
wfsl,2
bajn,647
ajna,750
nnur,82
waðð,268
aððu,118
ððul,109
wdʕa,102
nhaɹ,82
haɹa,169
daʕa,66
aʕah,16
ʕaha,31
lila,170
masa,179
asaʔ,156
saba,328
abaħ,157
jwma,78
waħd,606
aħda,310
dʒal,1154
ʒald,88
wasa,550
asat,594
wali,194
alik,3696
liku,76
ikun,396
fasl,12
asla,31
wmia,7
fʕml,33
ʔald,2284
aldʒ,2512
ldʒa,1543
llat,1748
lati,1799
atii,1731
taħt,346
aħta,340
walm,1302
fawq,218
kðlk,189
ðlka,610
sama,578
amaʔ,490
θani,250
ania,272
ltdʒ,24
tdʒt,33
dʒtm,137
ʒtmʕ,119
assa,3405
ssam,666
maka,367
waħi,992
aħid,965
wltð,1
ltðh,9
tðhr,15
ʔalj,2010
alja,1354
ljab,29
jabi,91
abis,62
bisa,48
ardˤa,33
wmdʒ,76
mdʒt,23
bħaɹ,2
ħaɹa,99
wrʔa,57
ðaal,823
aali,823
lika,1209
ltmb,5
tmbt,18
ʕʃba,9
wbql,5
bqla,4
jbzr,4
bzɹa,5
wʃdʒ,8
ʃdʒɹ,5
dʒɹa,100
θama,169
jʕml,183
θmɹa,31
kdʒn,15
dʒns,8
ʒnsh,6
bizr,5
izrh,2
faχr,70
aχrd,320
χrdʒ,965
rdʒt,156
θalθ,57
alθa,7
latk,56
atku,37
tkun,173
anua,23
nuar,11
ltfs,2
tfsl,4
anna,1925
nnah,326
naha,334
ahar,108
wall,159
llaj,190
lajl,216
wtka,137
tkau,154
kaun,769
auna,878
lʔai,23
ʔaij,67
aijj,299
jjat,280
wawq,42
awqa,26
wqat,27
waja,32
ajam,971
wasi,123
asin,60
sini,14
inin,202
nina,523
nuaɹ,2
uaɹa,9
ltni,31
tnir,5
nuɹi,2
uɹin,18
ɹina,531
ʔalʕ,1925
alʕa,1613
lʕað,203
ʕaði,520
aðim,520
ðimi,1
imin,124
mina,500
alak,338
lakb,12
akbr,21
lħkm,57
wann,174
alas,486
lasɣ,19
asɣr,26
annd,42
nndʒ,43
ndʒu,139
dʒum,190
wdʒʕ,191
dʒʕl,852
ʒʕlh,127
ʕlha,62
wltħ,5
ltħk,1
tħkm,4
wltf,5
ɹabʕ,4
abʕa,6
ltfdˤ,1
zħaf,5
ħafa,53
afat,151
nafs,832
ħajj,121
ajja,289
wlit,19
litr,5
tajr,20
fχlq,3
ʔatt,781
attn,6
ttna,14
tnan,9
nani,65
anin,84
alʕð,61
lʕða,40
ʕðam,78
waka,912
akal,1370
ðuat,27
alan,522
lanf,116
anfs,341
ʔalħ,1864
alħa,1401
lħaj,230
ʔadd,639
addb,10
ddba,8
dbab,16
babt,8
fadˤt,17
kadʒ,16
adʒn,117
dʒna,97
ʒnas,25
nash,29
asha,55
taʔi,40
aʔir,80
dʒan,439
ʒana,49
anaħ,43
wbar,65
bark,231
arka,375
rkah,81
kaha,84
qaʔl,959
aʔla,883
aθmɹ,7
θmɹi,3
wakθ,37
akθɹ,32
kθɹi,7
waml,19
amlʔ,23
mlʔi,1
lbaħ,371
baħħ,21
aħħa,199
ħħar,19
wlik,8
likθ,4
ikθr,14
ʔata,416
ataj,43
χams,19
amsa,9
ltχr,4
tχrd,25
nsha,10
bhaʔ,141
haʔm,123
wdba,3
baba,37
abat,97
wwħu,11
wħuʃ,47
walb,301
albh,281
lbha,111
wdʒm,360
dʒmi,639
ʒmiʕ,600
nʕml,28
lans,495
ansa,927
nsan,899
surt,29
urtn,2
rtna,8
kʃbh,5
ʃbhn,1
bhna,3
fits,3
itsl,13
tslt,66
sltu,14
ltun,14
tuna,367
amak,79
baħr,372
kull,4176
dʒam,2079
ʒami,1422
amiʕ,1723
urth,45
suɹa,114
alqh,26
ðkɹa,30
wanθ,12
anθa,28
lqhu,10
qhum,119
kahu,101
ahum,730
lahi,963
ahim,1357
θmɹu,12
kθɹu,21
mlʔu,26
waχdˤ,7
aχdˤʕ,22
χdˤʕu,11
dˤʕuh,30
ʕuha,32
wtsl,20
ħaja,300
ajaw,59
jawa,64
awan,91
aʕti,337
