r-gram,Counts
fiʔal,1899
iʔalb,395
ʔalba,1954
albad,42
lbadʔ,27
badʔχ,2
adʔχa,2
dʔχal,2
ʔχalq,2
χalqʔ,12
alqʔa,13
lqʔal,27
qʔall,105
ʔalla,8747
allaa,2177
llaah,2151
laahʔ,240
aahʔa,230
ahʔas,23
hʔass,135
ʔassm,285
assmu,267
ssmua,267
smuat,273
muatw,123
uatwa,74
atwal,89
twala,104
walar,139
alardˤ,1893
lardˤw,500
ardˤwk,26
rdˤwka,18
dˤwkan,17
wkant,208
kanta,103
antal,43
ntala,93
talar,167
lardˤχ,18
ardˤχu,14
rdˤχur,5
dˤχurb,5
χurba,56
urbaw,15
rbawχ,4
bawχa,2
awχal,2
wχali,2
χalij,5
alijj,44
lijja,79
ijjah,1451
jjahw,364
jahwʕ,29
ahwʕl,21
hwʕla,57
wʕlaw,1
ʕlawa,4
lawad,182
awadʒ,331
wadʒh,538
adʒhʔ,105
dʒhʔa,115
ʒhʔal,63
hʔalɣ,23
ʔalɣa,493
alɣam,31
lɣama,24
ɣamar,18
amarð,1
marðu,2
arðul,2
rðulm,1
ðulma,93
ulmaw,27
lmawɹ,1
mawɹu,2
awɹuħ,7
wɹuħʔ,7
ɹuħʔa,223
uħʔal,190
ħʔall,144
laahj,83
aahjr,4
ahjrf,1
hjrfʕ,1
jrfʕa,5
rfʕal,9
fʕala,98
ʕalaw,184
alawa,277
hʔalm,272
ʔalmi,571
almia,156
lmiah,164
miahw,35
iahwq,2
ahwqa,35
hwqal,210
wqalʔ,136
qalʔa,775
alʔal,952
lʔall,749
laahl,232
aahla,136
ahlaj,45
hlajj,27
lajjk,88
ajjku,69
jjkun,54
jkunn,55
kunna,1597
unnan,17
nnanu,7
nanur,5
anurf,1
nurfa,2
urfak,3
rfaka,12
fakan,202
akann,31
kannu,7
annur,81
nnurw,24
nurwɹ,1
urwɹa,4
rwɹaa,1
wɹaaʔ,1
ɹaaʔa,2
aaʔal,642
aʔall,1932
ahʔan,15
hʔann,52
ʔannu,90
annuɹ,8
nnuɹa,7
nuɹan,2
uɹanh,5
ɹanhħ,2
anhħa,42
nhħas,22
hħasa,80
ħasan,118
asanw,26
sanwf,1
anwfs,3
nwfsl,1
wfslʔ,1
fslʔa,1
slʔal,130
laahb,102
aahba,40
ahbaj,31
hbajn,37
bajna,618
ajnaʔ,221
jnaʔa,224
naʔan,90
aʔann,459
nurwa,20
urwað,9
rwaðð,13
waððu,8
aððul,101
ððulm,103
lmawd,29
mawdʕ,7
awdʕa,35
wdʕaʔ,26
dʕaʔa,35
ʕaʔal,137
nnurn,4
nurnh,1
urnha,1
rnhaɹ,3
nhaɹa,92
haɹaw,57
aɹawa,56
ɹawað,11
awaðð,85
ulmad,3
lmada,178
madaʕ,14
adaʕa,47
daʕah,12
aʕaha,12
ʕahal,3
ahali,8
halil,2
alila,60
lilaw,54
ilawk,5
lawka,242
awkan,306
wkanm,72
kanma,66
anmas,18
nmasa,10
masaʔ,146
asaʔw,61
saʔwk,13
aʔwka,33
ʔwkan,35
wkans,28
kansa,48
ansab,31
nsaba,16
sabaħ,150
abaħj,12
baħjw,7
aħjwm,6
ħjwma,6
jwmaw,19
wmawa,13
mawaħ,38
awaħd,282
waħda,194
aħdaw,51
ħdawq,1
dawqa,21
awqal,305
unnad,13
nnadʒ,82
nadʒa,299
adʒal,200
dʒald,103
ʒaldf,8
aldfi,3
ldfiw,1
dfiwa,8
fiwas,341
iwasa,339
wasat,487
asatʔ,161
satʔa,165
atʔal,440
tʔalm,545
iahwa,16
ahwal,99
hwali,10
walik,26
aliku,41
likun,67
ikunn,304
unnaf,127
nnafa,13
nafas,8
afasl,5
fasla,2
aslab,7
slaba,16
labaj,351
abajn,177
ajnam,49
jnami,5
namia,5
amiah,29
iahwm,2
ahwmi,3
hwmia,2
wmiah,4
miahf,22
iahfʕ,1
ahfʕm,1
hfʕml,4
fʕmlʔ,8
ʕmlʔa,105
mlʔal,98
ahʔal,456
hʔald,67
ʔaldʒ,2284
aldʒa,1515
ldʒal,253
ʒaldw,18
aldwf,1
ldwfs,1
dwfsl,1
wfslb,1
fslba,8
slbaj,14
lbajn,28
naʔal,1642
aʔalm,1842
miahʔ,52
iahʔa,52
hʔall,536
allat,1791
llati,1740
latii,1731
atiit,197
tiita,73
iitaħ,19
itaħt,24
taħta,336
aħtaʔ,126
ħtaʔa,126
taʔal,179
aʔald,503
aldwa,11
ldwal,3
dwalm,26
walmi,134
atiif,181
tiifa,8
iifaw,5
ifawq,15
fawqʔ,40
awqʔa,41
wqʔal,32
qʔald,10
aldwk,4
ldwka,4
dwkan,51
wkank,40
kankð,7
ankðl,10
nkðlk,13
kðlka,187
ðlkaw,24
lkawd,12
kawdʕ,3
ʒalds,1
aldsa,1
ldsam,1
dsama,6
samaʔ,475
amaʔw,205
maʔwk,8
jwmaθ,4
wmaθa,2
maθan,8
aθani,33
θania,124
aniaw,45
niawq,4
iawqa,31
aahlt,8
ahltd,1
hltdʒ,2
ltdʒt,1
tdʒtm,15
dʒtmʕ,119
ʒtmʕʔ,26
tmʕʔa,26
mʕʔal,89
ʕʔalm,472
miaht,11
iahta,6
ahtaħ,12
htaħt,32
taʔas,39
aʔass,865
ʔassa,3116
assam,663
ssama,506
amaʔa,432
maʔal,600
aʔala,281
ʔalam,93
alama,807
lamak,96
amaka,154
makan,571
akanw,38
kanwa,58
anwaħ,38
nwaħi,42
waħid,963
aħidw,143
ħidwl,14
idwlt,3
dwltð,1
wltðh,1
ltðhr,2
tðhrʔ,2
ðhrʔa,12
hrʔal,86
rʔalj,50
ʔalja,1304
aljab,32
ljabi,40
jabis,60
abisa,43
bisaw,11
isawk,4
sawka,15
hʔalj,106
bisaa,6
isaar,1
saardˤ,2
aardˤa,40
ardˤaw,4
rdˤawm,3
dˤawmd,2
awmdʒ,28
wmdʒt,1
mdʒtm,6
miahd,6
iahda,2
ahdaʕ,9
hdaʕa,5
aʕahb,1
ʕahbħ,1
ahbħa,1
hbħaɹ,1
bħaɹa,4
ħaɹaw,1
aɹawr,12
ɹawrʔ,4
awrʔa,37
wrʔaʔ,17
rʔaʔa,65
ʔaʔal,105
laahð,12
aahða,9
ahðaa,8
hðaal,24
ðaali,831
aalik,824
alika,1646
likaa,120
ikaan,33
kaanh,29
aanhħ,7
sanwq,7
anwqa,23
nwqal,58
ahltm,1
hltmb,1
ltmbt,3
tmbta,3
mbtal,1
btala,85
lardˤʕ,27
ardˤʕʃ,3
rdˤʕʃb,2
dˤʕʃba,2
ʕʃbaw,2
ʃbawb,2
bawbq,2
awbql,3
wbqla,2
bqlaj,2
qlajb,2
lajbz,2
ajbzr,2
jbzrb,4
bzrbz,4
zrbzɹ,4
rbzɹa,4
bzɹaw,2
zɹawʃ,1
ɹawʃd,2
awʃdʒ,2
wʃdʒɹ,3
ʃdʒɹa,5
dʒɹað,2
ʒɹaða,1
ɹaðaθ,1
aðaθa,2
ðaθam,2
aθama,36
θamar,101
amarj,25
marjʕ,1
arjʕm,1
rjʕml,1
jʕmlθ,2
ʕmlθm,2
mlθmɹ,4
lθmɹa,4
θmɹak,2
mɹakd,1
ɹakdʒ,3
akdʒn,4
kdʒns,5
dʒnsh,6
ʒnshb,1
nshbi,1
shbiz,1
hbizr,1
bizrh,2
izrhf,2
zrhfi,2
rhfih,2
hfihʕ,3
fihʕa,17
ihʕal,17
hʕala,417
ʕalaa,863
alaal,930
laala,978
aalar,660
ðlkaf,27
lkafa,39
kafaχ,19
afaχr,19
faχrd,38
aχrdʒ,351
χrdʒt,154
rdʒta,19
dʒtal,15
ʒtala,14
bzɹak,1
zɹakd,1
ʒnshw,3
nshwʃ,1
shwʃd,2
hwʃdʒ,3
dʒɹaj,5
ʒɹajʕ,1
ɹajʕm,1
ajʕml,49
θmɹab,4
mɹabi,2
ɹabiz,1
abizr,2
hfihk,2
fihkd,1
ihkdʒ,1
hkdʒn,2
nshwr,2
