r-gram,Counts
jer,1360
erɡ,51
rɡu,403
ɡuɾ,443
uɾu,1564
ɾuɫ,264
uɫu,1239
ɫuʃ,209
uʃs,34
ʃsu,24
suz,223
uzv,27
zvæ,290
væb,1311
æbo,154
boʃ,306
oʃi,68
ʃid,642
idi,3211
did,691
idæ,1271
dæɾ,1245
æɾi,14233
ɾin,9895
ins,2607
nsu,468
suɫ,512
uɫa,2975
ɫar,11385
ary,299
ryz,522
yzæ,1742
zæɾ,991
ind,8134
ndæ,10576
dæɡ,829
æɡa,2105
ɡaɾ,591
aɾa,8432
ɾan,1720
anɫ,3744
nɫɯ,884
ɫɯx,1445
ɯxv,163
xva,72
var,1706
ari,1048
rid,754
dia,1008
iaɫ,951
aɫɫ,4829
ɫɫa,6210
ɫah,4883
ahɯ,4380
hɯn,2500
ɯnr,274
nru,151
ruh,640
uhu,278
hus,14
usu,670
ɫaɾ,18171
aɾɯ,17481
ɾɯn,9340
ɯny,630
nyz,1113
dæd,2394
ædo,460
doɫ,884
oɫa,5785
ɫaʃ,722
aʃɯ,1912
ʃɯr,314
ɯrd,1591
rdɯ,2565
dɯa,361
ɯaɫ,511
ahɟ,86
hɟœ,35
ɟœr,1210
œrd,1169
rdy,1513
dyc,93
yci,182
cii,416
iiʃ,146
iʃɯ,126
ʃɯx,2251
ɯxj,108
xja,239
jax,1866
axʃ,1014
xʃɯ,723
ʃɯd,328
ɯdɯ,747
dɯr,3217
ɯrs,667
rso,347
son,1961
onr,1648
nra,1742
rao,210
aoi,12
oiʃ,7
ʃɯɯ,110
ɯɯɯ,2689
ɯɯɡ,41
ɯɡa,688
ɫɯɡ,590
ɯɡd,317
ɡda,873
dan,9299
ana,3638
naj,893
ajɯ,3600
jɯr,604
ahi,2414
hiʃ,251
ɯɯɟ,44
ɯɟy,214
ɟyn,3644
ynd,3399
ndy,1039
dyz,876
yzɡ,101
zɡa,295
ɫɯɯ,1092
ɯɯi,50
ɯis,521
isæ,2981
sæɟ,121
æɟe,783
ɟed,1575
edʒ,980
dʒæ,8099
ʒæa,76
æad,301
adɫ,2114
dɫa,2021
ɫan,6413
and,5588
ndɯ,1964
ɯax,123
xʃa,271
ʃam,776
amo,562
moɫ,514
oɫd,2090
ɫdu,2066
dus,264
usæ,1034
sæh,572
æhæ,3245
hær,3427
æra,1210
rat,281
atʃ,2864
tʃɯ,3930
ʃɯɫ,1176
ɯɫd,604
ɫdɯ,1730
dɯb,651
ɯbu,621
bub,223
ubi,357
biɾ,1431
iɾi,3309
ndʒ,4334
dʒi,1479
ʒiɟ,132
iɟy,609
yni,788
nid,906
ahɡ,280
hɡy,9
ɡyb,17
ybb,135
bbæ,1383
bæn,443
æni,7898
idy,248
zæl,1008
ælt,497
ltd,255
tdi,4700
div,1221
ivæ,1875
væɡ,763
æɡy,107
nin,4873
ina,2331
naɫ,2041
aɫt,1343
ɫtɯ,608
tɯn,1032
ɯnd,7369
nda,10800
dac,934
acɯ,827
cɯs,44
ɯsu,68
ɾɯo,391
ɯon,1010
onu,5464
nun,4918
uny,415
nys,696
yst,1222
sty,1034
tyn,946
dæc,869
æci,1921
cis,803
isu,123
ard,4282
rda,3755
ɯbe,283
bel,3010
elæ,3551
læd,3993
ædæ,4764
dæo,1499
æoɫ,1311
dua,698
uaɫ,244
niɟ,711
iɟœ,1140
ɟœj,712
œja,23
jad,2727
bui,349
uic,47
ici,2625
cin,1444
dis,1335
iso,407
raa,116
aaɫ,907
ahd,630
hde,136
ded,4549
edi,8165
diɡ,683
iɡo,458
ɡoj,2410
ojɟ,41
jɟœ,75
œjy,1671
jyn,320
yna,1656
arb,1055
rbi,1376
bir,6201
irj,538
rje,837
jeɾ,2519
eɾæ,1504
ɾæj,984
æjɯ,138
jɯɯ,407
ɯɯɫ,140
ɯɫs,306
ɫsɯ,445
sɯn,5380
ɯnc,440
nci,4286
ciɡ,441
iɡu,530
ɾuɟ,27
uɟœ,401
ɟœɾ,3681
œɾy,832
ɾyn,602
yns,752
nsy,350
syn,3845
ynb,1031
nbe,611
hɡu,176
ɾun,963
unu,3074
nuj,238
uje,459
ers,190
rsu,286
suj,136
ujɯ,13
ɯɯn,1242
ɯnɫ,949
nɫa,12047
ɯnɯ,9687
nɯi,284
sæd,920
