r-gram,Counts
iesb,8
esbs,21
sbst,6
bstʃ,4
stʃɾ,288
tʃɾi,578
ʃɾis,577
ɾist,662
istð,10
stða,11
tðaʊ,6
ðaʊi,39
aʊið,54
ʊiðe,50
iðen,268
ðens,109
ense,338
nsem,248
seme,395
emea,277
meaɾ,49
eaɾe,459
aɾen,3725
ɾena,935
enaβ,168
naβɾ,56
aβɾa,159
βɾaa,80
ɾaam,84
aame,65
amen,546
mens,13
ɾenɡ,554
enɡe,112
nɡen,166
ɡene,9
eneɾ,292
neɾa,230
eɾat,242
ɾati,389
atio,584
tion,919
ione,1114
onek,102
neko,133
ekol,45
koli,18
oliβ,14
liβu,48
iβuɾ,54
βuɾu,301
uɾua,343
ɾuaa,25
uaaβ,6
aaβɾ,51
amek,35
meke,18
eken,2767
kenɡ,262
ɡend,135
endɾ,514
ndɾa,694
dɾaθ,42
ɾaθe,233
aθes,279
θesa,1218
esan,1109
sani,237
anis,182
nisa,414
isaa,24
saak,22
aake,19
aket,801
keta,1729
etai,1370
tais,65
aisa,147
akek,134
keke,378
ania,329
niak,38
iako,108
akob,16
kobe,8
obet,6
beta,17
taia,362
aiak,67
akoβ,97
koβe,87
oβek,28
βeke,13
ɾaθi,123
aθit,220
θits,464
itsa,1253
tsan,355
aniu,45
niuð,109
iuða,52
uðae,19
ðaet,120
aeta,2863
etaa,1431
taaɾ,559
aaɾe,436
enan,278
nana,115
anaj,384
najj,480
ajje,822
jjea,205
jeak,148
eake,240
taiu,89
aiuð,112
uðak,12
ðake,11
aken,137
sanp,64
anpa,93
npaɾ,144
paɾe,27
aɾes,43
ɾese,207
eset,317
seta,862
etas,774
tasa,281
asaɾ,225
saɾa,76
aɾat,322
ɾata,44
atam,7
tama,104
amaɾ,132
maɾɣ,4
aɾɣa,89
ɾɣan,25
ɣani,244
anik,657
nike,373
iket,705
etap,372
tapa,109
apaɾ,114
esek,133
seke,397
sane,618
anes,433
nesɾ,2
esɾo,4
sɾom,2
ɾome,73
omet,1
meta,34
etae,1878
taes,461
aesɾ,1
omek,2
sana,230
anaɾ,209
naɾa,262
aɾam,47
ɾame,26
amet,16
aaɾa,56
anam,119
nami,6
amiɲ,19
miɲa,41
iɲað,22
ɲaða,21
aðab,13
ðabe,3
abet,3
taam,75
aami,18
aðaβ,115
ðaβe,56
aβek,93
sann,110
anna,183
nnaa,14
naas,22
aass,24
asso,90
sson,5
sone,272
onet,283
neta,2975
etan,1268
tana,211
anaa,47
neke,514
sans,394
ansa,814
nsal,97
salm,13
almo,5
lmon,5
mone,47
asal,205
sanb,376
anbo,37
nboo,2
boos,2
oosr,1
osra,2
srat,1
ratʃ,12
atʃa,123
tʃab,3
ʃabɣ,1
abɣa,1
bɣan,2
etaβ,1133
taβo,52
aβoo,1
βoos,2
