r-gram,Counts
nap,1089
apa,3750
paʈ,889
aʈʂ,6117
ʈʂa,7051
ʂat,1155
atk,1400
tku,575
kus,293
ust,918
stv,1250
tva,5113
var,1277
arɨ,2109
rɨw,687
ɨwb,123
wbɔ,387
bɔx,1365
ɔxnʲ,53
xnʲɛ,199
nʲɛb,692
ɛba,650
bai,191
aizʲ,127
izʲa,163
zʲam,1957
amlʲ,1849
mlʲu,614
lʲua,74
uazʲ,6
azʲa,561
mlʲa,464
lʲab,168
abɨ,1472
bɨl,1121
ɨla,684
lanʲ,255
anʲa,1421
nʲab,960
aba,1398
baʈ,1037
ʈʂn,718
ʂna,689
naj,3871
aja,8479
jai,1280
aip,923
ipu,50
pus,540
sta,4365
taj,1818
ait,384
itsʲ,3957
tsʲɛ,5859
sʲɛm,731
ɛmr,151
mra,237
ran,802
ana,6275
nat,1989
atbʲ,31
tbʲɛ,18
bʲɛz,436
ɛzd,120
zda,479
danʲ,384
anʲnʲ,1309
nʲnʲu,42
nʲui,73
uid,221
idu,394
dux,547
uxb,31
xbɔ,264
bɔʐ,1210
ɔʐɨ,543
ʐɨl,46
ɨlu,28
lun,15
una,1224
naw,1337
awn,746
wna,1568
atv,1411
vad,605
adɔ,1314
dɔj,80
ɔju,2089
jui,1246
uis,464
isk,2147
ska,5804
kaz,4580
aza,6315
zaw,3497
awb,564
ɔxx,13
xxa,56
xaj,1727
ajb,351
jbu,283
bud,3847
udzʲ,3815
dzʲɛ,8702
zʲɛsʲ,368
ɛsʲvʲ,183
sʲvʲa,1803
vʲat,1770
atl,199
tlɔ,158
lɔi,67
ɔis,256
ist,681
tal,374
ala,4395
lasʲ,1014
asʲa,1492
sʲasʲ,93
asʲvʲ,770
ɔin,145
ina,3539
naz,691
azv,703
zva,890
vaw,1777
ɔxsʲ,36
xsʲvʲ,92
lɔd,407
ɔdnʲ,988
dnʲɔ,74
nʲɔm,73
ɔma,871
mat,1143
atsʲ,8435
mru,72
run,150
unɔ,89
nɔʈ,194
ɔʈʂ,1175
ʈʂʈ,424
ʂʈʂ,2804
ʈʂu,1530
ʂui,89
uib,118
ibɨ,522
bɨw,936
ɨwvʲ,89
wvʲɛ,483
vʲɛʈ,895
ɛʈʂ,1873
ʂar,359
ari,168
rib,11
lar,71
ara,4931
ranʲ,666
anʲi,1433
nʲit,1288
its,2024
tsa,9216
sad,621
adzʲ,4831
zʲɛnʲ,1065
ɛnʲa,578
nʲad,304
dzʲi,4185
zʲin,716
ini,72
nis,72
zʲɛt,1089
ɛtsʲ,2690
tsʲvʲ,523
sʲvʲɛ,696
vʲɛr,1110
ɛrd,74
rdzʲ,100
dzʲp,180
zʲpa,102
pasʲ,923
sʲar,771
arɔ,4742
rɔt,1839
ɔtv,130
adɨ,2103
dɨi,404
ɨix,287
ixa,879
jad,897
add,493
ddzʲ,56
dzʲa,1617
zʲalʲ,228
alʲa,1029
lʲaj,669
ajɛ,9337
jɛj,640
ɛja,2823
jan,3245
nav,1716
ava,6992
adu,1853
dua,128
uat,387
ɨin,119
ɔxt,455
xtsʲ,71
dzʲnʲ,80
zʲnʲɛ,281
bam,134
ami,1110
mib,94
ɛnʲd,39
nʲdr,5
dru,424
ruɣʲ,215
uɣʲi,292
ɣʲii,11
iis,117
ajzʲ,73
jzʲbʲ,9
zʲbʲa,131
bʲar,222
arɛ,891
rɛt,221
ɛts,2169
tst,4699
sts,4736
sav,666
ada,6155
daj,2240
jak,5164
aka,4640
kaj,2306
jap,1316
pat,1289
atnʲ,192
tnʲɛ,85
amu,3756
mua,269
uad,211
adn,991
dnɔ,285
nɔmʲ,5
ɔmʲɛ,408
mʲɛs,574
ɛst,863
sai,629
aix,2015
ajj,258
jja,480
javʲ,367
avʲi,3454
vʲit,1217
sas,465
asu,1095
suʂ,48
uʂa,397
ʂai,113
ais,1182
sʲat,1407
ata,4020
tak,1940
aki,416
kiw,53
iwt,456
wtv,354
rɨl,199
lazʲ,60
lʲazʲ,34
azʲɛ,114
zʲɛlʲ,531
ɛlʲa,498
lʲanʲ,169
nʲin,510
inu,948
nut,785
utr,216
tra,854
rav,1254
avu,977
vuʂ,115
uʂt,317
ʂtɔ,4224
tɔsʲ,101
ɔsʲɛ,128
sʲɛj,1240
jal,110
lan,286
nasʲ,1010
asʲɛ,496
sʲɛnʲ,278
ɛnʲnʲ,1779
nʲnʲɛ,1708
nʲɛp,1392
ɛpa,2036
pav,684
avɔ,1576
vɔd,870
ɔdlʲ,468
dlʲɛ,479
lʲɛr,112
ɛrɔ,147
rɔd,1588
ɔdu,798
duj,552
uja,2088
jaj,1855
jɛi,1277
ɛid,233
idr,115
drɛ,257
