r-gram,Counts
vnɐ,179
nɐt,2642
ɐtʃ,1083
tʃa,2390
ʃaɫ,528
aɫo,1280
ɫot,1437
oto,12017
bok,2195
səz,257
əzd,512
zda,374
dad,1547
ade,2924
neb,779
ebe,3136
bet,503
eto,10948
zemʲ,2602
emʲa,1647
mʲat,1633
atɐ,19109
ɐze,582
beʃ,1765
eʃe,2892
pus,869
ust,1285
stɐ,2229
neu,22
eus,19
str,2694
tro,646
roe,130
oen,352
enɐ,1746
təm,244
əmn,433
mni,746
nin,710
inɐ,2562
pok,1648
okr,564
kri,952
riv,593
iva,541
vaʃ,1522
aʃe,2502
bez,1138
ezd,1069
zdn,51
dna,639
nat,4908
boʒ,1066
oʒi,1449
ʒij,584
ijɐ,13758
jɐt,4116
dux,718
nos,1820
ose,1110
seʃ,112
nɐd,1403
ɐdv,117
dvo,269
vod,1152
oda,1002
dat,1085
kaz,4690
azɐ,2086
bəd,2606
əde,2026
sve,3101
vet,6604
etl,163
tli,166
lin,708
sta,5223
tan,3052
anɐ,2827
vidʲ,956
idʲɐ,727
tʃe,11003
ʃes,1356
esv,89
ina,1925
dob,1456
obr,1326
bro,926
raz,1831
azd,224
zde,292
del,707
eli,3470
nar,1106
are,789
ret,5808
etʃ,6119
den,2681
ɐtə,60
noʃ,624
oʃt,1686
ʃer,473
utr,314
pər,1017
ərv,1677
rvi,381
pro,4825
ros,1028
ost,6063
sto,4393
tor,1068
pos,3264
osr,292
sre,1457
red,3688
edv,476
odi,3675
dit,1604
ite,23765
koj,6546
ojt,3977
jto,3910
odɐ,2994
nap,2095
apr,1639
pra,4543
rav,3290
avi,5105
orɐ,1002
oja,2132
jat,2967
ato,7524
pot,5759
otp,308
tpr,191
fto,439
ori,3045
səb,1095
əbe,175
ber,359
ere,685
nae,906
aed,482
edn,2879
dno,1453
mʲas,670
ast,1949
pod,6095
odn,1788
dne,1137
jav,430
suʃ,75
uʃa,753
ʃat,1027
tak,2270
akɐ,2569
emʲɐ,1036
əbr,409
bra,1695
ran,1431
ana,842
mor,702
ore,2576
etɐ,892
ʃeb,120
roi,397
oiz,356
izr,2824
zra,1277
ras,845
sti,4242
kre,515
rex,506
exk,7
xkɐ,12
tre,1493
rev,588
evɐ,361
sem,858
eme,2516
men,3213
eno,1251
osn,241
snɐ,351
pɫo,474
ɫod,328
dər,889
rvo,564
koe,1756
oet,2073
raʒ,255
aʒd,277
ʒdɐ,821
spo,10015
por,2698
dvi,141
vid,1565
idɐ,844
tʃi,4026
ʃie,152
iet,2325
vne,855
neɡ,3438
eɡo,3550
nɐz,867
dav,1858
avɐ,6390
eti,2411
imɐ,1504
nɐn,1213
ɐne,740
bes,725
esn,670
sni,688
nij,4535
zad,2478
adɐ,4162
elɐ,490
lɐt,415
deɲ,319
eɲɐ,370
ʃtt,90
ttɐ,160
nek,1169
ekɐ,2078
sɫu,2804
ɫuʒ,680
uʒɐ,134
ʒɐt,384
zaz,57
azn,373
zna,1691
ats,774
tsi,6556
zɐp,1675
ɐpo,1469
oka,1293
azv,3037
zva,1286
van,1236
ane,2968
vre,981
rem,1801
ena,903
dni,2368
nit,8221
ɡod,1459
din,2563
ini,1784
ədɐ,711
dɐt,1510
zɐs,730
ɐsv,565
tiɫ,442
iɫɐ,915
osv,829
tla,29
lav,317
vɐt,1975
dve,587
ete,7505
ɡol,876
ole,1519
lem,842
emi,941
poɡ,949
oɡo,2687
ola,596
lam,461
amo,933
mot,432
iɫo,1317
vɫa,370
ɫad,627
dee,137
apo,348
maɫ,437
aɫk,342
ɫko,796
kot,726
zve,1459
vez,668
zdi,1144
tav,1677
dej,660
ejɐ,1727
ʃet,1622
etv,298
tvə,716
vər,4556
ərt,1733
rti,205
izv,1672
ved,1860
ede,1937
izo,555
zob,240
obi,1122
biɫ,545
iɫn,479
ɫno,409
mno,1612
noʒ,608
oʒe,1548
ʒes,385
est,4042
stv,3558
tvɐ,672
odu,579
duʃ,898
uʃe,82
ʃev,100
eve,684
ven,2206
eni,6930
vle,646
let,2011
tʃu,1469
ʃuɡ,4
uɡi,1055
pti,157
tit,2204
its,4338
xvə,471
rtʃ,119
tʃɐ,1130
ʃɐt,558
ɐdz,13
dze,24
pon,1283
one,2268
mit,659
ors,115
rsk,459
ski,2228
ʃud,235
udo,725
dov,2272
ovi,3644
viʃ,751
iʃt,1794
ʃtɐ,1456
fʂa,787
ʂak,808
ako,3513
səʃ,579
əʃt,2147
ʃte,14482
tes,430
tvo,3743
viʒ,365
iʒi,278
koi,4493
oit,4692
ito,5755
ido,987
ove,7788
riɫ,591
iɫa,297
ɫat,2191
tsɐ,1486
bɫɐ,1325
ɫɐɡ,1253
ɐɡo,2454
ɡos,8597
osɫ,1401
sɫo,1399
ɫov,1512
vaj,1183
ajk,1097
jki,871
ode,913
det,3144
rɐz,851
ɐzm,105
zmn,30
oʒa,238
ʒav,317
ava,2185
ajt,962
jte,1202
nɐp,1849
ɐpə,235
pəɫ,772
əɫn,787
ɫne,152
net,2617
vmo,167
eta,452
tat,2410
sit,8767
poz,935
oze,568
pet,1596
ʒiv,1697
ivo,1131
vot,2805
otn,645
tni,1010
bit,1021
itə,177
tək,439
zem,833
emn,248
ver,1239
ero,331
rov,931
əkɐ,542
fsi,4708
itʃ,6662
tʃk,5144
ʃko,1036
əɫz,48
ɫzi,46
dem,772
tʃo,2276
ʃov,2267
vek,1732
ona,499
naʃ,595
aʃi,823
ʃij,680
brɐ,477
rɐs,671
odo,951
bie,375
ɐdm,48
dmo,75
kit,3633
rib,570
ibi,69
ɐdn,79
ɐdd,33
ddo,42
ɐtt,65
ttsʲ,32
tsʲa,705
sʲaɫ,705
aɫa,694
nad,1322
adf,28
dfʂ,17
tno,460
svo,790
voj,1517
ojɐ,2143
pob,260
obo,341
məʒ,937
ʒen,1611
obɫ,314
bɫa,598
ada,586
daj,264
ejt,420
dvə,14
vəz,1428
zdu,120
uʃn,64
ʃni,797
vɐm,1042
pol,425
oli,1200
lit,3194
tse,3291
set,4284
ɐtsʲ,82
fse,1828
seb,650
nɐs,3322
ɐse,384
sno,656
zax,471
axr,119
xra,534
ʃki,4021
nɐf,550
ɐfs,514
naf,342
afs,431
fko,318
zel,80
ele,1147
len,2313
ərd,565
rde,317
svə,275
ərʃ,1357
rʃi,811
ʃix,400
ixɐ,2747
tʲax,1116
axn,214
xno,71
ojn,368
jns,50
nst,276
sed,1353
edm,436
dmi,179
mij,497
kɐt,4016
ɐto,3819
tos,1090
deɫ,836
eɫa,540
zdɐ,286
dɐɫ,185
otʃ,2923
ʃin,643
eɫɐ,782
zaʃ,4688
aʃt,6162
ʃto,6756
tot,6065
sət,533
ətv,33
vor,2731
tov,4742
ovɐ,5324
ois,1110
isx,67
sxo,93
xod,673
odə,195
dət,203
pri,6843
ris,1429
isə,203
ren,895
nie,3973
vəf,871
met,1313
koɡ,3115
oɡa,4714
ɡat,3162
osp,8060
ɐni,1129
nik,2417
ika,552
kak,3137
akv,1234
kvo,793
poɫ,979
oɫs,116
ɫsk,126
sko,824
ste,1445
ten,1920
ɲam,1777
ama,698
maʃ,703
kvɐ,375
skɐ,744
oni,1920
ikn,129
kna,43
naɫ,325
aɫɐ,565
daɫ,179
dəʃ,613
rab,576
abo,729
bot,713
otv,879
nop,297
opa,504
par,152
arɐ,993
izd,571
diɡ,956
iɡa,218
ɡaʃ,80
poj,234
prə,363
rəs,766
əst,1006
izz,19
zze,34
vdə,42
dəx,45
əxn,102
xnɐ,128
vno,257
noz,546
ozd,211
zdr,391
dri,201
rit,2237
ʒiz,8
izn,282
zne,362
nen,673
dix,280
ixa,51
xan,145
ani,3538
ekə,228
kət,766
ivɐ,1126
uʃɐ,614
nas,1674
asa,293
sad,202
adi,1217
ɡrɐ,350
rɐd,902
ɐdi,977
nɐi,1434
ɐis,577
ist,3537
tok,583
tam,892
ɡot,885
kra,570
asi,894
siv,77
naɡ,612
aɡl,23
ɡle,760
led,1304
akt,1518
kto,1407
nɐʒ,306
ɐʒi,241
otɐ,882
fsr,380
edɡ,477
dɡr,32
ozn,712
nav,896
rot,3296
zɫo,665
rek,1190
ʃaʃ,197
ɡde,788
ɐsk,269
skɫ,72
kɫo,521
ɫoɲ,64
oɲa,255
ɲav,379
tir,850
iri,1292
ɡɫa,1433
ɫav,1142
avn,315
vni,798
eki,1287
ime,1531
nɐe,598
ɐed,97
fis,15
iso,514
son,196
bik,127
kal,102
alɐ,207
evi,2104
viɫ,801
tsk,648
zɫa,516
nɐo,792
ɐon,388
naj,740
ajɐ,1346
bde,17
lij,827
iks,25
kso,7
sof,56
kam,420
amə,476
mək,275
ɐft,39
ora,805
rat,2552
ɡio,11
ion,439
xus,123
usk,49
ɐtr,167
tiɡ,343
iɡə,7
ɡər,160
ʃkɐ,697
tet,851
ɐsi,1135
sir,697
rij,1266
rta,184
efr,234
frɐ,49
rɐt,542
vze,1419
zas,725
ase,594
sel,1163
ems,92
msk,343
ska,1615
kat,4536
ɡra,1836
rad,1769
paz,541
azi,833
povʲ,886
ovʲa,907
vʲad,727
vɡr,270
vob,151
bod,219
jad,726
deʃ,652
noo,94
oot,199
vde,245
nep,913
epr,801
pre,7273
enn,589
nno,433
umr,289
mre,327
reʃ,1321
bre,496
zɐt,613
sam,972
dɐm,203
otx,175
txo,8
xodʲ,119
odʲɐ,154
dʲɐʃ,11
ɐʃt,308
pom,1206
omo,954
moʃ,239
ʃtn,337
ive,919
idi,515
ɐim,212
enu,85
nuv,157
uvɐ,1566
ɐzo,112
zov,158
veʃ,1672
sek,1031
vit,3257
nɐv,956
ɐvə,169
opo,653
nam,1075
ame,1514
mer,987
eri,1193
toɡ,2582
ɡav,2317
dəɫ,430
əɫb,280
ɫbo,230
sən,111
toj,4147
asp,341
spɐ,231
reb,1144
ebr,413
isp,1420
spə,556
ɫni,1540
