r-gram,Counts
əlp,3681
lpɾ,544
pɾi,812
ɾin,525
ins,1379
nsi,2634
sip,407
ipi,78
pið,63
iðe,275
ðew,3222
ewβ,435
wβa,280
βak,763
akɾ,238
kɾe,427
ɾea,145
eaə,17
aəl,4268
əls,21020
lsɛ,721
sɛl,621
ɛli,408
lil,294
ilə,2511
lət,2713
ətɛ,1653
tɛr,1509
ɛrə,1701
rəl,284
ələ,15386
rəe,775
əeɾ,208
eɾə,3186
ɾək,1963
əkə,4509
kəɔ,16
əɔt,17
ɔti,109
tik,746
ikə,2358
kəj,605
əjð,427
jðə,854
ðəz,1609
əzu,2069
zul,223
ula,404
lað,320
aðə,5726
ðəd,112
əde,123
dew,850
ewð,1285
wði,421
ðiɣ,1175
iɣe,1268
ɣek,122
ekə,526
kəɡ,22
əɡz,579
ɡzi,168
zis,443
ist,1432
stɛ,752
tɛʃ,148
ɛʃi,304
ʃil,95
ləʎ,761
əʎu,512
ʎum,211
umi,652
mil,849
umb,948
mba,1782
baə,427
aəɡ,21
sti,3138
tid,428
ide,33
wβə,186
βəj,547
əje,289
jek,40
kəl,4000
ume,594
meɾ,198
ɾəβ,1536
əβɔ,896
βɔn,259
ɔnə,1042
nəj,396
əjs,282
jsə,249
səp,753
əpə,5180
pəɾ,12352
əɾa,7125
ɾal,782
alə,2603
umd,86
mdə,969
dəl,4451
ləs,9190
əst,7483
stə,4586
tən,3151
əne,837
neβ,75
eβɾ,131
βɾə,2271
ɾəs,4667
əsd,326
sde,105
βað,1157
aðu,428
ðun,1715
una,1912
naə,1215
umə,790
məl,2273
əln,1033
lnɔ,767
nɔm,1131
ɔmd,431
dəð,909
əði,2657
ðiə,1716
iəj,483
əjə,1531
jəl,4493
ɾəz,4089
əzə,5018
zəl,8117
əld,2437
ldə,1730
dən,384
əni,3763
nit,1153
itj,110
tjə,619
jəɣ,130
əɣe,421
ɣew,13
ewm,467
wmb,110
mbe,1746
bes,174
esp,749
spɾ,3136
pɾə,3468
ɾəi,507
əiw,130
iwm,159
wmm,104
mmə,731
mət,1909
əti,1242
əja,822
jaʒ,71
aʒi,341
ʒiw,58
iwɱ,37
wɱf,126
ɱfi,1012
fir,65
irm,76
rmə,466
məm,478
əme,3333
men,2880
enə,1436
nəm,2169
əmm,1420
