r-gram,Counts
na,30257
ap,10701
po,29168
ot,21036
tʃ,17949
ʃa,3070
at,18627
tk,3297
ku,6076
us,7958
st,33016
tv,8683
vo,9421
or,6781
ri,24479
il,25756
lb,1155
bu,9787
uh,2815
hn,1557
ne,31946
eb,14676
be,4861
ea,9342
az,8525
ze,8287
em,27824
mi,14216
iz,8081
mɲ,7602
ɲe,16697
ep,11647
pa,10722
ak,21327
kb,939
bi,20595
la,17743
an,15891
es,24945
sl,8994
li,34060
it,23709
ʃn,1221
aa,5160
pu,2688
ta,19319
tm,1270
ma,11940
ab,10634
tp,3414
pr,27400
ro,19807
op,7339
as,15491
sc,6741
ci,22880
ia,13762
ad,9800
du,5957
uɣ,50
ɣb,498
bo,11271
oʒ,7532
ʒi,8141
iv,14809
vz,2119
zn,2166
aʃ,6540
ʃe,15717
el,21255
ls,5460
se,30693
en,21064
dv,2925
od,10453
da,10230
am,14050
ii,2862
ir,6048
re,18910
ek,12860
kl,5993
hb,45
uc,1137
cs,747
sv,13128
vj,9349
je,43636
et,22805
tl,1495
lo,16473
oi,1565
ib,9250
os,24676
oa,5423
av,17502
vi,30393
iɟ,2319
ɟe,6006
ux,1911
xs,1787
ʒe,10488
do,16285
ob,13597
br,5079
ei,2619
io,5000
dɟ,209
oo,1758
tt,6352
zv,1192
va,20512
al,26684
dn,4919
mu,11207
un,2238
ln,3419
no,14503
ts,32764
si,19135
lv,1562
ve,19175
er,16410
ra,25357
oj,8418
ji,15552
tr,9039
de,13125
np,1197
rv,1441
vɲ,1975
ɲi,28860
lt,2756
ke,7287
uɟ,991
ɟo,26
bl,1806
oh,9060
ha,4020
au,1732
up,4485
ed,17168
aɟ,1797
di,7910
ti,4941
iu,2563
ut,7294
ʃi,12634
iɲ,5353
xt,1435
tu,4628
uo,877
hu,1712
ua,3683
ao,3929
ik,14080
kt,10647
te,28799
eʒ,5994
ʒj,3863
js,9358
so,8931
oʊ,19326
ʊp,2336
ho,29721
ʊo,387
ʊn,1144
ʊa,1388
ki,7715
in,25523
nd,705
dr,2857
ru,5702
hi,1391
sh,1725
hr,2801
om,9630
ʃc,3601
ct,819
ev,10445
mv,2128
vm,630
is,25168
to,20075
uk,4284
ka,10757
ʃs,4183
su,2602
xe,1018
hm,83
ez,8851
aʒ,5404
ʒɟ,733
eɲ,7856
ip,13611
kv,1711
lm,2278
mo,8216
hʒ,21
mr,2265
hs,14
sp,13003
pl,2289
oɟ,9634
ɟz,197
vu,3743
nu,6499
uv,4880
id,9725
aj,9989
im,21548
mp,2718
ni,7273
ʊt,2168
ov,23116
dl,6440
le,18812
ok,7889
ko,14236
ol,8168
eh,18235
mʒ,958
ʒb,3403
ej,12330
on,8464
kn,1093
oz,6878
me,9949
ij,12734
nt,2077
ec,3972
pj,1249
sk,14448
ar,9469
zm,1123
ud,9105
ic,6240
hd,285
rʒ,721
nʃ,425
ih,6025
hv,245
zd,3405
lj,5172
ʃt,4392
vr,3624
rt,2303
eʃ,5495
ce,6261
eɪ,5181
ɪt,895
uʃ,1880
vh,327
jn,696
ai,2031
lr,493
af,2948
fʃ,7921
ja,7983
ʊd,1151
iʒ,10090
ʊh,1030
ba,2870
ʊʃ,894
ix,13572
xa,5474
pt,1575
kr,8648
mb,1097
rk,1846
oc,3340
mn,5753
oʃ,3093
lɲ,1719
ɲt,288
rs,1365
ʃp,3221
ac,5859
ʒu,1138
uj,7761
ɪz,101
ʊj,549
ʒd,2738
zi,3458
rz,942
ms,3724
hz,47
ʃh,623
xi,1688
if,2985
db,1067
ɲm,45
ʃl,3262
zu,1989
ns,2572
cp,527
th,1103
ef,3437
df,90
mz,1006
mh,747
ub,1986
ɪm,357
uʒ,3866
xp,1547
jt,757
dm,1499
aɲ,6822
jd,1396
