r-gram,Counts
na,28931
ap,3494
po,29145
ot,17709
tʃ,17876
ʃa,2367
at,13755
tk,2470
ku,5644
st,31723
tv,7730
vo,9017
or,5893
ri,24401
il,23991
bu,9758
uh,2066
ne,31892
eb,11184
be,4857
ze,8287
em,22781
mi,13117
mɲ,7528
ɲe,16697
pa,10680
ak,17032
bi,20572
la,15061
es,14951
sl,8645
li,33326
it,15713
ʃn,751
pu,2684
us,4190
ta,18143
tm,555
ma,8259
tp,1839
pr,27395
ro,19743
op,2970
as,7978
sc,6473
ci,22802
du,5867
uɣ,50
bo,11191
oʒ,6604
ʒi,7777
vz,1381
zn,2096
aʃ,6164
ʃe,15695
el,20041
se,30547
ad,7725
dv,2676
od,8874
da,9801
am,11210
re,18886
ek,7822
kl,5740
uc,937
sv,12194
vj,8484
je,43622
et,17170
tl,1244
lo,15461
vi,30234
iɟ,1631
ɟe,6006
ux,1772
ʒe,10463
do,15942
ob,11231
br,5040
dɟ,140
tt,5100
az,6242
zv,1162
va,20121
al,25946
dn,4604
mu,10665
no,14061
ts,30930
si,18950
ve,19050
er,14531
ji,15437
tr,8910
de,13089
en,14014
rv,1330
vɲ,1259
ɲi,28847
ke,7193
uɟ,895
bl,1794
oh,8127
ha,3911
os,20314
ed,14053
di,7685
ut,5336
ʃi,12491
iɲ,4717
tu,4394
hu,1696
kt,9475
te,28756
eʒ,4615
js,8916
so,8320
oʊ,19326
ho,29651
dr,2778
ru,5674
hi,1260
sh,1321
hr,2777
om,7740
ʃc,3409
ct,545
is,9322
to,19578
uk,2574
ka,10051
su,2313
xe,986
aʒ,4602
ʒɟ,599
eɲ,7492
mo,7162
sp,11456
pl,2287
oɟ,9350
ra,24970
av,12994
vu,3412
in,17090
nu,6329
id,5782
aj,5247
im,15344
ni,6914
ʊt,1627
ov,20531
dl,6390
le,18550
ok,5167
ko,13533
ol,7616
eh,16018
mʒ,435
me,9876
ej,5622
ec,3387
pj,1237
ao,689
oz,5449
sk,13713
ab,7571
zm,1090
ic,5188
ik,6951
rʒ,709
nʃ,382
hv,99
ez,5864
zd,3272
ʃt,2627
vr,2890
rt,2162
ti,4691
eʃ,5230
ce,6257
eɪ,5181
ɪt,806
hm,9
iz,4401
uʃ,1779
iv,7130
oj,4471
jn,384
lr,8
ib,2191
fʃ,7892
ij,2059
ja,7558
ba,2719
ʊʃ,865
ix,12974
pt,1434
kr,8282
hn,1417
rk,1651
oc,3073
mn,3919
oʃ,2978
lɲ,1610
ɲt,241
rs,1005
ac,5443
ʒu,495
uj,5607
ʒd,1332
ih,2812
ep,3188
zi,3441
ms,632
ki,7442
ɲm,15
ʃl,3040
zu,1972
ns,1382
an,11150
th,265
df,33
uʒ,3562
jt,522
dm,1256
aɲ,6675
ar,7239
ud,8274
za,13441
rm,648
ex,4560
xɲ,277
xu,971
um,3857
lm,723
on,5508
sa,5016
ɟi,14712
ul,1381
dɲ,2076
kd,5363
iʃ,11162
xr,369
fs,2470
sx,241
xa,3097
iʒ,8567
up,1674
vl,811
ʒo,231
rx,586
ax,2389
vd,351
xl,1027
ip,2231
tx,158
xn,98
pi,2864
xo,2705
hl,4885
eɟ,2959
lu,6157
tn,772
zl,2064
ir,2746
jm,1283
px,41
he,2479
ev,4370
aɣ,112
rn,1114
bd,135
iu,271
xi,1062
ɡi,825
dd,346
ss,1078
eʊ,686
ʊf,290
fr,275
af,1578
sm,2453
mr,1630
rc,406
uv,3251
rd,1063
aa,225
sn,972
ɲa,72
zɟ,598
ʊc,378
ʒa,1857
nʒ,594
lk,695
ɪx,5
ɪʃ,276
ef,1576
eɣ,370
oo,115
kn,283
fi,654
aɟ,1430
bj,4453
ah,3436
ʊʒ,953
ʒr,87
of,1951
ls,1921
rɲ,588
oɲ,2113
dʒ,660
io,355
ub,891
ai,1048
ft,579
ur,769
hɲ,964
ml,2847
ʒn,409
ʊn,341
jd,1189
tc,176
bɲ,1332
mʃ,335
ox,859
ia,2298
ae,2783
uz,1825
ju,1084
rf,111
fu,69
bn,470
oe,267
ʊx,612
nt,1309
md,260
mk,101
hd,237
kɲ,2731
iɣ,1389
ɣʒ,293
ee,191
fe,265
zr,3620
fx,171
sɲ,458
vn,810
sr,1363
ʃɲ,853
db,484
ɡo,195
ʊh,800
xk,34
ʃk,1602
ʊv,460
ɪd,319
kʒ,574
ɪɟ,96
mt,284
dz,132
ɪv,223
ʃʃ,244
dj,299
jɟ,394
lt,809
uɲ,104
rz,879
rɟ,172
uf,405
nb,219
if,832
sʃ,160
aɡ,190
oɡ,118
fa,1136
eɡ,857
ɡm,5
nc,203
ln,1648
ea,246
oa,739
ui,20
ɡe,370
rɡ,27
ɪs,862
ɡa,812
oi,90
rʃ,548
ks,80
pe,1782
jo,1858
un,549
ɪm,198
pk,153
pn,43
rɣ,7
ʊp,1308
xt,320
pm,9
cm,12
uɡ,6
ld,162
lx,51
zb,1247
xv,462
fk,205
lb,81
ʊd,885
ʃs,491
eo,1424
ʃo,1030
zɲ,350
xʃ,173
rl,220
sj,9
ou,63
ei,156
sf,76
eŋ,39
ŋk,481
ie,333
ɟb,22
ʊb,250
ʒb,194
ʊɟ,313
rb,100
pc,141
ʊr,139
ht,53
nɟ,337
zo,849
mc,183
kʃ,278
ʊk,173
tɲ,619
kɟ,21
xc,670
au,108
cu,33
ɪʒ,70
dʑ,257
rh,622
ps,819
mm,239
lc,171
vɟ,94
hʃ,57
bz,37
ue,452
kv,672
ɪp,106
jʃ,421
ɲo,83
xp,13
zj,251
jɲ,167
ca,138
aʊ,646
ʊm,109
vʒ,166
ʊl,521
ɪl,45
pʃ,182
ʊs,183
bv,64
jh,51
mz,92
ʒl,254
lf,37
kc,84
ʒɲ,375
ʃu,483
fo,267
lɟ,18
hb,7
bɟ,77
lh,65
lʃ,335
ɪz,20
ɲu,219
fp,40
rp,279
lv,117
ɡd,27
ɟm,36
ua,77
uo,8
lʒ,99
hk,31
ɲk,18
km,88
fl,57
jʒ,871
iŋ,49
ɪn,85
ʃp,69
fc,88
ʊz,238
nd,64
hc,10
ɣɟ,17
ɡɡ,23
pp,32
ɡu,33
fɲ,8
zz,42
zʒ,143
ʊj,12
lz,72
ʃm,49
aŋ,492
nm,9
jr,4
tf,26
bm,60
pɲ,81
ɟo,15
ɡr,63
mp,49
ʊɲ,28
zk,10
ɪɲ,19
uŋ,6
co,51
oŋ,12
iɡ,46
nv,14
ʃv,17
ʃr,1
ɟa,123
ɪb,8
ʒm,21
dɡ,16
eu,41
rŋ,1
bb,62
ʒv,9
ɪc,2
mb,19
vm,33
nl,23
ck,13
ɡl,33
ɡb,3
ŋɡ,119
zɡ,12
lɡ,54
ph,10
ɪh,18
mɟ,36
ɪj,4
bʒ,50
tj,35
ɣz,11
xm,29
nh,7
cn,9
mɡ,3
ɟu,32
ʊŋ,1
lp,7
mh,12
xs,8
ɣb,8
mx,1
fn,5
oɣ,2
kb,12
ii,4
ɡz,1
nx,13
lj,1
nz,1
ɣd,4
kx,1
uu,5
fj,22
fm,1
ɲs,8
kz,6
ɡv,6
ʑd,4
kp,1
nr,1
ʒʒ,8
ʃh,5
dh,3
jc,27
bh,1
pv,1
nɲ,1
ʑk,1
vb,5
ɪk,6
ʑi,5
fh,1
mf,10
kh,1
dk,2
ff,1
ʊɡ,4
hɟ,1
ʒz,2
ʑv,10
rj,1
ʑr,5
ɡɲ,1
zf,1
ɟʒ,1
pf,1
