r-gram,Counts
bəɣɪn,172
heməl,603
emələ,116
mələn,164
ɣəmak,550
əmakt,524
zʋevd,3
ʋevdə,6
bovən,404
ʋatər,568
atərm,9
tərmɑ,9
ərmɑs,9
rmɑsa,9
dœyst,121
œystə,925
ystər,884
stərn,99
tərnɪ,99
ərnɪs,147
bəvil,2
maktə,385
dœydə,154
œydəl,224
ydələ,220
dələk,698
ələkə,703
sxɛɪd,106
xɛɪdɪ,13
ɛɪdɪŋ,245
tɵsən,452
tɔŋkə,46
ɔŋkər,88
numdə,126
avɔnd,26
mɔrɣə,258
ɔrɣən,601
ɪrstə,329
ɛlkar,465
ʋɔlkɛ,2
ɔlkɛn,2
lkɛnh,2
kɛnhə,2
ɛnhəm,2
nhəmɛ,2
həmɛl,2
ʋɔrdə,3829
ɔrdən,3453
ɣəvɔr,16
əvɔrm,12
vɔrmt,8
vərde,183
ərdel,126
rdelə,108
delən,220
tʋedə,136
darna,670
ɔndər,3186
samən,373
aməns,72
mənst,1
ənstr,10
nstro,8
strom,118
tromə,55
romən,89
troɣə,10
zɪxtb,34
ɪxtba,37
xtbar,112
ɣəbør,471
əbørd,127
børdə,101
amənɣ,17
mənɣə,15
ənɣəs,8
nɣəst,79
ɣəstr,127
əstro,17
tromd,19
romdə,20
latən,1536
ɑlərl,118
lərlɛ,103
ərlɛɪ,182
ɣəʋɑs,100
əʋɑsə,87
ʋɑsən,158
zadra,2
adraɣ,2
draɣə,386
raɣən,660
aɣənd,11
ɣəndə,555
plɑnt,101
lɑntə,60
ɑntən,162
vrɵxt,159
rɵxtb,85
ɵxtbo,9
xtbom,9
tbomə,15
bomən,138
rɵxtə,76
ɵxtən,184
ɣrujə,84
rujən,133
zadən,1
zɵlən,2242
stets,304
vɔrtb,23
ɔrtbr,9
rtbrɛ,9
tbrɛŋ,15
brɛŋə,682
rɛŋən,685
dɛrdə,121
hɛldə,57
ɛldər,44
ldərə,21
lɪxtə,61
ɪxtən,146
vərsx,377
ərsxɛ,93
rsxɛɪ,133
sxɛɪn,154
xɛɪnə,64
ɛɪnən,444
vərlɪ,21
ərlɪx,20
rlɪxt,29
ərsxɪ,89
rsxɪl,95
ɣevən,1553
vɑstə,79
tɛɪdə,234
ɛɪdən,1394
reɣəl,129
eɣələ,20
ɣələn,24
daɣən,377
jarən,98
anɣev,1
nɣevə,1
ɣrotə,841
mustə,192
ustən,304
ɣrots,54
rotst,39
otstə,39
bəhɪr,66
əhɪrs,39
hɪrst,82
klɛɪn,288
lɛɪnə,125
ɛɪnər,22
ɪnərə,44
təɣəl,56
əɣəlɛ,104
ɣəlɛɪ,362
əlɛɪk,251
lɛɪkə,227
ɛɪkər,71
ɪkərt,23
kərtɛ,22
ərtɛɪ,23
rtɛɪt,25
stɛɾr,80
tɛɾrə,80
ɛɾrən,75
plats,853
latst,204
atstə,174
xɛɪdə,67
virdə,76
vərvɔ,158
ərvɔl,265
rvɔlɣ,224
vɔlɣə,901
ɔlɣən,791
ʋeməl,15
ɑndər,2224
levən,1945
sɔrtə,34
ɔrtən,196
voɣəl,119
oɣəls,77
zedir,3
edirə,3
dirən,253
vɪsən,36
ɛɪɣən,1353
ʋɛlɣə,10
ɛlɣəv,5
lɣəvɑ,5
ɣəvɑl,155
əvɑlə,108
vɑlən,470
zeɣən,374
eɣənd,135
vərme,20
ərmen,11
rmenɪ,10
menɪɣ,10
enɪɣv,10
nɪɣvɵ,10
ɪɣvɵl,10
ɣvɵld,32
vɵldə,58
ɵldəx,197
bəvɔl,74
əvɔlk,75
teɣən,2658
antɑl,103
ɣrujt,28
nadɑt,160
avɔnt,122
ɣəʋes,239
əʋest,222
vɛɪvd,50
ɛɪvdə,50
krœyp,27
rœypə,30
œypən,36
ypənd,13
pəndə,61
ʋɪldə,581
ɣəzɛx,310
əzɛxt,290
mɛnsə,2198
ɛnsən,2161
makən,735
ɛɪkən,535
kɵnən,838
hɪrsə,111
ɪrsən,55
darɔp,169
evənb,2
vənbe,2
ənbel,3
nbeld,1
ndərʋ,213
dərʋɛ,152
ərʋɛr,67
rʋɛrp,155
ndərə,2316
ovərɑ,197
vərɑl,197
vudsə,196
udsəl,196
ɣəɣev,637
əɣevə,652
ovərz,28
vərzɑ,4
ərzɑx,4
ɛɪndɪ,18
ɪndɪɣ,9
ndɪɣd,112
dɪɣdə,150
zɛzdə,33
ʋɛrdə,589
ɛrdən,595
zevən,613
evənd,256
vəndə,274
rɵstə,172
ɑflop,22
sxɛpə,48
xɛpən,23
ɛpənt,2
bizɔn,66
izɔnd,66
zɔndə,1398
hɛɪlə,773
ɛɪləɣ,598
ɪləɣə,613
ɔmdɑt,901
sxɛpɪ,19
xɛpɪŋ,19
ɛpɪŋs,2
pɪŋsʋ,2
ɪŋsʋɛ,2
ŋsʋɛr,2
sʋɛrk,2
bəslo,87
əslot,181
amənv,4
mənvɑ,3
ənvɑt,3
nvɑtɪ,1
vɑtɪŋ,1
vərrɪ,25
ərrɪx,30
rrɪxt,29
rɪxtə,114
ʋarən,1440
ɔpɣək,3
pɣəko,3
ɣəkom,344
əkomə,368
komən,1744
reɣən,337
eɣənə,128
ɣənən,121
nimɑn,545
imɑnd,313
bəʋɛr,49
əʋɛrk,100
ʋɛrkə,335
ɛrkən,212
ɛxtər,550
bəvɔx,5
əvɔxt,18
vɔxtɪ,3
ɔxtɪɣ,1
xtɪɣd,9
tɪɣdə,80
vɔrmd,42
ɔrmdə,49
lɪxam,342
evəns,145
vənsa,1
ənsad,1
nsadə,1
sadəm,1
evənt,258
ʋezən,247
ostən,138
ɣəsxa,29
əsxap,23
sxapə,218
xapən,217
darhe,17
arhen,48
prɑxt,164
rɑxtə,472
ɑxtəɣ,552
xtəɣə,585
frœyt,31
rœytb,6
œytbo,6
ytbom,6
mɪdən,182
kɛnɪs,66
vɑnœy,301
ɑnœyt,182
vlujd,10
lujdə,13
rivir,196
ɵxtba,76
ivirə,37
virən,104
splɪt,6
plɪts,6
lɪtst,8
ɪtstə,12
pizɔn,1
tromt,19
havil,7
avila,7
bəkɛn,230
əkɛnd,144
bɑlsɛ,6
ɑlsɛm,6
lsɛmh,2
sɛmhɑ,2
ɛmhɑr,2
mhɑrs,2
edɛlɣ,4
dɛlɣɛ,4
ɛlɣɛs,7
lɣɛst,8
ɣɛste,4
ɛsten,4
stent,6
tentə,6
xrizɔ,3
rizɔp,3
izɔpr,3
zɔpra,3
ɔpras,3
ɣihɔn,8
ɛtiop,42
tiopi,42
iopiə,39
tɪɣrɪ,2
ɪɣrɪs,2
øfrat,45
darvɑ,83
arvɑn,172
nemən,462
ʋarsx,163
arsxy,157
rsxyʊ,87
sxyʊd,38
xyʊdə,29
zekər,265
stɛrv,402
tɛrvə,401
ɛrvən,424
imɑnt,866
hɛlpə,265
ɛlpən,235
brɑxt,732
numən,43
ɑltɛɪ,587
ltɛɪt,447
blɛɪv,524
lɛɪvə,542
ɛɪvən,665
ɣəsxɪ,58
əsxɪk,77
sxɪkt,53
ɛlpər,35
ʋarœy,28
arœyt,61
ɣənom,284
ənomə,288
nomən,297
nodəx,206
mɑnɪn,1
vərkl,129
ərkla,124
rklar,124
klart,22
ʋarɔm,479
vadər,1266
mudər,303
vərla,238
ərlat,243
ɛrkəl,175
rkələ,172
kələk,350
huʋɛl,120
ɑləbɛ,19
ləbɛɪ,19
hɪndə,53
ɪndər,703
ndərd,281
dərdə,98
kɛndə,89
ɛndən,66
sxamt,60
xamtə,31
lɪstə,13
ɪstəɣ,5
stəɣə,88
təɣər,27
vərbo,57
ərbod,51
rbodə,52
bodən,240
ɑntʋɔ,1028
