r-gram,Counts
ɪnð,6923
nðə,8341
ðəb,2485
əbɪ,654
bɪɡ,628
ɪɡɪ,288
ɡɪn,153
ɪnɪ,1505
nɪŋ,1043
ɪŋɡ,313
ŋɡɒ,90
ɡɒd,4478
ɒdk,94
dkɹ,132
kɹi,410
ɹie,70
ieɪ,136
eɪt,3486
ɪtɪ,2132
tɪd,2157
ɪdð,1657
dðə,8442
ðəh,4453
əhɛ,575
hɛv,799
ɛvə,2906
vən,4973
əna,3217
nan,5196
and,57466
ndð,12175
dðɪ,1240
ðɪɜ,864
ɪɜθ,856
ɜθa,336
θan,1405
ɜθw,61
θwɒ,95
wɒz,4126
ɒzw,206
zwɪ,1521
wɪð,7089
ɪða,1384
ðaʊ,5936
aʊt,4348
ʊtf,270
tfɔ,1353
fɔm,840
ɔma,335
man,8279
ndv,92
dvɔ,58
vɔɪ,596
ɔɪd,217
ɪda,1716
dan,7267
ndd,2587
ddɑ,19
dɑk,245
ɑkn,164
knə,319
nəs,2173
əsw,450
swɒ,300
ɒzə,125
zəp,268
əpɒ,2835
pɒn,2807
ɒnð,2967
ðəf,3817
əfe,365
feɪ,1261
eɪs,4170
ɪsɒ,672
sɒv,3565
ɒvð,13188
vðə,10926
ðəd,3360
ədi,105
dip,91
ipa,194
pan,665
ðəs,8218
əsp,704
spɪ,654
pɪɹ,593
ɪɹɪ,942
ɹɪt,2846
ɪtɒ,740
tɒv,2684
ɒvɡ,1542
vɡɒ,1048
ɒdm,81
dmu,8
muv,252
uvd,201
vdə,27
dəp,623
ðəw,4264
əwɔ,945
wɔt,737
ɔtə,1648
təz,997
əza,1101
zan,6204
ndɡ,980
dɡɒ,542
ɒds,182
dsɛ,1926
sɛd,4029
ɛdl,138
dlɛ,637
lɛt,1707
ɛtð,821
tðe,2073
ðeə,8795
eəb,502
əbi,1038
bil,156
ila,311
laɪ,4025
aɪt,5704
ɪta,1881
tan,5436
dðe,4280
eəw,979
əwɒ,936
ɒzl,116
zla,377
dsɔ,259
sɔð,245
ɔðə,966
ðəl,10308
əla,3568
ɪtð,914
tða,3322
ðat,12915
atɪ,1144
tɪt,1210
ɪtw,1333
twɒ,1151
ɒzɡ,164
zɡʊ,144
ɡʊd,856
ʊda,536
ɒdd,97
ddɪ,760
dɪv,428
ɪva,732
vaɪ,1194
aɪd,3424
ɪdɪ,1405
dɪd,2212
ɪtf,490
tfɹ,523
fɹʌ,1182
ɹʌm,1290
ʌmð,1290
mðə,2020
ədɑ,41
əsa,1996
san,4251
dkɔ,250
kɔl,1004
ɔld,798
ldð,1185
ɪtd,258
tde,460
deɪ,4194
eɪa,1050
ɪan,1348
əsh,193
shi,264
hik,538
ikɔ,222
ldn,133
dna,535
naɪ,2844
ðɪi,423
ɪiv,250
ivn,104
vnɪ,75
ɪŋa,1516
ŋan,1161
ðəm,3186
əmɔ,387
mɔn,384
ɔnɪ,427
ɪŋw,683
ŋwɜ,48
wɜð,273
ɜðə,204
əfɜ,485
fɜs,606
ɜst,798
std,482
biɐ,567
iɐf,107
ɐfɜ,11
fɜm,86
ɜmə,80
məm,62
əmə,386
mən,2814
ənt,5093
ntɪ,1887
tɪn,3032
əmɪ,1178
mɪd,674
ɪds,995
dst,1077
stɒ,980
ndl,1108
ɛtɪ,213
tdɪ,485
əzf,190
zfɹ,330
dme,650
meɪ,4613
eɪd,3177
nta,1270
əzw,413
wɪt,5019
ɪtʃ,6388
tʃw,779
ʃwɜ,222
wɜɹ,806
ɜɹʌ,54
ɹʌn,905
ʌnd,1769
ndə,2231
dəð,355
əðə,5943
ntf,329
ɜɹə,132
ɹəb,367
əbʌ,504
bʌv,223
ʌvð,159
ndɪ,4437
dɪt,1673
ɒzs,298
zsə,305
səʊ,5168
əʊa,1376
ʊan,871
nth,295
thɛ,69
əsɛ,917
sɛk,195
ɛkə,570
kən,2837
ənd,1937
dde,415
tðə,4226
əzʌ,79
zʌn,505
ənb,631
nbi,236
biɡ,278
iɡa,64
ɡað,465
aðə,475
ədt,181
dtə,2272
təɡ,1015
əɡɛ,603
ɡɛð,515
ɛðə,726
ðəɹ,2611
əɹʌ,888
ʌnt,9793
ntʊ,11230
tʊw,65
ʊwɒ,209
wɒn,2168
ɒnp,59
npl,69
ple,1325
leɪ,3001
ɪsa,1389
ədɹ,248
dɹa,486
ɹaɪ,5136
aɪl,1868
ɪla,2114
lan,4716
ndɐ,1743
dɐp,166
ɐpi,256
piə,323
iəa,447
əan,4367
ndɜ,48
dɜθ,46
ðəɡ,2069
əɡa,96
əɹɪ,4968
ɹɪŋ,2958
ɪŋt,1142
ŋtə,859
əɹɒ,3273
ɹɒv,3246
əzk,91
zkɔ,169
ldh,459
dhi,3620
his,1538
isi,209
siz,291
iza,485
ɔða,794
tðɪ,727
ɜθb,73
θbɹ,65
bɹɪ,902
ɪŋf,511
ŋfɔ,294
fɔθ,1099
ɔθɡ,20
θɡɹ,39
ɡɹa,363
ɹas,237
asð,185
sðə,692
əhɜ,211
hɜb,148
ɜbj,5
bji,5
jil,99
ild,653
ldɪ,877
dɪŋ,1504
ɪŋs,598
ŋsi,25
sid,636
ida,361
əfɹ,343
fɹu,334
ɹut,426
utt,11
ttɹ,162
tɹi,856
ɹij,71
iji,371
ŋfɹ,72
uta,70
taf,198
aft,1401
ftə,1414
təh,1467
əhɪ,1540
hɪz,8476
ɪzk,870
zka,188
kaɪ,627
aɪn,4490
ɪnd,3259
ndh,5902
dhu,379
huz,314
uzs,62
zsi,137
idɪ,1028
dɪz,959
ɪzɪ,1085
zɪn,1589
nɪt,696
ɪts,2357
tsɛ,380
sɛl,1815
ɛlf,1044
lfə,165
fəp,20
nðɪ,1323
bɹɔ,1011
ɹɔt,985
ɔtf,134
asa,251
dhɜ,479
daf,317
nda,4053
ðət,4602
ətɹ,872
uth,21
thu,222
idw,122
dwɒ,990
ɒzɪ,300
lfa,245
faf,8
ðəθ,702
əθɜ,209
θɜd,183
ɜdd,64
tsɪ,420
sɪn,1957
ntɒ,790
ntə,2106
təd,1656
ədɪ,876
əde,930
eɪf,578
ɪfɹ,244
ðən,1505
tðɛ,1304
ðɛm,6839
ɛmb,895
mbi,152
bif,405
ifɔ,672
fɔs,570
ɔsa,84
saɪ,2290
ɪnz,1151
nza,1254
ndf,2048
dfɔ,1536
ɔsi,35
izə,1245
zən,1366
ənz,1915
fɔd,241
ɔde,100
eɪz,1854
ɪza,2088
ndj,875
dji,648
jiə,934
iəz,820
fɔl,527
ɔla,424
əɡɪ,335
ɡɪv,1696
ɪvl,58
vla,177
ɪtə,2118
təp,1504
ɪdt,436
dtu,250
tuɡ,10
uɡɹ,20
ɡɹe,1621
ɹeɪ,7736
ɪtl,268
tla,229
tsð,639
əɡɹ,644
təl,1059
ɪtt,367
ttə,1472
təɹ,1711
əɹu,1013
ɹul,331
ulð,43
lðə,2854
əlɛ,748
lɛs,915
ɛsə,531
səl,1768
ɪth,638
thi,1753
him,487
ime,720
əst,1344
stɑ,124
tɑz,51
ɑzɔ,1
zɔl,353
ɔls,1947
lsə,1872
sɛt,760
ɛmɪ,507
mɪn,2104
ndt,2644
ulə,221
ləʊ,1552
əʊv,1677
ʊvə,1534
vəð,867
dəʊ,1003
əfɔ,2424
ɔθd,25
θde,244
əzb,218
zbɹ,528
ɔθɐ,47
θɐb,39
ɐbʌ,119
bʌn,135
dən,1330
ntl,163
tli,474
lið,290
iðə,1103
əmu,39
uvɪ,23
vɪŋ,536
ɪŋk,1135
ŋkɹ,193
ɹit,641
itʃ,756
tʃə,1508
ʃəð,87
əða,1198
ath,1732
tha,1082
haθ,2327
aθl,57
θla,57
aɪf,2164
ɪfa,1653
fan,610
dfa,435
faʊ,719
aʊl,328
ʊlð,88
lða,1447
atm,382
tme,422
ɪfl,159
fla,216
aɪə,3482
ɪəb,90
vðɪ,1344
ɜθɪ,65
θɪn,552
ðɪə,201
ɪəʊ,337
əʊp,667
ʊpə,332
pən,562
ənf,787
nfɜ,70
ɒvh,2449
vhɛ,305
ɪdɡ,96
dɡɹ,253
twe,266
weɪ,2596
eɪl,3811
ɪlz,298
lza,510
ndɛ,661
dɛv,442
ɛvɹ,1251
vɹɪ,1451
ɹɪl,112
ɪlɪ,1909
lɪv,1087
ɪvɪ,1716
tmu,16
uvə,34
vəθ,463
əθw,195
θwɪ,367
tʃð,900
ʃðə,472
lia,728
iaf,49
təð,4009
əðe,832
eək,386
əka,911
ɹɪw,476
ɪwɪ,2408
wɪŋ,99
ɪŋd,684
ŋdf,8
ʊla,201
laf,85
ɒdb,196
dbl,235
blɛ,594
ɛst,1864
stð,2215
ɛms,630
mse,346
seɪ,5498
eɪɪ,2032
ɪɪŋ,1755
ɪŋb,439
ŋbi,41
ifɹ,276
utf,78
tfə,411
fəl,589
ndm,2248
dmʌ,124
mʌl,394
ʌlt,474
ltɪ,660
tɪp,107
ɪpl,305
pla,269
aɪa,527
dfɪ,170
fɪl,727
ɪlð,903
əzɪ,290
əsi,1160
ɛtf,93
tfa,178
ʊlm,27
lmʌ,56
aɪɪ,435
ɪɪn,825
əfɪ,538
fɪf,287
ɪfθ,72
fθd,13
ɔθð,143
θðə,1690
əlɪ,783
ʃəɹ,163
əɹa,1854
ɹaf,151
ndk,1485
dka,361
kat,324
atə,829
ɹip,135
ipɪ,185
pɪŋ,125
ɪŋθ,76
ŋθɪ,72
θɪŋ,2039
ndb,2694
dbi,672
bis,805
ist,2116
θaf,39
ɹɪθ,56
ɪθɪ,90
ɪŋð,1526
ŋða,400
atk,448
tkɹ,85
