r-gram,Counts
bɪɡɪn,138
ɪɡɪnɪ,111
ɡɪnɪŋ,110
kɹieɪ,65
ɹieɪt,59
ieɪtɪ,45
eɪtɪd,234
hɛvən,739
wɪðaʊ,426
ɪðaʊt,426
dɑknə,162
ɑknəs,162
spɪɹɪ,582
pɪɹɪt,582
wɔtəz,296
ðeəbi,150
ðeəwɒ,339
eəwɒz,339
ðatɪt,208
dɪvaɪ,211
ɪvaɪd,136
vaɪdɪ,86
aɪdɪd,86
fɹʌmð,1156
ɹʌmðə,1012
ivnɪŋ,61
mɔnɪŋ,278
fɜməm,17
ɜməmə,17
məmən,17
əmənt,121
mɪdst,364
sɛkən,170
ɛkənd,198
ɡaðəd,267
təɡɛð,513
əɡɛðə,513
ɡɛðəɹ,144
pleɪs,976
ɡaðəɹ,71
aðəɹɪ,15
ðəɹɪŋ,14
jildɪ,15
ildɪŋ,7
kaɪnd,150
ɪtsɛl,50
tsɛlf,50
laɪts,61
saɪnz,54
sizən,70
izənz,14
ɡɹeɪt,1185
ɹeɪtə,89
ɔlsəʊ,1769
ɐbʌnd,113
bʌndə,119
ʌndən,116
ndənt,45
dəntl,36
əntli,121
muvɪŋ,10
kɹitʃ,42
ɹitʃə,69
əʊpən,307
weɪlz,6
lɪvɪŋ,147
muvəθ,13
blɛst,305
seɪɪŋ,1481
fɹutf,41
ɹutfə,41
utfəl,41
mʌltɪ,363
ʌltɪp,96
ltɪpl,96
tɪpla,92
ɪplaɪ,93
itʃəɹ,13
katəl,153
kɹipɪ,29
ɹipɪŋ,32
kɹipə,14
ɹipəθ,18
ɪmɪdʒ,177
aftəɹ,97
laɪkn,34
aɪknə,34
ɪknəs,62
dəmɪn,64
əmɪni,65
mɪniə,64
ɪniən,68
əʊvəɹ,414
fimeɪ,24
imeɪl,24
ɹɪplɛ,7
ɪplɛn,7
plɛnɪ,7
lɛnɪʃ,7
sʌbdj,31
ʌbdju,31
bɪhəʊ,1351
ɪhəʊl,1349
həʊld,1702
ɡɪvən,539
beəɹɪ,36
eəɹɪŋ,55
weəɹɪ,183
eəɹɪn,403
sɪksθ,47
ɛvənz,136
fɪnɪʃ,54
ɪnɪʃt,48
həʊst,491
sɛvən,668
ɛvənθ,140
ɛndɪd,112
ɹɛstɪ,25
ɛstɪd,39
saŋkt,283
aŋktɪ,141
ŋktɪf,141
ktɪfa,132
tɪfaɪ,267
ɪfaɪd,275
bɪkɒz,1209
dʒɛnə,232
ʒɛnəɹ,232
ɛnəɹe,227
nəɹeɪ,227
əɹeɪʃ,276
ɹeɪʃə,340
eɪʃən,2397
ɪʃənz,711
ðatðə,707
plant,103
bɪfɔɹ,173
ɡɹaʊn,196
ɹaʊnd,527
ɹʌmðɪ,144
wɔtəd,11
bɹiðd,4
nɒstɹ,15
ɒstɹə,15
stɹəl,18
tɹəlz,16
bɪkeɪ,108
ɪkeɪm,108
lantɪ,43
antɪd,63
ɡɑdən,65
istwə,40
stwəd,66
aʊtəv,1501
plɛzə,58
lɛzən,58
ɛzənt,162
nɒlɪd,198
ɒlɪdʒ,200
pɑtɪd,230
pɪsən,4
kʌmpə,202
ʌmpəs,92
mpəsə,5
pəsəθ,5
havɪl,7
avɪlə,7
ɡəʊld,489
bidɛl,2
idɛli,2
dɛliə,2
ɛliəm,2
ɒnɪks,11
stəʊn,439
ɹɪvəɹ,59
dʒɪhɒ,6
ʒɪhɒn,6
iθɪəʊ,41
θɪəʊp,41
ɪəʊpi,41
əʊpiə,41
hɪdɛk,2
ɪdɛkə,2
dɛkəl,2
ɡəʊəθ,135
təwɔd,347
ɐsɪɹi,141
sɪɹiə,293
jufɹe,21
ufɹeɪ,21
fɹeɪt,21
ɹeɪti,22
eɪtiz,21
kəman,920
əmand,920
mandɪ,457
andɪd,457
meɪɪs,114
eɪɪst,159
fɹili,17
itɪst,7
ðeəɹɒ,974
eəɹɒv,908
ʃʊəli,284
ɐləʊn,111
wɒtsə,152
ɒtsəʊ,152
tsəʊɛ,152
səʊɛv,420
əʊɛvə,420
ʊɛvəɹ,66
wʌzðə,244
neɪmz,127
faʊnd,561
slɛpt,49
kləʊz,23
ləʊzd,19
ɪnstɛ,39
nstɛd,39
teɪkə,448
eɪkən,450
wʊmən,382
bəʊnz,99
ðeəfɔ,1236
neɪkɪ,104
eɪkɪd,104
ɐʃeɪm,122
ʃeɪmd,126
sɜpən,53
ɜpənt,53
sʌbtɪ,12
ʌbtɪl,12
naɪðə,879
ʊpənd,137
nəʊɪŋ,51
dɪzaɪ,206
ɪzaɪə,320
zaɪəd,50
hʌsbə,175
ʌsbən,175
sbənd,175
ðɛmsɛ,409
ɛmsɛl,409
msɛlv,409
sɛlvz,658
eɪpɹə,2
ɪpɹən,2
pɹənz,2
wɔkɪŋ,30
pɹɛzə,220
ɹɛzən,220
ɛzəns,116
ɐmʌŋs,2
mʌŋst,2
ɐfɹeɪ,193
fɹeɪd,193
maɪsɛ,118
aɪsɛl,332
ɪsɛlf,332
təʊld,286
heɪst,1174
weəɹɒ,98
eəɹɒf,71
ʃʊdɪs,73
ʊdɪst,120
ɡeɪvɪ,36
eɪvɪs,39
ɪvɪst,39
bɪɡaɪ,8
ɪɡaɪl,8
ɡaɪld,5
ɛnmɪt,8
nmɪti,8
bɪtwi,232
ɪtwin,232
ɹeɪtl,98
eɪtli,100
sɒɹəʊ,115
kənsɛ,25
ənsɛp,3
nsɛpʃ,3
sɛpʃə,3
ɛpʃən,3
tʃɪld,1818
ʃɪldɹ,1818
ɪldɹə,1818
ldɹən,1827
hɑkən,236
ɑkənd,100
ɒvwɪt,28
vwɪtʃ,28
θɪsəl,8
ɪsəlz,5
ɹɪtɜn,458
waɪfz,11
mʌðəɹ,69
kəʊts,16
skɪnz,31
kləʊð,213
ləʊðd,74
bɪkʌm,150
dɹəʊv,13
leɪst,23
tʃɛɹu,65
ʃɛɹub,65
ɛɹubɪ,65
ɹubɪm,65
ubɪmz,67
fleɪm,48
leɪmɪ,13
eɪmɪŋ,14
kənsi,78
ənsiv,61
nsivd,46
ɡɒtən,96
bɹʌðə,411
ɹʌðəɹ,82
eɪbəl,377
kipəɹ,18
tɪləɹ,2
pɹəʊs,5
ɹəʊsɛ,5
əʊsɛs,5
ɒfəɹɪ,989
fəɹɪŋ,1022
fɜslɪ,6
ɜslɪŋ,6
slɪŋz,8
ɹɪspɛ,38
ɪspɛk,38
spɛkt,50
kaʊnt,159
aʊntə,60
ʊntən,55
ntənə,57
tənən,61
ənəns,61
fɔlən,86
dəʊst,45
ɐksɛp,85
ksɛpt,160
sɛptɪ,32
ɛptɪd,30
laɪəθ,72
ɐɡɛns,1666
ɡɛnst,1666
ɹʌðəz,36
kɹaɪə,17
ɹaɪəθ,24
ɹɪsiv,382
tɪlɪs,2
ɪlɪst,304
hɛnsf,33
ɛnsfɔ,37
nsfɔθ,37
stɹɛŋ,323
tɹɛŋθ,323
fjudʒ,53
judʒɪ,6
udʒɪt,6
dʒɪtɪ,6
ʒɪtɪv,6
vaɡɐb,4
aɡɐbɒ,4
ɡɐbɒn,4
ɐbɒnd,4
pʌnɪʃ,89
ʌnɪʃm,29
nɪʃmə,52
ɪʃmən,55
ʃmənt,59
dɹɪvə,49
ɹɪvən,50
aɪʃal,176
faɪnd,200
