r-gram,Counts
al,4984
lɡ,1107
ɡu,1268
us,7684
se,14305
es,12243
lɵ,282
ɵi,2460
ju,3989
um,2054
mɑ,6288
ɑl,2836
ta,10837
ae,1076
ev,1531
va,7339
ad,5139
ja,13239
ma,7213
aa,929
oʎ,1901
ʎɪ,2793
ty,289
yh,1229
hɪ,291
pa,2510
aʎ,668
ʎj,1018
as,7681
pi,1044
im,1961
mɛ,621
ɛd,767
du,1127
sy,834
yɡ,32
ɡɑ,3292
ɑv,381
vu,139
pe,1951
ea,2822
la,3405
ai,3074
hɵ,43
ɵʎ,23
ve,2077
et,4189
te,13112
ko,2492
oh,1096
hɑ,1729
yt,2455
tl,2595
le,11703
sa,4654
aɡ,3240
næ,957
æɡ,762
ɡɪ,698
he,825
ah,2280
hʊ,553
ʊt,416
st,12939
ni,2498
ɛt,815
pæ,1703
æe,1146
ak,2546
ks,5490
øk,12
si,7448
ii,2182
is,11973
ɵh,115
ht,951
tu,6784
ho,429
om,2071
mm,1062
mi,5761
ik,2448
sɪ,557
ɪm,783
me,4881
en,3381
ne,4944
ao,237
ot,757
hɛ,1568
ɛl,513
ee,3333
ed,3554
nɵ,563
ɵn,1104
nd,4436
da,3737
yɲ,444
ɲd,860
di,1321
eɡ,2736
ll,3443
ɪd,834
ei,8250
in,5147
oɡ,487
ɡʊ,1128
ʊn,129
ka,4450
ku,6320
ui,3102
iv,276
æh,727
ol,3764
lɛ,4130
ɛk,761
nn,2381
na,4596
ek,1531
er,1404
rɛ,564
tæ,659
ær,2667
rɡ,672
ɡa,2554
ha,899
ro,534
em,4093
an,4286
dv,13
vi,1311
iʎ,388
ap,628
pu,592
ud,5380
il,3658
de,3146
on,3515
li,2189
ki,2613
id,6820
jæ,1042
ɡi,1734
sk,1175
vɵ,1186
ɵr,297
rs,154
su,3712
lm,1163
ss,1951
rɑ,1543
ld,544
am,2015
øs,59
ɪs,484
at,3973
ur,2188
rt,313
re,1363
ɪt,443
ts,1765
væ,971
æi,997
el,6485
iŋ,1609
ŋɡ,2393
aɲ,493
ɲɪ,1068
eʎ,398
ih,563
ɑɡ,488
lɑ,1041
ɛn,833
nu,3838
po,1210
lo,467
kɵ,1357
uɡ,636
ɛɲ,36
ke,3952
ɑb,143
ti,2352
ib,391
ba,340
ɵɲ,196
ɲɲ,713
ɲi,841
ɡe,1879
it,3036
tk,306
ij,2205
je,2827
to,377
ɪl,119
oj,571
jʊ,109
ʊs,674
aj,859
eh,723
hk,377
iɲ,708
æo,35
ar,2866
rn,340
ɑd,763
yl,1068
ɛs,1201
iɡ,1759
av,958
nɛ,870
uv,99
nɑ,1442
uu,353
oa,102
hi,431
oi,370
uk,620
uw,281
we,108
ɵp,299
sm,198
tø,113
øø,167
ʊd,334
py,519
dɑ,2680
lu,860
od,380
jɑ,824
æʎ,463
pɵ,259
ɵs,113
ln,584
kn,37
hm,51
ɵl,271
rɪ,469
tɵ,840
ɵu,433
dʊ,184
mu,1926
ul,3247
rm,818
uh,447
ɑs,1808
ut,1497
hu,287
ua,61
ms,145
lt,1278
tn,218
yi,233
lʊ,525
ʊp,44
