r-gram,Counts
alɡ,364
lɡu,463
ɡus,571
use,2864
ses,2824
esl,131
slɵ,14
lɵi,155
ɵij,38
iju,293
jum,1578
umɑ,1540
mɑl,2443
ɑlt,208
lta,148
tae,647
aev,544
eva,1856
vad,1009
adj,376
dja,1607
jam,878
ama,1204
maa,533
aaj,187
aja,1943
aao,17
aoʎ,268
oʎɪ,1854
ʎɪt,341
ɪty,4
tyh,114
yhɪ,98
hɪj,9
ɪja,200
jap,666
apa,586
paʎ,310
aʎj,337
ʎja,621
jas,1242
asj,503
sja,1610
api,187
pim,119
imɛ,502
mɛd,107
ɛdu,86
dus,671
uso,244
soʎ,392
ʎɪs,265
ɪsy,40
syɡ,23
yɡɑ,23
ɡɑv,230
ɑvu,18
vus,68
sep,686
epe,319
pea,1092
eal,1076
alj,124
lja,328
jaj,721
aju,474
ɑla,1187
lav,96
ava,1261
vai,1024
aim,485
imh,5
mhɵ,1
hɵʎ,1
ɵʎj,1
ʎju,382
jus,265
usv,137
sve,140
vet,334
ete,1365
tek,567
eko,366
koh,487
ohɑ,178
hɑl,88
ɑlj,56
ɑly,33
lyt,55
ytl,2118
tle,2344
les,2957
ess,880
ssa,1269
saɡ,339
aɡu,68
ɡuv,38
uva,190
val,884
usj,285
jav,714
uss,270
sai,320
aij,82
ija,1072
ɑln,24
lnæ,27
næɡ,341
æɡɪ,308
ɡɪe,41
ɪet,52
etv,52
tva,264
ʎɪh,36
ɪhe,16
hea,335
eaj,103
ɑll,22
lla,469
lah,199
ahʊ,172
hʊt,162
ʊta,218
tas,1589
asv,182
sva,532
epi,273
est,4294
stj,814
tja,1069
lni,29
nim,495
mɛt,191
ɛta,256
epæ,611
pæe,550
æev,575
vak,212
aks,1621
ksj,540
set,659
eta,819
tan,885
ani,449
asø,45
søk,9
øks,12
kss,481
ssi,436
sii,1806
iis,1936
iss,1522
aiɵ,6
iɵh,11
ɵht,35
htu,266
tuj,145
uja,352
asa,576
aih,34
iho,54
hom,61
omm,94
mmi,81
mik,182
ike,438
kes,2148
esɪ,191
sɪm,137
ɪme,752
men,449
ene,491
nep,44
evj,15
vja,46
ɡul,24
ula,134
lao,52
aot,112
otu,143
tus,2222
tev,217
vah,174
ahɛ,259
hɛl,209
ɛle,233
lej,807
eja,2090
ase,1494
see,1494
eel,452
ela,331
taɡ,563
uve,86
vee,541
eed,601
edv,78
dve,159
tes,743
jan,954
anɵ,93
nɵn,429
ɵnd,496
nda,1588
das,826
asy,210
syɲ,441
yɲd,354
ɲdi,788
dis,812
isj,347
sju,335
lte,243
teɡ,665
eɡɪ,287
ɡɪl,7
ɪla,40
sej,771
jal,689
ala,377
edm,93
dmi,556
mis,1947
isl,132
sla,170
sea,844
all,539
llv,6
lve,221
stm,825
tmi,543
alo,278
loʎ,222
ʎɪd,620
ɪdj,66
asl,70
ikt,70
kte,45
tei,2835
ein,329
ine,679
esv,232
edk,321
dko,213
koɡ,414
oɡʊ,404
ɡʊn,55
ʊne,76
neɡ,23
eɡu,85
ɡut,145
uta,687
vaa,25
aal,152
lly,5
lyh,29
yht,138
hte,120
tep,209
epa,373
pai,203
aik,142
ika,530
kae,172
aet,374
etk,191
tku,443
kui,2818
uiv,102
iva,344
van,384
anæ,254
næh,162
æhɑ,81
hɑo,34
ɑol,281
olɛ,2422
lɛk,542
ɛks,570
ask,395
sku,708
vap,60
pin,43
inn,548
nna,1442
nam,146
mak,553
ave,327
vek,85
oɡu,14
asm,215
sme,427
mer,128
erɛ,218
rɛk,26
ets,363
tse,1382
eeh,52
ehe,173
eao,25
ʎɪj,153
esm,563
sma,518
mas,1126
ast,3380
stt,693
ttæ,40
tær,125
ærɡ,530
rɡa,59
ɡak,239
aku,1113
kuh,73
uha,20
haʎ,11
asr,33
sro,25
roh,270
ohɪ,64
hɪs,41
ɪse,267
sem,385
eme,468
met,418
tka,275
kan,374
and,1388
ndv,86
dva,482
adt,467
dta,462
tai,193
ime,501
med,42
dvi,152
viʎ,136
iʎj,125
apu,112
pud,127
udm,417
mil,399
ill,288
lle,2811
lev,515
evi,224
asn,260
sne,767
nen,862
end,1196
nde,994
des,911
ese,2048
meo,160
eon,449
onn,222
nne,628
del,384
eli,568
lik,594
iki,263
kid,171
ide,745
dej,295
ejæ,252
jær,480
rɡi,225
ɡim,136
ima,566
aap,161
ape,489
ale,1305
ism,384
las,849
ski,500
kis,473
isv,214
svɵ,153
vɵr,95
ɵrs,8
rsu,9
sud,59
uda,446
dah,45
aha,371
str,181
tro,41
oht,256
aid,820
idt,697
imi,344
min,1940
ɡij,158
avi,260
pui,10
uid,405
idm,347
ɪsi,102
ikk,99
kko,16
kol,230
olm,199
lma,698
asp,123
spæ,175
sed,1570
edt,120
sse,1728
eer,45
erɑ,67
rɑl,67
ɑld,43
lda,236
dam,321
map,218
apæ,184
vaø,2
aøs,7
øst,27
tæh,209
æhɪ,9
ɪst,168
sta,3047
ɡun,101
une,121
nee,614
eds,177
dse,783
eat,201
atu,1515
tud,907
dae,185
aeɡ,231
ɡup,38
upæ,46
vij,64
jaa,431
aas,226
ido,259
dol,235
olɡ,273
una,104
nad,1676
adv,249
ust,1575
ste,3174
eks,1099
kst,659
stu,2152
sek,1101
ksm,234
mal,531
ɡɪk,26
ɪka,123
kak,346
ssu,254
sur,803
urt,64
rtv,13
sts,869
tsu,505
ure,685
rem,98
ema,660
mav,201
sev,246
vaʎ,139
aʎɪ,215
ɪts,195
avæ,170
væi,19
æik,65
iks,449
kse,690
maø,1
øse,31
sel,2313
eln,169
niŋ,980
iŋɡ,1553
ŋɡt,85
ɡtæ,10
æhɛ,450
hɛd,161
ɛdj,58
ɑlp,21
lpa,50
paɲ,187
aɲɪ,215
ɲɪn,30
ɪne,80
eet,564
etn,259
tna,284
tak,941
ksi,940
sid,2198
dma,399
aad,67
idp,206
dpæ,81
jaø,18
elj,113
jae,369
aer,39
dak,348
idv,259
ikn,37
kne,23
neʎ,143
eʎj,84
ves,178
sɪk,50
ɪki,34
kih,22
ihɑ,287
hɑɡ,7
ɑɡu,14
ɡue,33
uel,47
elɑ,441
lɑv,121
ɑva,575
ais,761
ist,3629
sto,374
tol,132
lɛn,539
ɛnd,146
dei,352
eis,1557
len,616
enn,802
nak,124
kul,791
uli,111
lin,342
nnu,268
nud,3224
udt,454
epo,297
pol,387
ole,300
llɵ,7
ɵis,230
isu,334
red,50
dme,269
rɛl,158
ɛlo,15
lom,102
oma,141
mad,249
jak,1994
akɵ,337
kɵi,1036
ɵik,822
ksu,67
suɡ,361
uɡu,217
ado,346
lɛɲ,34
ɛɲd,27
did,181
idk,630
dke,550
kel,653
ell,1825
stv,325
tve,65
hɑb,52
ɑbn,11
bne,63
uti,133
tib,18
iba,100
bad,27
ade,812
deɡ,281
eɡa,1030
ɡal,69
ali,363
udn,247
dne,361
ɑlɵ,19
lɵɲ,14
ɵɲɲ,151
ɲɲi,713
ɲis,413
nei,1282
eid,1255
idj,572
jay,434
ayt,680
eso,756
sol,276
lɡe,369
ɡev,113
aka,834
kad,124
jat,2121
ate,2198
ids,436
dsa,336
upa,97
jut,406
utæ,22
tæi,306
æit,162
itk,50
tke,464
kem,164
rɛv,6
ɛve,26
sɪj,18
ind,747
ndu,187
usi,566
uma,169
esi,1312
ikv,29
kvi,12
ije,1669
jes,1156
esp,181
aat,28
ato,108
toɡ,18
ues,34
sɪl,24
ɪle,93
lee,389
idn,481
ɡil,89
ilo,164
loj,85
ojʊ,47
jʊs,28
ʊse,128
edj,188
jar,214
aro,56
rom,51
maj,466
jad,379
ame,690
laj,190
adn,230
ɡɪm,45
edn,106
ikr,49
kro,13
adm,279
aln,46
lne,68
teh,320
ehk,105
hke,143
emi,841
miɲ,12
iɲɪ,521
ɲɪm,540
mes,856
edo,247
dom,256
omɑ,1655
mɑn,164
ɑnæ,83
næo,35
æoj,9
ojæ,5
mei,1082
eij,1566
esa,591
sar,345
arn,109
rna,128
nas,391
dka,436
kal,150
alɑ,354
lɑd,99
ɑde,177
dey,53
eyl,196
ylɛ,808
lɛm,741
ɛme,298
rɛs,43
ɛsl,22
sli,129
dud,123
ude,571
lɛt,515
lll,7
llo,21
lɛj,102
ɛja,136
ako,682
ɡʊm,117
ʊma,111
aay,6
ayl,144
ɵiɡ,671
iɡi,283
ɡir,25
iro,25
tey,98
ɛke,88
alr,9
lro,15
ɵii,31
iiɲ,51
seo,129
eom,243
lan,109
ilɵ,17
ɵit,201
ita,1149
tat,967
tem,3051
emɑ,3002
mɑt,194
ɑta,479
tal,610
alɵ,50
ite,1504
mɑm,90
ɑme,403
meh,306
ehɛ,234
hɛk,181
ana,754
nai,466
ise,1778
esn,461
eil,1707
ile,1737
leo,354
eol,466
aaʎ,8
aɡe,148
ɡes,275
eee,183
een,229
enɛ,295
nɛs,344
ɛst,342
tel,633
ele,1588
seɡ,381
eɡe,56
ɡek,209
eka,634
llj,24
lli,29
liɡ,137
iɡu,175
vat,939
ata,2137
tam,775
ami,1204
inɑ,685
nɑa,46
ɑan,50
ann,662
nan,312
ant,209
nte,575
lek,1083
ekɵ,231
ikp,38
kpu,7
puu,32
