r-gram,Counts
alu,925
lus,521
uss,952
ssa,10550
sal,2790
alo,1459
loi,2249
oij,280
iju,126
jum,4993
uma,5846
mal,6045
ala,8807
lat,1498
ata,5714
tai,4343
aiv,1668
iva,3754
van,4023
anj,4652
nja,10185
jam,3680
ama,3880
man,4377
mao,139
aol,3618
olɪ,7830
lɪa,854
ɪau,102
aut,2317
utɪ,621
tɪo,573
ɪoj,54
oja,2919
jat,4455
aty,560
tyh,458
yhj,125
hjæ,71
jæj,144
æja,4614
jap,2548
api,800
pim,211
ime,2060
mey,203
eys,194
yso,59
sol,559
lɪs,4397
ɪsy,322
syv,218
yvy,126
vyd,77
yde,513
dem,379
emp,4896
mpæ,3339
pæl,1183
æll,2316
llæ,8578
læj,901
jaj,3221
aju,1787
lan,2885
anh,3460
nhe,5790
heŋ,1162
eŋk,7704
ŋkɪ,1536
kɪl,616
ɪli,204
lik,242
iku,921
kui,5075
uiv,930
ive,375
vet,678
ete,5196
tem,2048
las,3368
asa,4858
san,12595
ano,8972
noi,4731
oit,4450
itu,661
tul,5921
ulk,1233
lko,1551
kon,2717
onv,933
nva,4294
val,3558
alk,1032
lke,1516
keu,903
eus,368
usj,387
sja,1072
jav,2284
ava,7704
ust,2698
stu,3832
ulɪ,3195
lɪj,1597
ɪja,5686
anæ,1244
næk,2372
ækɪ,1108
kɪe,174
ɪet,569
etæ,6321
tæv,2772
æva,1989
uso,360
lɪh,898
ɪhy,119
hyv,1012
yvæ,1186
væj,276
lae,385
aer,188
ero,571
rot,487
otɪ,1763
tɪv,1707
ɪva,5858
eud,447
ude,2174
mpi,911
eyd,151
des,2776
est,5062
stæ,5589
tæj,2681
lak,1630
aku,5819
kut,952
uts,1492
tsu,1064
sui,717
pæi,2929
æiv,2442
ivæ,4230
væk,978
æks,888
ksɪ,7965
sɪj,3512
den,3641
enh,2967
nhæ,4428
hæŋ,778
æŋk,2833
ŋku,7561
uiy,19
iyø,13
yøk,342
øks,313
atu,3392
lɪe,233
ɪeh,27
eht,627
hto,448
toj,352
ɪam,488
amu,2466
mue,168
uen,117
ens,9787
nsɪ,796
sɪm,2252
ɪmm,1136
mmæ,1212
mæi,556
æin,1932
ine,3848
nem,1953
ont,2223
nta,4842
anv,1588
vah,559
ahv,241
hvu,18
vus,155
usv,272
sve,138
ten,7527
env,2845
nvæ,550
væl,530
ælɪ,339
lɪl,1369
ɪll,2595
lle,19095
lee,759
eer,71
ota,4234
tam,4489
nve,1263
ved,288
ede,2050
det,627
etv,582
tve,304
ves,381
esɪ,3351
sɪs,2966
ɪst,4706
ate,4429
tek,3034
ekɪ,1320
kɪt,616
ɪta,1555
vud,29
enj,5373
jae,947
ɪve,360
etj,1887
tjo,1338
jot,3340
otk,2952
tka,5199
kao,2606
lɪv,2723
vat,12835
att,1315
tta,587
ena,2502
nal,1308
