r-gram,Counts
alu,609
lus,500
uss,625
ssa,9281
loi,2245
jum,4983
uma,5791
mal,6014
ala,7935
tai,3675
aiv,1561
iva,3544
van,3919
man,4324
olɪ,7830
aut,2305
utɪ,621
tɪo,405
tyh,239
yhj,125
hjæ,71
pim,211
ime,1908
mey,133
eys,178
syv,209
yvy,124
vyd,77
yde,513
dem,366
pæl,1177
æll,2305
llæ,8463
lan,2571
heŋ,1162
eŋk,2608
ŋkɪ,1536
lik,242
iku,425
kui,5065
vet,677
ete,3795
tem,1515
san,11710
ano,7719
noi,4366
tul,5795
ulk,1203
lko,1537
kon,2630
val,3508
alk,1027
lke,1508
keu,901
eus,234
ulɪ,3195
næk,1159
ækɪ,1108
etæ,5734
hyv,1012
yvæ,1179
ero,544
rot,471
otɪ,1763
eud,428
ude,2173
eyd,151
des,2751
est,4941
stæ,5500
kut,882
uts,539
tsu,742
sui,715
pæi,2926
æiv,2439
ivæ,4195
væk,839
æks,888
ksɪ,7965
den,3636
hæŋ,778
yøk,321
øks,313
eht,627
hto,448
amu,431
ens,5506
nsɪ,796
sɪm,674
ɪmm,915
mmæ,1182
mæi,535
æin,1923
ine,2652
nem,1675
anv,61
nva,175
vah,337
ahv,241
hvu,18
vus,147
ten,7068
væl,504
ælɪ,339
lɪl,1102
ɪll,2554
lle,18998
ota,4113
tam,1908
ama,2601
ved,288
ede,2023
det,612
ves,380
esɪ,3351
sɪs,860
ɪst,4695
tek,2562
ekɪ,1320
vud,29
jot,3320
otk,2788
tka,3276
lɪv,2341
ɪva,4911
vat,12676
all,6521
lla,7295
tap,1040
apa,1471
pah,1317
aht,1100
htu,474
tui,2095
nin,4941
vak,369
aks,3804
toi,3982
oin,2772
kok,1517
oko,1592
ont,443
ntu,523
tuk,1955
uko,1520
kot,1090
ova,2684
yht,614
hte,1132
pai,1326
aik,7978
ika,4234
kan,9443
uiv,860
ule,2793
æky,376
kyv,53
yvɪ,292
vɪn,687
mak,949
mih,131
ihɪ,1032
hɪn,1046
tun,1882
une,587
net,5325
mer,748
ere,1010
rek,185
eks,2529
kas,2585
asv,833
sva,257
ako,1917
vih,1392
iha,1293
han,2191
ant,3241
nta,3118
ruo,431
uoh,193
oho,428
hoj,200
oja,2492
eke,869
kev,583
evæ,816
væt,5151
sie,1582
iem,613
eme,174
men,5213
ent,2678
ntæ,3423
hed,301
del,1179
elm,494
lmæ,735
mæp,21
æpu,127
pui,364
uit,877
ita,3559
laj,257
aji,183
jie,132
ien,2119
nsa,10403
muk,1643
uka,3260
kaŋ,441
tav,2428
ava,3917
mam,552
jos,2781
oss,937
nid,575
ide,1549
tuo,1728
uot,1398
kɪv,824
ɪvæ,1844
nto,941
oiv,1421
kol,1273
olm,982
lma,757
mas,2449
alo,1279
lot,206
vut,201
ute,1281
yøs,1214
øst,254
olk,989
erk,352
rke,484
kei,643
ein,538
inæ,10644
oso,129
soi,647
oit,4134
ass,2904
iko,826
koj,523
ivɪ,620
vɪæ,241
vuo,2052
uos,350
osɪ,828
sɪa,1508
ina,1213
ell,8942
ais,7899
ist,8946
sta,16751
kak,1570
sur,1966
urt,136
rta,1037
loa,113
ure,996
rem,524
emm,2099
mma,860
lon,615
hal,1275
llɪ,2756
lɪt,1433
ɪts,1158
tse,3419
sem,2488
ema,1306
pie,487
ene,2367
mæn,2251
yøt,441
øtæ,258
sek,2112
ekæ,902
tæh,1881
æhd,1895
hde,2855
pan,1275
anɪ,3358
lom,492
meæ,211
eæs,177
æst,1298
nel,3309
elj,1886
ljæ,1078
jæs,289
vil,380
ilɪ,651
lɪs,3493
ɪsk,123
skø,68
køt,290
elæ,2620
læv,239
ævi,234
viæ,58
ole,8537
len,5304
toj,236
tæk,1066
ækø,786
lin,436
inn,1205
