r-gram,Counts
anfaŋ,83
hɪməl,749
finst,31
instɜ,31
ɡaɪst,597
ɡɔtəs,1161
ʃvept,7
veptə,10
ʃpɾɑx,4552
vɛɾdə,3486
fɪnst,155
ɪnstɜ,151
nstɜn,154
stɜnɪ,120
tɜnɪs,120
nantə,24
ɑbənt,229
mɔɾɡə,438
ɔɾɡən,582
eɾstə,321
fɛstə,133
tsvɪʃ,214
svɪʃə,213
vɪʃən,216
vasɜn,36
ʊntɜʃ,37
ntɜʃi,17
tɜʃit,15
maxtə,672
andər,475
ndərə,444
zamlə,22
bəzɔn,44
əzɔnd,65
zɔndə,15
ɔndər,15
tɾɔkə,39
ɾɔkən,48
ɔkənə,18
zamlʊ,31
amlʊŋ,31
aʊfɡe,53
ʊfɡeə,33
fɡeən,30
kɾaʊt,36
bəzɑm,2
əzɑmə,2
frʊxt,185
rʊxtb,53
ʊxtbɑ,51
xtbɑr,19
tbɑrə,49
bɔømə,144
jeklɪ,513
eklɪç,515
klɪçɜ,287
zaɪnɜ,970
tɾɑɡə,242
zaɪnə,5169
aɪnən,4813
aɪɡən,405
ɪɡənə,89
ɡənən,120
zɑmən,191
zɛlps,683
ɛlpst,683
eɾdən,336
bəzam,2
əzamt,2
zamtə,1
klɪçə,295
lɪçəs,110
tɾuɡə,59
ɾuɡən,57
hatən,422
dɾɪtə,194
ɛɾdən,2572
lɪçtɜ,14
ɪməls,113
ʃaɪdə,65
aɪdən,821
ɡebən,1349
tsaɪç,224
saɪçə,201
aɪçən,420
tsaɪt,1106
saɪtə,106
aɪtən,508
zaɪən,116
ʃaɪnə,44
tsvaɪ,1044
ɡɾosə,720
ɾosəs,113
reɡir,23
eɡirə,22
klaɪn,198
laɪnə,133
aɪnəs,1576
dɑtsu,397
ʃtɛɾn,66
tɛɾnə,50
zɛtst,427
ɛtstə,323
ʃinən,35
reɡiɾ,83
eɡiɾt,83
ɡiɾtə,72
iɾtən,38
ʃidən,16
fiɾtə,92
ɛɾreɡ,8
ɾreɡə,8
vebən,20
ebənd,9
bəndə,9
əndən,95
lebɛn,215
ebɛnd,215
bɛndɪ,217
ɛndɪɡ,177
ndɪɡə,357
dɪɡən,379
tirən,54
ɡəvøɡ,2
əvøɡə,2
vøɡəl,102
fliɡə,31
valfɪ,5
alfɪʃ,5
lfɪʃə,5
alɜla,215
lɜlaɪ,214
ɡətiɾ,8
dɑfɔn,301
ɛɾrek,14
ɾrekt,14
rektə,13
ɡəfid,2
əfidɜ,2
fidɜt,1
idɜtə,3
dɜtəs,3
zɛɡnə,248
