r-gram,Counts
enar,164
narç,144
arçi,744
rçie,32
çiep,20
iepi,902
epii,97
piis,173
iise,670
isen,2195
seno,1764
enoθ,221
noθe,530
oθeo,1700
θeos,1722
eost,1766
osto,4502
ston,7098
tonu,390
onur,193
nura,214
uran,778
rano,428
anon,411
nonk,631
onke,8896
nket,1718
keti,1290
etin,1962
tinj,893
inji,1058
njin,1211
jini,786
inið,378
niðe,372
iðej,23
ðeji,33
ejii,35
jiit,14
iito,246
itoa,235
toam,28
oamo,33
amor,98
morf,54
orfo,31
rfos,10
fosk,63
oske,3282
skee,2280
keer,181
eeri,151
erim,661
rimo,610
imos,433
mosk,174
skes,349
kesk,24
esko,153
skot,213
koto,88
otos,248
tose,765
osep,639
sepi,1167
epit,2921
pitu,679
itup,145
tupr,345
upro,797
pros,9354
roso,1045
osop,867
sopu,258
oput,188
puti,66
utis,314
tisa,1745
isav,361
savi,73
avis,170
viss,112
issu,338
ssuk,467
suke,1524
ukep,602
kepn,25
epne,70
pnev,588
nevm,707
evma,928
vmaθ,16
maθe,116
aθeu,41
θeue,134
euef,6
uefe,43
efer,764
fere,594
eret,312
reto,171
etoe,315
toep,194
oepi,343
piti,973
itis,2092
tise,2134
isep,766
epif,58
pifa,19
ifaɲ,55
faɲa,56
aɲas,76
ɲast,88
asto,1361
toni,5141
onið,747
niða,195
iðat,479
ðato,239
aton,3664
tonk,2982
nkei,2266
keip,3052
eipe,2400
ipen,1356
peno,820
θeoz,235
eozj,31
ozje,41
zjen,215
jeni,846
eniθ,331
niθi,381
iθit,352
θito,468
itof,71
tofo,119
ofos,154
keej,405
eeji,340
ejin,1021
jine,1513
inef,226
nefo,137
efos,42
skei,1988
keið,926
eiðe,251
iðen,1250
ðeno,176
stof,59
foso,25
osot,268
soti,852
otii,1483
tiit,151
itok,183
toka,437
okal,218
kalo,527
alon,771
lonk,336
nkeð,693
keði,673
eðie,312
ðiex,16
iexo,120
exor,397
xori,815
oris,1428
rise,648
fosa,75
osap,536
sapo,1106
apot,1945
potu,960
otus,266
tusk,1080
usko,71
kotu,159
uske,1783
keek,2114
eeka,873
ekal,669
kale,503
ales,572
lese,248
esen,545
fosi,64
osim,733
sime,1569
imer,2724
mera,1936
eran,1136
rand,473
ando,945
ndoð,128
doðe,86
oðes,169
ðesk,133
osek,966
seka,802
seni,1108
enik,502
nikt,374
ikta,216
ktak,74
take,597
akee,919
inen,1057
nene,429
enes,303
nesp,100
espe,248
sper,948
pera,573
erak,182
rake,551
inep,975
nepr,210
epro,3462
proi,227
roii,23
oiim,11
iime,568
erap,247
rapr,63
apro,1181
prot,553
roti,466
otik,272
tike,627
ikei,939
itos,594
tost,1100
oste,883
ster,441
tere,440
ereo,370
reom,41
eoma,51
oman,58
mana,229
anam,610
name,874
ames,249
meso,517
eson,292
sond,577
ondo,4210
ndon,3423
doni,700
nkea,958
keaz,132
eazð,49
azði,426
zðia,460
ðiax,14
iaxo,14
axor,164
oriz,427
rizi,194
izii,43
ziið,6
iiða,34
ðata,200
atap,779
tapo,141
apoi,106
poið,9
oiða,8
nkee,2950
keep,1643
eepi,1038
stos,828
omak,279
make,417
akeð,210
iset,800
seta,719
etai,182
taið,228
aiða,146
atat,2427
tata,724
atai,176
taip,166
aipo,229
ipok,188
poka,309
okat,643
kato,986
atoθ,177
toθe,552
oθen,597
θend,636
endu,453
ndus,565
dust,62
uste,75
omat,1478
mato,1835
atos,1849
tosa,711
poto,580
oton,1174
tond,1927
done,512
onep,1262
nepa,567
epan,440
pano,264
anoθ,154
tosk,716
nenu,39
enut,117
nuto,551
utok,329
toke,505
okee,369
omau,11
maur,1
aura,1
erað,74
raðe,122
aðef,12
ðeft,219
efte,237
fter,210
tera,1198
akei,764
eosa,672
osas,484
sass,261
assi,816
ssin,500
sina,2068
inax,84
naxθ,68
axθo,24
xθos,40
θosi,829
osit,1367
sita,575
itai,170
atot,220
totu,49
otuu,12
tuur,254
uura,292
ranu,399
anui,52
nuis,42
uist,627
isto,5647
stop,574
topo,440
opon,1442
pone,355
onen,1628
nena,652
enak,394
nake,356
akea,304
keas,368
easf,40
asfa,112
sfan,27
fani,469
anii,289
niik,36
iiks,9
iksi,261
ksir,243
sira,191
irak,131
osti,3490
stiŋ,330
tiŋɡ,925
iŋɡz,14
ŋɡzi,57
ɡzir,28
zira,21
iran,308
ranj,17
anji,75
jink,210
inke,1839
keto,2158
etos,404
tosi,1326
osin,3281
inaɣ,419
naɣm,33
aɣma,666
ɣmat,627
tone,3178
onek,1511
neka,1159
eseθ,30
seθa,63
eθal,16
θala,450
alas,642
lass,470
assa,569
ssas,717
sask,905
aske,2894
eoso,391
osaz,146
sazv,35
azvl,22
zvla,32
vlas,159
last,258
asti,1937
stis,3596
tisi,2563
isii,416
siij,19
iiji,172
ijix,27
jixl,2
ixlo,8
xlor,16
loro,19
oron,335
ronx,26
onxo,71
nxor,106
xort,222
orto,138
rton,497
tonx,243
rtoŋ,11
toŋɡ,2145
oŋɡa,1558
ŋɡam,162
ɡamn,50
amno,185
mnod,21
noda,115
odas,459
dasp,87
aspo,288
spor,125
poro,65
ronk,692
keðe,1302
eðen,1501
ðenð,403
enðr,171
nðro,294
ðroŋ,14
roŋɡ,139
ŋɡar,407
ɡarp,115
arpi,5
rpim,3
pimo,6
imoŋ,69
moŋɡ,116
mnoŋ,10
noŋɡ,115
arpo,206
rpoŋ,8
poŋɡ,115
ŋɡat,1598
ɡata,1038
tato,1413
atoi,91
toið,190
oiðo,148
iðos,396
ðosa,116
osaf,3983
saft,9618
aftu,13460
ftut,685
tutu,652
utuo,86
tuop,251
uopi,272
opiu,612
piut,59
iuto,504
utos,1031
tosp,313
ospe,372
perm,241
erma,353
rman,15
anai,350
nain,198
aine,552
inee,792
neen,275
eena,266
enaf,2416
naft,8564
afto,11993
ftoe,127
itiz,651
tizj,987
izji,1201
zjis,901
jisk,364
iske,2699
keev,510
eevl,171
evla,64
enij,56
niji,142
oroŋ,6
ftuk,3007
tuke,3207
ukeð,426
rpon,125
pond,646
ondu,3795
nduo,154
duop,36
rmai,15
main,49
ftok,175
