r-gram,Counts
kʰɾɪs,827
ɾɪst,833
ɪstʌ,364
stʌn,274
tʌno,78
kaʊʈ,1
aʊʈu,1
ʊʈun,1
ʈunb,36
unbɪ,1
nbɪk,1
itɪh,2
tɪha,2
ɪhas,2
daʊd,81
aʊdʌ,43
ʊdʌn,41
dʌna,46
pəɾɪ,121
əɾɪʋ,49
ɾɪʋa,34
ɪʋaɾ,23
ʋaɾm,3
aɾmʌ̃,14
ɾmʌ̃tʰ,43
mʌ̃tʰi,669
aʋjo,547
ibɾa,130
bɾah,134
ɾahɪ,134
ahɪm,134
hɪmʌ,71
ɪmʌn,74
mʌna,261
isha,14
shak,19
hakʌ,9
akʌn,44
kʌno,27
pɪta,378
hʌto,1396
jaku,88
akub,81
kubʌ,34
ubʌn,33
bʌno,80
jəhu,809
əhud,809
huda,97
tena,1161
bʰaio,243
aion,36
iono,17
peɾe,4
eɾes,4
zeɾa,1
eɾah,3
ɾahʌ,7
ahʌn,14
hʌno,12
teon,1062
eoni,201
tama,2
amaɾ,1
hʌti,499
hesɾ,2
esɾo,2
sɾon,2
ɾonʌ,3
onʌn,50
nʌno,90
aɾam,249
ɾamʌ,19
amʌn,141
mʌno,129
ʌmɪn,4
mɪna,5
ɪnad,4
nada,5
adab,4
dabʌ,2
abʌn,4
nahʃ,4
ahʃo,4
hʃon,4
ʃonʌ,2
səlm,4
əlmo,4
lmon,5
monʌ,25
boaz,5
oazʌ,3
azʌn,4
zʌno,3
zʌni,1
mata,51
ɾaha,3
ahab,3
obed,5
bedʌ,3
edʌn,18
dʌno,25
dʌni,26
jəʃa,91
əʃai,3
ʃain,2
aino,9
ɾaɟa,210
aɟan,45
ɟano,24
sule,17
ulem,12
lema,12
eman,33
manʌ,112
anʌn,331
nʌni,103
pəhe,277
əhel,296
hela,181
uɾɪj,12
ɾɪja,121
ɪjan,170
jani,41
pʌtn,42
ʌtni,37
ɾəha,2
əhab,2
haba,2
abam,4
bamʌ,1
ʌbɪj,3
bɪja,4
jano,27
asan,3
sano,22
jəho,4
əhoʃ,4
hoʃa,2
oʃapʰ,2
ʃapʰa,2
apʰaʈ,2
pʰaʈʌ,1
aʈʌn,2
ʈʌno,3
joɾa,2
oɾam,3
ʊzɪj,2
zɪja,2
jotʰa,2
otʰam,2
tʰamʌ,1
ahaz,2
hazʌ,1
hɪzk,2
ɪzkɪ,2
zkɪj,2
kɪja,28
məna,15
ənaʃ,9
naʃʃ,3
aʃʃa,3
ʃʃan,2
ʃano,4
amon,11
joʃɪ,2
oʃɪj,6
ʃɪja,23
jəkʰo,2
əkʰon,2
kʰonj,2
onja,2
iona,46
hudi,51
loko,2888
okon,1019
kone,837
ɡula,37
ulam,38
bəna,339
ənaʋ,338
naʋʌ,54
aʋʌʋ,285
ʋʌʋa,294
maʈe,1837
babɪ,16
abɪl,16
mokə,48
okəl,48
kəlʋ,30
əlʋa,97
lʋam,23
ʋamʌ̃,607
aʋjʌ̃,37
səmʌ,611
əmʌɛ,278
mʌɛj,282
dəɾm,45
əɾmj,42
ɾmja,42
mjan,43
teno,310
ɟʌnm,76
tʰʌjo,265
bɪlʌ,4
ɪlʌm,5
lʌmʌ̃,72
eone,625
ɡʌja,346
pʌcʰi,1235
ʃəltʰ,2
əltʰɪ,2
ltʰɪj,2
tʰɪje,2
ɪjel,11
jelʌ,5
elʌn,69
lʌno,24
zəɾu,4
əɾun,70
ɾunb,5
unbb,4
nbba,4
bbab,4
babe,4
abel,16
belʌ,11
ʌbɪh,2
bɪhu,2
ɪhud,4
hudʌ,2
udʌn,11
elja,6
ljak,4
jaki,4
akim,4
kimʌ,3
imʌn,15
ʌzoɾ,2
zoɾʌ,1
oɾʌn,21
ɾʌno,157
sado,3
adok,2
dokʌ,3
okʌn,3
akʰim,2
kʰimʌ,1
ʌlɪh,2
lɪhu,2
ljaz,2
jazə,2
azəɾ,2
zəɾʌ,2
əɾʌn,1373
mətʰtʰ,6
ətʰtʰa,6
tʰtʰan,2
tʰanʌ,59
jusə,24
usəpʰ,24
səpʰʌ,31
əpʰʌn,32
pʰʌno,9
jusʌ,54
usʌpʰ,52
məɾɪ,92
əɾɪj,141
ɾɪjə,128
ɪjəm,405
jəmʌ,96
əmʌn,1181
pʌtɪ,54
isun,795
suni,161
təɾi,89
əɾik,141
ɾike,87
orkʰa,18
rkʰaʋ,3
kʰaʋa,95
laɡj,109
aɡjo,35
ɪmʌtʰ,1
mʌtʰi,53
sudʰi,286
udʰin,6
dʰini,4
caʊd,2
peɖʰi,15
ʊdʌtʰ,1
dʌtʰi,29
jaʊd,2
səmə,149
əməj,65
məjə,70
əjətʰ,34
jətʰi,65
tʌna,183
tʌni,126
suna,153
wɪʂe,551
ɪʂen,39
ʂeni,19
həki,15
əkik,15
kikʌ,7
ikʌt,7
pɾəm,279
ɾəma,206
əmaɳ,209
maɳe,189
teni,742
mʌni,191
səɡa,2
əɡai,1
satʰe,1010
lʌɡn,36
ʌɡnə,36
mʌne,2230
kʰʌbə,55
ʌbəɾ,81
pʌɖi,45
pəʋɪ,313
əʋɪt,314
ʋɪtɾ,322
ɪtɾə,355
atma,467
tmatʰ,35
matʰi,65
ɡəɾbʰ,9
əɾbʰə,8
ɾbʰəʋ,8
bʰəʋʌ,25
əʋʌt,29
ʋʌti,30
kʰubʌ,34
ubʌɟ,34
bʰʌlo,2
maɳʌ,839
aɳʌs,831
ɟahe,35
aheɾ,35
heɾʌ,210
eɾʌm,120
ɾʌmʌ̃,518
ləɟɪ,1
əɟɪt,1
kəɾʌ,2020
əɾʌʋ,883
ɾʌʋa,583
icʰcʰʌ,111
cʰcʰʌt,118
cʰʌto,55
tetʰi,1011
teɳe,728
cʰuʈa,28
uʈacʰ,19
ʈacʰe,19
acʰeɖ,19
cʰeɖa,24
