r-gram,Counts
ad,5816
dɪ,8573
ɪm,4226
mẽ,16078
ẽp,1347
pə,13707
əɾ,35303
ɾm,9318
me,10810
eʃ,8238
ʃʋ,4857
ʋə,14958
ɾn,6652
ne,35707
ea,2752
ak,24768
ka,20876
aʃ,2807
ʃɔ,218
ɔɾ,36986
ɾp,4319
pɾ,8338
ɾɪ,6439
ɪtʰ,825
tʰʋ,877
ʋi,1373
ik,9379
ki,15939
is,6165
sɾ,3806
ɪʂ,2169
ʂʈ,1265
ʈɪ,1030
ɪk,6857
iɔ,3331
ib,3469
be,1920
eɖ,468
ɖɔ,26
ɔl,252
lɔ,1126
ɾs,5313
sʊ,3790
ʊn,13075
ns,3373
sa,11319
an,21787
np,1737
pʌ,14090
ʌr,7733
ri,1248
itʰ,1458
tʰi,1331
ɾɡ,2511
ɡʌ,6715
ʌh,20762
hə,15748
ɾe,14298
eɟ,5820
ɟʌ,5263
ʌl,4981
lk,3525
ke,40375
eu,461
up,1254
ɾʌ,14027
ʌn,13871
ndʰ,1751
dʰɪ,1967
ɪj,22005
ja,24137
aɾ,22847
ɾa,27554
atʰ,6310
tʰa,6974
at,16669
tʌ,6436
ʌtʰ,580
ap,10129
ɾk,11278
aa,845
tm,1479
ma,9527
aɟ,10231
mə,6049
əɳ,2525
ɳɖ,1315
ɖə,780
əl,6410
la,7541
ta,15545
ʌb,14596
bp,729
ek,23790
kʌ,20966
ha,14743
aʊ,3055
ʊɟ,893
ɟɪ,4510
al,10188
ah,21315
ho,16868
ot,5017
to,5341
oʊ,2744
oɡ,6640
ʌj,3076
aɔ,11292
eʊ,7258
le,9276
ko,19764
od,2101
de,9884
ekʰ,3700
kʰa,3723
kɪ,18567
ɪʌ,433
ʌcʰ,740
cʰcʰ,912
cʰa,1408
hɛ,15836
ɛɔ,2503
oʌ,1735
es,13065
se,25241
eʌ,6177
lə,3520
əɡ,1470
ɡk,831
ɪn,7548
nɔ,1071
oɾ,3714
tk,2711
as,11055
sã,255
ãɟʰ,171
ɟʰh,43
hʊ,7706
ʊi,1096
ipʰ,341
pʰɪ,3344
ɪɾ,10770
ɾbʰ,1655
bʰo,523
ɾh,3434
ʊa,2049
aɪ,1898
ɪs,13040
sp,1955
ɾə,12837
ək,13683
hɪ,3189
ɪl,3879
nh,4944
pu,5039
ur,3991
rn,3851
nw,3351
wɪ,3351
am,15233
mpʰ,414
eb,7013
bi,1875
ic,2381
ce,1460
kɛ,471
ɛs,4131
aʌ,2159
nt,7750
tə,5662
ok,4976
ɪɟ,1725
ld,591
do,2521
obʰ,1199
bʰa,2802
aɡ,4988
ɡh,291
oɟ,3459
ɟa,14123
ae,8425
et,8771
ee,1290
ʌɾ,27104
ʊs,22818
sk,12703
en,6776
ni,5048
ɾʊ,8583
ɾʋ,3703
ʋɛ,732
hi,6245
ih,7469
sʌ,10323
oa,1152
ʃk,2217
ɾd,4569
du,2167
us,2352
ks,815
stʰ,2069
nm,2923
ẽɪ,318
ʌʈʰ,744
ʈʰʈʰ,925
