r-gram,Counts
pada,14971
mula,705
ulaɲ,19
laɲa,196
wakt,1681
aktu,1681
alah,9688
ulaɪ,473
mənt,1502
əntʃ,1704
ntʃi,498
tʃip,158
ʃipt,155
ipta,155
ptak,100
taka,1678
akan,14154
alam,4102
səmɛ,43
əmɛs,20
mɛst,26
ɛsta,201
bumi,584
bɛlu,620
ɛlum,617
bərb,1785
ərbə,185
rbən,152
bənt,742
əntu,332
ntuk,6167
masi,1343
asih,1900
katʃ,105
atʃa,630
tʃaʊ,59
bala,459
alaʊ,1791
samu,350
amud,39
mudr,38
udra,38
bərɡ,406
ərɡə,111
rɡəl,25
ɡəlɔ,16
əlɔr,16
lɔra,19
mənu,1795
ənut,145
nutu,145
utup,281
tupi,96
səɡa,1286
əɡal,1276
ɡala,1486
səsu,1178
əsua,621
suat,820
uatu,821
dili,221
ilip,75
lipu,202
iput,70
puti,153
oləh,2946
ɡɛla,211
ɛlap,112
ɡuli,51
ulit,216
lita,86
təta,3601
ətap,3697
tapi,3895
kuas,1099
uasa,1516
ərɡɛ,95
rɡɛr,29
ɡɛra,314
ɛrak,362
atas,1808
pərm,289
ərmu,106
rmuk,16
muka,470
ukaa,28
kaan,42
bərk,4576
ərka,4261
rkat,3915
kata,5749
dʒad,4280
ʒadi,4261
adil,533
dila,873
ilah,2368
tɛra,316
ɛraŋ,899
lalu,4527
sɛna,270
ɛnaŋ,426
məli,1440
əlih,1376
liha,2105
ihat,2138
dipi,185
ipis,27
pisa,67
isah,198
sahk,122
ahka,2713
hkan,3199
dari,6925
dina,138
inam,99
nama,1204
amak,190
maka,3861
siaŋ,129
mala,1210
lɛwa,151
ɛwat,151
paɡi,288
itul,660
tula,789
ulah,1179
hari,2138
pərt,1656
ərta,1251
rtam,399
tama,503
kəmu,1393
əmud,1639
mudi,1321
udia,1307
dian,1523
səbu,499
əbua,474
buah,1044
kuba,123
ubah,281
untu,6245
məmb,6839
əmba,4530
mbaɡ,145
baɡi,2307
mənd,6839
əndʒ,4592
ndʒa,4906
məna,1477
ənah,84
naha,127
ahan,2012
hanɲ,136
anɲa,3034
dala,4348
tɛmp,1577
ɛmpa,2178
mpat,2425
tərp,225
ərpi,149
rpis,28
tərd,814
ərdʒ,2084
rdʒa,2309
dɛmi,771
ɛmik,508
miki,566
ikia,525
kian,522
ianl,177
anla,2131
nlah,2224
əmbu,2423
mbua,1164
buat,2662
məmi,645
əmis,49
misa,78
bawa,1603
awah,263
tasɲ,84
asɲa,210
laŋi,390
aŋit,339
kədu,653
ədua,594
hənd,413
ənda,1688
ndak,989
dakl,322
akla,374
klah,586
məŋa,3589
əŋal,353
ŋali,79
alir,87
satu,1182
səhi,1015
əhiŋ,1011
hiŋɡ,1034
iŋɡa,3003
tana,1654
anah,1314
kəli,311
hata,530
atan,2303
ənam,354
dara,1925
arat,467
kump,328
umpu,745
mpul,561
pula,787
ulan,391
laʊt,341
laɡi,1949
məŋɛ,1421
əŋɛl,164
ŋɛlu,112
ɛlua,76
luar,1418
uark,113
arka,1496
rkan,2362
matʃ,193
tʃam,401
tumb,154
umbu,181
mbuh,391
buha,38
uhan,8543
jaɪt,587
aɪtu,764
dʒɛn,67
ʒɛni,41
ɛnis,46
məŋh,1762
əŋha,968
ŋhas,96
hasi,539
asil,466
silk,84
ilka,105
lkan,1297
bidʒ,336
idʒi,92
dʒia,604
ʒian,602
uaha,41
kəti,1292
ətiɡ,188
tiɡa,925
bənd,170
mənə,1118
ənər,593
nəra,89
əraŋ,957
raŋi,173
ənun,328
nund,252
undʒ,571
ndʒu,829
dʒuk,596
ʒukk,295
ukka,509
kkan,1027
saat,279
laɪɲ,10
aɪɲa,272
tahu,2586
ahun,856
raja,337
aɡam,306
ɡama,305
bɛsa,793
ɛsar,795
mata,847
atah,274
taha,605
ahar,186
məŋu,1390
əŋua,397
ŋuas,344
asaɪ,210
bula,345
sɛla,216
ɛlaɪ,166
laɪn,1922
dibu,711
ibua,396
dʒuɡ,2499
ʒuɡa,2499
bint,181
inta,2965
ntaŋ,1018
ənəm,258
nəmp,50
əmpa,554
patk,184
atka,1038
tkan,1142
kəɛm,135
əɛmp,135
ərkɛ,338
rkɛr,32
kɛri,136
