r-gram,Counts
in,27618
np,2311
pr,12348
ri,22722
nt,30980
tʃ,25103
ʃi,6967
ip,3742
pi,3585
io,16867
od,24827
di,20534
ok,15103
kr,3541
re,37941
eɔ,301
ɔi,5718
il,24870
lt,11242
ʃɛ,4030
ɛl,11064
lo,15709
oe,9639
el,34673
la,35918
at,40483
tɛ,6398
ɛr,12731
rɾ,5161
ɾa,9817
ao,2063
or,28032
ra,32562
al,36249
aɛ,2979
ai,7954
nf,2869
fo,1897
rm,2687
me,14906
ee,9992
ed,28956
de,30105
ez,7442
zɛ,2767
rt,9659
ta,26198
ae,9733
le,21801
et,20581
ɛn,11697
ne,20107
eb,2738
br,2415
er,39025
ik,9528
ko,31630
op,13310
iv,4711
va,13042
an,42734
no,39201
ol,20180
ab,7517
bi,3761
is,12534
ss,15489
so,11354
os,15413
sp,5692
ir,7375
it,24319
to,33707
dɪ,24399
ɪd,17123
oa,13353
dʒ,22172
ʒa,1817
av,17049
as,17543
sʊ,12572
ʊl,3405
ll,27523
ea,16372
ak,18508
kw,15563
we,3896
se,16520
es,21640
si,16011
ia,10949
lu,1939
ut,8520
ʃe,10144
ef,5133
fu,532
ud,2127
ov,6965
vi,7758
id,7660
ek,17415
ke,19656
eɛ,1836
kɔ,3811
ɔz,2193
za,6016
bʊ,752
ʊɔ,6210
ɔn,3281
na,14344
ep,11957
pa,13010
aɾ,5899
ɾɔ,4583
ɔl,4024
da,19779
kj,2394
ja,7193
am,18147
mɔ,2176
ʒo,4415
rn,5019
en,21391
nɔ,2598
ɔt,1987
te,26566
fʊ,2790
ʊs,1714
ʊm,1014
ma,16708
ti,7630
ap,13505
im,8523
mo,11941
lf,1921
fi,9440
oi,16981
nm,2134
mɛ,2153
ɛd,3252
dz,2579
zo,3287
pe,18884
rs,4298
ar,24158
of,6000
fe,2882
ei,15508
on,46564
ot,10072
ns,6227
oz,4983
zi,3257
vv,886
vɛ,3215
nn,8942
nd,19666
do,12576
sɪ,9723
ɪr,3176
lɡ,674
ɡa,2732
nʊ,1781
ʊn,11200
lʊ,2495
ɔɡ,571
ɡo,2193
aʃ,1009
ʃu,303
sa,18981
ad,27336
em,10095
ro,24771
du,2629
uk,438
ka,15582
ʒe,5736
oʎ,2149
ʎɪ,11614
ɪɛ,1610
rb,551
be,4499
lb,887
rɪ,5269
af,5796
fr,3369
ru,903
fa,7705
ʃa,2561
ni,6241
ls,11413
sk,5668
ku,1868
un,3874
ʊa,4494
pɛ,1750
ɛt,4398
us,829
rɔ,2418
ɔp,3216
ɪk,10150
ts,13581
ʃɪ,3133
ɪs,9910
ɪn,3749
rd,5565
st,24397
iŋ,592
ŋɡ,2058
ɡw,3064
ld,3327
sɛ,4052
rv,2804
eɲ,1999
ɲɲ,3540
ɲɪ,1383
ɪp,6885
rl,3771
nɪ,7065
ɪe,8261
rʎ,279
ɪa,12901
mi,10983
ue,1107
ɪɡ,973
ɡr,3388
ɪl,4890
rr,334
eɡ,2992
pɔ,5317
ze,6551
ɾe,659
wa,7142
rʊ,2477
li,7139
ki,1592
ɛs,9093
ɪv,2560
tɪ,19811
eʊ,3149
ʊt,2414
lɪ,7243
vo,6844
iɡ,950
ɪm,4767
tr,17695
tu,6712
ɪʎ,846
wi,1896
nɛ,3969
lɔ,6522
ɔr,12491
ɪʊ,1537
ɪb,1564
sj,2611
pl,588
ev,9682
vɪ,3839
ie,2342
mp,5438
eɪ,3781
tj,659
rɛ,7570
lv,2017
ɪi,7635
lw,802
wɔ,2544
ɔm,2873
ɔs,4720
mm,3193
ʒi,2299
om,13734
iʎ,5816
ʎa,1249
ʊi,2645
eʃ,533
lm,3926
ʊʎ,91
iʃ,1163
ɔd,2101
oɡ,1170
ʊo,5214
oɲ,1773
ɛk,1937
oo,2060
ba,4499
eo,3169
nk,8496
uj,713
je,2907
vɔ,2673
ib,2582
bo,1688
ɛi,3016
ve,12106
dɛ,2833
oɛ,1496
ob,1754
if,4029
ʊr,2511
po,11679
jɛ,3569
tɔ,1701
ɔa,1602
sɔ,956
rk,6446
eʎ,5437
wɛ,5571
iɲ,8048
ɲo,8909
pu,772
uʎ,60
ʎo,2905
pʊ,992
pj,4912
jɔ,1078
ɔv,1045
ɛv,1551
ɾi,647
az,3092
zm,209
ff,1884
fj,686
ʊe,1561
ii,1052
ɔʊ,208
iɛ,1629
jl,313
oʃ,768
bɛ,1562
ju,844
um,705
ʊʃ,979
lp,5128
iz,5707
ɛz,598
dɔ,2813
aɡ,2385
ɡi,253
su,639
ur,2441
lk,3829
ʊf,421
kʊ,2306
dj,1551
tʊ,7861
ʊp,872
aɪ,2794
ɪt,4586
aj,4823
vr,1191
ɛb,558
ɲu,190
mɪ,3987
ɪf,3822
fɔ,1036
rp,1066
ɔʎ,218
uz,450
ɔk,3106
nl,2684
aa,7188
oʊ,2114
eɾ,4737
dr,2883
iɾ,963
ʎe,1253
nu,1567
rɡ,537
ɲa,1245
jʊ,1698
ɪɔ,620
kɪ,3087
aʎ,1875
ʒɔ,707
lɛ,2410
fɛ,1660
iʊ,497
ʊd,2913
vu,305
aʊ,3364
jf,502
jt,430
jp,469
ji,212
aɲ,720
jm,335
ʊz,1688
dʊ,1054
eu,418
ʒɪ,1094
ɛm,3358
ʃɔ,1492
ʊb,466
nw,358
ʃo,940
ʒɛ,2035
nɡ,589
ɛa,928
aŋ,735
ʃp,26
ɔɛ,52
ʃd,47
ln,799
ʃn,12
dd,93
ʊj,49
ʃl,13
ʃs,32
ij,29
ub,711
fl,296
lr,2506
ɾo,593
nr,788
tp,66
tn,49
nv,2752
ɔw,6
td,122
ɔf,231
sd,88
tv,14
tf,87
sf,374
ɔj,54
dm,46
oj,180
dv,14
ɪo,1815
ʃj,6
ʃv,4
ɪj,472
df,44
ʃk,37
ʃf,48
ʃm,26
ui,918
mk,127
ej,263
tk,107
ɪw,695
pɪ,1053
aw,139
zɪ,1173
rf,610
oɾ,30
uo,42
ɛɛ,52
ʒu,2170
tm,49
vj,786
jo,1228
ɛe,492
ʊŋ,94
ɡe,582
uv,109
ʎi,33
ʊk,675
ɛf,263
up,332
tl,98
ʊɾ,93
mʊ,846
nʎ,229
zɔ,173
ʊɛ,488
ʃʊ,31
ʊɡ,230
ɛp,785
mb,1298
ou,182
jk,451
ɛʊ,135
kl,571
js,677
oŋ,54
bɪ,321
ɔe,477
jd,493
zv,288
tɡ,13
ɡɔ,296
ɡm,12
jj,9
sr,139
bt,27
mr,143
dk,59
ml,58
bn,130
ft,99
zl,29
ɛo,478
ɾɛ,379
bɔ,141
mf,142
ms,134
ks,55
dl,20
mu,423
ul,915
ɪu,289
ɡp,10
kt,26
ds,37
ɲe,364
ɔb,650
md,147
ɡv,9
ɡd,39
ʊv,151
mn,92
ʃt,10
kɛ,319
ɛɾ,4
au,272
bv,9
mʃ,3
bk,67
nb,556
bs,71
mj,923
zɡ,233
ɾɪ,158
uŋ,272
ʃr,20
mt,51
mʎ,25
zu,1203
tt,102
uɡ,84
zj,81
iw,66
nj,854
ʎɛ,130
ʒʊ,1898
ɔo,105
bu,607
jr,141
ɛj,72
aɔ,79
ew,126
iɔ,334
bl,414
ɡɪ,160
vʊ,242
ɛʎ,165
ow,177
tʎ,4
ɡu,123
bw,71
tw,46
ɲɔ,189
ɪz,152
zʊ,646
ɲɛ,186
ɲi,130
ɔɔ,12
ʃɡ,4
kp,15
ɔʃ,120
rz,10
zb,178
ua,175
db,5
dt,11
uf,60
uɛ,14
nʃ,20
bj,807
oɔ,277
eŋ,323
ʎɔ,70
dp,22
ɡl,537
jʎ,18
ɛɡ,96
iu,23
zr,2618
jv,235
jɡ,57
ɡʊ,120
sb,43
kk,36
sn,24
bf,92
kb,24
mv,22
uʊ,15
ɡj,66
fn,17
ɪʃ,137
wɪ,37
jb,47
lj,20
ɡɛ,53
sm,31
zd,203
jn,143
fk,25
ʊw,5
ɔɾ,38
ɾd,38
ʊʊ,155
ɔu,22
ɲk,1
kv,5
ɛʃ,15
kd,37
km,38
uɲ,21
wj,18
bp,45
dn,19
dʎ,9
ʊɲ,19
rʃ,10
bd,142
ʊu,10
wo,69
mɡ,14
fs,8
dɡ,6
kʎ,6
bʎ,8
bm,31
dw,39
kf,38
tb,25
bb,40
kn,13
sl,31
rj,17
ɡb,4
pt,5
uw,3
ɛu,2
wɡ,1
ɛw,8
fɪ,19
ɛɔ,2
uɪ,2
zn,7
sɡ,9
ʃʃ,2
kɡ,2
sʎ,6
ɛɲ,17
kʃ,1
ɾʊ,44
sw,1
lʎ,19
rw,2
ʃʎ,2
nz,22
sv,8
sʃ,1
ɾu,7
lʃ,5
fv,2
fp,4
fm,2
ɡk,4
eh,5
ha,71
ɪh,22
ah,5
bʃ,1
ps,1
vt,1
vs,2
oh,8
mh,1
ɔh,1
nh,26
ɔŋ,2
ŋd,14
ɲp,1
ʒd,1
sz,1
ɡn,2
fd,12
ʃb,5
bɡ,3
jw,1
pk,1
mw,2
fɡ,1
jʃ,3
ɡt,4
uu,1
jz,2
uʃ,22
ɲm,1
ɲd,2
ɪɪ,1
lh,2
ɔɲ,4
vk,2
ɡh,1
ʎʊ,2
ʎu,6
oɪ,1
ɔɪ,1
