r-gram,Counts
pri,2083
rin,649
int,2438
ntʃ,1648
tʃi,5860
ʃip,371
ipi,147
pio,935
dio,4446
kre,663
reɔ,15
tʃɛ,3269
ʃɛl,1049
ɛlo,752
tɛr,2423
ɛrɾ,1789
rɾa,2529
ora,4079
ɛra,3212
inf,1145
nfo,121
for,1273
orm,506
rme,365
dez,705
ezɛ,1154
zɛr,1065
ɛrt,1884
rta,1847
tɛn,1425
ɛne,1262
neb,223
ebr,495
bre,214
rik,1542
iko,1811
kop,345
opr,900
riv,948
iva,1009
van,4638
ano,7028
lab,377
abi,2087
bis,111
iss,3516
sso,2686
spi,931
pir,832
iri,989
rit,3339
ito,4546
ale,2064
led,1091
edʒ,1994
dʒa,1817
ʒav,74
ava,4384
sʊl,2239
ʊll,1399
lle,5346
akw,902
kwe,3312
dis,3970
sse,5933
sia,2037
lut,446
utʃ,438
tʃe,8432
vid,1584
ide,1948
kɔz,1284
ɔza,873
bʊɔ,357
ʊɔn,348
ɔna,294
sep,350
epa,326
paɾ,1714
aɾɔ,1888
dal,3729
all,8905
kja,1454
jam,2607
amɔ,256
dʒo,4415
ʒor,2222
orn,3126
rno,2018
nɔt,385
ɔte,891
ser,2738
era,4187
mat,1384
ati,1009
tin,873
ina,2428
rim,1882
imo,1558
fir,55
irm,65
rma,537
mam,50
ame,1673
men,3222
ent,6176
nto,4760
mɛd,900
ɛdz,858
dzo,1184
per,15228
aɾa,4009
ɾar,98
are,6067
fet,910
etʃ,2295
son,3251
ono,8284
sot,596
oto,750
sop,617
pra,881
koz,1510
ozi,1688
avv,764
vvɛ,56
vɛn,1190
ɛnn,603
nne,1622
sek,1089
eko,1066
kon,13311
ond,3429
ndo,6589
rak,650
akɔ,666
kɔl,234
ɔlɡ,23
lɡa,122
ɡan,421
sol,1202
olo,4012
lʊɔ,458
ʊɔɡ,457
ɔɡo,463
apa,519
pai,26
aia,310
laʃ,571
aʃu,32
ʃut,180
uto,3090
mas,377
ass,2781
ssa,2620
del,13349
ell,7249
mar,1508
pro,3023
rod,519
odu,87
duk,31
uka,39
dʒe,5736
ʒer,1770
erm,714
rmo,147
moʎ,511
oʎɪ,169
ɛrb,191
rbe,26
uko,59
sem,441
eme,429
alb,202
lbe,170
ber,1008
erɪ,478
fru,250
rut,432
fat,3199
atʃ,3989
tʃa,1903
ʃan,123
lla,12518
ʃas,280
ask,1789
sku,396
kun,382
uno,1402
sʊa,2137
spɛ,344
pɛt,365
ɛtʃ,675
dus,166
uss,214
una,137
prɔ,660
rɔp,447
ɔpr,415
ria,1624
fan,492
ann,5831
nno,4587
rts,591
tso,565
tʃɪ,2824
ian,299
nel,3112
ist,2946
