r-gram,Counts
ad,21620
di,16442
ij,24046
jɐ,46476
ɐl,45941
ll,36098
li,30491
id,34708
de,22854
ev,10421
vɐ,85071
ɐɹ,87657
ɹu,42212
ua,14580
ak,8250
ka,10333
aɕ,2298
ɕɐ,5318
ɐv,73779
ɐn,172838
nn,64380
nu,92726
ubʰ,1362
bʰu,1513
um,15652
mi,3954
us,11338
sɹ,2880
uʂ,4713
ʂʈ,2391
ʈi,4893
is,27093
si,13757
dɐ,98055
ju,13285
un,28471
ni,36594
iɹ,19285
ɹa,12398
aɹ,14534
ɹɐ,58611
va,17951
aɡ,32261
ɡi,24687
uɕ,1570
ɕu,2428
nj,3361
ui,10234
it,10184
tt,19145
tu,9965
uɐ,25063
ɐɡ,27300
ɡa,3339
adʰ,2281
dʰɐ,5116
ɐd,58801
ɐm,38981
me,8012
el,18074
le,9652
ek,11863
kɐ,32727
ɐt,19278
tɐ,43135
ei,5533
ud,12416
ɐa,4837
at,10201
tm,728
mɐ,32044
uɡ,13200
ɡɐ,46997
ɐɭ,38887
ɭɐ,27484
ec,1739
cɐ,2695
su,11283
ut,23358
ti,16049
dd,16406
ub,9926
be,9539
eɭ,9490
ɐk,36002
iɐ,5470
nɐ,80837
lu,6519
aj,9685
ji,5499
uo,3036
oɭ,7404
ɭɭ,6562
ɭe,3482
ej,23565
en,29037
nd,39848
du,26323
no,3667
oɖ,6654
ɖi,15531
uk,21995
in,47138
ɐb,15092
eɹ,7218
ɹe,19729
em,8533
ma,18922
aɖ,13289
ki,4589
iɡ,28917
ɡe,31251
eh,8969
hɐ,8121
eɡ,10087
tɹ,4290
ɹi,27506
je,10093
ed,8293
uh,17472
hi,6878
es,6504
sa,4935
ɐŋ,3650
ŋk,1135
al,4465
lɐ,20534
vu,16043
up,7755
pɹ,8451
ɐh,16749
hk,40
im,11164
mo,4051
od,4138
ne,18325
ɐɖ,11760
ɖu,15273
uv,35319
ve,8752
vi,11763
iɕ,2012
ɕa,887
ɭi,15475
ɖɐ,12949
iv,10113
ke,15481
ha,9061
ea,4643
kk,13543
ie,1737
ɭu,15286
on,8263
stʰ,2331
tʰɐ,3598
ik,13479
ku,10538
uɖ,3432
ko,16286
oɳ,6936
ɳɐ,6410
aɳ,2687
ɳi,1772
sɐ,26636
ebʰ,618
oʈ,2527
ʈʈ,12731
ʈu,4491
ɡu,10055
mu,7242
dɹ,2197
hu,3596
ul,2079
bi,6618
iɟ,1334
ɟɐ,6404
ɐp,12687
pɐ,17388
lj,993
eb,5941
ɐɟ,4159
ɟa,537
ɐpʰ,561
pʰɐ,1404
ɐɳ,6996
ɳɳ,1370
he,9211
uɹ,7190
ib,4210
uɭ,2792
ɐj,9424
ɐs,21433
mv,16
ts,127
to,2557
oɹ,4083
ɭa,1628
nt,7879
te,7964
ue,5732
do,2479
ɖɖ,1020
na,20153
aɭ,2212
uc,1634
ci,3084
kʂ,3334
ʂɐ,4520
eɐ,8594
lk,556
ɟi,1251
mɹ,514
ddʰ,3228
dʰi,3111
ja,13289
bɐ,20317
ibʰ,415
ip,3477
ʂi,2055
et,6647
mm,7598
iŋ,370
ŋɡ,4493
il,8180
jo,3668
uɟ,2206
ɕi,1691
ir,1411
rv,1106
ɐbʰ,2364
bʰi,717
vɹ,283
ih,4565
cc,2163
mb,3876
ia,3331
aɪ,5654
ɪd,472
aɟ,3143
ɐɕ,3174
da,9149
kɹ,2140
ho,12501
ol,1784
ʂj,2571
ɖo,100
ɐɐ,9203
an,17310
la,6170
abʰ,202
sv,1427
ɳɖ,8528
eɳ,1379
ɳa,103
ɡo,5050
os,2288
st,3977
iɖ,2978
ah,1297
ta,6686
ii,2531
oɐ,976
ɐo,1850
mp,626
pu,2076
ur,1276
rɳ,665
ee,2582
ɐe,3336
ɕɹ,431
uj,6503
md,117
mj,384
rm,436
ɐc,1190
ɐr,11740
rt,8878
uu,1694
uɳ,2103
ɳʈ,1316
av,6350
vj,867
ɐɲ,867
ɲɟ,492
ɟu,407
oj,943
pi,3728
ɕv,388
as,4264
ʈɐ,8683
iʈ,2986
uʈ,1688
eo,1736
am,3639
ɐdʰ,2324
dʰj,993
eʈ,1319
iɭ,3046
ɐʈ,7219
bʰa,964
akʰ,20
kʰe,33
ɕo,231
eɕ,2963
ɐkʰ,57
kʰɐ,1182
om,1416
edʰ,149
ʂd,1
ɕɕ,140
ɖe,3931
upʰ,493
pʰɹ,258
oɡ,4277
ɟɲ,2206
ɲa,1468
ap,3306
ɐtʰ,527
tʰe,161
ccʰ,62
cʰɐ,16
ba,4557
ikʰ,38
oe,353
aɖʰ,17
ɖʰɐ,173
bu,1098
io,1373
ms,402
lp,3641
se,3516
bb,3947
ac,761
ɐi,3516
rp,1334
kt,1192
vo,666
iʂ,2687
ukʰ,1165
ɳu,889
bʰe,645
ob,3488
pe,918
eu,796
bd,344
idʰ,651
bʰɐ,2229
ɲc,775
aɐ,523
ʈe,873
ɟɟ,243
cu,722
hkʰ,239
rbʰ,249
ɐʂ,814
ɕe,1617
ɳe,2063
ɹo,4043
vv,134
ɪc,57
ca,1194
oa,352
ɟv,52
iɳ,670
mbʰ,819
co,246
oc,862
aʊ,1691
ʊɹ,113
op,1332
ep,2622
pa,3170
oɲ,93
ɪj,1156
ʂe,906
ok,1527
ʂa,749
aa,275
ab,1561
ɖa,904
ae,246
ʊv,189
pp,2323
oʂ,1046
mɕ,178
ar,2918
ao,143
ɪn,801
lv,187
eɖ,2122
oh,1040
ʈa,809
ɪk,401
mh,531
epʰ,985
pʰe,163
eɟ,889
ʊn,165
rj,1685
tv,468
hɹ,948
lo,1768
sk,1642
ɕc,737
tk,204
rɡ,901
tj,2079
opʰ,119
er,206
ɐu,1260
ɪv,240
lbʰ,19
tʰa,517
ɡɡ,732
ntʰ,783
aʈ,550
ʈb,5
ai,337
oi,378
obʰ,54
so,639
iʈʰ,266
ʈʰɐ,709
jj,561
ɪɡ,1262
ic,1033
ɭo,361
eɡʰ,165
ɡʰɐ,465
th,43
ɡɹ,855
ɡm,11
lm,668
eʂ,850
ʂk,109
ipʰ,257
rʂ,199
aŋ,782
dv,238
aʂ,380
ʂm,89
cɹ,37
bt,10
ʂʈʰ,405
rd,315
dk,76
ln,23
ɟj,577
bo,934
ot,1734
dj,709
bj,199
pʰt,82
hj,264
sj,205
sl,8
or,382
pʰi,449
rk,79
ce,691
nk,41
mɡ,30
dm,36
dl,4
sh,2
lɡ,96
kl,35
pʰa,198
ɪl,219
ɟe,665
oɟ,185
bɹ,504
ld,87
rn,148
uɲ,246
ndʰ,446
dʰu,336
pt,1092
iɡʰ,61
ɡʰo,66
iu,502
dʰa,1213
dʰe,251
udʰ,512
apʰ,230
rl,68
dɡ,13
rɕ,292
odʰ,1505
mt,30
ɳj,355
nm,100
ʂp,53
kj,787
rtʰ,918
ɪɕ,149
ɐɡʰ,109
sn,161
ɪɹ,138
tʰj,66
ʊd,448
hn,33
kv,13
eŋ,616
oŋ,20
uɡʰ,166
au,68
uŋ,228
mn,98
ʊt,67
ov,849
tʰi,379
kʰj,287
rɹ,206
ɟo,250
ɪh,69
po,238
tn,162
rb,71
ss,648
kp,8
lb,54
ɪm,32
jd,137
rdʰ,124
lt,41
atʰ,24
oo,100
ʂb,81
kɕ,2
nh,86
ɕj,101
db,7
bs,9
dt,2
ɲe,379
ʈn,1
ɪs,205
tɭ,1
kʰa,135
ʈo,205
lh,48
ekʰ,101
bn,125
ɡj,422
pn,16
dp,9
cp,45
kʰi,91
ɲɐ,359
iɲ,59
ɪr,106
nb,33
tl,61
ɡd,126
rc,35
pʰo,77
mk,11
ɟt,2
tɟ,3
ɟk,143
nɕ,8
ls,28
ml,14
tɡ,12
lɕ,5
nɟ,4
ʊl,619
kb,17
ɭh,8
ʈɹ,10
pc,1
ra,2
ucʰ,11
cʰe,47
ɐʈʰ,167
ʈʰi,187
pʰn,10
tp,36
uɖʰ,166
ɡʰɹ,23
aɡʰ,12
ɪi,22
kpʰ,2
nc,3
ʂo,60
cɟ,1
bɕ,4
hl,29
pj,28
cb,2
ʂv,39
pʰb,2
ɕb,11
ns,30
ɪt,127
nl,4
rɟ,121
oɕ,1185
ɡn,78
sm,195
dbʰ,120
kc,7
vm,63
ch,14
rh,42
ɡɟ,10
lc,8
ɭc,3
ɖɡ,20
ɪɐ,40
ɡbʰ,8
bʰɹ,78
bdʰ,12
ʈj,38
td,93
sp,82
bʰo,57
rɡʰ,43
hp,20
ʊʈ,9
ʊɕ,14
ʊk,18
ɟɹ,113
dʰɹ,11
ʈʰe,62
ŋkʰ,28
dʰv,196
dn,119
ɖɹ,28
jɡ,9
ɖl,5
ɳm,1
ɪb,50
tr,11
icʰ,6
nɡ,36
rs,30
lɟ,57
vl,4
ʈc,3
sr,1
ɪtʰ,13
tʰo,4
pʰu,21
lʈ,8
ʈp,1
sɡ,15
kn,14
ɭp,10
ɟb,6
ɟn,6
cj,51
ɡl,33
ɡv,22
mc,4
rɐ,2
ɡb,4
ɭm,45
bm,10
pk,2
np,53
bl,27
cm,3
pʰʈ,2
dh,3
ɟh,1
ʂu,115
ʂɖ,26
ɖʰa,5
bʰj,64
aʈʰ,16
ɪe,22
ɪa,9
ʊɲ,1
ɭv,49
ʊkʰ,8
rkʰ,84
nɹ,16
ʂʂ,20
ɭɡ,1
tb,16
ɭb,3
tɕ,5
tc,4
nʂ,2
tʂ,43
bɟ,5
ʂh,20
ʈh,1
ɕn,22
pv,1
cv,1
ck,3
hm,13
ʂɡ,11
bk,3
kɟ,4
mʈ,2
pʰj,9
mɟ,3
ɭɹ,1
bʂ,139
pl,5
km,47
ct,2
ri,3
ʂɕ,2
kɡ,1
bc,5
kd,1
bh,7
bp,1
sb,4
ɪbʰ,35
ʈʰa,15
oʈʰ,115
ʂn,2
ɳʈʰ,9
ou,23
nv,4
ʂɳ,12
kʰo,11
dʰdʰ,1
tʰu,10
dɟ,4
ɭt,1
rpʰ,5
ɪpʰ,1
itʰ,32
cʰa,15
cs,1
uʈʰ,2
sd,93
ɖj,51
ʊɟ,3
pm,2
tʰɹ,2
kʰkʰ,2
re,1
ɪp,17
ʊm,20
cn,1
ɟm,9
kʰb,2
kʰt,1
mɭ,1
ɡɭ,2
ɪɭ,3
cɕ,1
pʰs,1
js,4
cʰi,16
ɖb,1
eɖʰ,1
ɖʰj,3
ʈl,3
kʰp,3
mʂ,10
ɭɟ,4
ɭʂ,1
ŋɡʰ,10
ps,1
nkʰ,2
ʈd,4
ɐcʰ,5
pʰc,1
ɟp,1
jɹ,1
hb,4
pʰl,5
ks,27
ʂɹ,2
pb,1
ppʰ,4
hd,3
ht,1
vc,1
ɪo,5
kh,4
hɡ,1
lʂ,3
ɟl,1
pʰd,1
ɕh,1
hɟ,4
cʈ,4
lkʰ,3
vʂ,2
dtʰ,1
pʰh,3
ʂɟ,1
ʈɳ,1
ɟɡ,4
cl,2
ʂl,1
dɕ,1
lɹ,1
jm,1
jɕ,1
vt,1
pʰk,1
uɟʰ,9
ɟʰa,12
ɐɟʰ,4
jp,1
jk,7
ɡp,1
tpʰ,4
vɡ,1
ɪɟ,2
lpʰ,13
uɪ,2
spʰ,4
oɡʰ,3
utʰ,13
ɡk,2
ɡʰa,7
rcʰ,10
ʂpʰ,6
ɡʰu,1
ʂt,1
ɪu,3
dʰo,6
dr,1
ɪʂ,2
ʈʰo,5
ɡʰi,3
ʊʂ,3
otʰ,33
tʰm,1
etʰ,21
tʰd,1
ʊɭ,9
aɲ,1
okʰ,4
npʰ,1
ds,3
eɟʰ,3
ɟʰɐ,4
oɪ,1
ɪdʰ,1
hs,5
ɳo,3
pʰɟ,1
pʰm,1
ɭd,4
cd,2
bɡ,1
kʰm,1
