r-gram,Counts
ɑde,383
deɡ,926
eɡe,2698
ɡen,2563
end,2981
nde,2232
deq,146
equ,366
qud,2834
udɑ,3027
dɑj,4720
ɑjɑ,2180
jɑs,132
ɑsm,363
smɑ,428
mɑn,1521
ɑnd,5978
ndʒ,3912
dʒe,3449
ʒer,1642
erd,4201
rdi,2177
did,533
idʒ,1084
dʒɑ,9086
ʒɑr,1375
ɑrɑ,4016
rɑt,1779
ɑtt,1260
ttɯ,602
tɯd,284
ɯdʒ,1257
erq,221
rqɑ,440
qɑŋ,17
ɑŋʁ,128
ŋʁɯ,101
ʁɯr,129
ɯrɑ,657
rɑp,419
ɑpe,141
pen,54
ʒɑt,1221
tɯt,96
ɯtu,97
tuŋ,45
uŋʁ,15
ŋʁu,13
ʁuj,16
uju,144
juq,39
uqt,798
qtu,416
tun,390
uny,52
nys,159
yst,231
sty,250
tyn,677
ynq,388
nqɑ,1382
qɑr,1921
rɑŋ,199
ʁɯl,767
ɯlɯ,1567
lɯq,749
ɯqq,748
qqɑ,1090
qɑp,164
ɑpt,615
ptɑ,610
tɑp,660
ptu,711
tur,2480
urd,408
rdu,577
duq,602
uqu,379
ɑjd,2217
jdɯ,866
dɯn,3568
ɯnr,50
nru,91
rux,375
uxu,105
xus,5
usu,668
suy,9
uys,12
ynd,1308
ndo,2322
doe,2302
oeq,411
eqɑ,615
qɑl,2200
ɑlʁ,1416
lʁɯ,311
ʁɯp,406
ɯpu,56
put,17
utʃ,408
tʃu,924
ʃup,137
upd,295
pdʒ,2569
dʒy,1160
ʒyr,662
yrd,173
rdy,735
dyo,64
yoʃ,93
oʃo,2496
ʃon,1528
ond,1900
doq,73
oqu,410
jdʒ,425
ɑrɯ,5348
rɯq,256
ɯqb,220
qbo,294
bol,4291
ols,1314
lsu,170
sun,842
und,1121
ded,1544
edi,1365
diɑ,637
iɑn,365
ɑnɑ,4182
nɑn,2572
ɯqp,84
qpɑ,131
pɑj,989
jdɑ,481
dɑb,872
ɑbo,574
old,918
ldu,489
ɯqt,1284
qtɯ,971
tɯn,1204
ɯnd,3961
ʒɑq,1492
ɑqʃ,618
qʃɯ,598
ʃɯe,60
ɯek,67
eke,1316
ken,1775
eni,3583
nin,1510
ink,417
nko,1056
koe,4397
oer,4514
ery,1675
ryp,612
ypd,270
tɯq,402
ɯqɑ,792
qtɑ,2167
tɑn,1910
ɑnb,1232
nbo,895
boe,1034
oel,1947
eld,917
ldy,281
dyd,147
ydʒ,435
tɯk,79
ɯky,103
kyn,1340
ɯty,85
dep,1772
epɑ,601
pɑt,267
ɑtɑ,2755
tɑd,384
ɑdɯ,1389
dɯk,201
ɯke,267
ket,1163
etʃ,1620
tʃk,429
ʃki,301
kir,908
iri,1447
rip,562
ipt,291
tɑŋ,281
ɑŋɑ,373
ŋɑt,73
tɯb,278
ɯbi,557
bir,3706
rin,1093
int,829
ntʃ,2305
tʃi,1349
ʃik,122
iky,187
yno,1490
noe,3004
oet,2330
ett,893
tty,327
tyɑ,134
yɑn,117
ɑnq,926
nqu,1268
ɑjs,429
jsu,49
unu,1182
nun,593
uno,122
nor,240
ort,174
rto,234
tos,191
osu,494
ndɑ,7261
dɑq,634
ɑqɑ,1396
qɑt,1173
ɑtm,230
tmɑ,68
mɑr,325
ɑrp,78
rpɑ,206
olu,1935
lup,872
ups,71
psu,244
nus,90
sud,49
dɑn,2541
ely,845
lyp,152
ypt,227
urs,112
rsu,79
epb,290
pbu,202
buj,308
jur,82
uqɑ,281
ɑrd,4880
rdɯ,3431
dɯd,634
ʒɑs,262
ɑsɑ,807
sɑp,208
ɑpɑ,680
pɑn,493
ɑnɯ,5478
nɯn,3021
ɯnɑ,4021
nɑl,1607
ɑld,2558
ldɯ,2078
dɑʁ,1340
ɑʁɯ,2390
ʁɯs,138
ɯsu,47
nuy,19
oeɡ,1075
eɡy,520
ɡys,39
ysu,18
dyɑ,206
ɑno,477
noʃ,302
doj,240
ojb,113
jbo,365
ɑjq,561
jqɑ,433
dɯɑ,667
ɯɑs,33
tɯe,95
eki,770
kin,221
sub,47
ubi,201
ird,607
rdʒ,878
erɡ,2092
rɡe,1905
ɡet,252
tʃo,1046
ʃoʁ,351
oʁu,496
ʁul,459
ulu,1551
upq,321
pqu,314
qur,632
urʁ,1156
rʁɑ,2481
ʁɑq,635
ɑqt,1821
ɯqk,111
qko,95
ryn,564
yns,220
nsy,201
syn,335
jqu,130
ert,803
rtʃ,665
ulʁ,267
lʁɑ,2354
ʁɑn,5221
ɑns,660
nsu,282
num,162
umu,200
mux,5
uxi,51
xit,2
itd,7
tde,418
ɯɑl,600
ɑlm,283
lmu,67
mun,520
dyq,119
yqu,185
jɑn,384
ʒɑʃ,956
ɑʃɯ,934
ʃɯl,1082
ɯlo,63
loe,1366
oes,639
esy,479
sym,47
ymd,433
mdy,314
dyk,205
ykt,272
kto,256
toe,1778
dyu,64
yur,5
uru,1201
ruq,287
qtʃ,298
tʃɑ,1809
ʃɑt,705
ɑtʃ,1975
tʃt,466
ʃtʃ,356
ʃuo,34
uoe,118
ʒɑn,1774
nɑd,1057
ɑdɑ,2907
ɑne,1277
neɡ,862
eɡi,803
ɡib,147
ibɑ,431
bɑr,3576
ʒem,103
emi,918
miʃ,133
iʃb,64
ʃbɑ,67
bɑq,432
tɑr,2220
rɯn,1919
ɯnt,1023
nty,449
tyr,428
yrt,88
rty,165
yry,541
rym,143
yme,216
men,5231
ene,4061
nen,3566
eno,754
est,315
ptʃ,541
tʃɯ,3618
ʃɯʁ,859
ɯʁɑ,623
ʁɑr,313
ɑrs,386
rsɯ,95
sɯn,1352
duɑ,234
uɑn,184
dud,162
udʒ,516
dyt,68
yty,272
oed,793
edʒ,1375
rɑʃ,193
ɑʃɑ,1515
ʃɑu,19
ɑur,97
ɯno,560
dɯq,1656
ɯqu,338
ɑjm,449
jmu,19
yke,114
tɯy,17
ɯyt,91
ytʃ,1930
tʃy,1826
ʃyn,1493
ynt,474
ʃyk,98
yky,153
ɑnk,913
nki,820
kij,683
iji,864
jin,816
inq,757
dɑk,312
ɑky,206
ynm,184
nme,531
ent,1379
ndy,331
dyb,167
ybi,140
rib,314
ibi,795
ine,1420
enɑ,1359
ɑdʒ,2329
dʒɯ,1108
ʒɯr,154
ɑtɯ,1477
tɯp,1190
ɯpm,178
pme,160
mez,42
ezɡ,198
zɡi,54
ɡil,568
