r-gram,Counts
jæ,1170
æz,1017
zu,1453
us,6495
kr,1094
ri,5586
is,7016
st,4811
tu,6957
da,4847
aʋ,3600
ʋi,11505
id,1682
dæ,919
æl,1323
la,4158
ab,1155
br,793
ra,4681
ah,118
ha,111
am,6559
ma,4852
ts,10723
si,9003
il,2580
lt,521
ɡr,1068
at,9574
ta,9388
ms,2632
dz,3819
ze,1322
em,4629
md,114
di,5148
in,3080
na,6917
aj,3500
ja,8851
iz,2456
za,971
ak,2789
ku,4436
un,9621
ks,1482
je,113
ek,2761
ka,10605
bu,1997
bs,81
ju,6397
ud,2313
du,1891
iɲ,6629
ɲa,2232
aʎ,497
ʎu,760
fa,168
ar,7691
ræ,408
æs,418
su,2069
ru,2661
nu,4831
uo,14654
as,10616
re,1828
es,8705
ss,347
sr,7
ro,95
on,491
ns,839
mu,2510
mi,3061
ad,4138
so,18
sa,8335
al,2549
ll,1988
lm,29
mo,108
oo,3
oz,216
ba,3299
zs,262
ob,93
bæ,456
æd,619
ut,1657
te,1836
ds,738
se,2223
ce,135
en,2459
ni,3811
ɲu,1417
ɲʃ,2078
lu,1711
om,482
bi,1930
ij,4137
ur,1514
bo,4
oa,24
js,240
az,628
af,27
or,133
zi,3246
jo,21
ez,470
eh,5
hi,50
an,3630
os,1684
ho,13
lo,42
ʋe,1651
er,1558
rd,1423
ib,3011
pe,1334
et,8426
ti,8402
iæ,6
ls,1029
zo,16
iu,16
el,1829
li,3904
ia,22
ki,645
im,1282
rs,846
do,35
ok,475
le,1167
ea,279
be,3603
zæ,339
æp,167
pu,902
ir,3783
op,311
au,4286
uk,698
kt,479
pa,5918
aa,63
tʃ,221
ʃe,221
tr,1487
rp,423
sm,1130
it,4207
ʋæ,1582
ær,973
ai,6289
um,2601
mʃ,35
ʃa,1729
ik,1899
de,1988
ie,19209
ɲi,1245
aɡ,848
ɡa,3781
zr,238
ʋa,5563
eɲ,358
ɲe,503
sʋ,811
æt,917
ps,451
sn,512
iɡ,1761
ɡs,928
ne,4819
eɡ,414
sl,708
ʋu,1651
ej,2673
læ,407
pæ,255
æn,450
me,2007
uŋ,858
ŋɡ,761
ɲɟ,287
ɟe,292
ap,2195
pn,35
eb,709
pi,3267
mt,335
eʋ,3426
ed,1771
tp,82
æk,912
ot,1754
ep,751
ld,844
ji,1749
pr,1901
ɲæ,129
æm,273
uæ,4
ul,688
lk,156
ʋs,605
uz,1458
zm,153
od,1154
tz,116
rm,322
he,66
tl,98
ɡu,1244
dr,601
zɡ,401
uʃ,933
zʋ,304
ɡz,28
zn,204
tn,546
uɡ,816
ɡt,132
zd,314
zb,87
zt,321
uj,102
ee,232
lp,364
sæ,775
ae,86
eʎ,770
ʎa,957
eʔ,19
ʔa,29
up,246
ɡi,723
rn,326
oj,897
ʃi,1622
zk,107
kl,930
kʃ,558
ʃu,931
ɡʃ,208
rŋ,18
ŋs,25
tʋ,213
nt,320
rr,19
aɲ,517
tb,332
tɡ,120
eɟ,45
ɟi,72
ip,274
pt,301
iʃ,348
eʃ,796
ei,1270
zp,197
ʃs,19
oɡ,188
pk,98
rt,422
iʋ,1135
sk,653
dʋ,80
rh,13
hæ,4
tæ,572
æʋ,818
aŋ,73
ŋd,190
uʋ,301
aʃ,378
sp,553
lʋ,670
eʒ,92
ʒa,186
pɡ,208
æɡ,86
ɡʎ,85
km,111
rʋ,136
kn,28
oʒ,53
ʒe,50
oʃ,348
næ,156
kʋ,95
ʃc,292
cu,5
tt,191
ol,303
iʒ,44
