r-gram,Counts
pr,4038
ra,25892
ad,5412
dʑʲ,1809
ʑʲo,606
oj,7648
je,11554
dʲi,12631
ie,45770
ev,6573
va,15041
as,29679
su,19165
utʲ,2248
tʲvʲ,1489
vʲe,12738
ee,52821
erʲ,2771
rʲe,12451
da,18504
an,16088
nɡ,2880
ɡu,4002
ir,33430
ʒe,3380
emʲ,4745
mʲe,14082
eɑ,9390
bu,10928
uv,4858
vo,17257
bʲe,11950
pa,33559
avʲ,5097
vʲi,19484
id,4925
al,7440
lo,4139
tu,15944
uɕ,567
ɕt,1119
tɕ,3609
ɕe,7401
ta,38129
am,11898
ms,6889
sa,19438
ɡa,11714
au,24223
ubʲ,396
ɡe,6223
eɭ,8283
ɭmʲ,250
es,19344
dv,656
aʂ,6105
ʂe,8196
sk,2571
kl,3696
la,11697
anʲ,5628
nʲdʲ,775
dʲe,12947
vʲɪ,8025
ɪr,3835
rʃ,574
ndʲ,521
en,10769
nu,13763
arʲ,6599
tʲe,21440
ea,1143
atʲ,13196
tʲʂ,1429
ʂi,18223
nd,1413
ɕvʲ,2421
do,7184
ma,19762
ka,31863
at,14831
ai,31707
er,7692
ʂkʲ,2032
kʲi,9180
irʲ,1966
uo,14393
so,2415
os,13616
av,10505
adʲ,1746
dʲɪ,1848
ɪn,8888
no,12071
na,19345
ak,4204
ktʲ,1822
tʲɪ,5488
ɪmʲ,2009
mʲi,8431
ar,19514
rʲi,16822
it,3983
pʲi,3217
rm,638
mo,10418
ji,9468
rt,2855
um,2926
rp,992
jɪ,8732
kʲɪ,7758
ɪrʲ,420
enʲ,5736
nʲi,5828
is,20510
ku,13413
urʲ,9937
po,1896
ip,6385
ivʲ,3234
ik,8385
ko,8317
umʲ,1640
nt,5510
tr,1717
ro,6055
uʂ,7143
nk,5050
et,9314
ep,3044
od,1954
us,27496
mp,222
pl,877
lu,2045
udʲ,2052
ij,2116
ju,14326
ur,3132
omʲ,2070
eɡ,4143
ul,1304
iʃ,2640
ʃa,4484
uɡ,3598
ɡɪ,2907
ʒo,1455
oɭ,1850
ɭe,12582
du,5692
nʲt,1988
tɕʲ,4870
ɕʲu,3781
ek,4732
iʂ,5544
ʂmʲ,741
ed,3072
ʑʲu,1141
nʲe,25082
eʃ,10633
iʂʲ,947
ʂʲu,5171
aɡ,2252
ru,5028
ɕi,3132
rʲu,1997
oʂ,2829
tʲrʲ,1515
ɕʲo,1609
tʲi,25245
rtʲ,1805
eb,1948
un,5386
jo,16124
aʒ,1961
ʒi,2329
imʲ,3012
etʲ,3482
eʒ,902
ʒɪ,1392
ɪb,218
ba,6426
ap,3996
pɕ,39
dvʲ,864
idʲ,2274
kt,1854
ei,14415
aɭ,12226
