r-gram,Counts
adij,202
diji,256
ijil,2181
daɪv,4210
aɪvə,4163
ɪvəm,2114
aɡaɕ,419
ɡaɕɐ,396
aɕɐv,42
ɕɐvu,58
ɐvum,1839
bʰumi,1165
umij,987
miju,189
ijum,1818
srʂɖ,98
rʂɖi,163
ʂɖic,69
ɖicc,1261
iccu,11039
para,34
araj,79
raju,8
ajum,403
ɕunj,247
unjə,246
njəm,338
jəma,738
əmaj,3089
maju,433
iɾun,4361
ɾunn,5008
unnu,13874
arət,52
rəti,57
ətin,3605
tinm,449
inmi,27
nmid,27
mide,176
iɾuɭ,48
uɳɖa,2283
ɳɖaj,1245
ɖaji,1085
ajiɾ,4383
jiɾu,2618
ɪvət,1262
vəti,928
tind,2790
inde,13072
atma,502
tmav,461
mavu,317
veɭɭ,948
eɭɭə,596
ɭɭət,189
ɭəti,241
pɐɾi,970
ɐɾiv,44
ɾivə,79
ivəɾ,780
ticc,212
ccuɡ,1592
cuɡo,676
uɡoɳ,1978
ɡoɳɖ,3475
oɳɖi,297
ɳɖiɾ,360
ɖiɾu,149
veɭi,402
eɭic,180
ɭicc,2104
iccə,499
ccəm,80
ɳɖaɡ,418
ɖaɡə,143
aɡəʈ,214
ɡəʈʈ,288
əʈʈe,608
kɐlb,1518
ɐlbi,1121
lbic,1063
bicc,1493
nɐll,484
ɐllə,599
lləd,238
lədu,205
kɐɳɖ,1539
ɐɳɖu,1516
iccɐ,2419
ccɐv,437
cɐvu,15
ɾuɭu,50
uɭum,30
tɐmm,313
ɐmmi,398
mmil,349
piɾi,90
iɾic,212
ɾicc,2109
ccɐt,82
cɐti,58
ɐtin,1997
tinn,3086
innu,11167
pɐɡə,547
ɐɡəl,1893
ɾuɭi,1202
uɭin,9
ɭinn,55
ɾatɾ,252
atɾi,257
ennu,2254
nnum,2546
peɾi,138
eɾiʈ,99
ɾiʈʈ,101
iʈʈu,3310
sɐndʰ,103
ɐndʰj,99
ndʰjə,66
dʰjəj,20
jəja,151
əjaj,931
jaji,971
uʂəs,25
ʂəss,25
əssu,467
ssum,152
suma,8
umaj,1117
maji,2737
onna,240
nnam,381
divə,749
ivəs,711
vəsə,395
əsəm,432
ɭɭəŋ,38
ɭəŋŋ,117
əŋŋɐ,2627
ŋŋɐɭ,2685
ŋɐɭu,1132
ɐɭuɖ,1291
ɭuɖe,4948
mɐddʰ,224
ɐddʰj,236
ddʰje,215
vida,20
idan,25
danə,136
anəm,842
iɾiv,93
ɾiva,27
ivaj,34
vaji,719
jiɾi,2362
iɾik,7015
ɾikə,541
ikəʈ,140
kəʈʈ,161
ɳɖak,709
ɖaki,483
akiʈ,20
kiʈʈ,283
anət,276
nəti,736
