r-gram,Counts
adiji,23
dijil,99
ijild,6
jilda,11
ildaɪ,29
ldaɪv,51
daɪvə,1591
aɪvəm,838
ɪvəma,442
vəmaɡ,34
əmaɡa,20
maɡaɕ,49
aɡaɕɐ,208
ɡaɕɐv,23
aɕɐvu,21
ɕɐvum,33
ɐvumbʰ,22
vumbʰu,21
umbʰum,108
mbʰumi,133
bʰumij,520
umiju,107
mijum,41
ijums,38
jumsr,6
umsrʂ,10
msrʂɖ,12
srʂɖi,59
rʂɖic,28
ʂɖicc,34
ɖiccu,420
iccubʰ,24
ccubʰu,11
cubʰum,10
ubʰumi,248
bʰumip,5
umipa,3
mipar,1
ipara,7
paraj,11
araju,2
rajum,3
ajumɕ,4
jumɕu,19
umɕun,30
mɕunj,44
ɕunjə,138
unjəm,82
njəma,86
jəmaj,138
əmaju,96
majum,87
ajumi,35
jumiɾ,109
umiɾu,102
miɾun,33
iɾunn,1834
ɾunnu,1472
unnua,178
nnuar,18
nuarə,3
uarət,1
arəti,15
rətin,9
ətinm,128
tinmi,13
inmid,24
nmide,28
midei,2
ideiɾ,1
deiɾu,15
eiɾuɭ,3
iɾuɭu,4
ɾuɭuɳ,1
uɭuɳɖ,1
ɭuɳɖa,44
uɳɖaj,564
ɳɖaji,522
ɖajiɾ,429
ajiɾu,1092
jiɾun,1215
unnud,254
nnuda,198
nudaɪ,125
udaɪv,290
aɪvət,536
ɪvəti,387
vətin,354
ətind,844
tinde,1425
indea,154
ndeat,24
deatm,28
eatma,55
atmav,178
tmavu,81
mavuv,5
avuve,4
vuveɭ,4
uveɭɭ,120
veɭɭə,304
eɭɭət,85
ɭɭəti,75
ɭətin,42
midep,5
idepɐ,2
depɐɾ,56
epɐɾi,130
pɐɾiv,9
ɐɾivə,7
ɾivəɾ,21
ivəɾt,51
vəɾti,195
əɾtic,66
ɾticc,66
ticcu,51
iccuɡ,637
ccuɡo,290
cuɡoɳ,115
uɡoɳɖ,866
ɡoɳɖi,79
oɳɖiɾ,119
ɳɖiɾu,66
ɖiɾun,67
unnuv,367
nnuvi,276
nuvid,6
uvida,4
vidan,11
idanə,13
danəm,37
anəmu,35
nəmuɳ,23
əmuɳɖ,277
muɳɖa,524
uɳɖak,414
ɳɖaki,275
ɖakiʈ,4
akiʈʈ,7
kiʈʈu,45
iʈʈud,32
ʈʈuda,21
ʈudaɪ,11
ɪvəmv,11
vəmvi,8
əmvid,58
mvida,2
danət,8
anəti,76
nətin,216
ətink,7
tinki,29
inkir,47
nkiru,4
kiruɭ,10
iruɭɭ,10
ruɭɭɐ,15
uɭɭɐv,316
ɭɭɐve,22
ɭɐveɭ,14
ɐveɭɭ,50
eɭɭəv,21
ɭɭəvu,20
ɭəvum,102
əvumv,127
vumvi,73
umvid,22
midej,19
ideju,14
dejuɭ,14
ejuɭɭ,205
juɭɭɐ,410
əvumt,55
vumtɐ,57
umtɐm,55
mtɐmm,61
tɐmmi,120
ɐmmil,133
mmilv,15
milve,24
ilveɾ,6
lveɾp,3
veɾpi,6
eɾpiɾ,6
ɾpiɾi,7
piɾic,10
iɾicc,96
ɾiccu,570
iccuɐ,833
ccuɐŋ,52
cuɐŋŋ,51
uɐŋŋə,221
ɐŋŋən,479
ŋŋəne,822
ŋənes,32
ənesɐ,34
nesɐm,38
esɐmbʰ,8
sɐmbʰə,72
ɐmbʰəv,81
mbʰəvi,73
bʰəvic,52
əvicc,112
viccu,183
iccus,114
ccusɐ,53
cusɐn,8
usɐndʰ,13
sɐndʰj,56
ɐndʰjə,43
ndʰjəj,11
dʰjəja,7
jəjaj,53
əjaji,159
jajiu,9
ajiuʂ,3
jiuʂə,3
iuʂəs,3
uʂəss,15
ʂəssu,9
əssum,79
ssuma,7
sumaj,4
umaji,486
majim,42
ajimu,24
jimun,10
imunn,53
munna,77
unnam,76
nnamd,21
namdi,21
amdiv,35
mdivə,37
divəs,251
ivəsə,142
vəsəm,142
əsəmp,16
səmpɐ,29
əmpɐɡ,16
mpɐɡə,57
pɐɡəl,72
ɐɡəlv,2
ɡəlva,1
əlvar,1
lvare,1
vareɳ,5
areɳɖ,6
reɳɖɐ,7
eɳɖɐd,276
ɳɖɐdi,264
ɖɐdin,263
ɐdinn,569
dinnu,1011
innuv,376
nnuvɐ,329
nuvɐl,93
uvɐli,61
vɐlip,18
ɐlipɐ,10
lipɐm,2
ipɐme,2
pɐmer,2
ɐmeri,3
merij,14
erijɐ,77
rijɐv,40
ijɐve,21
jɐveɭ,16
ɐveɭi,10
veɭic,94
eɭicc,97
ɭiccɐ,94
iccɐv,202
ccɐvu,7
cɐvum,9
ɐvumɾ,19
vumɾa,20
umɾat,22
mɾatɾ,23
ɾatɾi,109
atɾiv,2
tɾiva,1
