r-gram,Counts
dev,6855
eva,5047
van,1903
ane,11613
aka,1066
kaʃ,621
pɾʊ,617
ɾʊtʰ,605
ʊtʰv,586
tʰvi,586
nɪr,496
ɪrm,679
rma,356
maɳ,5338
kel,7763
eli,3459
sʊɾ,582
ʊɾʊ,755
ɾʊv,186
ʊva,455
vat,550
ati,2973
til,6230
ila,887
pur,1837
urɳ,592
rɳə,808
ɳəp,283
əpɳ,811
pɳe,350
ɾɪk,181
ɪka,1697
kam,1210
ami,480
hot,8961
oti,1768
viv,336
ivə,1223
vəɾ,15547
kah,2343
ahi,11944
hih,307
ihi,1604
nʌv,984
ʌvh,719
vhə,563
hət,1577
əte,421
ʌndʰ,556
ndʰa,162
dʰaɾ,438
aɾa,2617
ɾan,1869
zəl,57
əla,465
laʃ,32
aʃɛ,6
ʃɛj,216
ɟʰak,126
akl,422
kle,962
lel,5652
ele,6231
ote,3079
aɳɪ,12410
vac,3151
aca,6100
atm,739
tma,257
paɳ,740
aɳj,1320
ɳja,7766
jav,4846
avə,5088
pakʰ,18
akʰə,354
kʰəɾ,718
ɡʰal,847
ali,2279
lit,165
ota,2758
nʌn,2014
ʌnt,4976
ntə,1850
təɾ,3590
bol,2086
oll,446
lla,1086
pɾə,6429
ɾək,1127
əka,1491
hov,97
ovo,89
cʌm,31
ʌmk,23
mku,9
laɡ,1628
aɡl,1037
ɡla,685
pah,3016
ahɪ,2648
hɪl,2459
ɪla,2182
tja,22129
jal,5366
ala,17626
kʌɭ,301
ʌɭl,122
ɭle,375
cãɡ,1483
ãɡl,1013
ahe,13958
ɾap,441
apa,2369
pas,2150
asu,1760
sun,1993
veɡ,325
eɡɭ,148
ɡɭa,76
ela,4798
aʃa,705
ʃal,520
dɪv,1833
ɪvə,1171
vəs,954
ɾal,1191
ɾat,2280
atɾ,932
tɾə,3189
ʌʃi,879
nav,1546
ave,3121
dɪl,3176
ɪli,981
sən,2017
əndʰ,379
ndʰj,130
dʰja,319
jak,2256
kaɭ,1417
ɟʰal,3260
sək,277
pʌh,165
ʌhɪ,225
əlã,13
lãs,44
dʊbʰ,33
ʊbʰa,414
bʰaɡ,798
aɡɳ,327
ɡɳj,260
akɾ,594
kɾɪ,270
ɾɪt,377
ɪta,831
lãc,394
ãcj,4870
cja,25030
mədʰ,301
ədʰj,93
dʰjə,86
jəbʰ,153
əbʰa,221
aɡi,401
əɾa,10129
ɾaɭ,152
tev,3731
evh,4350
vha,4989
aɭa,673
ɭav,276
əɾʌ,1762
ɾʌc,707
ʌcj,4814
kʰal,769
alʌ,136
lʌc,822
ɡɭe,244
ɭas,67
ʌse,4991
nãv,105
ɪle,4036
dʊs,1105
ʊsɾ,413
sɾa,3441
ɭakʰ,2
akʰa,310
lil,172
aɳi,1448
ekʌ,396
kʌt,341
ʌtɾ,791
ɡoɭ,194
oɭa,267
koɾ,257
oɾɖ,110
ɾɖi,40
zəm,944
əmi,797
min,570
dɪs,648
ɪsu,98
jev,43
evo,54
tʌs,544
ɡʰʌɖ,303
ʌɖl,596
ɖle,1207
oɾʌ,87
ɾʌɖ,195
ʌɖj,171
ɖja,667
əmɪ,432
mɪn,475
ɪni,456
nis,71
bʰum,397
umɪ,22
ale,3786
elj,3476
lja,10509
ələ,184
ləs,14
əsə,340
səɲ,42
əɲc,194
ɲcə,103
cəj,2
əja,1176
jas,4985
səm,2130
əmʊ,700
mʊd,546
ʊdɾ,474
dɾə,259
ɡle,1062
mʌɡ,3017
ɡʌv,93
ʌvə,832
vət,809
biz,52
deɳ,851
eɳa,819
ɳar,1358
arj,2189
rja,3408
vən,1114
ənʌ,153
nʌs,319
ʌsp,30
spə,85
pət,300
əti,615
pʰʌɭ,203
ʌɭe,98
vaɖʰ,343
aɖʰo,20
ɖʰot,2
pʰəɭ,74
əɭɟʰ,7
ɭɟʰa,7
ɟʰaɖ,374
aɖe,218
bɪj,57
ɪja,454
ʌsl,1683
sle,1315
təj,502
jaɾ,914
kəɾ,10695
əɾt,1791
ɾti,1058
ɾət,2788
ətj,1261
tje,1300
jek,1064
apʌ,2438
pʌl,2433
ʌlj,3995
zat,1110
tic,612
icj,1265
jac,13568
əɾi,3862
ɾil,1505
ʌʃa,847
pap,1518
ice,678
ici,609
ɳaɾ,4045
aɾi,1786
əɭa,239
ɭat,339
atə,295
təc,344
ʌsɳ,179
sɳa,308
umi,322
ine,1344
ʊpə,112
pəz,16
əzv,15
zvɪ,88
vɪl,1345
tɪs,293
ɪsɾ,3241
ɡɭi,133
əɾɳ,3101
ɾɳj,1911
asa,5267
saʈʰ,4828
aʈʰi,4969
ʃat,1584
zjo,18
jot,33
otɪ,13
vot,39
vɪʃ,1383
ɪʃe,271
ʃeʂ,201
cɪn,66
ɪnh,98
nhe,79
meɭ,21
eɭa,145
ɾʊt,1126
ʊtu,8
vʌr,550
