r-gram,Counts
deva,4543
evan,1042
vane,1325
anea,1076
neak,40
eaka,66
akaʃ,350
kaʃv,22
aʃvə,20
ʃvəp,17
vəpɾ,153
əpɾʊ,37
pɾʊtʰ,585
ɾʊtʰv,584
ʊtʰvi,586
tʰvin,33
vinɪ,34
inɪr,103
nɪrm,370
ɪrma,299
rmaɳ,284
maɳk,242
aɳke,179
ɳkel,415
keli,1925
elis,223
lisʊ,25
isʊɾ,109
sʊɾʊ,246
ʊɾʊv,159
ɾʊva,164
ʊvat,163
vati,98
atil,2572
tila,665
ilap,144
lapɾ,352
apɾʊ,133
tʰvip,13
vipu,1
ipur,213
purɳ,587
urɳə,589
rɳəp,116
ɳəpɳ,191
əpɳe,321
pɳeɾ,9
ɳeɾɪ,1
eɾɪk,8
ɾɪka,77
ɪkam,115
kami,134
amih,61
miho,44
ihot,1121
hoti,1724
otip,159
tipɾ,94
ipɾʊ,89
tʰviv,349
vivə,297
ivəɾ,989
vəɾk,327
əɾka,274
ɾkah,100
kahi,2297
ahih,486
hihi,333
ihin,144
hinʌ,149
inʌv,145
nʌvh,711
ʌvhə,547
vhət,552
həte,287
əteʌ,15
teʌn,43
eʌndʰ,24
ʌndʰa,150
ndʰaɾ,131
dʰaɾa,95
aɾan,232
ɾane,1621
anez,337
nezə,75
ezəl,11
zəla,10
əlaʃ,26
laʃɛ,1
aʃɛj,6
ʃɛjɟʰ,1
ɛjɟʰa,16
jɟʰak,2
ɟʰakl,35
akle,251
klel,104
lele,1330
eleh,367
leho,1050
ehot,1778
hote,3062
otea,243
teaɳ,293
eaɳɪ,2919
aɳɪd,501
ɳɪde,183
ɪdev,179
evac,1830
vaca,580
acaa,322
caat,74
aatm,264
atma,405
tmap,22
mapa,82
apaɳ,178
paɳj,302
aɳja,1148
ɳjav,167
javə,4062
avəɾ,4683
vəɾp,777
əɾpa,234
ɾpakʰ,2
pakʰə,5
akʰəɾ,98
kʰəɾɡʰ,4
əɾɡʰa,35
ɾɡʰal,59
ɡʰali,67
alit,350
lith,6
itho,338
thot,1439
hota,2864
otan,65
tanʌ,66
anʌn,1055
nʌnt,1487
ʌntə,1604
ntəɾ,1565
təɾd,613
əɾde,825
ɾdev,559
devb,22
evbo,11
vbol,21
boll,445
olla,274
llap,49
apɾə,3195
pɾək,673
ɾəka,713
əkaʃ,235
kaʃh,9
aʃho,202
ʃhov,7
hovo,89
ovoa,10
voaɳ,14
oaɳɪ,575
aɳɪp,726
ɳɪpɾ,213
ɪpɾə,90
kaʃc,8
aʃcʌ,1
ʃcʌm,1
cʌmk,8
ʌmku,7
mkul,6
kula,12
ulaɡ,485
laɡl,863
aɡla,407
ɡlad,13
lade,597
adev,1933
anep,797
nepɾ,188
epɾə,580
kaʃp,29
aʃpa,32
ʃpah,24
pahɪ,1705
ahɪl,1780
hɪla,489
ɪlaa,218
laaɳ,1096
aaɳɪ,2648
aɳɪt,3642
ɳɪtj,1807
ɪtja,1444
tjal,3836
jala,5309
alak,956
lakʌ,278
akʌɭ,150
kʌɭl,85
ʌɭle,92
ɭlek,19
leki,349
ekit,234
kito,75
itoc,19
tocã,56
ocãɡ,59
cãɡl,989
ãɡla,244
ɡlaa,107
laah,1006
aahe,2081
ahen,136
henʌ,73
enʌn,252
aneʌ,303
neʌn,47
aɾap,184
ɾapa,170
apas,1111
pasu,1633
asun,1654
sunp,131
unpɾ,136
npɾə,100
aʃve,1
