r-gram,Counts
pɾɪtʰ,548
ɾɪtʰw,542
ɪtʰwi,134
tʰwiʃ,2
wiʃu,1
iʃun,5
ʃunj,24
unjə,57
njətʰ,5
jətʰɪ,60
ətʰɪj,371
tʰɪjo,2778
ɪjop,252
jopɾ,193
opɾɪ,56
ɪtʰwɪ,408
tʰwɪm,200
wɪma,208
ɪmak,101
make,160
akeh,220
kehi,1198
ehip,166
hipʌ,236
ipʌn,703
pʌnɪ,3678
ʌnɪtʰ,87
nɪtʰɪ,66
ɪtʰɪe,132
tʰɪen,485
ɪenə,525
enəs,20
nəsə,774
əsəm,682
səmu,995
əmud,369
mudɾ,329
udɾə,322
dɾəl,18
ɾəla,795
əlai,8413
laiʌ̃,14
aiʌ̃dʰ,10
iʌ̃dʰj,10
ʌ̃dʰja,57
dʰjaɾ,71
jaɾo,213
aɾol,7
ɾole,79
oleɖʰ,2
leɖʰa,55
eɖʰak,49
ɖʰake,27
akek,36
keko,299
ekotʰ,1366
kotʰɪ,1480
otʰɪj,1339
ɪjoʌ,324
joʌn,821
oʌnɪ,1035
ʌnɪp,1040
nɪpə,477
ɪpəɾ,1070
pəɾə,9683
əɾəm,10347
ɾəme,4611
əmeʃ,4367
meʃw,4331
eʃwɾ,4312
ʃwɾʌ,4338
wɾʌk,1543
ɾʌko,1228
ʌkoa,112
koat,101
oatm,182
atma,519
tmap,26
mapa,239
apan,121
panɪ,225
anɪm,1034
nɪma,429
ɪmatʰ,224
matʰɪ,2059
atʰɪp,109
tʰɪpə,36
pəɾɪ,1339
əɾɪbʰ,30
ɾɪbʰɾ,1
ɪbʰɾə,1
bʰɾəm,2
ɾəmə,1603
əməɳ,247
məɳɡ,216
əɳɡə,248
ɳɡəɾ,192
ɡəɾɪ,1129
əɾɪɾ,824
ɾɪɾə,954
ɪɾəh,2461
ɾəhʌ,284
əhʌn,264
hʌntʰ,127
ʌntʰj,30
ntʰjo,327
tʰjot,147
jotʌ,253
otʌb,273
tʌbp,224
ʌbpə,201
bpəɾ,196
wɾʌl,1455
ɾʌle,1070
ʌlebʰ,82
lebʰʌ,1753
ebʰʌn,1927
bʰʌnn,1824
ʌnnu,1043
nnubʰ,1150
nubʰə,2746
ubʰəj,2085
bʰəjo,2081
əjoʊ,147
joʊɟ,13
oʊɟj,26
ʊɟja,89
ɟjal,147
jalo,97
aloh,29
loho,21
ohos,47
hosʌ,96
osʌn,151
sʌnɪ,211
ʌnɪʊ,821
nɪʊɟ,15
ɪʊɟj,4
aloc,21
locʌ,5
ocʌm,11
cʌmk,45
ʌmkə,14
mkən,36
kəntʰ,3
əntʰa,30
ntʰal,133
tʰalj,84
aljo,106
ljot,35
əjop,237
jopa,125
opan,145
anɪl,148
nɪla,132
ɪlai,2175
laid,1395
aidu,96
iduɪ,113
duɪbʰ,12
uɪbʰa,11
ɪbʰaɡ,62
bʰaɡp,35
aɡpa,17
ɡpar,5
parr,758
arrn,923
rrnə,2753
rnət,116
nətj,227
ətjʌ,1723
tjʌh,1760
jʌhã,1535
ʌhãb,148
hãbə,44
ãbət,3
bəta,351
ətas,100
tash,4
asho,9
shos,5
hosj,82
osjə,31
sjəs,39
jəsʌ,975
əsʌr,857
sʌrr,967
ʌrrtʰ,1326
rrtʰə,1553
rtʰəp,65
tʰəpə,40
əpəɾ,2049
ʌlet,204
letj,1419
etjʌ,1622
tass,2
assɾ,2
ssɾɪ,4
sɾɪʂ,75
ɾɪʂʈ,715
ɪʂʈɪ,122
ʂʈɪɡ,47
ʈɪɡʌ,28
ɪɡʌr,140
ɡʌrr,6701
ʌrrn,3542
rrnu,1090
rnubʰ,334
əjoʌ,181
nɪpa,137
ɪpan,60
pani,461
anicʰ,30
nicʰu,4
icʰuʈ,14
cʰuʈʈ,74
uʈʈɪ,19
ʈʈɪj,11
ʈɪjo,18
ɪjok,170
joke,105
okeh,109
hipa,42
ipan,65
anib,78
nibə,98
ibət,102
tasə,44
asəm,456
səma,1019
əmatʰ,675
atʰɪɾ,113
tʰɪɾʌ,8
ɪɾʌh,56
ɾʌhə,334
ʌhəj,6
həjo,194
ʌnɪk,465
nɪke,80
ɪkeh,156
tasm,1
asmu,2
smun,2
munɪ,101
unɪt,7
nɪtʌ,28
ɪtʌb,15
əjoa,66
joak,12
oaka,27
akaʃ,311
kaʃm,8
aʃmu,2
ʃmun,2
unɪk,52
nɪko,369
ɪkop,270
kopa,541
anie,20
niek,27
iekɛ,26
ekɛʈʰ,18
kɛʈʰa,14
ɛʈʰaũ,47
ʈʰaũm,318
aũma,431
ũmaɟ,31
maɟʌ,142
aɟʌm,61
ɟʌmm,268
ʌmma,240
mmah,5
maho,58
ahos,32
hosɾ,60
osɾə,85
sɾət,39
ɾətj,1760
ʌhãs,107
hãsu,47
ãsukʰ,5
sukʰkʰ,32
ukʰkʰa,33
kʰkʰabʰ,11
kʰabʰu,8
abʰum,64
bʰumɪ,1216
umɪd,65
mɪde,21
ɪdekʰ,168
dekʰɪ,939
