r-gram,Counts
aɾʌmbʰ,11
ɾʌmbʰə,8
ʌmbʰəm,11
mbʰəma,13
pəɾəm,14968
əɾəme,6763
ɾəmeʃ,6762
əmeʃw,6737
meʃwɾ,6708
eʃwɾʌ,6704
ʃwɾʌl,2751
wɾʌle,2239
pɾɪtʰw,700
ɾɪtʰwi,173
sɾɪʂʈ,131
ɾɪʂʈɪ,187
ʃunjə,25
ɾɪtʰwɪ,527
ɪtʰwɪm,255
tʰwɪma,255
tʰɪenə,465
səmud,463
əmudɾ,408
mudɾə,400
udɾəl,20
dɾəla,19
ɾəlai,755
ʌ̃dʰjaɾ,70
dʰjaɾo,85
jaɾol,8
aɾole,6
ɖʰakek,19
akeko,21
ʃwɾʌk,1959
wɾʌko,1581
panɪm,83
anɪma,110
nɪmatʰ,30
ɪmatʰɪ,211
pəɾɪbʰ,1
əɾɪbʰɾ,1
ɾɪbʰɾə,1
ɪbʰɾəm,1
bʰɾəmə,2
ɾəməɳ,256
ɡəɾɪɾ,505
əɾɪɾə,954
ɾɪɾəh,744
ɪɾəhʌ,103
ɾəhʌn,293
əhʌntʰ,27
hʌntʰj,27
ʌntʰjo,37
bʰʌnnu,1298
ʌnnubʰ,1277
nnubʰə,1441
nubʰəj,2820
ubʰəjo,2822
ʊɟjal,106
ɟjalo,102
cʌmkə,16
ʌmkən,15
tʰaljo,79
tjəsə,884
jəsəl,814
əsəla,1241
səlai,2966
aɾola,3
ɾolai,59
cʰuʈʈj,52
uʈʈja,52
ʈʈjaʊ,44
ʈjaʊn,39
jaʊnu,431
jalol,10
alola,11
lolai,18
pʌrrj,104
ʌrrjo,405
bɪhan,212
pʌhɪl,552
ʌhɪlo,241
panɪl,84
anɪla,55
nɪlai,132
parrn,656
arrnə,418
tjʌhã,1465
bətas,66
jəsʌr,1107
əsʌrr,1110
sʌrrtʰ,1112
ʌrrtʰə,1423
ɡʌrrn,4241
ʌrrnu,443
rrnubʰ,523
rnubʰə,517
cʰuʈʈɪ,27
uʈʈɪj,5
ʈʈɪjo,5
ətasə,37
tasəm,5
asəma,65
səmatʰ,91
əmatʰɪ,525
ɾʌhəj,5
ʌhəjo,3
tasəl,23
asəla,72
dosɾo,138
tesɾo,111
sukʰkʰa,43
ʊdbʰɪd,38
munɪk,14
unɪko,9
ʈʰaũma,406
ɟʌmma,188
dekʰɪj,15
ekʰɪjo,22
kʰɪjos,13
tjʌst,647
jʌstɛ,305
bʰumɪl,64
umɪla,49
mɪlai,2207
bʰəeko,2895
wɾʌla,530
ɾʌlai,529
jʌsto,1088
əekom,42
ekoma,104
laɡjo,89
ʊtpʌn,45
tpʌnn,45
pʌnnə,75
ʌrrne,1612
boʈəh,38
oʈəhə,46
ʈəhəɾ,275
əhəɾu,20970
ʊmɾɪj,11
mɾɪjo,11
ɾɪjos,38
ɾukʰəh,139
ukʰəhə,222
kʰəhəɾ,276
həɾul,22413
əɾule,12434
bʰəeka,838
pʰəlaʊ,10
əlaʊn,165
laʊne,158
pɾətj,1354
ɾətje,1338
ətjek,1339
tjekə,1339
ɾukʰəl,42
ukʰəle,39
ɟatɪk,53
atɪka,40
ʊbɟaʊ,23
bɟaʊn,17
ɟaʊne,31
aʊnecʰ,1221
ʊnecʰə,640
dbʰɪdə,17
bʰɪdəh,12
ɪdəhə,12
dəhəɾ,170
pɾɪtʰə,8
ɾɪtʰəw,5
ɪtʰəwɪ,4
tʰəwɪm,2
əwɪma,2
ʊmɾɪʊ,1
mɾɪʊn,1
ʌnnəh,31
nnəhə,35
nəhəɾ,1431
pʰələbʰ,1
ələbʰɪ,11
ləbʰɪt,48
əbʰɪtɾ,230
bʰɪtɾə,620
bɪʊhə,60
ɪʊhəɾ,60
ʊhəɾu,94
pʰʌlne,5
ʊmɾɪe,10
bʰɪdəl,1
ɪdəle,1
pɾəka,689
ɾəkaɾ,622
əkaɾə,2129
kaɾək,272
aɾəko,733
sɪrrɟ,9
ɪrrɟə,20
rrɟən,92
rɟəna,8
jɪnəl,28
ɪnəla,522
nəlai,1878
dekʰeɾ,94
ekʰeɾə,108
akaʃə,196
kaʃəm,93
aʃəma,100
ɟjala,70
jalah,4
alahə,160
lahəɾ,766
ahəɾu,8700
dɪnəh,136
ɪnəhə,159
həɾub,832
əɾuba,860
ɾubaʈ,845
ɾatəh,6
atəhə,127
təhəɾ,851
əɾula,10076
ɾulai,10127
jaʊne,352
necʰən,2804
wɪʃeʂ,368
cɪnhə,89
ɪnhəh,14
nhəhə,14
həhəɾ,194
həɾuk,8898
əɾuko,5248
nɪmtɪ,3285
pɾəjo,448
ɾəjoɡ,448
ɡəɾɪn,167
əɾɪne,124
ɾɪnecʰ,205
ɪnecʰə,801
jɪnɪh,127
ɪnɪhə,12479
nɪhəɾ,13617
ɪhəɾu,29345
səbʰah,7
əbʰahə,8
bʰahəɾ,7
kʌhɪl,235
ʌhɪle,959
bətaʊ,166
ətaʊn,157
taʊne,71
wʌrrʂ,664
ʌrrʂə,616
rrʂəh,15
rʂəhə,15
ʂəhəɾ,125
taʊnə,6
aʊnəm,49
ʊnəma,58
ɟjotɪ,109
cəmka,16
əmkaʊ,11
mkaʊn,12
kaʊnə,19
aʊnək,145
ʊnəko,427
ɾəhən,579
əhəne,392
hənecʰ,334
ənecʰə,389
duɪwə,207
uɪwəʈ,207
ɪwəʈa,212
ɾəkaʃ,88
puɲɟə,5
uɲɟəh,3
ɲɟəhə,4
ɟəhəɾ,609
nɪrrm,312
ɪrrma,301
rrmaɳ,296
dɪnəm,258
ɪnəma,441
ʌrrnə,2773
rrnək,240
rnəko,73
bənaʊ,1082
ənaʊn,996
naʊnu,480
ɾatək,18
atəko,81
taɾah,58
aɾahə,111
ɾahəɾ,2760
ɪtʰwɪl,46
tʰwɪla,32
wɪlai,37
jəsək,1365
əsəka,1378
səkaɾ,1346
kaɾəɳ,2164
ʊhãle,1549
tɪnɪh,12212
ɾatəm,37
atəma,244
təmatʰ,8
ʃasən,420
ɡaɾaʊ,2
aɾaʊn,3
ɾaʊnu,216
jaɾob,138
aɾoba,138
ɾobaʈ,19
ʈʈjae,12
ʌrrko,654
pɾaɳɪ,111
ɾaɳɪh,93
aɳɪhə,100
ɳɪhəɾ,119
bʰəɾɪj,7
əɾɪjo,29
wɪmatʰ,23
kaʃək,55
aʃəko,65
pʰɛlaw,1
ɛlawə,1
lawəʈ,3
awəʈə,5
wəʈəm,1
əʈəma,29
cuɾuŋ,37
uɾuŋɡ,40
ɾuŋɡɪ,33
uŋɡɪh,30
ŋɡɪhə,37
ɡɪhəɾ,69
samud,2
amudɾ,2
mudɾɪ,3
udɾɪk,3
dɾɪkə,2
pɔɖɪn,2
ɔɖɪne,2
wɪbʰɪn,90
ɪbʰɪnn,95
bʰɪnnə,128
aɾəka,331
ɟʌntu,19
ʌntuh,10
ntuhə,11
tuhəɾ,207
uhəɾu,1378
ɟʌləc,5
ʌləcə,10
ləcəɾ,8
əcəɾə,16
tʰʌləc,3
aʃɪrr,273
ʃɪrrw,274
ɪrrwa,290
rrwad,279
dɪeɾə,137
panɪk,94
anɪka,58
bʌcca,52
ʌccah,26
ccahə,42
cahəɾ,67
ɟənma,140
ənmae,21
nmaeɾ,2
maeɾə,3
bʰumɪm,552
umɪma,554
ʌrrkɔ,7
tʰəwɪl,1
əwɪle,1
ɟɪwɪt,297
cɪɟəh,436
ɪɟəhə,487
bənao,6
ənaos,5
ɡʰəɾel,4
əɾelu,4
pʌʃuh,201
ʌʃuhə,201
ʃuhəɾ,379
ɡʰʌstɾ,1
ʌstɾə,168
stɾən,1
tɾəne,2
ɟʌŋɡə,158
ʌŋɡəl,176
ŋɡəli,137
ɟənaw,76
ənawə,74
nawəɾ,73
awəɾə,86
wəɾəh,48
əɾəhə,902
ɾəhəɾ,2124
ɾəhos,98
bʰəeɟʰɛ,4
əeɟʰɛn,3
paltu,6
ɡʰʌsɾə,22
ʌsɾən,22
sɾəne,22
ɡəɾeɾ,372
əɾeɾə,444
herrd,56
errda,24
ʊhãla,427
hãlai,424
ɾamɾo,878
manɪs,14805
ɡəɾɔn,55
hamɾɛ,16
swɾup,72
naʊne,233
ʊnecʰɔ,171
necʰɔn,174
ɟʌstɛ,1290
hunecʰ,3532
unecʰə,3040
nʌbʰəc,1
ʌbʰəcə,1
bʰəcəɾ,1
stʰʌlə,16
cəɾəm,4
əɾəma,637
həɾum,1913
əɾuma,1822
ɾumatʰ,425
umatʰɪ,471
ɡərrn,2514
ərrnɛ,19
rrnɛcʰ,4
rnɛcʰə,2
nɛcʰən,2
pɾətɪ,615
ɾətɪɾ,97
ətɪɾu,9
tɪɾup,10
ɪɾupə,7
ɾupəm,407
upəma,408
anɪsə,13181
nɪsəl,1559
ɪsəla,602
wɾupə,5
puɾuʂ,198
dɪndɛ,68
sənta,540
əntan,533
ntanə,382
tanəh,321
anəhə,837
ʊtpət,1
tpətɪ,1
ɡəɾaʊ,243
ɪtʰəwi,1
bʰəɾeɾ,7
heɾəc,156
eɾəca,158
ɾəcah,158
əcahə,152
udɾək,117
dɾəka,25
macʰah,29
acʰahə,43
cʰahəɾ,52
cəɾah,61
əɾahə,92
hĩɖʌɖ,1
ĩɖʌɖu,1
ɖʌɖul,1
tɪmɪh,8782
ɪmɪhə,8782
mɪhəɾ,9195
dɪncʰu,273
ʊmɾən,32
mɾəne,19
pʰʌləh,40
ʌləhə,118
ləhəɾ,627
dɪnecʰ,851
kʰadjə,89
pədar,19
ədarr,20
darrtʰ,20
arrtʰə,677
pəʃuh,171
əʃuhə,171
kʰanək,18
anəka,302
hʌɾɪj,43
ʌɾɪjo,144
ɪnecʰu,649
ɪtʰwɪk,186
tʰwɪka,102
kʰanecʰ,75
anecʰə,262
apʰule,145
ɡəɾek,1967
əɾeka,942
cɪɟək,29
ɪɟəko,31
nɪɾɪk,22
ɪɾɪkʂ,22
ɾɪkʂə,82
ɪkʂəɳ,30
cʰɛʈɔn,24
jʌsəɾ,522
ʌsəɾi,943
həɾubʰ,41
əɾubʰɪ,14
ɾubʰɪt,14
ubʰɪtɾ,17
wʌstu,200
ʌstuk,15
stuko,12
ɡʌrrd,1187
ʌrrdɛ,243
əɾeko,1301
satɔn,98
kaməh,383
aməhə,393
məhəɾ,680
wɪʃɾa,240
ɪʃɾam,242
ʃɾamə,242
lɪnubʰ,34
ɪnubʰə,684
dɪnəl,78
dɪnubʰ,641
pəwɪt,1300
əwɪtɾ,1300
wɪtɾə,1299
mannu,11
annubʰ,10
sənsa,405
ənsaɾ,405
nsaɾə,388
karrj,411
arrjə,405
rrjəb,5
rjəba,5
jəbaʈ,62
tʰwɪko,82
ɪtɪha,68
tɪhas,67
ʌrrda,488
ɡʰəʈən,112
əʈəna,109
ʈənah,89
ənahə,251
nahəɾ,694
ʊmmɾə,1
mmɾən,1
mɾənu,1
ʌɡʰɪka,20
bʰumɪh,40
umɪhə,38
ʊmɾek,9
mɾeko,9
kɪnəbʰ,1360
ɪnəbʰə,1387
nəbʰən,1366
əbʰəne,1367
əɾəmʌ,7442
ɾəmʌp,7438
əmʌpɾ,7441
mʌpɾə,7477
ʌpɾəbʰ,7441
pɾəbʰu,8193
ɾəbʰul,3073
əbʰule,2600
jətɪɲ,12
ətɪɲɟ,21
tɪɲɟe,22
ɪɲɟel,40
panɪs,8
anɪsʌ,7
nɪsʌm,4
ɪsʌmm,48
sʌmmə,1891
wərrʂ,146
ərrʂa,40
rrʂaũ,4
rʂaũn,2
ʂaũnu,1
ərrnə,169
rrnəl,129
rnəla,128
ʋjʌkt,313
jʌktɪ,303
ɪtʰwɪb,19
tʰwɪba,20
wɪbaʈ,23
nɪskɪ,58
ɪskɪj,17
skɪjo,19
mɛdan,71
ɛdanə,57
danəm,58
anəma,579
pʰɛlɪj,18
ɛlɪjo,18
tjʌsə,2868
jʌsəp,1363
ʌsəpə,1363
səpəcʰ,1367
əpəcʰɪ,1442
bʰũɪba,3
ũɪbaʈ,3
ʊʈʰaʊn,134
ʈʰaʊnu,299
nɪsək,750
ɪsəko,629
nakəb,5
akəba,6
kəbaʈ,52
ɟɪũdo,76
purrw,365
urrwp,21
rrwpʌ,21
rwpʌʈ,20
