r-gram,Counts
bəjyn,201
əjynn,82
jynnɛ,62
ynnɛl,77
nnɛls,231
nɛlsə,154
ɛlsən,252
skɑpt,94
kɑpta,32
hɪmme,610
ɪmmel,610
mmelə,616
melən,615
jɔrdə,1188
ɔrdən,1203
mœrka,94
stura,447
svɛvd,2
vɛvda,5
vɑnnɛ,36
ɑnnɛn,80
nnɛna,574
lysət,68
ʃɪlta,26
mœrkə,85
œrkət,105
kɑlta,292
ɑftən,72
mɔrɡə,167
ɔrɡən,218
fœrʃt,630
œrʃta,347
vɛlvɪ,24
ɛlvɪŋ,20
ʃɪlla,44
jɔrda,1247
lvɪŋə,13
vɪŋən,18
vɑnnə,178
ɑnnət,1128
ʉnnər,615
hɪmmə,45
ɪmməl,46
ɑnnən,698
sɑmla,118
tœrra,139
sɑmlə,276
ɑmlət,198
ʉrtər,47
frʉkt,368
rʉktr,9
ʉktra,8
ktrar,7
barər,178
derəs,1935
ɛftər,2198
trɛdj,188
rɛdja,149
mməlv,5
məlvə,5
əlvəl,5
lvəlv,5
vəlvɪ,5
əlvɪŋ,5
daɡən,247
nɑtən,182
fɑsts,78
ɑstsɑ,72
stsɑt,72
tsɑta,40
tidər,97
daɡər,728
stœrʃ,34
tœrʃt,94
mɪnnr,31
ɪnnra,123
sʂarn,2895
ʂarnɛ,24
arnɛn,25
rnɛna,65
fjard,92
jarda,83
vrɪml,12
rɪmla,4
fʉɡlə,89
ʉɡlər,83
flyva,10
ʃødyr,4
levɛn,183
evɛnn,183
vɛnna,597
rørər,66
rɪmlə,5
ɪmlər,22
vɪŋed,4
ɪŋeda,4
vɛlsɪ,339
ɛlsɪŋ,339
lsɪŋn,339
sɪŋnə,187
ɪŋnət,171
rʉktb,57
ʉktba,52
ktbar,52
tbara,45
ɔpfyl,108
havət,239
fʉɡlɛ,28
ʉɡlɛn,27
ɡlɛna,31
tɑlri,55
ɑlrik,55
lrika,31
fɛmta,43
frɛmɡ,25
rɛmɡo,2
vesen,30
esenə,17
senər,79
vɪlla,534
rdəns,302
mɛnnɛ,776
ɛnnɛs,651
nnɛsk,652
nɛskə,315
ɛskər,205
bɪlle,250
ɪlled,251
lleda,143
lɪŋnɛ,60
ɪŋnɛl,135
ŋnɛls,135
nɛlsa,214
fɪskɛ,18
ɪskɛn,17
skɛna,136
ɛskət,91
kvɪnn,691
vɪnna,353
fɪnnə,237
ɪnnəs,194
lɪvsɔ,23
ɪvsɔn,19
vsɔnn,19
sɔnna,14
ɡrœnn,23
rœnna,17
fʉllɛ,22
ʉllɛn,23
llɛnn,38
lɛnnt,15
ɛnnta,849
syvɛn,119
yvɛnn,170
vɪlta,35
jarnɪ,807
arnɪŋ,807
hɛlli,662
ɛlliɡ,722
lliɡə,224
liɡət,137
eləns,184
hɪstu,18
ɪstur,18
sturi,18
turia,2
harrə,7113
arrən,7006
mɑrkə,289
ɑrkən,320
rkəns,61
vɔksə,56
ɔksət,16
rɛŋna,27
ɪntət,371
nɛska,316
dyrka,38
uvarf,70
varfl,50
arfla,4
rflat,4
flata,5
dɑnnə,28
blɔst,36
lɔsta,23
livɛt,18
ivɛts,18
plɑnt,91
lɑntə,59
ɑntət,59
œstən,95
vɔksa,31
prɛkt,25
rɛkti,12
ɛktiɡ,55
ktiɡa,173
havən,16
lɪvsə,35
ɪvsən,35
vsəns,35
treət,89
kʉnsk,106
ʉnska,101
nskap,368
sidən,480
dɛlta,33
strœm,109
trœmm,113
rœmmə,123
œmmər,180
hetər,145
pisun,1
løpər,34
ɔmkrɪ,533
mkrɪŋ,533
lɑnnə,708
havil,7
avilɑ,7
ɡʉllə,39
ʉllət,43
bdɛll,2
dɛlli,2
ɛlliʉ,2
lliʉm,3
ʂarna,2829
unyks,12
stenə,224
tenən,112
skrɔs,1230
krɔst,1230
rɔstr,1230
ɔstrə,1230
strək,1230
ʃlɑɡs,115
vɛllʉ,30
ɛllʉk,30
llʉkt,30
lʉktɛ,28
ʉktɛn,32
ktɛnn,39
tɛnna,246
ɡʉmmi,2
jihun,5
hɪdek,2
ɪdekə,2
dekəl,2
œstɛn,44
stɛnf,48
tɛnfu,178
ɛnfur,273
ɑssʉr,34
edəns,40
vɔkta,53
vɪsse,70
ɪssel,70
sselɪ,70
alɛna,152
mɛdjɛ,3
ɛdjɛl,3
djɛlp,4
kɑlla,80
skɑpn,28
kɑpnɪ,28
ɑpnɪŋ,28
skʉll,1069
kʉlla,1040
fɑlla,208
rɪbən,6
fylta,52
byɡət,238
hɛnna,737
ɛnnel,12
nnelɪ,342
kɑllə,226
ɑlləs,141
mɑnnɪ,1
ɑnnɪn,1
nnɪnn,14
nɪnna,16
mɑnnə,237
darfu,749
arfur,750
fɔrla,162
ɔrlat,162
rlata,64
hʉstr,552
ʉstrʉ,552
nɑkna,19
blʉed,2
lʉedə,2
ʉedəs,2
ʃlɑŋə,22
lɑŋən,13
lɪsti,6
ɪstiɡ,6
stiɡe,2
tiɡer,13
iɡera,65
vɪnnə,477
ɪnnən,248
vɪrke,29
ɪrkel,27
rkelɪ,26
nuɡət,769
rʉktə,56
ʉktən,49
trarn,51
rarna,133
ɔpnəs,7
likes,573
ikesu,439
kesum,439
xɛnna,233
øinɛn,25
inɛna,33
rɛktɪ,19
kʉnna,512
fɔrʃt,421
ɔrʃtɑ,286
rʃtɑn,286
ʃtɑnn,286
bəɡes,2
ɔpnət,73
hɛftə,3
ɛftət,3
fikɛn,21
ikɛnb,1
kɛnbl,1
ɛnbla,1
nblad,1
sɑmmə,951
ɑmmən,815
bɑnnt,33
livət,164
hœrta,579
vɑnnr,265
ɑnnrə,205
nnrət,180
ʃʉlta,70
rrəns,1907
mɛllə,332
ɛlləm,331
svɑrt,679
vɑrta,686
fɔrdi,811
nakən,32
skʉlt,1
kʉlta,1
fɔrbø,7
ɔrbød,7
dorət,9
fɔrbɑ,218
ɔrbɑn,175
rbɑnn,166
bɑnnə,122
blɑnn,986
lɑnnt,927
krypa,3
fiɛnn,431
iɛnns,14
ɛnnsk,14
nnska,140
hɛnnə,615
ɛnnəs,885
knʉsa,29
svɑŋa,2
vɑŋar,2
ɑŋarʃ,3
ŋarʃk,2
arʃka,350
rʃkap,64
smart,47
marta,36
tɔrnə,53
ɔrnər,33
tɪstl,11
ɪstlə,11
stlər,33
ʉrtɛn,2
rtɛna,43
ɑnsɪk,178
nsɪkt,191
sɪkts,4
ɪntil,204
vɛnnə,251
ɛnnər,1313
tɪlba,880
ɪlbak,825
lbaka,821
xʊrtl,21
ʊrtlə,20
rtlər,20
klada,76
rɛkər,44
levər,208
vɪsta,68
furan,293
xerʉb,93
erʉbɛ,42
rʉbɛn,42
ʉbɛna,42
lʉɛnn,13
ʉɛnna,13
vɛnnt,434
vaɪən,290
hɔllt,410
rʉkts,63
ʉktsɔ,63
ktsɔm,64
tsɔmm,63
sɔmme,80
ɔmmel,73
mmelɪ,139
fœdta,207
foreh,3
orehy,1
rehyr,1
ehyrd,5
hyrda,41
jɔrdy,2
ɔrdyr,2
rdyrk,4
dyrkə,83
yrkər,35
nuɡən,1225
hɛnnt,105
ɔffər,830
ɡrøda,66
œrʃte,136
rʃtef,133
ʃtefœ,133
tefœd,133
efœdt,124
meɡət,369
stɪrr,14
tɪrrə,11
ɪrrət,18
vɔrfu,410
ɔrfur,410
ɪrrər,7
darʃu,432
arʃum,469
sɪnna,57
lœfta,92
lɪɡər,227
synnə,365
ynnən,57
dørən,80
harra,1087
tɑlta,611
pɑssa,5
rupər,87
bɑnly,22
ɑnlys,22
nlyst,23
ɔmflɑ,2
mflɑk,2
flɑkɛ,2
lɑkɛn,2
ɑkɛnn,2
kɛnna,36
jɛmlø,7
ɛmløs,7
mɪsja,229
ɪsjar,229
sjarn,251
stœrr,103
drevə,77
revət,481
ɪnnər,438
syvfɔ,8
yvfɔl,8
vfɔll,8
marka,80
furat,746
busɑt,39
usɑta,35
lɑnnf,17
ɑnnfl,17
nnfly,26
nflyk,17
flykt,198
lyktɪ,16
yktɪɡ,20
ktɪɡh,35
tɪɡhə,119
ɪɡhət,1340
hanuk,9
sœnnə,1160
œnnən,324
mehʉj,2
ehʉja,2
hʉjal,2
metʉs,9
etʉsa,10
tʉsal,9
lamək,10
strʉə,142
trʉər,137
ɑnnra,948
sɪllɑ,5
jabal,1
stɑmf,16
tɑmfa,15
ɑmfar,15
hɔllə,413
ɔllər,454
bʉska,67
ʉskap,67
jʉbal,1
spɪll,27
pɪllə,13
ɪllər,84
hɑrpa,20
fløit,22
løita,12
tʉbɑl,2
ʉbɑlk,2
bɑlkɑ,2
ɑlkɑɪ,2
lkɑɪn,2
smɪda,1
skɑrp,26
kɑrpa,8
rɛdsk,45
ɛdska,45
dskap,87
skapə,175
kapər,98
kɔbər,104
kɑɪns,2
sœstə,107
œstər,152
nɑamɑ,11
lamɛk,2
amɛks,2
drepə,40
repər,21
skrɑm,3
krɑmm,3
rɑmma,26
hɛvnə,34
ɛvnəs,31
ɡɑŋər,130
abɛls,157
nnəns,130
əjynt,118
jynta,109
pokɑl,53
okɑll,35
bukən,46
adɑms,3
nɑvnə,42
ɑvnət,51
hʉnnr,620
ʉnnra,625
trɛti,186
ɡɑmmə,194
ɑmməl,209
ɛfter,161
ftera,162
terat,162
lɛvda,81
œnnər,1002
dœtra,232
leved,9
eveda,9
vedaɡ,9
edaɡə,18
kenan,8
fɛmtə,20
ɛmtən,20
mahal,11
ahala,13
halal,9
alalə,6
laləl,6
fɪrti,161
kenɑn,4
enɑns,6
sɛkst,99
ɛksti,73
jarəd,6
alalɛ,1
lalɛl,1
alɛls,11
jarɛd,1
arɛds,1
ʉsala,6
salah,16
enɔks,1
bʊrta,168
ʉsalɑ,1
salɑh,1
alɑhs,1
trœst,121
rœsta,34
ɑrbaɪ,429
rbaɪd,429
ɛnnaʃ,127
sœnnɛ,60
œnnɛn,65
jafət,9
mɛnnə,437
nnəsk,439
nəskɛ,114
əskɛn,106
nəske,316
əsken,64
skenə,65
kenəs,124
vɑkra,6
dœmma,158
vɪlfa,11
ɪlfar,12
lfarɛ,11
farɛl,6
arɛls,46
rɛlsə,165
ɛlsəs,89
xɛmpɛ,8
ɛmpɛn,10
mpɛna,28
ikeso,133
vɛlli,60
lliɡa,708
fɔrdʉ,59
ɔrdʉm,59
rdʉms,36
nɑvŋk,12
ɑvŋkʉ,12
vŋkʉn,12
ŋkʉnn,17
kʉnni,6
ʉnniɡ,7
nniɡa,165
nɛskɛ,20
ɛskɛt,20
skɛts,20
ʊnnsk,84
jartə,194
artəs,58
tɑŋkə,96
ɑŋkər,148
pofʉn,1
ofʉnn,1
ɑŋrət,14
jarta,696
ʉtryd,208
tryda,82
ɑŋrər,19
turiə,14
uriən,5
rɛtfa,692
ɛtfar,697
tfard,761
fardɪ,570
ʉlɑst,37
lɑste,37
ɑstel,38
stelɪ,56
sɑmti,3
ɑmtid,3
mtidi,1
tidiɡ,1
idiɡa,51
fɔrda,47
ɔrdar,49
rdarv,47
darvə,41
arvət,14
ødelɛ,205
delɛɡ,205
elɛɡa,128
ɡufar,1
ufart,1
fartr,1
artra,39
kɑmmə,109
ɑmmər,226
stryk,42
ɪnvɛn,13
nvɛnn,14
vɛnnɪ,47
ʉtvɛn,10
tvɛnn,11
soled,951
oledə,951
ledəs,1338
fɛmti,163
øvarʃ,116
varʃt,127
vɛɡən,30
stɔkv,13
tɔkva,13
ɔkvar,13
kvark,17
nedar,13
edarʃ,192
darʃt,189
arʃta,177
mɛllɛ,18
ɛllɛm,17
llɛms,10
lɛmst,10
ɛmsta,24
vɑnfl,20
ɑnflu,5
nflum,5
kɔmma,1037
ɔmkɔm,48
mkɔmm,49
ɔprɛt,32
prɛta,16
sœnna,178
œnnaʃ,33
hɔlla,443
ɔlləs,36
ɑlʃlɑ,11
lʃlɑɡ,11
bəfɑl,175
əfɑlt,175
fʉnnə,157
ʉnnət,294
dɛnna,953
ʃlɛkt,258
lɛktə,26
ɛktər,76
nɛtər,17
ɑnflɔ,14
nflɔm,14
flɔmm,20
lɔmmə,21
ɔmmən,288
bərɡe,74
krypə,15
rypər,19
mməns,100
rœmmɛ,14
œmmɛn,15
mmɛnn,63
mɛnna,88
monəd,182
sytɛn,6
ytɛnn,15
moned,151
onedə,135
nedən,85
brɑst,13
xɪllə,42
ʃlʉsə,3
lʉsər,3
ɔpned,4
pnedə,3
nedəs,8
rɛŋnə,95
ɛŋnət,89
œmmət,54
sɑmma,384
nuɑhs,14
rypət,11
flyvə,12
lyvər,28
vɪŋər,96
lʉkət,66
vɔkst,29
ɔksta,37
lœftə,198
œftət,112
hevət,19
stɔrl,39
tɔrlɪ,39
bʊrtu,8
ʊrtuv,7
rtuvə,7
tuvər,41
ɑnfla,1
nflat,1
flatə,1
latən,4
høier,27
