r-gram,Counts
dar,20217
ebt,80
bte,75
ted,165
edɑ,1356
xod,19512
odɑ,11068
ɑse,1289
sem,800
emɑ,1735
mɑn,5200
ɑnh,2379
nhɑ,3262
zam,3469
ami,5593
min,4581
ɑfa,384
far,3945
ari,5357
rid,1270
vaz,470
azm,274
zmi,140
toh,30
ohi,34
bɑj,1120
ɑje,16595
jer,181
bud,7405
tɑr,828
ɑri,1844
rik,229
iki,159
bar,17354
ruj,960
uje,1411
lod,67
odʒ,947
dʒd,578
ʒdʒ,291
dʒe,1815
ruh,971
sat,489
ath,744
ɑbh,332
bhɑ,535
for,621
oru,1343
ɡer,1973
ere,3072
ref,1664
eft,1412
ɡof,6025
oft,6657
roʃ,161
oʃa,163
ʃan,1391
anɑ,2336
nɑi,154
beʃ,917
eʃa,784
ʃav,3236
ava,3864
vad,3217
ʃod,7818
did,2850
nik,702
iku,643
kus,36
ust,540
dɑr,2793
ɑro,160
dʒo,892
ʒod,124
sɑx,2058
ɑxt,2551
ruz,2546
nɑm,983
ɑmi,3895
mid,1866
ʃab,670
vaʃ,295
aʃɑ,268
ʃɑm,208
sob,173
obh,165
uzi,238
avv,464
vva,985
val,705
fal,200
ala,1479
lak,517
aki,384
bɑʃ,3480
ɑʃa,2692
ʃad,2364
miɑ,2474
iɑn,3564
hɑr,1108
ɑrɑ,1451
kon,5108
ona,3757
nad,4424
bes,2159
esɑ,1039
vɑb,1001
hɑj,6623
zir,4970
bɑl,629
ɑlɑ,774
lɑj,465
kar,7506
ard,14779
tʃe,5607
ʃen,3462
eni,1907
nin,1213
dov,210
ovv,748
vvo,354
vom,345
jek,1849
ekd,220
kdʒ,14
dʒɑ,5635
ʒɑd,200
ɑdʒ,997
dʒm,70
ʒma,42
maʔ,573
xoʃ,519
oʃk,203
ʃki,56
zɑh,332
ɑhe,1417
her,501
ɡar,5906
rda,3245
dad,709
edʒ,1789
dʒt,211
ʒte,204
tem,420
mɑʔ,601
rɑd,1716
ɑdr,127
dri,82
riɑ,1110
xad,246
adɑ,1726
dɑɡ,129
ɑɡa,220
ɡaf,139
afa,1512
fat,882
nab,1111
abɑ,2130
bɑt,430
ɑtɑ,325
tɑt,50
arv,1021
rvi,24
viɑ,27
ɑna,3809
laf,192
afi,187
tox,180
oxm,60
biɑ,1239
iɑv,312
ɑvr,147
vrd,4
rdu,234
der,874
era,1294
rax,684
axt,911
miv,179
ive,251
vei,3
mov,491
ovɑ,526
vɑf,428
ɑfe,551
feq,393
ʒen,41
ens,758
ɑva,10086
var,4577
dak,347
ake,1324
xma,6
maʃ,921
ujɑ,259
jɑn,1099
ɑni,6381
nid,3921
dɑd,2965
ɑdi,897
sev,162
evv,163
naj,420
ajj,836
jje,122
erh,10
rhɑ,1844
and,30242
ɑru,454
nan,2652
arɑ,16080
rɑj,5655
ɑiɑ,1220
iɑt,208
amɑ,7844
vor,58
uzh,265
zhɑ,592
sɑl,1413
ɑlh,236
lhɑ,644
dah,2654
aha,2751
han,3144
boz,565
ozo,410
zor,501
orɡ,430
aʔz,366
ʔza,21
sal,1526
alt,446
lta,473
tan,5458
ana,2255
nat,1987
asq,9
sqa,4
qar,941
vas,694
asa,1776
atɑ,978
ɑre,1818
reɡ,66
eɡɑ,1926
ɡɑn,1500
ɡoz,1723
ozɑ,824
zɑʃ,348
ɑʃt,2211
tɑs,46
ɑsl,27
sla,79
lat,1059
ata,1238
nam,4521
mɑj,2212
ɑja,5692
jan,1323
azt,88
ztɑ,10
tʃɑ,615
ʃɑh,3577
ɑhɑ,1356
rom,102
anb,396
nbu,37
buh,20
ʒɑn,1046
ɑne,3818
nev,276
eva,261
rɑn,6212
por,610
ʃud,156
udu,89
par,707
ara,4778
ran,1645
nde,2777
deɡ,1206
rvɑ,568
vɑz,1472
ɑzk,24
zko,7
pas,4933
nah,996
ahn,292
hne,324
neɡ,846
ham,6725
ame,1945
ɑnd,3197
ndɑ,1837
xaz,130
aza,1890
zan,2183
adʒ,2392
dʒn,71
ʒnɑ,28
nɑs,252
ɑld,14
ldɑ,109
rɑb,1752
ɑbe,1507
ber,1482
rak,432
aka,946
kat,656
ɑde,3295
bɑr,1644
ɑrv,28
rva,420
kas,2260
asi,2715
sir,727
avi,1422
vid,765
sɑz,1254
ɑzi,563
zid,819
van,7401
pan,623
ndʒ,2226
ʒom,101
bir,1653
iru,1654
run,2237
bah,769
ahɑ,2469
jam,1588
haʃ,396
aʃa,920
