r-gram,Counts
nʊpɹ,119
ʊpɹi,481
pɹiŋ,623
ɹiŋs,638
iŋsi,740
ŋsip,621
sipj,95
ipjʊ,68
pjʊk,16
jʊkɹ,3
ʊkɹi,127
kɹio,35
ɹiow,42
iowd,34
owde,109
wdeʊ,35
deʊz,1595
eʊzu,212
ʊzuʃ,1206
zuʃs,600
uʃsɛ,205
ʃsɛʊ,211
sɛʊz,105
ɛʊzi,68
ʊziɐ,426
ziɐt,118
iɐtɛ,223
ɐtɛʁ,2680
tɛʁɐ,3013
ɛʁɐɐ,167
ʁɐɐt,37
ɐɐtɛ,514
ɛʁɐɛ,38
ʁɐɛɾ,7
ɐɛɾɐ,93
ɛɾɐs,73
ɾɐse,521
ɐseɪ,1099
seɪŋ,3338
eɪŋf,774
ɪŋfɔ,14
ŋfɔɾ,455
fɔɾə,770
ɔɾəm,534
ɾəmɐ,449
əmɐi,9
mɐiv,7
ɐivɐ,2
ivɐz,31
vɐzi,147
ɐziɐ,497
ziɐi,42
iɐiɐ,56
ɐiɐv,32
iɐvi,124
ɐviɐ,912
viɐt,73
iɐtɹ,57
ɐtɹɛ,7
tɹɛv,142
ɹɛvɐ,144
ɛvɐʃ,57
vɐʃs,23
ɐʃso,111
ʃsob,414
sobɹ,2761
obɹɨ,2674
bɹɨɐ,729
ɹɨɐf,53
ɨɐfa,70
ɐfas,171
fasɨ,190
asɨd,118
sɨdʊ,110
ɨdʊɐ,35
dʊɐb,20
ʊɐbi,44
ɐbiʒ,51
biʒm,51
iʒmʊ,60
ʒmʊm,46
mʊmɐ,39
ʊmɐz,277
mɐzu,226
ɐzuʃ,194
zuʃp,439
uʃpi,299
ʃpiɾ,713
piɾi,646
iɾit,647
ɾitʊ,502
itʊd,427
tʊdɨ,735
ʊdɨd,506
dɨde,1175
ɨdeʊ,1663
deʊʃ,2020
eʊʃp,1323
ʊʃpa,530
ʃpaɪ,509
paɪɾ,1
aɪɾa,148
ɪɾav,3
ɾavɐ,122
avɐs,72
vɐso,67
ɐsob,415
sɨdɐ,146
ɨdɐz,38
dɐza,120
ɐzaɡ,283
zaɡw,299
aɡwɐ,674
ɡwɐʃ,170
wɐʃd,3
ɐʃdi,41
ʃdis,105
disɨ,2520
isɨd,197
sɨde,513
deʊʒ,1439
eʊʒa,11
ʊʒaʒ,8
ʒaʒɐ,8
aʒɐl,5
ʒɐlu,4
ɐluz,52
luzi,50
uzio,1
ziow,44
iowv,54
owvɨ,344
wvɨl,3
vɨlu,2
ɨluʃ,10
luʃv,4
uʃvi,2
ʃviʊ,8
viʊd,40
iʊde,80
ʊdeʊ,1506
eʊʃk,1078
ʊʃkɨ,1426
ʃkɨɐ,553
kɨɐl,92
ɨɐlu,36
luzɛ,7
uzɛɾ,151
zɛɾɐ,255
ɛɾɐb,30
ɾɐbo,15
ɐboɐ,75
boɐi,9
oɐif,1
ɐife,29
ifeʃ,43
feʃs,74
eʃse,25
ʃsep,64
sepɐ,92
epɐɾ,404
pɐɾɐ,8629
ɐɾɐs,988
ɾɐsɐ̃,1160
ɐsɐ̃ʊ̃,2855
sɐ̃ʊ̃e,250
ɐ̃ʊ̃eɪ,1180
ʊ̃eɪŋ,1085
eɪŋt,15887
ɪŋtɹ,3183
ŋtɹɨ,1786
tɹɨɐ,232
ɹɨɐl,22
uziɐ,117
ziɐʃ,320
iɐʃt,173
ɐʃtɹ,437
ʃtɹɛ,100
vɐʃi,11
ɐʃid,42
ʃide,16
ideʊ,143
eʊʃʃ,30
ʊʃʃɐ,24
ʃʃɐm,105
ʃɐmo,193
ɐmow,326
mowa,21
owal,3
walu,13
aluʒ,19
luʒd,54
uʒdi,539
ʒdiɐ,709
diɐi,137
ɐiɐɐ,23
iɐɐʃ,40
ɐɐʃt,82
ɛvɐʒ,25
vɐʒn,31
ɐʒno,5
ʒnoɪ,12
noɪt,352
oɪtɨ,401
ɪtɨi,140
tɨif,49
ɨifo,39
ifoɪ,207
foɪɐ,144
oɪɐt,15
ɪɐta,10
ɐtaɾ,229
taɾə,221
aɾəd,700
ɾədɨ,1221
ədɨi,45
dɨiɐ,136
ɨiɐm,45
iɐmɐ̃,58
ɐmɐ̃ɲ,239
mɐ̃ɲɐ̃,250
ɐ̃ɲɐ̃ʊ,14
ɲɐ̃ʊd,6
ɐ̃ʊdi,6
ʊdiɐ,1024
diɐp,85
iɐpɹ,109
ɐpɹi,151
pɹim,765
ɹime,506
imeɪ,1143
meɪɾ,427
eɪɾʊ,1825
ɪɾʊi,35
ɾʊid,10
ʊidi,70
idis,734
aʒɐũ,2
ʒɐũŋ,11
ɐũŋf,31
ũŋfi,123
ŋfiɾ,90
fiɾə,230
iɾəm,1329
əmɐm,23
mɐme,101
ɐmeɪ,2025
meɪŋ,7157
ɪŋtʊ,1784
ŋtʊn,236
tʊnʊ,159
ʊnʊm,149
nʊme,563
ʊmeɪ,715
meɪʊ,697
eɪʊd,753
ɪʊdɐ,124
ʊdɐz,50
ɡwɐz,109
wɐzi,64
ɐzia,50
ziaʒ,2
iaʒɐ,6
aʒɐs,3
ʒɐse,14
ɐsep,59
tɹɨa,4
ɹɨaɡ,3
ɨaɡw,64
ziaɡ,2
iaɡw,46
wɐʃf,22
ɐʃfe,104
ʃfeʃ,73
feʃp,86
eʃpo,72
ʃpoɪ,761
poɪʒ,1374
oɪʒd,719
ɪʒde,189
ʒdeʊ,454
eʊzʊ,109
ʊzʊf,16
zʊfi,54
ʊfiɾ,34
ɪŋtw,499
ŋtwi,404
twis,93
wise,88
isep,19
pɐɾo,79
ɐɾow,104
ɾowɐ,134
owɐz,23
wɐza,24
wɐʃk,141
ɐʃkɨ,798
ʃkɨʃ,326
kɨʃt,631
ɨʃtɐ,697
ʃtɐv,1228
tɐvɐ̃,471
ɐvɐ̃ʊ̃,472
vɐ̃ʊ̃d,155
ɐ̃ʊ̃dɨ,1483
ʊ̃dɨb,57
dɨba,320
ɨbaɪ,300
baɪʃ,436
aɪʃʊ,325
ɪʃʊd,286
ʃʊdʊ,102
ʊdʊf,35
dʊfi,161
ŋtʊd,601
tʊdɐ,294
ʊdɐʃ,227
dɐʃk,398
vɐ̃ʊ̃p,128
ɐ̃ʊ̃pu,669
ʊ̃puɹ,329
puɹs,377
uɹsi,108
ɹsim,62
simɐ,339
imɐd,126
mɐdʊ,75
ɐdʊf,49
twiɐ,159
wiɐs,99
iɐsi,216
ɐsiŋ,2184
siŋf,210
iŋfo,50
ŋfoɪ,61
foɪʃ,34
oɪʃɐ,18
ɪʃɐm,61
mowd,54
eʊza,55
ʊzaʊ,262
zaʊf,14
aʊfi,93
ŋtʊs,241
tʊsɛ,10
ʊsɛʊ,520
sɛʊi,183
ɛʊif,7
ʊifo,25
diɐs,144
iɐse,234
ɐseɡ,204
seɡũ,887
eɡũŋ,887
ɡũŋd,919
ũŋdʊ,605
ŋdʊi,35
dʊid,17
eʊzɐ,478
ʊzɐʒ,93
zɐʒũ,48
ɐʒũŋ,393
ʒũŋt,924
ũŋte,87
ŋteɪ,1083
teɪŋ,3771
eɪŋs,4292
ɪŋsɨ,568
ŋsɨn,23
sɨnũ,9
ɨnũŋ,131
nũŋs,299
ũŋsɔ,134
ŋsɔl,18
sɔlu,4
ɔluɡ,3
luɡa,923
uɡaɹ,828
ɡaɹɐ,102
aɹɐz,21
ɹɐza,30
ʃkɨɨ,208
kɨɨʃ,289
ɨɨʃt,368
ɨʃtɐ̃,681
ʃtɐ̃ʊ̃,630
tɐ̃ʊ̃d,558
ʊdʊs,677
dʊsɛ,330
ɛʊiɐ,37
ʊiɐp,15
iɐpɐ,143
ɐpɐɾ,1629
pɐɾe,226
ɐɾes,30
ɾesɐ,27
esɐu,17
sɐue,1
ɐuel,4
uelɨ,9
elɨm,298
lɨme,80
ɨmeɪ,311
tʊse,168
ʊsek,9
sekw,6
ekwi,26
kwiɐ,22
zaʊe,19
aʊel,2
ʊelɨ,160
sekʊ,14
ekʊt,2
kʊtɛ,1
ʊtɛʁ,6
ɛʁɐi,461
ʁɐia,8
ɐiaʊ,46
iaʊɐ,3
aʊɐʒ,1
ʊɐʒũ,11
ũŋtɐ,359
ŋtɐm,417
tɐme,594
