r-gram,Counts
pɹiŋ,623
ɹiŋs,617
iŋsi,725
ŋsip,618
sipj,95
ipjʊ,68
kɹio,34
ɹiow,34
deʊz,1589
sɛʊz,105
tɛʁɐ,3013
seɪŋ,3326
fɔɾə,770
ɔɾəm,534
ɾəmɐ,449
vɐzi,59
ɐziɐ,223
ɐviɐ,810
tɹɛv,142
ɹɛvɐ,143
ɛvɐʃ,57
sobɹ,2761
obɹɨ,2674
fasɨ,189
ɐbiʒ,51
biʒm,51
iʒmʊ,59
ʃpiɾ,713
piɾi,646
iɾit,647
ɾitʊ,502
deʊʃ,2015
paɪɾ,1
aɪɾa,148
ɪɾav,2
ɾavɐ,115
aɡwɐ,665
ɡwɐʃ,157
disɨ,2519
deʊʒ,1387
owvɨ,344
sepɐ,91
epɐɾ,402
pɐɾɐ,8629
ɐɾɐs,37
ɾɐsɐ̃,1135
ɐsɐ̃ʊ̃,2802
eɪŋt,14356
ɪŋtɹ,3047
ŋtɹɨ,1784
ʃɐmo,192
ɐmow,326
ɛvɐʒ,24
noɪt,352
oɪtɨ,379
taɾə,221
aɾəd,700
ɾədɨ,1221
mɐ̃ɲɐ̃,250
pɹim,765
ɹime,499
imeɪ,1110
meɪɾ,427
eɪɾʊ,1825
fiɾə,230
iɾəm,1329
əmɐm,22
mɐme,47
ɐmeɪ,1916
meɪŋ,7119
ɪŋtʊ,1784
meɪʊ,681
ɡwɐz,105
poɪʒ,1374
ɪŋtw,499
pɐɾo,79
ɐɾow,104
ʃtɐv,1178
tɐvɐ̃,471
ɐvɐ̃ʊ̃,471
dɨba,278
ɨbaɪ,289
baɪʃ,436
aɪʃʊ,321
simɐ,334
ɐsiŋ,2069
seɡũ,887
eɡũŋ,887
ɡũŋd,887
ũŋdʊ,421
ɐʒũŋ,289
ʒũŋt,924
ũŋte,32
ŋteɪ,949
teɪŋ,3771
luɡa,923
uɡaɹ,828
ɨʃtɐ̃,560
ʃtɐ̃ʊ̃,602
ɐpɐɾ,350
pɐɾe,226
ɐɾes,30
ɾesɐ,27
elɨm,19
lɨme,6
ɨmeɪ,269
sekw,6
sekʊ,14
ũŋtɐ,347
ŋtɐm,348
tɐme,582
ɡwɐʒ,122
maɾɨ,38
aɾɨz,244
pɹud,177
ɹudu,167
uduz,127
duzɐ,18
ʁɛlv,14
ɛlvɐ,14
ɛɾəv,1218
ɾəvɐ,306
əvɐʃ,10
deeɪ,18
eeɪŋ,67
seme,99
emeɪ,213
ɪŋtɨ,3307
aɾəv,164
ɾəvu,178
əvuɾ,178
vuɾɨ,164
uɾɨʃ,33
fɹut,290
ɹuti,36
utif,51
tifɨ,22
ifɨɾ,40
fɨɾɐ,18
ɨɾɐʃ,19
ũŋdw,871
suɐz,404
ʃpɛs,52
pɛsj,52
ɛsjɨ,52
sjɨʒ,19
ɹutʊ,215
teɲɐ,165
poɪʃ,1245
duzi,201
uziʊ,28
davɐ̃,85
avɐ̃ʊ̃,888
sjɨz,10
tiɲɐ,713
teɾə,393
eɾəs,560
ɾəse,222
əseɪ,175
seɪɾ,215
lumi,60
umin,400
mina,277
inaɾ,92
naɾɨ,21
aɾɨʒ,175
fɐze,870
ɐzeɾ,90
zeɾe,63
eɾeɪ,399
ɾeɪŋ,2647
seʒɐ̃,188
eʒɐ̃ʊ̃,248
elɨʃ,1451
sina,233
inaɪ,142
naɪz,47
ʃtɐs,19
tɐsõ,40
ɐsõj,961
sõjz,336
diɐz,228
ɐ̃nʊʃ,262
siɾə,228
iɾəv,57
ɾəvɐ̃,52
əvɐ̃ʊ̃,28
ɐlum,323
umia,16
miaɹ,28
doɪʒ,231
ɡɹɐ̃ŋ,1107
ɹɐ̃ŋd,1233
ɐ̃ŋdɨ,1104
ŋdɨʒ,89
inaɹ,123
maɪɔ,136
aɪɔɹ,120
ɡuvɨ,128
uvɨɾ,159
vɨɾə,550
ɨɾən,395
ɾəna,527
ənaɹ,101
mɨnɔ,48
ɨnɔɹ,48
tɐ̃mb,2185
ɐ̃mbe,2181
mbeɪ,2175
beɪŋ,3870
ʃtɹe,138
tɹel,66
ɹelɐ,66
elɐʃ,191
ɐzeɹ,577
ɛvɐz,63
kwaɾ,115
waɾə,439
aɾət,833
ɾətʊ,901
duzɐ̃,4
uzɐ̃ʊ̃,56
kɐɾə,385
ɐɾəd,668
ɾədu,290
ədum,5
dumɨ,1
umɨʒ,16
seɾɨ,67
eɾɨʒ,78
vive,247
iveɪ,322
veɪŋ,2122
ŋtɨz,412
voeɪ,1
oeɪŋ,4
avɨz,25
ɐsim,54
moŋs,6
oŋst,6
ŋstɹ,147
stɹʊ,5
tɹʊʒ,168
mɐɾi,253
ɐɾiɲ,98
ɾiɲʊ,16
iɲʊz,140
todʊ,2663
odʊz,1985
ŋtɨʃ,588
ɐʁɐʃ,14
ʁɐʃt,19
ɐʃta,72
ʃtav,37
tavɐ̃,170
kwaɪ,412
waɪz,135
uziɾ,65
ziɾɐ̃,19
iɾɐ̃ʊ̃,1354
ɐbũŋ,152
bũŋd,153
ũŋdɐ̃,140
ŋdɐ̃ŋ,249
dɐ̃ŋt,140
ɐ̃ŋtɨ,3014
ŋtɨm,121
tɨme,183
todɐ,2114
ɪŋtɐ̃,2649
ŋtɐ̃ʊ̃,2675
ɐbeɪ,359
eɪŋs,2470
ɪŋsu,193
ŋsuo,59
suow,71
dize,1584
izeɪ,1382
zeɪŋ,2229
eɪŋd,5550
ɪŋdʊ,1851
tifi,390
ifik,1351
fika,875
ikaɪ,86
muwt,476
uwti,479
wtip,154
tipl,155
ipli,166
plik,323
lika,130
eɪŋʃ,1023
ɪŋʃe,103
ŋʃeɪ,22
like,24
ikeɪ,166
keɪŋ,146
avɨʃ,24
kint,63
intʊ,31
ɐnim,301
nima,194
imaɪ,184
maɪʒ,536
dumɛ,10
umɛʃ,9
mɛʃt,95
ɛʃti,14
ʃtik,19
tikʊ,117
ikʊʒ,30
ʁɛpt,26
ɛpte,14
pteɪ,14
teɪz,31
maɪʃ,574
selv,20
elva,17
lvaʒ,17
vaʒe,19
aʒeɪ,256
ʒeɪŋ,663
ikʊʃ,27
teɪʒ,15
fɐsɐ̃,16
ɐsɐ̃m,24
sɐ̃mʊ,64
ɐ̃mʊz,274
omeɪ,2957
nɔsɐ,319
imaʒ,116
maʒe,122
kuŋf,935
uŋfɔ,438
ŋfɔɾ,441
ɾəmɨ,594
semɨ,248
emɨʎ,221
mɨʎɐ̃,222
ɨʎɐ̃ŋ,225
ʎɐ̃ŋs,39
ɐ̃ŋsɐ,1121
dumi,161
minɨ,15
peɪʃ,63
eɪʃɨ,102
ɪʃɨʒ,16
avɨʒ,70
ikʊz,32
ɛpti,13
ptil,12
ɐʁaʃ,16
ʁaʃt,19
aʃtɐ,51
muʎɛ,1009
uʎɛɹ,738
suʒe,66
uʒeɪ,103
ʒeɪt,182
eɪta,261
ɪtaɪ,23
aʃtɐ̃,14
maɪz,514
teɲʊ,410
dadʊ,334
odɐz,973
duze,93
