r-gram,Counts
ɨntʃe,815
ntʃep,408
tʃepu,381
ʃeput,371
dumne,4788
umnez,4788
mneze,4785
nezeʊ,2782
fəkut,1977
tʃeɾu,441
ʃeɾur,222
eɾuri,222
ɾuril,326
urile,2031
pəmɨn,1373
əmɨnt,2026
mɨntu,1028
ɨntul,1876
pusti,274
ustiʊ,74
peste,1297
fatsa,615
adɨnk,104
dɨnku,47
ɨnkul,37
nkulu,16
kuluɪ,296
ɨntun,202
ntune,202
tuneɾ,154
uneɾe,179
neɾek,154
duhul,446
miʃka,26
deasu,134
easup,134
asupr,671
supra,562
apelo,49
pelor,49
lumin,296
uminə,84
vəzut,690
umina,161
despə,79
espər,69
spərt,92
pərts,142
ərtsi,136
rtsit,94
numit,198
eɾeku,55
ɾekul,55
nɔapt,485
ɔapte,493
astfe,704
stfel,704
seaɾə,41
dimin,224
imine,224
minea,225
ineat,210
neats,210
eatsə,141
atʃea,1300
tʃeas,1449
ʃeast,1229
easta,1103
ɨntɨi,299
ɨntin,466
ntind,233
tinde,178
indeɾ,50
ndeɾe,51
ɨntre,1085
despa,25
espar,25
spart,32
partə,33
apele,207
deɾea,249
dedes,8
edesu,8
desup,7
esupt,7
suptu,4
uptul,5
ndeɾi,2
deɾiɪ,26
strɨŋ,208
trɨŋɡ,56
rɨŋɡə,32
tʃeru,190
ʃerul,190
erulu,168
ruluɪ,1101
aɾate,57
uskat,101
skatu,4
katul,192
ɡrəma,25
rəmad,25
əmada,11
lukru,1569
ukrul,472
atʃes,2686
tʃest,2686
ʃesta,1225
verde,50
erdea,61
rdeat,17
deats,17
jarbə,26
səmɨn,200
mɨnts,200
ɨntsə,56
soiʊl,17
ɨntsa,146
treia,80
niʃte,733
semne,117
vremʲi,25
remʲil,25
emʲile,22
zilel,293
ilele,292
sluʒe,197
luʒea,144
uʒeas,95
ʒeask,118
easkə,1563
umine,37
minez,22
ineze,23
anume,129
minət,3
inəto,17
nətor,42
ətoru,229
torul,633
stəpɨ,586
təpɨn,577
əpɨne,75
pɨnea,123
ɨneas,26
neask,274
aptea,302
stele,152
telel,43
elele,81
aʃeza,269
ʃezat,224
patra,37
miʃun,7
iʃune,2
vjets,171
jetsw,22
etswi,129
tswit,76
switɔ,16
witɔa,34
itɔaɾ,250
tɔaɾe,833
sbɔaɾ,19
bɔaɾe,13
ntulu,534
tuluɪ,2329
peʃti,23
eʃtiɪ,32
tɔate,1888
ɔaɾel,737
aɾele,909
miʃkə,17
iʃunə,4
soiʊr,7
oiʊri,7
iʊril,31
ʊrile,31
oɾʲtʃe,475
pasəɾ,34
asəɾe,33
ɨnaɾi,4
naɾip,4
aɾipa,13
ɾipat,4
ipatə,1
jeɾaʊ,836
binek,384
ineku,383
nekuv,386
ekuvɨ,332
kuvɨn,1073
uvɨnt,1073
vɨnta,311
ɨntat,310
məɾʲil,32
əɾʲilo,76
ɾʲilor,865
ɨnmul,76
nmult,76
mults,398
ultse,41
ltsea,22
tseas,78
seask,133
pəsəɾʲ,82
əsəɾʲi,82
səɾʲil,135
əɾʲile,400
tʃint,627
ʃintʃ,253
intʃe,34
ntʃea,64
tɨɾɨt,47
ɨɾɨtɔ,32
ɾɨtɔa,33
ɨtɔaɾ,33
fjaɾe,131
jaɾel,88
vitel,85
itele,85
fatʃe,1223
atʃem,59
kipul,87
nostr,490
ostru,916
asemə,36
semən,52
eməna,43
mənaɾ,8
ənaɾe,9
naɾea,198
nɔast,425
ɔastr,1221
astrə,608
məɾiɪ,124
parte,1094
bərbə,98
ərbət,205
rbəte,79
bətea,115
əteas,174
teask,297
femej,330
emeja,186
mejas,17
ejask,33
jaskə,343
jeste,4930
ntreɡ,122
treɡu,103
reɡul,103
eɡulu,103
ɡuluɪ,133
hrana,42
vɔast,796
tutuɾ,372
utuɾo,372
tuɾor,371
aɾelo,137
ɾelor,142
vjetə,3
jetət,3
etətsʲ,363
tətsʲi,378
ətsʲil,428
tsʲilo,1473
sʲilor,1473
sufla,97
uflaɾ,69
flaɾe,69
vjats,507
jatsə,164
hranə,51
tɔatə,839
jarba,47
uɪtat,142
fəkus,224
əkuse,224
fɔart,219
ɔarte,653
ʃasea,18
sfɨrʃ,171
fɨrʃi,150
ɨrʃit,254
rʃite,16
oʃtiɾ,183
ʃtiɾe,175
tiɾea,114
ʃapte,702
lukra,303
ukraɾ,159
kraɾe,159
raɾea,202
odihn,164
dihni,19
ihnit,19
sfint,332
fints,197
intsi,570
ntsit,82
pentr,4584
entru,4584
