r-gram,Counts
vn,1271
na,11618
at,5158
tʃʲ,18872
ʃʲɑ,2677
ɑɭʲ,3490
ɭʲi,19997
is,20368
sʌ,12731
ʌt,19800
tv,11844
vʌ,33898
ʌrʲ,4907
rʲi,25234
iɭ,14957
ɭb,787
bo,7141
ok,5108
knʲ,925
nʲe,16576
eb,2333
bʌ,4883
ʌi,10574
iʑ,1165
ʑe,1928
em,6781
mɭʲ,3589
ɭʲu,3707
uʑ,414
ʑi,2636
im,14578
ɭʲɑ,3855
ɑʒ,2204
ʒɛ,5597
ɛb,137
by,8619
yɭ,4783
ɭɑ,5206
ɑbʲ,164
bʲi,6626
iz,3512
zvʲ,1079
vʲi,18690
id,6198
dn,2329
ai,7088
ip,10092
pu,2661
us,8351
st,22565
tɑ,9504
ɑi,4770
itʲ,8236
tʲm,687
mɑ,2447
ɑn,4146
nɑ,9825
ɑt,8273
tbʲ,148
bʲe,1669
ez,1213
zd,1077
nʌ,16030
ʌj,20216
ju,14648
ui,6007
du,7514
ux,1786
xb,519
oʒ,3201
ʒy,9736
yj,9911
jn,1373
ʌsʲ,4863
sʲi,11285
ɭsʲ,2470
sʲʌ,6337
ʌn,6402
ʌd,6914
do,5847
oj,9717
sk,10624
ka,8708
az,7415
zɑ,8399
ɑɭ,11079
kd,498
dɑ,9196
ɑb,1558
bu,5471
udʲ,6110
dʲi,15894
it,23724
ts,21555
svʲ,3531
vʲe,9239
et,9629
ti,2625
ta,3307
aɭ,1424
ɭs,2282
iu,2607
uvʲ,1303
idʲ,5349
ks,1023
tʃ,714
ʃt,8110
to,22718
oo,1097
on,9699
nx,173
xʌ,3784
ʌr,7394
ro,10570
oʃ,1229
ʃi,377
iʌ,4185
ʌdʲ,5734
dʲdʲ,569
iɭʲ,11205
ot,14565
ttʲ,732
my,2309
yi,2584
in,14634
zv,1767
vɑ,9829
td,1111
dnʲ,3723
ɑtʲ,5500
mu,9139
un,1919
no,7873
ʃʲj,237
jj,4152
ib,7123
ɭvʲ,274
ʃʲi,8642
ir,7979
ri,372
ɭʌ,16262
ʌu,1088
ut,9375
tr,3940
rʌ,13448
dʲe,11973
enʲ,4844
nʲʌ,1237
ni,1506
tt,5813
tvʲ,3314
er,5352
rtʲ,439
tʲp,1287
pʌ,19465
ʌs,21291
srʲ,656
iv,14698
vo,20902
od,8961
dy,2468
