r-gram,Counts
na,11455
at,2862
tʃʲ,18872
ʃʲɑ,2657
ɑɭʲ,3321
ɭʲi,19871
sʌ,12243
ʌt,17927
tv,10101
vʌ,33337
ʌrʲ,4864
rʲi,25133
iɭ,14718
bo,7141
ok,3555
nʲe,16576
eb,899
bʌ,4883
ʑe,1928
em,6188
mɭʲ,3415
ɭʲu,3688
ʑi,2623
im,12976
ɭʲɑ,3847
ʒɛ,5597
by,8619
yɭ,4748
ɭɑ,5036
bʲi,6626
iz,1982
zvʲ,1079
vʲi,18690
id,3524
dn,2329
pu,2614
us,5522
st,21633
tɑ,9293
tʲm,114
mɑ,2144
nɑ,9732
ɑt,6132
bʲe,1669
ez,446
zd,1077
nʌ,15526
ʌj,18844
ju,14280
du,7514
ux,1479
oʒ,2799
ʒy,9725
yj,9061
ʌsʲ,4388
sʲi,10671
ɭsʲ,2079
sʲʌ,6177
ʌd,5764
do,5847
oj,8470
sk,9936
ka,8638
az,6858
zɑ,8399
ɑɭ,10987
dɑ,9196
bu,5471
udʲ,5940
dʲi,15894
it,20575
svʲ,3312
vʲe,9239
et,8765
ta,3147
aɭ,1346
ɭs,687
uvʲ,1060
idʲ,4705
ʃt,7931
to,21916
on,8559
xʌ,3249
ʌr,6994
ro,10515
oʃ,331
ʌdʲ,5446
dʲdʲ,569
iɭʲ,10612
ot,12389
my,2309
zv,1767
vɑ,9817
dnʲ,3723
mu,8734
no,7624
ʃʲj,192
jj,3402
ʃʲi,8473
ir,6495
ɭʌ,15773
ut,7191
tr,3313
rʌ,13406
dʲe,11973
enʲ,4473
in,11549
tvʲ,2940
er,5040
rtʲ,422
pʌ,19322
ʌs,19169
srʲ,609
vo,20840
od,7536
dy,2468
ɑj,7815
ji,11683
ʌn,4995
so,2795
oz,259
dʌ,7459
ʌɭ,8140
kʌ,17032
or,7436
ja,19374
dt,1984
rdʲ,243
dʲj,97
ɑk,7456
ʌm,9807
en,4404
ft,736
tʌ,11302
ʌbʲ,1036
irʲ,3891
rʲe,8899
ts,19142
po,12770
mʲe,5932
es,5486
avʲ,2929
su,4010
uʃ,2388
ʃa,676
ʃu,735
ɭʲe,6952
ej,9841
ʌb,4506
br,3832
rɑ,10529
ɑnʲ,2581
nʲi,36314
ij,19122
jɪ,27026
mʌ,7789
rʲɑ,2177
ɑmʲ,2425
mʲɪ,5816
ɛt,2481
ʌʃ,2551
ʃo,322
pr,7160
ʌi,6888
zr,3004
ra,8895
asʲ,1465
sʲtʲ,6226
tʲi,18815
eɭʲ,1095
av,2140
vu,3025
sʲe,11187
uɕ,2604
ɕu,532
uj,3353
emʲ,1679
mʲʌ,1485
erʲ,1114
iv,8998
pɭ,1294
ʌvʲ,6319
prʲ,11986
sʲɑ,1427
ɑɕ,804
ɕi,5330
sv,5227
je,10437
ɭo,4758
ɪv,7961
nə,7453
ɪj,2923
trʲ,4087
etʲ,1790
ud,4315
itʲ,7771
ɭa,4773
dʲɪ,1753
ibʲ,3381
sn,1158
dɭʲ,2584
nʲɑ,3861
ʃʲɪ,1108
zn,2451
amʲ,1081
vrʲ,959
imʲ,4062
ɡʌ,16540
of,2567
ʌnʲ,4935
ɭnʲ,1571
ik,5755
ʌmʲ,1831
ob,3512
dv,2155
ikʲ,1390
kʲi,4622
oɭ,3949
ɭʃ,471
ʃy,7167
up,1695
vɭʲ,1603
nʃ,53
ɑvʲ,2193
ix,10418
ɑtʲ,5064
rt,2032
ty,7193
is,12059
sm,749
yk,450
kɑ,10527
xsʲ,155
yv,3227
ptʲ,360
sy,8372
ʌɭʲ,3757
tʲɑ,1015
ry,5123
yp,255
yx,4498
fsʲ,7044
ku,2596
tn,1097
ny,8253
pʲi,5001
rn,1005
tu,2663
bɭ,2318
ʌɡ,7314
sɭ,6925
ʌv,14677
isʲ,7821
ʌz,4288
zm,261
mn,2614
ʌʒ,2444
ʒɑ,1460
jtʲ,1563
ʌp,2196
ɑx,1680
pʲɑ,638
ɡɑ,1488
ɑd,2297
ʌf,3256
ko,4765
xɡ,9
ek,2400
zu,728
ɑʃ,3035
ym,2940
obʲ,178
vɭ,734
ad,1044
yt,1875
yb,137
rs,1304
skʲ,2117
ymʲ,918
om,4129
mʲi,9825
nu,3658
ɛn,1135
nɕ,323
ʃʲe,2022
ɑkʲ,480
msʲ,251
ɑm,5325
ak,2185
stʲ,3728
drʲ,260
ivʲ,1538
iɕ,1772
usʲ,1030
fk,117
sʲu,269
vn,989
sʲm,257
ys,1717
rʃ,634
yn,6421
oi,713
ns,689
dʲm,128
mo,4192
nʲu,441
eɭ,5964
edʲ,302
ex,1806
vʲa,1967
atʲ,3119
ib,4424
ʌʑ,927
sx,555
ʒdʲ,835
ba,557
ɭʲɪ,12082
iɪ,2039
ɡd,3219
sp,10892
otʲ,4746
ɑr,2411
rnʲ,331
ɪɕ,766
ɕe,2271
dʲɑ,836
ʑdʲ,2399
ɭy,1777
pɑ,1880
ʃɑ,713
sɛ,650
xa,777
ov,4466
vd,600
un,336
uɭ,893
xɑ,678
yʑ,410
ʑnʲ,709
nʲɪ,1406
ʃɛ,3683
ɛj,210
sa,7030
adʲ,1172
ɪdʲ,591
okʲ,164
ɑsʲ,592
ɕɪ,152
zɭ,1103
ma,2550
vy,7993
xo,1471
odʲ,1342
ɛnʲ,1339
yrʲ,1062
ekʲ,445
kʲɪ,2307
fʲi,1161
ɡdʲ,399
zo,472
bd,12
ʌx,2203
inʲ,5961
onʲ,903
ks,122
ɡʲi,2860
tʲj,1141
xi,1348
