r-gram,Counts
ʊp,3800
po,27711
ot,19228
tʃ,21142
ʃɛ,21100
ɛt,28396
tk,1903
kʊ,3176
ʊs,8797
st,24298
tv,7864
vo,28047
or,11379
rɪ,9329
ɪb,3769
bo,8542
oɡ,15476
ɡn,1970
nɛ,24775
ɛb,7927
oɪ,3203
ɪz,3774
zɛ,4940
ɛm,14794
mʎ,3164
ʎʊ,2014
ʊɐ,1095
ɐz,3756
ʎɐ,2843
ɐb,2945
bɛ,7310
ɛʃ,7402
ɛz,6128
zo,1061
ob,6907
bl,1596
lɪ,13611
ɪt,21177
ʃj,404
jɐ,8277
ɐɪ,12060
ɪp,8811
pu,2155
us,3614
tɐ,12421
ta,4936
am,7903
mɐ,15797
ɐn,11712
na,18489
ad,12899
db,1848
zd,2022
dɐ,11223
no,14014
om,17139
mɪ,6749
ɪd,9847
du,2167
uh,1114
hb,300
oʒ,3482
ʒj,593
jɪ,12800
di,1193
iz,9527
zɐ,3125
ɐʃ,5117
ɛs,20353
sɛ,22849
ɛn,16211
dv,3388
od,29132
do,15563
ɪr,6152
rɛ,23002
ɛk,11262
kɐ,8385
bu,1620
ud,6749
dɛ,13604
sv,19176
vɛ,22908
tl,464
lo,8018
os,24885
tɪ,20354
bi,4225
is,9156
ɪv,4850
vi,6944
id,5145
ok,8814
ks,1140
oz,3373
dd,1612
da,16764
aj,1537
je,33231
ed,4298
br,4403
rɐ,11771
ra,12726
as,12299
ɐv,6876
vɪ,14762
to,13692
tt,2111
mɛ,12531
ɛɪ,7572
ɪs,17187
tn,1556
az,4964
zv,1927
vɐ,10539
ɡd,1802
an,7361
nɐ,11590
ɐt,14148
mʊ,3412
ʊn,3792
tɕ,20980
ɕɪ,4801
iv,2685
ij,1575
ju,1831
ut,5906
tr,6513
ro,14257
np,597
pr,14273
rv,2091
ip,1014
mr,2376
tp,1805
sr,2971
ɛd,16759
ar,527
vl,1864
lj,1272
dʊ,3725
ʊo,2490
dɪ,11002
ts,21111
mo,13630
at,13799
it,5152
ak,10614
ko,26672
oɐ,1336
ɐs,10773
dn,4230
nd,2018
dr,4366
ru,3842
uɡ,3152
ɡɪ,2734
sa,6255
ab,2180
ɛr,5787
ɛv,7638
ʃt,9085
oj,30617
ep,1601
mn,3679
ɪn,17885
ɛp,8247
ɐʒ,1002
ʒɛ,4187
su,2174
uv,990
on,14038
ɡz,317
ɐɐ,1832
zb,1764
ɪʃ,4901
ɐm,9619
oo,2118
op,5797
pɛ,2628
ɐp,4111
ɐi,2795
ss,716
av,10039
vʊ,2318
ʊb,1662
iʎ,695
ʎe,4207
eʃ,424
sɪ,10369
er,6350
dj,8476
ɐr,1435
ɪm,19454
mv,770
vr,5137
rs,3361
ɐʊ,1690
ʊk,3378
ɕɛ,10691
ɛɲ,1973
ɲe,9024
eɡ,5936
ɡo,24883
ov,30840
ʎɪ,2251
ɪɪ,5537
ɛj,3406
es,2654
oɲ,1127
nt,1351
ʊv,1937
ɛl,6466
lɐ,6618
sk,6695
md,2239
lɛ,8655
nɪ,18434
dʑ,177
ʑd,74
ʊz,2154
zn,2903
ɪɡ,5464
ao,4729
bɐ,2158
sj,399
vɑ,2478
ɑj,7610
jʊ,7419
ʊɪ,5310
va,8627
ɪk,9661
au,793
up,1626
ɐd,7498
ma,2539
aɲ,1763
ɕʊ,2434
ɪi,4313
ih,5732
jɑ,585
ʊd,3478
rt,4159
ɪʒ,1477
ʒi,1933
uʃ,1751
pt,318
ti,3350
ɐl,3527
tɛ,16626
ɛi,4113
dz,715
kɪ,3856
kk,951
ki,472
kɛ,3139
ɛʒ,1746
mi,5453
ʃʊ,1145
ʊʃ,1195
kr,3263
ri,4891
il,2375
ɐɲ,3522
ɲi,4634
ho,3464
la,6268
aɡ,3795
sl,6492
ɡɡ,305
jt,1735
ʒɪ,2461
ap,4775
pʊ,682
ms,3269
si,7791
ɪɲ,2290
eɪ,2111
ɐʎ,871
ʎs,446
en,3681
ʃɪ,9787
ʃo,1838
ka,10152
oʃ,5904
sm,2320
ik,1888
sp,10985
dɑ,2566
ɑr,15222
ib,579
ɪh,4924
hɪ,1920
ɪo,10506
sɐ,8694
hʒ,78
ɲɐ,2011
kt,1451
mp,1754
em,3432
ɡa,4041
mu,4229
ʃk,1270
ns,1637
im,7138
mb,972
ɡr,4006
ɲo,463
ɛɡ,7072
hz,349
ɪj,11337
jo,5293
ʃr,166
ɡɛ,1161
jz,403
ɐk,7896
za,11224
ax,224
xr,902
nʊ,5065
mz,958
ɪʊ,2530
ʊt,5779
ʃɐ,2996
vu,807
ɡl,3380
ɛo,6815
nʃ,55
rʃ,674
js,2976
ʃi,2169
dm,1607
ɐu,1117
ʊʊ,1214
hd,726
hk,736
rʊ,3979
tɑ,2836
jd,825
ek,1347
dɡ,2750
ʎk,42
oʎ,1627
kl,2432
ej,3216
ʃn,1036
af,361
fk,212
ni,3534
rɡ,516
ɡj,410
aʒ,2395
ʒd,670
ʊa,559
al,4749
pɑ,153
pɐ,1666
uz,2606
ɐo,7214
ah,1443
hɐ,1223
un,1340
ʊm,2775
uʊ,49
kd,186
ɡv,365
tʊ,2127
ʊɛ,203
ai,1113
ɪu,3078
zz,372
kv,1228
ɕɐ,842
el,746
dʒ,519
aɪ,899
zl,1911
aɐ,117
ɛʊ,2868
jj,348
ei,768
ɛf,807
fi,426
so,2560
eɛ,52
ɪl,4839
ls,164
ɛɐ,1373
eo,1548
ev,3293
rl,466
bd,33
ex,161
xu,186
ɕo,225
ɛx,873
xi,647
kə,1705
əa,50
ɐj,3960
ɐɛ,865
fr,266
fʃ,1670
aʊ,992
tu,804
uɛ,40
ʃu,1764
ʊɡ,2352
ua,41
sd,265
sɲ,783
ɡɐ,5087
ʃs,545
um,1187
et,1804
ʊj,3608
pa,3214
oa,389
ʊʒ,600
ɲʊ,754
jb,328
ɪa,1524
mʒ,132
jp,591
ja,3796
ea,188
uk,2292
kp,723
nn,523
aa,175
uu,165
eu,497
ɛa,923
ɐa,1370
rj,1020
pɪ,1940
əʒ,27
ɛh,2145
hʊ,3506
ol,5097
uɪ,194
hs,1156
zm,1518
lu,2384
eb,867
uɐ,56
ds,56
ir,1882
rɑ,999
ʊɲ,1479
ɲə,379
əd,101
ɛu,2054
iu,252
nɑ,4363
nk,428
bɑ,178
rz,485
ɐɡ,2961
uʒ,1373
ʒʊ,306
mt,1655
sʊ,5022
pl,1757
li,1243
iʃ,1784
bɪ,4141
zɡ,1193
hl,70
ui,275
kn,1005
ɪɐ,1191
nr,358
hɡ,470
hj,441
mɡ,1165
oh,1161
aʃ,3411
ou,869
ht,569
rb,355
ʃm,261
ɛʎ,1788
oi,1379
in,8306
ʒɡ,391
ʊu,685
uj,968
ɕu,1338
ʊr,1400
ʒɐ,954
rp,502
lʊ,1642
ɐf,1508
dɲ,2505
rɲ,210
of,1089
ft,953
ml,490
ʃx,23
xl,420
tj,251
ji,267
jx,49
xa,732
aʎ,965
bʊ,828
ɡi,553
aɛ,157
mx,229
xɛ,332
mm,765
mk,1881
kɑ,468
ʎp,28
fp,256
sn,1794
rd,1411
ʃʃ,70
ʃl,351
io,804
eɲ,475
ub,1992
zɑ,623
mj,1464
əm,216
vb,193
zr,3126
ɡb,314
ʃp,297
ɡʊ,1671
ɪɛ,511
ur,962
