r-gram,Counts
pɐʈ,759
ɐʈə,4044
ʈən,3646
ənɡ,2760
nɡæ,302
ɡæn,2108
ænm,269
nme,566
meh,1161
ehi,8137
hid,1585
idi,3031
did,250
ide,900
dew,5305
ewi,7123
wij,4430
ijə,21416
jən,15279
ənw,4592
nwə,9524
wəh,9875
əhə,11379
hən,10538
əns,10370
nse,9791
seɐ,357
eɐh,41
ɐhə,6464
həs,1500
əsə,2573
sət,614
ətp,726
tpo,121
poɭ,808
oɭo,998
ɭow,699
owə,1193
wət,6072
ətm,866
tmæ,73
mæw,103
æwu,325
wus,1331
use,1243
sek,4921
ekə,7203
kəp,643
əpo,612
oww,29
wwɐ,224
wɐn,2578
ɐna,1061
nah,718
ahi,1180
hip,695
ipa,230
paɭ,179
aɭu,178
ɭuw,1604
uwh,61
whi,44
his,1667
isw,749
swt,39
wti,627
tib,3893
ibu,1181
buɳ,1300
uɳa,851
ɳaj,82
ajə,2145
jəɡ,1087
əɡæ,1308
ɡæb,100
æbu,1128
buɹ,105
uɹə,1645
ɹəp,612
əpi,4612
piʈ,2876
iʈə,6968
ʈəɐ,2092
əɐn,1022
ɐndʰ,252
ndʰə,377
dʰək,535
əka,2003
kaɹ,3483
aɹə,5615
ɹəj,4349
əjə,18590
jəw,2991
əwi,5632
jəd,3250
əde,4727
seɡ,2834
eɡe,3174
ɡea,573
eat,337
atm,869
tmə,752
məj,2775
ədʒ,775
dʒɐ,533
ʒɐl,227
ɐlə,3833
ləm,1642
əmə,5100
mət,1744
ətu,1495
tuj,686
uje,899
jeh,2857
hih,230
ihæ,142
hæs,287
æsi,1007
siɹ,484
iɹe,364
ɹem,702
emi,3820
min,4293
ins,1024
nsi,982
siʈ,6044
iʈi,5847
ʈis,262
ise,1351
kəd,807
see,363
eeɭ,123
eɭi,411
ɭij,342
əwe,2229
wew,688
ewə,2208
wəj,1683
əji,3443
jik,3138
iki,3391
kis,2139
kəe,922
əew,2379
wiʈ,2618
ʈəe,1389
əeɭ,269
jəe,4803
jəj,4706
əjɐ,2214
jɐh,563
həp,630
əpə,1033
pət,2446
ətb,311
tbɐ,187
bɐw,1408
ɐwd,307
wde,176
sed,1089
edu,683
duʈ,578
uʈu,705
ʈus,58
eɐn,291
əje,7963
jen,3343
ene,2887
neɭ,66
wen,4694
enk,736
nko,396
koʈ,4233
oʈə,4053
jəʈ,3667
əʈə,15536
ʈəd,3686
ədɐ,2630
dɐw,2019
ɐwa,436
wal,268
alə,1643
ləj,2315
jək,6851
əki,4966
kij,4614
ija,6132
jad,1132
adə,6295
dəɐ,1499
ʈəɹ,546
əɹa,896
ɹat,370
atɹ,339
tɹi,860
ɹij,3925
dən,3133
ənɐ,1602
nɐm,2218
ɐmt,95
mtæ,51
tæb,367
bus,153
kəs,713
əsɐ,4012
sɐw,355
ɐwə,6567
wəs,2639
səw,1228
jəu,1108
əud,338
udə,2645
dəj,1894
əee,43
eek,210
sək,2373
əkj,867
kjə,1315
edʒ,462
əmɐ,6898
mɐdʰ,58
ɐdʰj,49
dʰjɐ,51
jɐj,2861
ɐje,1194
hiɐ,401
iɐw,242
wək,2410
kas,527
asə,3169
səj,4133
əkw,1342
kwe,259
ewa,2261
wae,388
aej,100
ejə,13284
əkɐ,5338
kɐɹ,2963
ɐɹə,4796
ɹəɳ,1671
əɳə,2012
ɳək,1364
əko,2080
ʈəɡ,2724
əɡe,3977
ɡen,6971
enə,8975
nəd,1503
enw,1101
nwe,604
eɐw,128
jəs,2952
əsa,1356
sad,3915
ada,730
daɐ,22
aɐw,57
ʈəu,893
əuɖ,136
uɖi,53
ɖin,153
int,395
nti,422
uɳu,1809
ɳud,194
udʒ,2200
enɐ,1071
nɐw,317
ʈəj,1922
jɐʈ,486
ɐʈi,212
ʈin,2464
nkə,339
kəɭ,2363
əɭə,1708
ɭəs,639
əse,3673
ees,97
ese,3755
sew,1630
əɐh,398
jan,524
anɐ,298
əed,360
ede,2536
ewe,498
eni,2577
nid,984
idɐ,425
səʈ,467
ibe,2487
ben,2273
əek,2617
ekt,233
ktæ,43
tæn,1872
ænə,3915
nək,2511
əkə,8977
kəʈ,870
əɹæ,589
ɹæs,454
æsw,371
swe,207
waw,703
awi,2208
jəɭ,229
əɭi,429
ɭib,38
ibi,387
bim,715
imə,3739
məp,1012
əpe,928
pen,934
new,397
məʈ,1576
ʈəp,4685
dəɹ,2166
swu,201
wud,1106
ʈəm,2961
əmu,2253
muh,1122
uhu,939
hud,1410
eej,56
ejɐ,264
wdu,124
sep,675
epo,164
hit,972
itɹ,794
tɹu,638
ɹuɳ,971
uɳə,1133
ɳəd,238
ədə,7895
dəb,887
əbi,577
bid,294
idʒ,239
dʒə,3238
ʒəu,13
əup,360
upə,1194
pəd,472
dəw,2394
əwə,7180
wən,7228
ənə,10617
nəp,3043
əpɐ,4030
pɐl,394
ɐla,1311
lad,506
dəe,1733
eew,125
ewɐ,1619
wɐr,622
ɐrɡ,445
rɡə,960
ɡəl,240
əle,1499
les,1463
esə,3900
səpʰ,13
əpʰɐ,161
pʰɐl,294
ləd,2195
dɐɹ,693
ɹən,8222
nəb,1025
ʒəs,166
sɐh,3022
ɐhi,358
itə,1482
təpʰ,3
ləw,1735
əwɹ,61
wɹu,99
ɹuk,694
ukʃ,36
kʃə,334
ʃəd,27
dəp,1653
owp,87
wpi,234
ʈəh,1200
əhɐ,801
hɐʈ,160
əɡə,5904
ɡən,3541
nwa,215
awə,4086
jət,2194
ətɹ,243
səb,298
əɹə,14333
nəw,4084
owe,1221
enh,312
nhɐ,233
ɡət,2340
ətt,1474
tte,1383
tej,639
əet,170
etu,398
tun,1218
unw,4703
seɹ,236
eɹa,467
ije,4841
end,1712
ndɐ,486
nki,437
kiɹ,835
iɹi,3222
ɹim,1013
əst,456
stə,248
təl,386
ələ,6778
hia,96
ial,15
alo,156
lok,442
okə,1580
kəj,1980
əjo,2031
jow,563
wet,1250
etw,249
twa,505
aew,361
alɐ,83
lɐk,172
ɐku,598
kuɳ,721
ɳup,158
upi,543
piɳ,2568
iɳi,2981
