r-gram,Counts
napo,948
apot,929
potʃ,2064
otʃi,1741
tʃia,1033
ʃiat,197
iatk,224
atku,296
tkus,72
kust,68
ustv,28
stvo,1272
tvor,440
vori,3645
oril,1507
rilb,45
ilbu,73
lbuo,158
buoh,915
uohɲ,66
ohɲe,173
hɲeb,20
ɲebe,420
ebes,519
besi,241
esia,1182
siaa,88
iaaz,74
aaze,31
azem,746
zema,271
emaz,52
maze,17
zemb,44
embo,32
mbol,364
bola,888
olaɲ,94
laɲe,183
aɲel,35
ɲela,25
elad,49
ladn,70
adna,94
dnaa,23
naap,143
aapu,8
apus,95
pust,216
usta,936
staa,292
taat,56
aatm,2
atma,27
tmab,2
mabo,98
abol,1215
olan,141
lana,355
anat,531
natp,69
atpr,48
tpri,72
prie,173
riep,93
iepa,71
epas,91
pastʲ,183
astʲo,16
stʲoʊ,436
tʲoʊa,156
oʊad,26
ʊadu,4
aduɣ,5
duɣb,19
uɣbo,18
ɣboʒ,27
boʒi,764
oʒis,55
ʒisa,21
isao,137
saoʒ,5
aoʒi,21
oʒiv,224
ʒivu,25
ivuj,19
vuju,78
ujut,480
juts,1527
utsi,544
tsiv,164
sivz,62
ivzn,4
vzna,37
znaʃ,157
naʃa,309
aʃal,170
ʃaln,9
alna,546
lnad,141
nadv,146
advo,96
dvod,19
voda,163
odam,174
dami,209
amia,754
miab,203
iabu,348
abuo,176
uohr,34
ohri,96
hrie,751
riek,2199
ieko,1745
ekol,1636
kolɲ,90
olɲe,123
lɲex,88
ɲexj,185
exje,194
xjes,45
jesv,175
esve,361
svet,1812
vetl,241
etlo,156
tloa,47
loab,48
oabo,188
bolo,1647
olos,143
losv,75
osve,587
oabu,82
uohv,81
ohvi,50
hvidʲ,10
vidʲe,1065
idʲel,1064
dʲels,188
elsv,65
lsve,61
tloʒ,5
loʒe,203
oʒej,216
ʒeje,384
ejed,246
jedo,333
edob,289
dobr,1099
obre,786
brea,132
reab,50
eabu,179
uoho,52
ohod,411
hoddʲ,1
oddʲe,133
ddʲel,113
dʲeli,595
elil,139
lils,104
ilsv,325
tloo,6
loot,49
oott,472
ottm,4
ttmi,5
tmia,37
uohn,64
ohna,82
hnaz,4
nazv,171
azva,164
zval,156
vals,244
alsv,303
tlod,2
lodɲ,31
odɲo,60
dɲom,46
ɲoma,196
omat,371
matm,5
atmu,18
tmun,2
muna,173
unaz,91
valn,148
alno,53
lnot,23
nots,426
otso,137
tsoʊ,233
soʊa,71
oʊab,135
ʊabo,15
bolv,320
olve,123
lvet,59
vetʃ,641
etʃe,470
tʃer,345
ʃera,105
erab,46
rabo,110
olor,37
lora,24
oran,191
rano,323
anop,50
nopr,49
oprv,98
prvi,112
rvidʲ,10
idʲeɲ,236
dʲeɲa,113
eɲab,25
ɲabu,59
xjeo,11
jeob,75
eobl,37
oblo,42
bloh,19
loha,10
oham,80
hame,18
amed,303
medʑ,1160
edʑi,1163
dʑiv,123
ʑivo,5
ivod,165
miaɲ,89
iaɲe,529
aɲeɣ,29
ɲeɣdʲ,1
eɣdʲe,3
ɣdʲel,1
eliv,85
livo,797
