r-gram,Counts
potʃi,483
otʃia,377
tʃiat,155
ʃiatk,86
iatku,152
stvor,90
tvori,241
voril,1321
ɲebes,382
ebesi,212
besia,213
ɲelad,1
eladn,1
ladna,3
pusta,6
priep,39
riepa,39
iepas,38
epastʲ,38
pastʲo,4
astʲoʊ,11
oʒivu,12
ʒivuj,12
ivuju,9
vujut,30
ujuts,428
jutsi,302
vznaʃ,29
znaʃa,96
naʃal,68
vodam,33
odami,123
rieko,1519
iekol,1589
svetl,237
vetlo,153
vidʲel,1027
dobre,659
oddʲel,112
ddʲeli,44
dʲelil,93
nazva,131
azval,121
notso,52
otsoʊ,75
vetʃe,205
etʃer,178
obloh,19
bloha,2
medʑi,1144
utʃiɲ,1185
tʃiɲi,1533
ʃiɲil,807
blohu,4
ktore,2909
potob,4
otobl,3
toblo,2
bloho,5
lohoʊ,10
ɲebom,20
druhi,226
shrom,634
hroma,722
romaʒ,634
omaʒdʲ,634
maʒdʲi,256
aʒdʲia,29
potɲe,13
otɲeb,10
tɲebo,10
najed,75
ajedn,49
jedno,260
miest,823
iesto,484
ukaʒe,63
suʃin,9
uʃina,2
uʃinu,9
zemoʊ,68
maʒdʲe,344
aʒdʲeɲ,341
ʒdʲeɲi,339
dʲeɲie,129
moram,12
orami,24
svieʒ,10
vieʒu,2
travu,19
bilin,45
ilinu,23
vidav,73
idava,89
davaj,79
avaju,210
vajut,145
ajuts,691
jutsu,35
ovots,161
votsn,7
otsni,130
strom,175
rodʲia,20
odʲiat,64
dʲiats,523
iatsi,211
votsi,154
otsie,101
podʎa,921
svojh,1753
vojho,2091
druhu,81
ktoro,363
torom,255
nazem,364
azemi,205
vidal,167
idala,15
fʃeli,114
ʃelij,106
elija,119
lijak,118
ijaki,71
tretʲi,182
vetla,44
naɲeb,66
aɲebe,7
ebesk,146
beske,84
eskej,6
blohe,4
elili,33
notsi,234
zname,246
nameɲ,147
ameɲi,218
meɲia,75
naurt,13
aurtʃ,13
urtʃi,16
rtʃit,8
tʃite,3
tʃasi,34
nadɲi,11
narok,18
aroki,2
etlam,2
tlami,6
svietʲ,63
vietʲi,53
ietʲil,35
etʲili,41
veʎke,338
vetʃʃ,157
etʃʃi,132
tʃʃie,42
panov,362
anova,97
noval,68
ovalo,44
menʃi,48
enʃie,18
hviez,60
viezd,60
iezdi,31
besku,2
ovali,758
ʃtvrt,77
tvrti,24
hemʒi,11
emʒia,3
emʒiv,1
mʒivi,1
ʒivim,17
ivimi,22
ʒivoʊ,14
duʃoʊ,39
ftats,68
tatst,41
atstv,136
tstvo,217
lieta,11
natva,46
atvar,47
tvari,306
blohi,4
ijaku,24
hibaj,4
ibaju,4
bajut,4
ktori,6384
torim,287
orimi,94
ijake,160
okrid,12
kridl,104
ridle,14
idlen,20
dlene,11
poʒeh,335
oʒehn,335
ʒehna,368
ehnal,91
plotʲtʲ,6
lotʲtʲe,6
mnoʃtʲ,6
noʃtʲe,6
naplɲ,290
aplɲtʲ,10
plɲtʲe,12
moria,11
oriax,5
mnoʒi,130
piati,15
hoved,148
oveda,3686
plazi,24
zemsk,32
emsku,3
zemep,9
emepl,9
mepla,9
eplas,1
tʃiɲm,4
ʃiɲme,4
tʃlov,1276
ʃlove,1276
lovek,1264
oveka,609
nasvo,528
asvoj,528
obraz,88
svoje,2466
vojej,1376
podob,353
odobi,38
vladn,27
ladnu,31
morsk,17
orski,5
rskim,17
skimi,20
ribam,4
ibami,7
beski,51
eskim,11
stvom,157
vedam,8
edami,5
tselo,123
seloʊ,55
kaʒdi,694
aʒdim,33
plazo,10
lazom,4
naobr,5
aobra,3
muʃsk,73
uʃske,66
ʒensk,16
enske,26
pohla,110
ohlav,99
hlavi,237
lavie,4
podma,17
odmaɲ,12
dmaɲtʲ,1
maɲtʲe,1
vladɲ,13
ladɲi,36
adɲitʲ,11
dɲitʲe,13
tvoro,13
vorom,2
kaʒdu,77
ktora,634
plodʲi,275
tsele,439
selej,177
nakto,185
aktor,187
tromu,19
fʃetk,3831
ʃetko,1110
pokrm,137
ʃetki,2321
etkim,405
zvier,62
viera,128
ierat,37
erata,25
ratam,7
emski,17
mskim,4
ʃetke,298
etkem,100
tkemu,100
tstvu,14
eskem,19
skemu,167
zelen,40
elene,35
ilini,6
veʎmi,365
ʃiest,54
iesti,32
dokon,171
okona,128
konan,21
onane,11
vojsk,322
ojsko,129
konal,280
siedm,184
iedme,85
edmeh,82
dmeho,82
dʲielo,156
otpot,125
tpotʃ,125
otʃiv,33
tʃiva,32
ʃival,10
etkeh,162
tkeho,165
dʲiela,43
iedmi,84
posve,183
osvetʲ,140
svetʲi,176
vetʲil,92
otʃin,95
tʃinu,93
ʃinul,20
ʃiɲia,48
iɲiat,22
ɲiats,61
ɲebie,124
ebies,120
tvore,103
voren,89
orene,60
hospo,6904
ospodʲ,6890
spodʲi,6889
podʲin,6494
ɲebol,633
ebolo,278
ɲijak,155
jakeh,89
akeho,158
xrastʲ,5
rastʲi,34
astʲia,14
poʎne,20
oʎneh,5
ʎneho,25
ebola,53
naras,14
arast,7
rastl,47
astla,10
ijaka,11
poʎna,19
ilina,15
prʃal,14
