r-gram,Counts
uzat,122
zatʃ,392
atʃe,323
tʃet,1527
ʃetk,82
etku,31
tkuj,3
kujɛ,105
ujɛu,131
jɛus,533
ɛust,196
ustʋ,113
stʋa,1100
tʋar,314
ʋari,293
ariw,201
riwb,61
iwbo,195
wbok,135
bokn,213
oknɛ,9
knɛb,15
nɛbe,396
ɛbes,244
besa,114
esai,165
sain,514
ainz,452
inze,121
nzem,104
zeml,832
emlj,931
mljɔ,284
ljɔi,122
jɔin,1317
ɔinz,360
mlja,264
ljaj,401
jajɛ,284
ajɛb,700
jɛbi,3002
ɛbil,1525
bila,946
ilap,226
lapu,7
apus,236
pust,982
usta,1089
stai,172
tain,566
ainp,799
inpr,1971
npra,218
praz,331
razn,348
azna,225
znai,12
nain,698
aint,450
inte,243
ntem,54
tema,57
emaj,26
majɛ,82
ilan,182
lana,242
anad,154
nadb,21
adbr,11
dbre,18
brez,142
rezn,39
eznɔ,24
znɔm,6
nɔmi,123
ɔmin,1144
mind,165
indu,226
nduɣ,44
duɣb,18
uɣbo,25
ɣboʒ,21
boʒj,696
oʒji,329
ʒjij,22
jijɛ,117
ijɛp,478
jɛpl,37
ɛpla,81
plaʋ,34
laʋa,557
aʋaw,41
ʋawn,231
awna,720
wnat,245
natʋ,471
atʋɔ,555
tʋɔd,113
ʋɔda,219
ɔdam,73
dami,202
amii,326
miin,727
iinr,368
inre,932
nret,754
retʃ,3219
etʃɛ,3178
tʃɛb,218
ʃɛbo,181
ɛboɡ,185
boɡb,33
oɡbo,23
ɡbod,36
bodi,916
odis,484
disʋ,68
isʋɛ,118
sʋɛt,1166
ʋɛtl,124
ɛtlo,72
tlob,67
loba,54
obai,69
bain,196
ainb,259
inbi,320
nbil,153
ilaj,138
lajɛ,303
ajɛs,269
jɛsʋ,331
ɛsʋɛ,105
ainʋ,248
inʋi,342
nʋid,189
ʋidɛ,559
idɛw,463
dɛwj,70
ɛwjɛ,465
wjɛb,183
jɛbo,439
ɛbok,256
boks,101
oksʋ,51
ksʋɛ,9
ɛtlɔ,24
tlɔb,22
lɔbɔ,115
ɔbɔd,122
bɔda,30
ɔdaj,387
dajɛ,1091
ajɛd,216
jɛdo,138
ɛdob,38
dobr,190
obra,140
brai,74
rain,324
ainl,99
inlɔ,33
nlɔt,8
lɔtʃ,346
ɔtʃi,1160
tʃiw,373
ʃiwj,50
iwjɛ,592
ɔbɔo,8
bɔot,7
ɔott,34
otte,180
ttem,75
temɛ,50
emɛi,29
mɛin,146
ɛins,699
insʋ,179
nsʋɛ,66
ɔbɔj,18
bɔjɛ,97
ɔjɛb,149
boki,262
okim,27
kimɛ,19
imɛn,504
mɛnɔ,246
ɛnɔʋ,246
nɔʋa,455
