r-gram,Counts
uzat,26
zatʃ,346
atʃe,207
tʃet,1526
ʃetk,81
etku,30
ustʋ,105
stʋa,1069
tʋar,300
ʋari,274
ariw,200
nɛbe,388
ɛbes,240
besa,114
zeml,832
emlj,884
mljɔ,284
mlja,264
bila,942
pust,971
usta,1050
praz,329
razn,347
azna,148
tema,55
brez,142
rezn,39
eznɔ,20
znɔm,1
boʒj,696
oʒji,329
plaʋ,32
laʋa,525
aʋaw,41
ʋɔda,75
ɔdam,23
dami,80
retʃ,3208
etʃɛ,3161
bodi,916
sʋɛt,1165
ʋɛtl,124
ɛtlo,72
tlob,67
loba,54
ʋidɛ,526
idɛw,463
ɛtlɔ,24
tlɔb,22
lɔbɔ,98
dobr,186
obra,125
lɔtʃ,302
ɔtʃi,967
tʃiw,373
temɛ,49
imɛn,395
mɛnɔ,241
ɛnɔʋ,246
nɔʋa,369
ɔʋaw,697
temɔ,33
notʃ,403
ʋetʃ,1114
etʃə,102
tʃər,155
bilɔ,1696
jutr,369
utrɔ,68
pərʋ,607
ərʋi,471
rast,441
aste,57
steʒ,14
teʒj,18
eʒjɛ,27
tʃil,596
ʃilɔ,216
ʋodɛ,299
nare,242
ared,226
redi,530
torɛ,1371
orɛj,1275
lotʃ,98
otʃi,1101
ʒjɛm,70
zɡɔd,231
ɡɔdi,255
ɔdil,630
dilɔ,318
takɔ,1764
nebɔ,132
druɡ,1326
ruɡi,557
zbɛr,29
bɛro,4
ebɔm,43
kraj,801
prik,348
rika,254
ikaʒ,66
kaʒi,53
suʃi,52
uʃin,2
ʃina,245
ʃinɔ,251
stok,13
tokɛ,12
morj,428
orja,153
dɔbr,664
ɔbrɔ,530
pɔʒe,41
ɔʒen,111
ʒeni,204
traʋ,61
raʋɔ,92
zɛlɛ,38
ɛlɛn,35
lɛnj,51
ɛnja,339
njaʋ,140
jaʋɔ,68
rodi,349
semɛ,137
rɔdɔ,656
ɔdɔʋ,560
dɔʋi,440
ɔʋit,463
ʋitn,153
itnɔ,91
drew,55
rewj,55
ewjɛ,48
dajɛ,176
sadj,25
adjɛ,65
sʋoj,4764
ʋojɛ,3255
ojɛm,608
plɛm,76
lɛme,37
ɛmen,204
menu,391
katɛ,262
atɛr,297
tɛre,107
ɛreɡ,86
reɡa,219
unje,410
njem,1101
zemʎ,317
emʎi,329
pɔɡn,28
ɔɡna,22
ɡnal,49
nala,32
rɔde,20
ɔdeʋ,23
deʋa,66
njɛɡ,4073
jɛɡo,3519
ɛɡoʋ,3536
ɡoʋɛ,1022
oʋɛm,557
tret,161
retj,144
etji,102
natɔ,309
bɔdɔ,1653
lutʃ,119
utʃi,298
eʒju,16
ɛbeʃ,147
beʃk,147
eʃkɛ,90
ʃkɛm,18
tʃij,92
ʃijɔ,192
znam,409
name,364
amen,493
menj,363
enja,549
dɔlɔ,149
ɔlɔt,147
ɔtʃu,21
tʃuj,461
ʃuje,106
ujej,538
jejɔ,946
tʃas,932
ʃasɛ,28
dneʋ,347
neʋɛ,7
leta,123
ʋɛti,507
ɛtij,16
tijɔ,79
narɛ,341
arɛd,319
rɛdi,359
ɛdiw,390
tist,1682
isti,1302
ʋɛli,1414
ɛlik,1107
liki,305
etʃj,209
tʃjɔ,90
ɡɔsp,8642
ɔspɔ,6476
spɔd,3100
pɔdu,37
ɔduj,46
dujɛ,148
neʋu,22
maɲʃ,71
aɲʃɔ,2
zʋez,96
ʋezd,68
ezdɛ,42
pɔst,2000
ɔsta,2616
staʋ,1588
taʋi,1024
aʋiw,658
eʃkɔ,96
duje,78
tʃɛt,265
ʃɛtə,90
ɛtər,132
tərt,244
ərti,386
ɔbil,359
ɡipk,1
ipki,1
pkih,5
ʒiʋe,231
iʋet,54
etʃi,521
tʃih,133
ptit,143
tits,119
itsɛ,1072
lɛta,32
ɛtaj,48
tajɔ,34
prot,1056
roti,1068
nɛbɛ,12
ɛbɛʃ,11
bɛʃk,11
ɛʃke,15
ʃkem,6
kemu,219
likɛ,180
mors,50
orsk,60
rskɛ,43
ʒiʋa,228
iʋal,702
ʋali,1634
ʒiʋɛ,312
ɡibl,36
iblj,37
blje,190
ljej,230
rɔdi,538
dilɛ,31
meni,714
enih,286
kril,71
rila,226
ilat,59
latɛ,93
blaɡ,722
laɡɔ,645
aɡɔs,379
ɡɔsl,375
ɔslo,149
sloʋ,100
loʋi,1047
ɡɔʋo,2158
ɔʋor,2138
ʋorɛ,600
orɛt,331
rɛtʃ,963
plɔd,7
lɔdi,13
ɔdit,414
ditɛ,601
mənɔ,624
ənɔʒ,319
nɔʒi,349
ɔʒit,321
ʒitɛ,157
napɔ,164
apɔw,118
pɔwn,623
ɔwni,925
wnit,221
nitɛ,312
orji,7
rjih,11
məno,277
ənoʒ,48
