r-gram,Counts
pɾin,376
ɾinθ,376
inθi,452
nθip,375
θipj,79
ipjo,79
kɾeo,25
ðjos,4196
θjel,771
jelo,744
elos,470
tjeɾ,3105
jeɾɾ,3024
eɾɾa,3560
esta,6591
staβ,1624
taβa,1749
oɾðe,487
ɾðen,239
βaθi,49
aθia,158
aβia,2571
tinj,132
inje,244
njeβ,156
jeβl,133
eβla,133
βlas,251
soβɾ,2720
oβɾe,2914
oθea,23
θean,24
eano,23
espi,817
spiɾ,735
piɾi,650
iɾit,652
ɾitu,691
moβi,64
oβia,26
aɣwa,701
ɣwas,338
ento,3284
nton,2796
tonθ,2715
onθe,3024
nθes,2725
ðixo,2349
djos,244
βwen,401
wena,209
sepa,128
epaɾ,368
paɾo,141
ʎamo,232
notʃ,428
otʃe,432
taɾð,118
aɾðe,215
maɲa,244
aɲan,250
ɲana,242
pɾim,673
ɾime,457
imeɾ,438
ajja,704
βoβe,17
oβeð,229
βeða,25
meðj,1041
eðjo,1124
paɾa,6915
paɾe,492
stan,792
deβa,37
eβax,242
βaxo,508
seɣu,766
eɣun,1128
ɣund,179
undo,521
ɾɾeu,76
ɾeun,30
euna,11
unan,23
nans,2
anse,32
solo,483
luɣa,952
uɣaɾ,961
moðo,185
apaɾ,729
aɾeθ,380
ɾeθk,166
eθka,222
paɾt,1447
aɾte,879
seka,115
ɾɾeʊ,439
ɾeʊn,419
eʊnj,263
ʊnjo,204
njon,182
maɾe,155
aɾes,404
esto,2309
weno,198
desp,441
espw,948
spwe,1000
pwes,2733
pɾoð,164
ɾoðu,173
oðuθ,91
ðuθk,16
uθka,19
jeɾβ,869
eɾβa,296
plan,306
lant,1393
anta,1136
ntas,192
semi,64
emiʎ,51
miʎa,192
aɾβo,233
ɾβol,216
βole,109
oles,240
fɾut,271
ɾuta,41
utal,11
tale,273
ales,1163
ɾuto,242
espe,744
speθ,86
peθj,85
eθje,240
kujj,239
ujja,245
este,1779
oðux,36
ðuxo,31
teɾθ,208
eɾθe,229
ɾθeɾ,192
lumb,44
umbɾ,214
mbɾe,4186
bɾeɾ,15
ɾeɾa,38
eɾas,721
ðist,154
isti,136
stiŋ,29
tiŋɡ,29
iŋɡi,20
ŋɡiɾ,7
seɾβ,780
eɾβi,694
ɾβiɾ,202
seɲa,436
eɲal,205
ɲale,83
staθ,26
taθj,169
aθjo,2645
θjon,3460
jone,1297
ones,1753
ðias,817
aɲos,746
siɾβ,199
iɾβa,64
ɾβan,62
alum,87
bɾen,3
ðesð,738
esðe,865
ɣɾan,806
ɾand,711
ande,758
ndes,196
majj,211
ajjo,296
jjoɾ,174
ðomi,109
omin,271
mina,699
inaɾ,278
meno,216
enoɾ,83
tamb,1747
ambj,1826
mbje,1838
bjen,1669
estɾ,3932
stɾe,376
tɾeʎ,70
ɾeʎa,69
eʎas,371
puso,387
mbɾa,303
bɾaɾ,49
aɾaɾ,168
kwaɾ,281
waɾt,121
aɾto,172
θkan,54
innu,11
nnum,11
nume,195
umeɾ,199
meɾa,383
eɾaβ,64
ɾaβl,57
aβle,532
βles,192
seɾe,272
eɾes,820
βiβj,194
iβjɛ,160
βjɛn,603
jɛnt,2306
ɛnte,2243
ntes,1598
aβes,320
βwel,310
wele,30
elen,69
anim,341
nima,272
imal,259
male,286
akwa,8
kwat,337
wati,8
atik,65
tiko,154
ikos,86
toðo,4502
oðos,2526
ðesp,970
espl,212
spla,148
plaθ,186
laθa,128
aθan,25
ðuxe,10
uxeɾ,1033
xeɾo,849
eɾon,3638
toða,2197
alað,86
laða,167
βend,668
endi,920
ndix,82
dixo,190
ðiθj,1259
iθjɛ,1288
θjɛn,1875
jɛnd,2616
ɛndo,2246
feku,20
ekun,20
kund,26
ndos,217
mult,374
ulti,447
ltip,119
tipl,119
ipli,157
plik,174
lika,188
ikao,20
kaos,37
ʎena,207
enad,6
like,24
iken,25
kens,7
ense,350
kint,57
into,79
ɣana,203
anað,300
naðo,844
ɾɾep,606
ɾept,25
epti,138
ptil,21
tile,131
iles,282
aɣam,24
ɣamo,61
amos,762
ombɾ,4053
nwes,1163
west,3430
stɾa,1774
imax,111
maxe,149
axen,125
komf,893
omfo,451
mfoɾ,561
foɾm,688
oɾme,499
seme,204
emex,164
mexa,164
exan,244
xanθ,16
anθa,722
tɛŋɡ,318
ɛŋɡa,332
minj,71
injo,78
peθe,29
eθes,464
muxe,1019
soxu,2
oxuθ,2
xuθɣ,227
uθɣa,178
θɣad,12
ɣadl,6
adla,27
tene,395
ened,28
aðem,200
ðema,381
emas,410
ðaðo,807
supe,106
upeɾ,121
peɾf,146
eɾfi,40
ɾfiθ,39
fiθj,664
iθje,431
ujjo,420
ʎeβa,618
eʎos,2948
βiɾa,266
iɾan,377
alim,98
limɛ,84
imɛn,99
mɛnt,659
ɛnto,1877
βiða,833
etʃo,1266
mujj,218
seks,70
ekst,855
ksto,50
fweɾ,1682
weɾo,999
teɾm,189
eɾmi,281
ɾmin,185
inað,279
aðos,2107
okup,82
kupa,70
upan,2
pant,63
ante,3561
sept,117
ptim,117
timo,475
oβɾa,641
ɾepo,172
epos,196
poso,160
sant,892
anti,357
ntif,91
tifi,275
ifik,1118
fiko,131
poɾk,3800
oɾke,3802
kɾea,106
ɾeaθ,15
eaθj,15
stos,956
oɾix,11
ɾixe,35
ixen,20
xene,351
enes,653
kwan,2735
wand,2362
ando,4174
ɾeað,60
eaðo,133
xeoβ,6852
eoβa,6852
niŋɡ,484
iŋɡu,485
ŋɡun,470
aɾβu,7
ɾβus,7
βust,17
usto,390
kamp,846
ampo,662
xeɾm,5
ɡuna,181
ʎoβe,18
oβeɾ,357
kult,154
ltiβ,45
tiβa,77
iβaɾ,60
βaɾl,44
aɾla,128
peɾo,3361
suβi,292
uβia,53
bapo,3
apoɾ,7
ɾɾeɣ,354
ɾeɣa,611
eɣaβ,49
ɣaβa,168
oɾmo,42
polβ,119
olβo,118
sopl,45
oplo,22
naɾi,35
aɾiθ,42
aljɛ,213
ljɛn,215
ʎeɣo,208
anto,1893
xaɾð,43
aɾði,72
ɾðin,49
eðen,146
oɾjɛ,103
ɾjɛn,192
oɾma,190
ɾmað,101
maðo,615
βɾot,57
ɾota,127
otaɾ,71
klas,58
lase,70
atɾa,159
tɾak,14
ɾakt,99
akti,98
ktiβ,23
tiβo,248
iβos,220
βist,451
ista,288
enos,297
kome,999
omeɾ,471
kono,858
onoθ,852
noθi,302
oθim,142
θimj,234
imjɛ,440
mjɛn,934
βjen,1045
ɾɾio,236
sali,313
alia,147
eðem,13
eɣaɾ,468
ðiβi,126
iβið,230
βiði,26
iðia,7
watɾ,329
atɾo,351
βɾaθ,143
ɾaθo,1163
aθos,118
nomb,1006
meɾo,422
piso,64
ison,13
ɾɾoð,161
ɾoðe,138
oðea,74
ðeaβ,7
eaβa,61
aβil,342
βila,26
ðond,627
onde,1025
akeʎ,464
keʎa,216
amba,33
mbaɾ,180
oniθ,19
niθe,23
ɣixo,14
ixon,18
etjo,85
tjop,26
jopi,26
opia,26
tiɣɾ,2
iɣɾi,12
ɣɾis,2
koɾɾ,441
oɾɾe,543
asiɾ,159
siɾj,295
iɾja,258
eufɾ,21
ufɾa,21
fɾat,46
ɾate,81
ates,51
tomo,394
iβas,133
βase,127
ɣwaɾ,636
waɾð,702
aɾða,509
ɾðas,69
ðase,17
mand,1103
pweð,334
weðe,224
eðes,80
koma,118
omas,67
θjeɾ,1096
jeɾt,1161
eɾta,1099
ɾtam,319
tame,451
amen,1065
ment,1427
ente,1642
moɾi,320
oɾiɾ,284
ɾiɾa,277
iɾas,375
ajju,203
jjuð,131
juða,1560
iðon,50
ðone,33
onea,2
oðas,1011
tɾax,147
ɾaxo,60
komo,4063
ʎama,589
amaɾ,730
maɾi,243
aɾia,366
bɾes,1352
aðan,78
weɾa,463
kajj,168
ajje,90
jjeɾ,290
jeɾa,622
sweɲ,131
weɲo,164
pɾof,881
ɾofu,79
ofun,78
fund,237
mjen,312
jent,782
entɾ,2773
ntɾa,2870
tɾas,1362
ðoɾm,55
oɾmi,61
ɾmia,8
kost,282
osti,165
stiʎ,6
tiʎa,4
iʎas,168
θeɾɾ,158
eɾɾo,451
kaɾn,518
aɾne,497
aoɾa,670
weso,95
esos,133
seɾa,1993
amað,469
maða,243
toma,952
omað,157
tant,978
ðexa,413
exaɾ,238
xaɾa,160
paðɾ,1505
aðɾe,1819
maðɾ,329
uniɾ,20
niɾa,32
eɾan,1568
sola,405
aβan,1725
ambo,87
mbos,113
ðesn,105
esnu,114
snuð,112
nuðo,38
uðos,53
aβeɾ,890
βeɾɣ,218
eɾɣo,135
ɾɣon,136
ɣonθ,135
onθa,124
nθaβ,12
θaβa,95
seɾp,57
eɾpj,57
ɾpjɛ,57
pjɛn,109
astu,20
stut,11
tuto,122
βeɾa,529
ðitʃ,866
itʃo,894
omai,19
mais,80
ɾɾes,2124
ɾesp,1376
espo,1296
spon,1137
pond,1382
ondj,845
ndjo,980
poðe,647
oðem,28
ðemo,138
emos,1167
toke,55
okei,13
keis,38
muɾa,111
uɾai,11
ɾais,69
ɾiɾe,63
iɾei,131
ɾeis,1173
saβe,457
βwes,1421
stɾo,2388
tɾos,3890
oxos,738
aβje,134
βjeɾ,870
eɾto,1147
ɾtos,332
eɾei,339
noθj,66
oθjɛ,13
koði,34
oðiθ,41
iθja,749
θjaβ,40
jaβl,44
alka,128
lkan,141
kanθ,154
nθaɾ,137
saβi,300
aβið,716
βiðu,230
iðuɾ,384
ðuɾi,221
uɾia,262
komj,163
omjo,30
aɾið,139
ɾiðo,228
ðjeɾ,253
jeɾo,2633
kwɛn,438
wɛnt,499
ɛnta,966
desn,9
kosj,1
osje,13
sjeɾ,1321
oxas,35
iɣeɾ,45
ɣeɾa,55
θeɲi,56
eɲið,36
ɲiðo,35
iðoɾ,266
ðoɾe,547
oɾes,940
ojje,192
pase,96
asea,18
seaβ,25
fɾes,16
ɾesk,134
esko,451
skon,196
kond,395
ndje,263
djeɾ,240
pɾes,1112
ɾesɛ,444
esɛn,468
sɛnθ,311
ɛnθj,938
nθja,1620
ntɾe,1815
pɾeɣ,456
ɾeɣu,441
ɣunt,439
unto,995
stas,852
tuβe,56
mjeð,84
jeðo,84
ondi,164
