r-gram,Counts
bɪ,507
ɪb,295
bl,6667
lə,10932
ɛs,3835
sd,228
dɵ,117
ɵb,196
bə,7286
əl,7670
lv,1854
ve,1280
ee,3
kʊ,1
ʊn,2029
ns,14001
st,22768
tr,8230
rɵ,2090
ɵk,1438
kt,8539
tə,19562
əd,1784
ɪn,16182
ak,3962
ks,1938
su,672
ur,10630
rd,10281
da,14350
an,42234
sə,6609
tu,3742
se,4878
eɛ,1
ta,18101
nd,21491
ar,21593
ds,3627
ʃr,2
rɪ,3735
ɪs,6575
us,3116
ud,3277
du,1351
uʉ,17
ʉl,755
lu,1977
up,1067
pu,570
sx,7270
xʉ,620
ʉh,22
hɵ,1846
ɵn,6804
dr,7269
ra,26651
rɛ,8912
ɛt,12234
tɪ,18353
ni,1047
iu,987
tʉ,1243
ʉs,5940
sɛ,9572
ɛn,35863
ɛk,3022
sh,590
tɔ,1521
ɔn,9444
fɛ,2983
ɛm,10584
mɪ,5200
ɪl,21893
lj,2679
ju,4277
un,5635
nɛ,5273
ɛr,34796
mh,283
fœ,10725
œr,7354
rt,1944
mt,1360
dɑ,3665
ɑt,1215
ab,2218
bɑ,4005
ɑs,669
ho,447
ot,6099
te,1620
et,12716
ep,74
pe,706
sn,1009
ne,1530
ed,15562
rə,20633
ək,1628
le,2639
kɔ,5869
ɔm,35043
fr,10391
re,2988
eə,1055
ku,7573
rp,560
pʉ,112
nk,6
dɪ,5404
ɪŋ,8599
və,8941
ər,38544
rs,179
xu,902
tv,1381
vo,2628
nɔ,8421
ɔl,5063
sv,2599
əj,1010
jy,1118
yn,1907
nə,9282
ls,6702
ən,40825
sk,18362
kɑ,1432
ɑp,1067
pa,2701
ad,16924
də,40707
ɡʉ,4074
ʉd,6516
hɪ,1107
ɪm,1375
mə,4145
ɔk,44699
jo,1011
or,5826
vɑ,11374
ɑr,19384
ød,3156
tʊ,26
ʊm,25
mœ,555
rk,2956
kə,13894
øv,4859
jʉ,4168
ʉp,191
pə,1365
ət,12426
ɡɵ,1713
ɵd,1589
vɛ,6924
ɛv,985
va,11038
at,18111
tn,1237
sɑ,5588
ɑd,8038
dɛ,36259
de,21535
so,14947
oɡ,4495
ɡɔ,4532
ɔt,4011
xɪ,579
ld,3651
ro,5699
on,8440
kr,3941
ka,18676
al,20702
la,18978
ɑɡ,15265
ha,24162
na,25533
af,1419
ft,5210
mɔ,1737
ɔr,2790
rɡ,1117
œʂ,2748
ʂt,2284
ɡə,3258
ɪt,5602
sɔ,16162
jə,5588
uv,547
xɛ,2216
ɛd,6110
sa,10195
am,8562
ml,1817
ɛj,16735
pl,1417
ts,3509
li,7474
iv,6723
sy,1772
nl,348
lɪ,5732
ɪk,11725
ŋə,5001
hɑ,8046
ɑv,10309
mb,251
br,4106
ɡr,2601
rœ,1665
œn,638
rø,2130
øb,4
bɛ,2029
œt,2715
ɛf,3061
si,4024
in,5259
er,5547
ri,5216
av,3197
sɪ,6304
po,8117
aɡ,729
ɡt,413
tɛ,5366
as,11074
bʉ,934
ʉr,3692
ru,7798
dj,1055
ja,3981
ʉt,6642
tm,271
ti,4828
id,6740
ɡa,8979
ly,1745
ys,604
tœ,732
od,2872
rn,10888
nu,774
fj,273
jɛ,3471
vɪ,7316
ev,3039
fl,1252
yɡ,1415
fo,2241
ɡl,1203
vs,600
sj,316
he,4621
el,3454
im,754
əv,560
ŋa,3724
ɛl,12844
ŋn,1250
ma,10352
fø,13349
ør,17569
øk,953
ɵp,5093
pf,239
fy,856
yl,654
bɔ,2023
ɔs,3187
ps,770
lo,3555
jø,2724
mɛ,13213
nɪ,5132
vb,48
ik,2874
mo,2594
fɪ,1835
xa,424
hɛ,14935
kv,1440
lɛ,6339
ɛɡ,2452
jɑ,10953
ji,2663
me,8334
df,200
ul,4081
lt,4435
øn,1562
my,698
yk,2021
vu,2227
nʉ,3330
fɵ,1253
ɵl,3411
lb,1219
bu,1425
ɛʂ,613
ʂk,663
xɵ,389
vi,8743
il,1119
lɡ,318
rf,2268
dn,823
lk,4441
əs,7769
do,5779
bɵ,592
ɵs,1226
xə,338
ɕʉ,629
it,6152
ty,4617
əŋ,553
fa,4689
kɵ,3869
rʉ,3679
ʉk,641
eɡ,653
ɔf,2058
nb,710
os,3896
ɪv,322
nt,3961
lɵ,607
tɡ,145
ɡo,2727
œs,944
ɪɡ,5059
ɡɛ,877
sl,3418
lɑ,2010
ɡs,645
ʉv,813
vl,299
iɡ,2705
ɡu,1451
jɪ,1667
yr,980
en,4024
pi,501
is,2748
yt,1133
mk,587
bd,25
iɵ,9
ɵm,315
ny,306
ss,16
ih,279
hu,1387
kʉ,264
ɪd,709
lɔ,1351
ɔp,947
iə,1027
rɑ,1580
uɡ,2394
hɔ,7424
bj,665
dʉ,6662
dø,1669
lp,363
hø,2892
hʉ,3658
ɡɑ,1144
mn,1768
no,2998
hœ,1923
œv,376
vd,575
tɵ,826
ɵŋ,4665
sœ,490
œm,619
ɕœ,421
by,1070
ɡd,634
tɑ,4993
ɡɪ,230
be,1004
mi,2236
hʊ,1188
rj,2476
mu,5661
bo,1063
kn,1294
rm,1758
to,2184
rv,1695
øɡ,1855
œp,376
pn,449
əʂ,2067
ʂɔ,576
mv,266
aʂ,522
ʂə,130
ko,387
lø,1032
jœ,210
md,225
nɑ,443
ɑk,2254
rb,1826
ba,2649
di,3153
fi,814
mp,533
vʉ,474
mø,186
sm,1413
kl,1797
rl,2350
ɕe,294
ʉb,326
ʉŋ,44
ɡʊ,164
ʊr,187
ɕɛ,2863
œd,1160
ai,689
je,4680
ɑb,592
rh,659
hə,914
ok,354
fə,2412
ov,1075
tf,1254
vr,802
lʉ,802
dœ,850
bø,325
ɑl,2896
œl,1705
ɛp,974
pt,1369
ɪf,1786
mɵ,488
ut,4387
xe,288
øt,662
ʉf,100
xy,477
yd,721
ɪj,54
ɑn,410
uk,492
sʊ,182
ir,316
eh,343
ʉj,78
aə,1201
em,296
mf,456
dk,156
kœ,42
ip,197
aɪ,117
ɑa,175
yŋ,142
ŋl,318
ɵt,727
uf,1135
sf,237
eʂ,38
ms,1549
sø,1598
vn,242
ol,936
əf,1546
mɑ,422
ɑh,581
əm,1769
iɔ,155
mj,429
ŋɛ,34
xo,5
ua,697
ɑm,1238
ɑf,123
əh,747
dɔ,2134
ʉɡ,412
fu,613
mŋ,13
ŋk,1341
aŋ,1000
ɔŋ,2393
ŋr,396
tp,84
aj,320
nr,199
mr,436
ry,1218
db,211
ln,1067
ij,1046
nv,412
pr,2612
pɑ,327
kø,86
oŋ,78
ŋɕ,55
ɕø,137
nf,1398
ŋɑ,3
ŋu,622
ɛŋ,2121
ŋd,309
yf,219
oj,192
xœ,340
œŋ,165
ph,285
ek,332
vt,117
xɔ,228
ki,407
ɛb,156
um,980
ɔd,520
kɛ,259
tk,156
tj,475
ɔb,129
ya,162
aa,307
fɔ,3898
ŋo,260
ŋs,767
ɑʂ,38
hy,161
es,1563
if,78
ʂi,52
kɪ,147
tb,148
sr,2886
eb,852
bt,4
ɑə,52
əa,767
ub,800
ɪr,168
hi,496
ke,109
dm,299
ui,25
sʉ,1424
əɡ,695
jɔ,53
lm,254
bi,627
ef,300
jd,941
ah,391
ej,946
ɵr,288
sp,1290
pɛ,760
œj,679
jl,36
əɪ,63
ɔʂ,287
nh,388
rɔ,1385
ʂu,92
əb,439
sb,559
ɑi,76
dl,690
ʂn,75
nø,283
yp,828
xø,268
fɑ,779
au,532
vɔ,103
uə,109
tl,533
nɵ,3257
ɪʂ,66
ʂa,657
th,246
vf,145
ae,17
ɕɪ,106
ei,19
œk,359
sɡ,73
lh,462
ɡi,246
øs,457
ɡh,1693
eo,3
ɔv,105
øm,332
vk,195
bʊ,20
ʊt,17
lr,330
ym,273
io,17
uɔ,76
oɛ,67
ŋɔ,154
ea,100
øl,90
dɡ,427
ɵɡ,289
dh,141
øj,273
dv,146
nj,418
mʊ,137
ʂy,56
bœ,486
ʂo,148
pk,50
oə,49
ia,1436
np,106
mʉ,487
ʉə,193
pɪ,184
eʉ,16
ʉm,232
uh,403
kp,36
pɔ,279
sɵ,384
pj,113
ŋb,12
rʊ,135
ŋt,255
dy,163
jɵ,554
ŋf,85
ʉa,309
eɵ,8
aɛ,1570
əə,187
bs,467
aʉ,127
vɵ,291
ɕi,66
ib,303
uj,304
ɕy,45
ɡj,54
tø,298
ɔɡ,116
øf,60
ʂm,109
əu,115
ɡn,325
lœ,384
lf,490
ob,95
vh,61
ɪp,315
ɑŋ,34
eɪ,23
jt,138
œf,90
øp,248
ɵʂ,423
əʊ,37
ɑj,57
eu,38
uʂ,30
ɑʉ,504
kb,70
pm,51
fs,116
vm,79
əɕ,80
ky,77
ap,278
fʉ,13
om,104
nœ,93
uɛ,15
ŋj,27
fe,69
ŋp,16
pɵ,185
ŋɵ,63
ɪə,44
ʂœ,18
nm,131
ʂv,122
lʊ,80
ʊk,80
dt,36
pb,108
fd,13
ʂʊ,13
bn,111
əi,61
iɛ,60
øa,10
ʂø,33
ɕɔ,23
əɛ,75
oʂ,111
ʂɡ,58
ɛə,11
ʂl,34
kh,163
yv,8
fn,14
pd,33
kd,54
ŋø,38
nɕ,5
ŋɪ,21
td,45
js,40
əp,53
op,67
vp,16
rŋ,21
əɔ,32
ɡv,23
ʉɔ,13
œɡ,17
ɡɡ,95
oa,4
kj,31
ʂb,25
xi,196
ŋm,100
jn,32
yu,12
kk,16
mɡ,66
ʂj,29
ʉʂ,15
ʂp,20
uɵ,25
ʂɕ,11
ʂf,63
ɕɵ,1
ŋʊ,23
uu,31
ɵv,39
km,49
kf,22
vɡ,175
pv,101
py,15
iɕ,7
œɕ,27
ʉi,26
ŋv,11
əɵ,5
əo,20
ʉɛ,19
ʂɪ,54
ɔɕ,3
lɕ,50
ɕə,63
nʊ,39
yʂ,26
fh,12
of,140
ɡb,38
bm,5
ɑɪ,6
fk,2
ɪu,14
pɡ,25
vj,20
ɡe,6
ɡm,57
mm,5
ŋi,50
rɕ,5
dp,21
ŋʉ,3
vɕ,8
oh,25
ʂɑ,7
yb,2
ɕa,48
ɑu,14
ʂɵ,14
ɡf,46
ʉo,1
yɵ,2
ɑo,2
ʃɪ,1
ɕu,4
aɔ,39
ʂɛ,11
ɑɵ,97
ɵf,81
uɪ,1
ɑɔ,1
ʃa,11
bf,2
ɑɕ,1
aɕ,23
bh,7
ŋɡ,5
ɡk,22
uɑ,1
ʂd,2
aɵ,8
pɕ,2
ɛɕ,12
ɪɕ,9
əʉ,64
fm,1
ŋh,23
yə,6
sɕ,2
yɛ,4
ey,1
ɡp,5
ʊɡ,2
tɕ,4
ɔj,12
ɵɕ,6
dŋ,2
pø,7
pœ,2
uɕ,5
ʃɑ,14
fb,2
iʊ,1
øə,3
yɔ,2
jʊ,5
ʊs,1
vy,1
rʂ,1
tt,4
ŋœ,5
kɡ,2
ue,2
rr,3
uø,1
sŋ,3
ŋŋ,1
vœ,4
iʉ,140
ɪɔ,2
dɕ,10
ii,15
yj,3
ll,6
ʂʉ,5
ɪʉ,3
ɪa,1
ao,2
ɡø,6
ʉn,1
uo,4
