r-gram,Counts
adija,296
dijan,22
ijand,508
jandu,1007
andud,107
ndude,38
dudeʋ,63
udeʋu,1220
deʋuɖ,1818
eʋuɖu,805
ʋuɖubʰ,10
uɖubʰu,20
ɖubʰum,44
ubʰumj,20
bʰumja,37
umjak,25
mjaka,25
jakaɕ,27
akaɕa,521
kaɕam,389
aɕamu,420
ɕamul,931
amula,6492
mulan,2867
ulanu,4767
lanus,347
anusr,16
nusru,37
usruɟ,36
sruɟi,55
ruɟin,56
uɟinc,155
ɟince,28
incen,1308
ncenu,1274
cenubʰ,11
enubʰu,42
nubʰum,155
ubʰumi,331
bʰumin,125
umini,138
minir,3
inira,188
nirak,171
iraka,99
rakar,715
akara,1080
karam,1458
aramu,3920
ramuɡ,606
amuɡa,3478
muɡan,840
uɡanu,1807
ɡanuɕ,9
anuɕu,14
nuɕun,6
uɕunj,9
ɕunja,11
unjam,10
njamu,481
jamuɡ,697
ɡanuu,71
anuun,169
nuunɖ,175
uunɖe,75
unɖen,1260
nɖenu,1240
ɖenuc,13
enuci,16
nucik,40
ucika,87
cikaʈ,145
ikaʈi,141
kaʈia,36
aʈiaɡ,4
ʈiaɡa,2
iaɡadʰ,11
aɡadʰa,72
ɡadʰaɟ,24
adʰaɟa,25
dʰaɟal,25
aɟala,652
ɟalam,184
alamu,2228
lamup,104
amupa,422
mupaɪ,28
upaɪn,48
paɪna,118
aɪnak,295
ɪnaka,130
nakam,29
akamm,9
kammi,20
ammij,9
mmiju,9
mijun,33
ijunɖ,963
junɖe,437
ɖenud,96
enude,165
nudeʋ,404
deʋun,1563
eʋuni,1566
ʋunia,76
uniat,32
niatm,50
iatma,80
atmaɟ,3
tmaɟa,1
maɟal,2
lamul,966
mulap,117
ulapa,187
lapaɪ,39
apaɪn,50
aɪnaa,602
ɪnaal,8
naall,12
aalla,15
allaɖ,43
llaɖu,7
laɖuc,163
aɖucu,889
ɖucun,571
ucunɖ,963
cunɖe,268
ʋuɖuʋ,58
uɖuʋe,57
ɖuʋel,138
uʋelu,188
ʋeluɡ,174
eluɡu,158
luɡuk,38
uɡuka,38
ɡukam,1
ukamm,53
kamma,26
amman,81
mmani,199
manip,56
anipa,484
nipal,60
ipalu,72
paluk,242
aluka,288
lukaɡ,22
ukaɡa,152
kaɡaʋ,28
aɡaʋe,47
ɡaʋel,6
aʋelu,73
ɡukal,31
ukali,617
kaliɡ,833
aliɡe,104
liɡen,106
iɡenu,265
ɡenuʋ,23
enuʋe,139
nuʋel,67
luɡum,46
uɡuma,31
ɡuman,46
umanc,137
manci,319
ancid,126
ncida,133
cidaɪ,11
idaɪn,18
daɪna,146
aɪnaʈ,95
ɪnaʈʈ,71
naʈʈu,340
aʈʈud,49
ʈʈude,6
ʈudeʋ,5
ʋuɖuc,20
uɖucu,36
ɖucuc,98
ucuce,57
cucen,54
ucenu,59
cenud,106
luɡun,439
uɡunu,346
ɡunuc,12
unuci,47
kaʈin,337
aʈini,812
ʈiniʋ,214
iniʋe,270
niʋer,58
iʋeru,57
ʋerup,43
erupa,51
rupar,156
upara,557
parac,1982
arace,217
racen,116
acenu,123
uɡuna,225
ɡunak,29
unaku,3863
nakup,629
akupa,419
kupaɡ,4
upaɡa,109
paɡal,117
aɡala,479
ɡalan,92
alani,298
lanij,90
aniju,926
nijuc,84
ijuci,11
jucik,4
kaʈik,74
aʈiki,355
ʈikir,45
ikira,288
kirat,10
iratr,69
ratri,266
atria,33
trian,21
riani,28
ianij,23
nijup,76
ijupe,25
juper,11
uperu,209
perup,195
erupe,179
rupeʈ,181
upeʈʈ,506
peʈʈe,174
eʈʈen,156
ʈʈenu,297
ʈenua,107
enuas,89
nuast,37
uasta,29
astam,349
stama,94
tamaj,111
amaja,224
majam,215
ajamu,2305
jamun,1418
amunu,5798
munuu,63
unuud,23
nuuda,56
uudaj,108
udaja,891
dajam,578
munuk,511
unuka,819
nukal,344
ukalu,717
kaluɡ,1031
aluɡa,806
luɡaɡ,50
uɡaɡa,316
ɡaɡao,2
aɡaok,52
ɡaoka,131
aokad,26
okadi,36
kadin,71
adina,1180
dinam,1827
inama,889
namaj,56
amaje,253
majen,241
ajenu,545
jenum,87
enuma,920
numar,1172
umari,1354
marij,1737
ariju,1543
rijud,122
ijude,71
judeʋ,87
ʋuɖuɟ,10
uɖuɟa,52
ɖuɟal,8
uɟala,50
mulam,535
ulama,441
lamadʰ,160
amadʰj,214
madʰja,577
adʰjan,362
dʰjano,3
janok,4
anoka,36
nokaʋ,4
okaʋi,31
kaʋiɕ,22
aʋiɕa,33
ʋiɕal,75
iɕala,97
ɕalam,46
lamuk,104
amuka,1070
mukal,633
aliɡi,774
liɡia,14
iɡiaɟ,1
ɡiaɟa,1
iaɟal,1
lanui,117
anuiɟ,7
nuiɟa,24
uiɟal,1
iɟala,25
lanuʋ,681
anuʋe,334
nuʋer,34
uʋeru,63
aracu,1089
racun,147
acunu,105
cunuɡ,198
unuɡa,910
nuɡak,464
uɡaka,903
ɡakan,259
akani,234
kanip,226
ipali,24
palik,312
alike,27
liken,16
ikenu,49
kenud,5
ʋuɖua,106
uɖuaʋ,26
ɖuaʋi,23
uaʋiɕ,22
lamuc,231
amuce,3632
muces,1410
ucesi,2030
cesiʋ,89
esiʋi,11
siʋiɕ,4
iʋiɕa,20
amukr,104
mukri,83
ukrin,98
krind,302
rindi,51
indiɟ,3
ndiɟa,5
diɟal,4
anuʋi,505
nuʋiɕ,95
uʋiɕa,36
lamum,90
amumi,715
mumid,581
umidi,162
midiɟ,2
idiɟa,11
parap,20
arapa,271
rapaɡ,7
apaɡa,75
paɡaa,200
aɡaap,38
ɡaapr,6
aapra,31
aprak,544
praka,1048
arama,689
ramaj,68
jenud,51
lamun,908
amuna,4148
munak,2206
nakua,370
akuak,32
kuaka,15
uakaɕ,218
aɕama,127
ɕaman,396
amani,497
anipe,342
niper,143
iperu,181
ɡaɡar,8
aɡare,24
ɡaren,26
arenɖ,224
renɖa,237
enɖaʋ,225
nɖaʋa,631
ɖaʋad,192
aʋadi,283
ʋadin,408
uɖuak,35
ɖuaka,44
ɕamuk,43
rinda,248
indan,104
ndanu,104
danun,1025
anunn,839
nunna,1420
unnaɟ,78
nnaɟa,67
naɟal,37
amulo,2734
mulok,148
uloka,236
lokac,2
okaco,18
kacoʈ,19
acoʈa,51
coʈan,38
oʈane,14
ʈanek,11
aneku,188
nekur,1
ekurc,5
kurca,33
urcab,26
rcaba,92
cabaɖ,492
abaɖi,2063
baɖia,53
aɖiar,9
ɖiari,1
iarin,2
arina,274
rinan,149
inane,65
nanel,34
anela,210
nelak,28
elaka,15
lakan,224
akana,264
kanab,548
anaba,1136
nabaɖ,845
abaɖu,1166
baɖun,642
aɖunu,1166
ɖunuɡ,204
kaɡaa,33
uɖuar,20
ɖuari,2
uarin,6
elaku,91
lakubʰ,35
akubʰu,24
kubʰum,20
bʰumia,13
umian,20
miani,20
ianip,28
ʈenuɟ,2
enuɟa,85
nuɟal,28
ɟalar,26
alara,257
laraɕ,3
araɕi,9
raɕik,3
aɕiki,2
ɕikia,2
ikiaj,28
kiaja,26
iajan,1123
ajana,4542
janas,206
anasa,527
nasam,390
asamu,1213
samud,390
amudr,397
mudra,426
udram,255
dramu,288
ramul,2071
ulani,195
lanip,46
enuad,310
nuadi,528
uadim,72
adima,337
diman,295
imanc,121
cidan,178
idani,1126
danid,83
anide,235
nideʋ,488
ideʋu,891
ʋuɖuɡ,13
uɖuɡa,110
ɖuɡaɖ,12
uɡaɖɖ,40
ɡaɖɖi,59
aɖɖin,34
ɖɖini,10
ɖiniʋ,63
iniʋi,317
niʋit,15
iʋitt,29
ʋitta,87
ittan,70
ttana,56
tanam,567
anamu,3656
namul,1766
amuli,18
mulic,14
ulicc,18
liccu,18
iccuc,447
ccuce,7
cuceʈ,4
uceʈl,51
ceʈla,107
eʈlan,49
ʈlanu,150
lanubʰ,39
anubʰu,47
bʰumim,211
umimi,249
mimid,289
imida,1124
midat,143
idata,63
datam,29
atama,429
tamat,235
amata,189
matam,128
tamaɟ,14
amaɟa,281
maɟat,6
aɟati,16
ɟatip,11
atipr,28
tipra,43
iprak,304
ramut,225
amuta,255
mutam,37
utama,869
tamal,39
amalo,56
maloʋ,4
aloʋi,33
loʋit,16
oʋitt,17
amulu,2742
muluɡ,258
uluɡa,636
luɡal,298
uɡala,975
ɡalapʰ,2
alapʰa,14
lapʰal,20
apʰala,169
pʰalam,301
alami,383
lamic,33
amicc,381
miccu,156
iccupʰ,2
ccupʰa,2
cupʰal,2
upʰala,52
pʰalaʋ,24
alaʋr,21
laʋru,58
aʋruk,111
ʋrukʂ,180
rukʂa,189
ukʂam,258
kʂamu,371
ʂamul,184
umimo,6
mimol,2
imoli,11
molip,13
olipi,35
lipin,167
ipinc,467
pincu,1023
incuɡ,11
ncuɡa,10
cuɡak,10
jenubʰ,8
bʰumiɡ,9
umiɡa,12
miɡaɖ,9
iɡaɖɖ,25
ɖinit,34
inita,258
nitam,127
itama,404
ramuʋ,360
amuʋi,343
muʋit,11
uʋitt,76
lanut,572
anuta,492
nutam,296
lanum,482
anumo,100
numol,15
umoli,9
ipinp,148
pinpa,463
inpaɡ,298
npaɡa,341
aɡaad,101
ɡaadi,93
aadim,33
cenua,770
ɡaɡam,6
aɡamu,298
ɡamuɖ,10
amuɖa,31
muɖaʋ,162
uɖaʋa,483
ʋuɖup,15
uɖupa,150
ɖupaɡ,9
paɡaʈ,36
aɡaʈi,41
ɡaʈin,8
ʈinir,34
nirat,23
atrin,46
trini,72
riniʋ,264
acuna,56
cunaʈ,364
unaʈl,1627
naʈlu,2104
aʈlua,290
ʈluak,10
luaka,29
kaɕaʋ,30
aɕaʋi,17
ɕaʋiɕ,13
alama,766
laman,691
amand,2374
mandu,1301
anduɟ,30
nduɟj,3
duɟjo,3
uɟjot,9
ɟjotu,6
jotul,7
otulu,15
tuluk,73
uluka,405
lukal,237
aluɡu,818
ɡunuɡ,149
kanij,74
nijua,125
ijuaʋ,10
juaʋi,6
uaʋis,16
aʋisu,6
ʋisuc,2
isuca,20
sucan,59
ucana,60
canal,79
anala,208
nalan,297
alanu,2102
lanuk,556
anuka,2067
ukala,485
kalam,924
lanud,248
anudi,103
nudin,129
udina,475
dinas,16
inasa,339
nasan,460
asanʋ,241
sanʋa,525
anʋat,525
nʋats,525
ʋatsa,561
atsar,546
tsara,547
saram,623
anusu,49
nusuc,22
usuci,11
