r-gram,Counts
baʃ,2893
aʃɫ,1283
ʃɫa,2465
ɫan,5780
anɡ,288
nɡɯ,87
ɡɯt,121
ɯtʃ,1703
tʃt,1311
ʃta,560
tat,225
ata,3117
tan,7675
anr,4772
nrɯ,4450
rɯɟ,55
ɯɟœ,771
ɟœø,117
œøv,3
øvɛ,197
vɛj,771
ɛje,797
jeɾ,3005
eɾɪ,9827
ɾɪj,882
ɪja,1690
jaɾ,1728
aɾa,9749
ɾat,793
atɯ,2258
tɯj,568
ɯjɛ,163
jɛr,2145
ɛrb,1462
rbɔ,83
bɔʃ,195
ɔʃt,66
ʃtʊ,415
tʊj,81
ʊjɛ,69
ɛrj,1760
rjy,642
jyz,1304
yzø,852
zøʃ,5
øʃe,15
ʃek,666
ekɪ,2057
kɪl,281
ɪll,1026
lle,465
leɾ,11382
ɪjɔ,336
jɔk,1661
ɔkt,338
ktʊ,389
tʊæ,1
ʊæn,14
ænɡ,107
nɡɪ,223
ɡɪn,138
ɪnk,1894
nka,2335
kaɾ,1819
ɾan,1373
anɫ,5077
nɫɯ,809
ɫɯk,3028
ɯkɫ,1563
kɫa,5948
ɫar,11657
arɫ,1988
rɫa,3436
ɫak,1569
aka,4746
kap,1314
apɫ,266
pɫɯ,25
ɫɯj,659
ɯjd,294
jdɯ,710
dɯt,353
ɯta,740
rɯn,1607
ɯnɯ,12790
nɯn,7967
ɯnr,274
nru,121
ruh,306
uhʊ,439
hʊs,16
ʊsu,152
suɫ,353
uɫa,3217
ɫaɾ,20367
aɾɯ,20607
ɾɯn,10641
ɯny,433
nyz,1108
yze,2169
zeɾ,2182
ɾɪn,3993
ɪnd,8186
ndɛ,5730
dɛd,782
ɛda,567
daɫ,807
aɫɡ,125
ɫɡa,47
ɡaɫ,115
aɫa,6557
anɯ,8366
nɯj,1139
ɯjɔ,1663
jɔr,5638
ɔrd,2333
rdʊ,2373
dʊt,251
ʊta,387
rɯɯ,4
ɯɯʃ,26
ɯʃɯ,796
ʃɯk,2622
ɯkɔ,233
kɔɫ,457
ɔɫs,705
ɫsʊ,594
sʊn,1883
ʊnd,3300
ndi,3429
dij,6657
ijɛ,2530
jɛb,578
ɛbu,594
buj,405
ujʊ,1018
jʊr,523
ʊrd,1450
dʊv,134
ʊvɛ,403
vɛɯ,8
ɛɯʃ,24
ɔɫd,2512
ɫdʊ,1673
ʃɯɯ,199
ɯɯɯ,4501
ɯɯn,2019
ɯni,411
nij,518
iji,2388
jiɔ,24
