r-gram,Counts
knɪha,2
rodoβ,42
odoβo,10
doβod,11
oβodu,2
isusa,305
xrɪst,589
rɪsta,268
daβɪd,52
aβɪdo,11
βɪdoβ,11
ɪdoβo,8
doβoh,14
oβoho,88
aβraa,73
βraam,73
raamo,30
aamoβ,27
amoβo,6
moβoh,6
porod,48
orodɪ,65
rodɪβ,42
isaak,20
saaka,7
jakoβ,59
akoβa,31
jakof,11
brati,58
ratiβ,49
rodɪf,32
farɛs,3
arɛsa,1
tamar,1
amarɪ,12
jɛsro,3
ɛsrom,3
sroma,1
arama,1
amɪna,2
mɪnad,2
ɪnada,2
nadaβ,3
adaβa,2
amnna,1
mnnad,1
nnada,1
nadaf,1
nason,3
asona,4
pohod,3
ohodɪ,4
hodɪf,4
salmo,4
almon,3
lmona,2
βooza,1
raxaβ,2
axaβɪ,1
oβɪda,1
jɛssɛ,3
ɛssɛj,3
ssɛja,1
aβɪda,11
tsarj,49
sarja,31
daβɪt,7
solom,12
olomo,12
lomon,11
omona,3
urijɛ,3
rijɛβ,1
ijɛβo,1
jɛβoj,1
ɛβoji,2
roβoa,2
oβoam,2
βoama,1
aβiju,3
aβija,1
josaf,2
osafa,2
safat,2
afata,1
joram,2
orama,1
oziju,1
ozija,1
joata,2
oatam,2
atama,1
axaza,1
jɛzɛk,2
ɛzɛki,2
zɛkij,2
ɛkiju,1
ɛkija,1
manas,3
anass,3
nassi,3
assij,3
ssiju,1
ssija,2
amona,1
josij,4
osiju,1
osija,7
jɛxon,2
ɛxonj,2
xonji,2
onjij,4
njiju,2
pɛrɪs,33
ɛrɪsɛ,5
rɪsɛl,5
ɪsɛlɛ,4
sɛlɛn,15
ɛlɛnɲ,4
lɛnɲa,33
βaβɪl,11
aβɪlo,24
βɪlon,11
pisʎa,83
ɛlɛno,7
βaβɪd,2
βɪdon,1
njija,21
salat,3
alatɪ,6
latɪj,5
atɪji,4
tɪjil,2
ɪjila,3
zoroβ,2
oroβa,6
roβaβ,3
oβaβɛ,3
βaβɛʎ,3
aβɛʎa,2
zaroβ,1
aroβa,9
βijud,1
ijuda,2
βijut,3
jɛʎij,3
ɛʎija,1
ʎijak,2
ijakɪ,4
jakɪm,41
akɪma,1
bʎija,1
azora,1
sadok,2
adoka,1
axɪma,1
ɛʎiju,2
ʎijud,1
ʎijut,1
jɛʎia,2
ɛʎiaz,2
ʎiaza,2
iazar,2
azara,1
matta,4
attan,2
ttana,1
tʃolo,542
ʃoloβ,540
oloβi,552
loβik,375
oβika,134
marɪj,63
arɪji,27
rɪjin,2
ɪjino,3
jinoh,5
inoho,5
odɪfsʲ,5
prizβ,13
rizβɪ,13
izβɪʃ,13
zβɪʃt,13
βɪʃtʃ,26
ɪʃtʃɛ,58
rɪsto,242
ɪstos,108
βɛɛsj,189
ɛɛsji,189
ɛsjix,56
sjixa,56
rodiβ,16
raama,10
tʃotɪ,55
ʃotɪr,44
otɪrn,7
tɪrna,7
ɪrnaj,7
rnajt,7
najts,91
ajtsj,103
jtsja,115
tsjat,87
rizdβ,2
izdβo,5
stalo,163
skoro,24
matji,15
atjir,15
arɪju,21
zarut,5
arutʃ,5
rutʃɛ,6
utʃɛn,137
tʃɛno,55
ɪosɪf,2
osɪfo,7
sɪfoβ,6
ɪfoβi,4
zijʃl,20
ijʃlɪ,94
postɪ,20
ostɪr,30
stɪrɛ,28
tɪrɛʒ,4
ɪrɛʒɛ,5
rɛʒɛn,5
ɛʒɛno,4
utrob,19
trobi,7
sβjat,338
βjato,96
jatoh,51
atoho,59
josɪv,2
budut,64
udutʃ,30
dutʃɪ,50
praβɛ,137
raβɛd,133
aβɛdn,95
βɛdnɪ,51
ɛdnɪj,26
xotja,12
otjat,9
tjatʃ,13
jatʃɪ,219
oslaβ,76
slaβɪ,83
laβɪt,7
aβɪtɪ,37
xotji,43
otjiβ,15
potaj,16
βitpu,52
itpus,45
tpust,42
pustɪ,121
ustɪt,20
stɪtɪ,57
dumaβ,8
jaβɪf,38
aβɪfs,11
ɛsɛnj,9
sɛnji,9
