r-gram,Counts
ənd,10616
ndi,30708
dib,3270
ibə,1306
bəx,807
əxə,9852
xən,3592
ənh,2040
nhɛ,5637
hɛt,22360
ɛtx,2231
txɔ,481
xɔd,597
ɔdi,548
dih,13065
ihi,9126
hiə,12136
iəm,3538
əmə,2089
məl,1253
əlɛ,1920
lɛn,2599
ɛnd,10964
diɑ,1546
iɑr,897
ɑrd,3062
rdə,4726
dəx,3253
xəs,11986
əsk,2253
skɑ,1079
kɑp,258
ɑpə,331
pəɛ,164
əɛn,6614
dəv,814
əvɐ,3501
vɐs,4991
ɐsv,271
svu,5
vus,647
usɛ,175
sɛn,5526
ɛnl,778
nli,341
liə,5081
iəx,1614
əxɛ,2107
xɛn,2167
ndø,474
døy,972
øys,3649
yst,847
stə,6906
tər,6677
ərn,2069
rnə,405
nəs,4371
əsv,1651
svɐ,2486
ɐsɔ,413
sɔp,678
ɔpd,2775
pdi,2907
div,4778
ivæ,742
vær,1859
ærə,515
rəl,567
əlt,950
ltf,209
tfl,217
flu,519
lut,629
utɛ,199
tɛn,8925
dix,4998
ixi,418
xiə,5798
iəs,6502
əsf,2394
sfɐ,6310
fɐn,32182
ɐnx,2052
nxɔ,1325
xɔt,3970
ɔth,532
thɛ,7115
txə,6573
əsw,404
swi,289
wiə,1469
iəf,1153
əfɔ,1071
fɔp,167
ivɑ,602
vɑt,729
ɑtə,1178
ərs,13155
rsɛ,1831
ɛnx,2474
əse,3136
sel,151
elɑ,117
lɑd,472
ɑdɑ,145
dɑr,6860
ɑrl,463
rlə,1090
ləx,4574
əxv,695
xvi,300
viə,5773
əsɛ,2443
ndɑ,2342
ɑrv,874
rvɐ,1647
ɐsl,78
slə,283
əxt,1122
xtu,284
tus,803
usi,107
sin,1903
inx,36
ɔdɐ,348
dɐd,1510
ɐdi,2964
dil,3701
ilə,706
əxx,430
xxu,10
xut,662
utv,263
tvɐ,3421
ɐsɛ,700
ɛts,2580
tsk,646
skɛ,621
kɛɪ,1688
ɛɪd,4681
ɪdə,1227
dəŋ,1550
əŋx,596
ŋxə,596
xəm,1887
əmɑ,2433
mɑk,2904
ɑkt,210
ktœ,23
tœs,1001
œsə,501
sən,3057
did,3913
idø,451
hɛd,3710
ɛdi,3745
əxd,1050
xdɐ,257
dɐx,2034
ɐxx,351
xxə,846
ənu,352
num,355
umɛ,119
mɛn,3200
əsh,1756
shɛ,3371
ɛth,4997
hɛɪ,14526
ɛɪn,4788
ɪnɐ,35
nɐx,665
ndə,10399
dət,7271
ətv,1099
ɐsɑ,155
sɑn,738
ɑnt,928
ntɛ,1074
ɐsm,322
smɔ,37
mɔr,401
ɔrə,460
rəd,873
ədi,3472
dii,1416
iiə,1574
iər,16909
rst,2545
təd,1136
ədɐ,3436
ɐxɛ,440
ɑrə,3093
rəø,122
əøy,1042
øyt,6314
yts,582
tsp,398
spɐ,151
pɐn,257
ɐns,3744
nsə,2695
səl,1357
əlv,820
lvi,381
əst,5986
stœ,1071
nlɑ,623
ɑdə,3067
əts,1549
əŋm,305
ŋmɑ,126
ənv,1614
nvɑ,358
ɛnv,1209
rsx,580
sxɔ,145
ɛtt,958
ttu,902
tud,640
udi,497
diø,225
iøy,382
əlx,471
lxə,2316
ɑkɛ,680
kɛn,4330
rsv,497
vɐt,10384
ɐtɔ,667
tɔn,833
ɔnə,3621
nər,4075
ərd,9809
rdi,9746
ələ,4437
ləs,4002
əsx,1429
sxə,3038
ɛɪf,4651
ɪfɐ,386
ɐnd,18826
ɐtb,573
tbʊ,108
bʊə,1647
ʊəd,2953
ɐss,660
ssʊ,859
sʊə,7741
ʊəɛ,242
əlh,891
lhi,276
dit,2273
itw,446
twi,1178
iəd,3739
ədə,4826
dəd,1238
ɑdi,2245
rsɔ,356
sɔn,2405
lhœ,828
hœl,15727
œlə,22445
ləɔ,689
əɔp,1092
ɔpi,95
piə,452
iən,9947
ənp,241
npl,195
plæ,1058
læk,2104
ækf,760
kfə,837
fər,20787
rsɑ,692
sɑm,2125
ɑmə,953
əls,1654
lsʊ,283
idr,311
dru,121
ruə,142
uəx,111
əxr,1227
xrɔ,520
rɔn,1894
ɔnt,3391
nts,1315
tsə,705
səx,2020
əxb,158
xbɑ,90
bɑr,790
rvɔ,311
vɔr,4179
ɔrt,4179
rtɛ,1678
ntɑ,270
tɑr,485
dif,6094
ifə,1905
ləŋ,953
əŋf,2067
ŋfɐ,1850
rsh,493
ɛɪs,5903
ɪsi,469
siə,3565
umt,25
mtu,230
ɐdə,554
ətx,1067
txu,214
dəf,1763
əfʊ,714
fʊə,3863
ʊər,15782
ərt,6177
rtb,221
tbr,321
brə,1850
rəŋ,3687
ŋxr,16
xrɐ,223
rɐs,848
ɐsp,99
spr,2706
prø,163
røy,1322
øyc,13
yci,13
cis,186
isp,354
spl,121
plɐ,268
lɐn,2540
ɐnt,10375
ntə,2614
təv,1175
ɐts,1131
tsɑ,485
sɑt,131
ɑtx,231
txi,576
iəɛ,837
ɛnb,1342
nbʊ,132
ʊəm,1295
məv,79
ɐtf,1219
tfɔ,267
fɔl,3874
ɔlx,1301
əns,5235
nsh,859
shœ,1059
əsʊ,1117
rtə,1984
təf,2990
əfr,1185
frœ,323
rœx,1122
œxt,350
xtə,5112
ədr,1242
drɑ,907
rɑv,298
ɑvɑ,51
vɑr,2743
rən,2377
nhœ,4486
əsɑ,915
təs,5348
əsɔ,1409
dəɛ,889
dəh,472
əhɛ,4909
ɛtf,1792
tfʊ,529
rtx,419
xəb,3613
əbr,1858
təɛ,1155
tfr,348
sfɔ,248
tət,528
ətu,586
idæ,170
dær,500
ærd,1479
əvi,1388
ɑnd,3300
əlf,1032
lfɐ,1296
əlɔ,653
lɔm,459
ɔms,1894
msk,63
əŋt,403
ŋtə,258
təm,882
idɐ,1070
din,3133
inɐ,273
lɑt,3183
ɑth,570
thœ,4120
ləd,1997
nɐs,1095
ɐst,564
sti,1409
tiə,4871
iək,4461
əkə,2915
kən,3454
nss,629
ʊəv,1265
əvæ,1149
væl,772
ælf,1492
lfə,970
ərf,2820
rfɐ,2632
fɐs,503
ətɛ,1573
tɛɪ,1964
ɛɪə,2497
ɪəɐ,50
əɐs,519
ɐsʊ,166
ʊək,2708
əkf,482
rdɑ,823
dɑs,80
ɑsʊ,42
ælɐ,200
lɐs,513
ɐsj,751
sjɑ,81
jɑr,952
əlɑ,1074
ləʊ,510
əʊə,2881
əkd,1321
kdi,2003
təɑ,170
əɑn,1467
ɔml,252
mlə,221
təx,4449
əxi,2432
iəɔ,455
ʊəx,1398
əxɔ,1501
xrʊ,1294
rʊə,4067
ʊət,3533
ətl,188
tlə,172
ɑkd,329
ixr,849
xɔm,328
ɔmt,1532
mtə,1168
təh,792
əhi,1111
rsʊ,570
dik,5361
ikl,324
klɛ,488
lɛɪ,3330
ɪnl,66
nlə,247
ɐxʊ,79
