r-gram,Counts
bəx,807
əxə,4364
xən,3029
hɛt,22360
hiə,12136
iəm,3215
əmə,1780
məl,1224
ɑrd,1474
rdə,4350
xəs,11119
əsk,1492
skɑ,1074
kɑp,258
ɑpə,317
vɐs,4991
vus,647
liə,4938
iəx,1402
døy,972
øys,3649
yst,698
stə,6294
tər,6399
ərn,935
rnə,277
nəs,1422
vær,1859
ærə,486
rəl,339
əlt,659
ltf,13
tfl,136
flu,519
lut,627
xiə,5731
iəs,5813
fɐn,31802
xɔt,3970
əsw,228
swi,289
wiə,1469
iəf,777
vɑt,724
ɑtə,1015
ərs,11213
əse,2408
dɑr,6859
ləx,2240
viə,5580
sin,1723
xut,650
skɛ,553
kɛɪ,1678
ɛɪd,644
ɪdə,642
dəŋ,1550
xəm,1756
əmɑ,1218
mɑk,2904
tœs,992
œsə,332
sən,1290
dɐx,1974
ənu,332
num,354
hɛɪ,14526
nɐx,453
dət,6855
ɑnt,474
mɔr,401
ɔrə,449
iər,16857
rst,2103
øyt,6314
yts,283
tsp,205
spɐ,128
pɐn,225
ɐns,429
nsə,1425
səl,1169
vɐt,10384
ɔnə,3524
nər,3989
bʊə,1647
sʊə,6909
twi,1178
iəd,2651
ədə,3846
hœl,15727
œlə,22423
iən,8746
plæ,1058
læk,1141
fər,20780
rsɑ,454
sɑm,2120
ɑmə,817
ʊəd,2584
ədɐ,1665
dru,121
ruə,130
xrɔ,511
rɔn,1657
ɔnt,3310
səx,1429
əxb,27
xbɑ,85
bɑr,790
vɔr,4179
ɔrt,4172
ələ,3823
ləŋ,952
siə,3183
fʊə,3726
ʊər,15738
ərt,5419
rtb,58
tbr,142
brə,1850
rəŋ,3675
xrɐ,221
rɐs,73
ɐsp,21
spr,2634
prø,159
røy,986
øyc,13
yci,13
cis,168
plɐ,265
lɐn,2515
ɐnt,9913
ntə,1178
sɑt,127
ʊəm,994
fɔl,3874
ɔlx,1267
lxə,1158
əns,3363
rtə,1084
frœ,323
rœx,1122
œxt,278
xtə,4752
drɑ,907
vɑr,2742
ɑrə,1750
rən,1300
rtx,58
txə,1732
xəb,3450
əbr,1140
dær,500
ærd,1436
əxt,824
lɑt,3177
din,1631
tiə,4082
iək,4352
əkə,2175
kən,2694
ʊəv,968
əvæ,590
væl,772
fɐs,415
