r-gram,Counts
nə,43245
əf,4094
fi,2539
il,2018
ll,10788
li,2469
im,20519
mp,2112
pɛ,6958
ɛr,16603
rə,25453
ən,27692
nd,31918
di,14756
iɑ,5798
ɑk,3243
kr,4974
ri,28358
ij,5795
jɔ,3592
ɔi,4875
it,25384
tɕ,31112
ɕj,974
je,20551
ej,2540
jt,1652
tð,5361
ðɛ,36044
ɛt,54099
tɔ,9570
ɔk,3099
kə,9306
nt,9979
kɑ,4607
ɑi,2462
iʃ,12284
ʃt,24379
tɛ,27695
ɛp,15576
pɑ,1498
ɑt,8105
tr,6736
ra,16124
aɪ,11281
ɪt,29005
tə,97878
əɛ,9733
ɛz,4604
zb,859
br,6680
az,1232
zə,970
ət,36574
ɛɛ,3668
əs,15019
si,17111
ir,8550
rɑ,7618
ɑm,3693
mb,15537
bu,3498
uɫ,2266
ɫɔ,3560
ɔn,12981
ɛs,11429
ip,9605
pə,18404
ər,38397
rf,1213
fa,3645
at,26691
ɕɛ,648
ɛn,21239
nɛ,13142
ɛh,2270
hu,3760
um,4190
mn,1075
sð,1084
ɛf,3608
fr,2931
ry,2526
ym,1253
mɑ,2581
ɑɛ,5236
is,12228
sə,10895
fɫ,1553
ɫu,2951
ut,6139
tu,13282
ur,20111
rɔ,10255
ɛm,15332
bi,11385
ɛu,4687
uj,3225
jʌ,320
ʌr,12597
av,3280
vɛ,18885
pa,13496
as,12028
st,7906
ta,9873
ɪp,898
ɑθ,499
θɑ,3905
ɑu,1641
ub,1975
bʌ,4843
ʌf,551
ft,3076
əd,15946
dr,4647
tɑ,10228
ɑð,3017
ɛd,11924
ʌð,333
ɑp,4719
ɕə,17709
mi,11123
əð,6480
da,5588
au,1480
ud,3190
nn,4118
nɡ,11085
ɡɑ,8363
ɕw,225
wa,1481
ti,30753
id,10535
na,4343
ək,13453
əʃ,12313
uɛ,1414
rð,4396
ði,1056
rʌ,2544
ʌm,2161
mj,1264
jɑ,4874
ɪɛ,420
mə,12082
dʑ,19506
ʑe,2379
es,1225
ar,11599
əp,16163
ɑɫ,953
ɫe,5243
et,8248
əj,6375
əɲ,3478
ɲʌ,9375
ʌk,1185
ku,15520
up,3130
el,1598
lɔ,1303
ɔr,14040
rɛ,21033
mɛ,19176
su,2726
in,16058
ɪə,484
əu,2719
tn,3966
ik,9951
ɛð,6295
uu,529
tt,9772
əi,5081
ʃɪ,3314
ɪn,22929
np,3734
pɔ,10860
ɔʃ,2112
sa,5956
ns,1543
rs,3155
ɪð,635
ɛk,11777
lk,514
dy,1716
yt,4135
ja,7522
an,15079
nʌ,1391
ʌn,8912
lɪ,1942
əɡ,1896
ɡr,3110
ru,6219
ul,4143
ɔh,5172
hɛ,8458
ʌv,583
dt,1679
əv,10055
əm,17878
mð,936
ʃf,1064
ɛɡ,2539
mɪ,4367
dɛ,8177
kj,1589
jə,5590
ɑd,3849
lb,179
bə,3939
nb,903
ba,7254
dz,799
zj,936
er,6379
rɪ,6186
nf,560
tf,414
ap,2802
pɪ,555
rm,5579
sɛ,16364
ts,8226
iɫ,4741
ɫi,8891
sl,26
ɔj,4357
jɪ,343
ið,6675
pr,10011
ɔð,1878
ðɔ,272
ɛb,4940
nɪ,4877
ty,7879
yr,7422
dɑ,551
ɑs,1828
kɛ,9076
tʃ,7401
ʃu,2938
sn,1528
rt,15730
ɑn,5902
ʃə,3869
rb,3413
be,265
eɪ,6414
ʃe,3246
eɲ,1538
ɲɑ,118
al,3852
lu,530
uɑ,6908
ɑr,17154
td,2857
ɛv,5824
vi,3323
nð,3272
ʌp,1676
ɪd,952
yn,645
ɛɲ,3634
ɲn,24
sɪ,2271
ma,6435
að,1690
ðə,2544
ɕe,2782
ev,594
sj,1101
jɛ,2880
vɔ,766
ɔɡ,700
ɡə,2461
əl,1909
lp,345
ai,5762
ʑi,7110
iθ,7206
θa,1758
aʃ,6100
uy,29
yj,346
iv,3927
dɔ,23653
ɔs,5127
rd,4765
ka,10048
tp,4394
uʃ,5405
ʃɛ,616
nu,8545
ɑɲ,1241
ðt,217
en,3696
nj,796
eʃ,4569
ʑa,2223
lɑ,370
ɔɪ,4599
əz,5725
zɔ,10141
ɔd,2185
ʑt,121
əɫ,3865
ɫɑ,2405
tm,3702
rh,644
ha,2704
af,1645
fʃ,1077
mʌ,1219
ðɑ,747
lɛ,1002
ɫə,3599
iz,5176
zɪ,817
ʃd,1835
ʃp,3799
df,44
ss,2102
ib,3898
bɛ,5416
kɔ,7991
du,5197
uk,13607
ɛθ,3233
θʌ,1695
ni,11561
mʃ,298
ʃn,1001
iu,5764
nm,2802
ɪm,1755
əə,1382
ɕa,369
nɔ,2169
ʃɑ,677
ɑb,1920
iɛ,2550
θə,2357
ʌj,1540
jm,152
ɲe,3551
un,13363
sʃ,325
ʃʌ,1767
lt,1742
sɔ,2552
mm,851
pe,479
ɕɪ,154
tɪ,8588
iə,461
zv,435
vɑ,1117
iɲ,3101
əa,6412
ʃk,7582
fɛ,1534
mr,1836
uθ,1764
ɑa,2781
ɛʃ,4017
nʃ,776
ɔt,30537
zm,90
ɑj,3384
ju,5326
pt,1405
ɔb,2238
bɑ,887
ʃɔ,1980
ɔp,3704
tj,4498
ɕi,2354
ɔz,1369
ɡu,2408
ʑʌ,2003
tv,702
ʌa,262
əh,4930
ɑʃ,1932
ʃi,3114
ki,5335
ɛj,3719
pʌ,2423
fu,1705
dw,1021
wɑ,8319
tʌ,6294
də,6714
rk,4657
ɕd,62
yɛ,2795
ʃɫ,499
ðn,219
ɲt,1892
ps,4695
ɛa,6562
kʌ,5144
ʌt,4580
əɔ,804
nɑ,1957
sk,2115
jw,457
kk,1236
sɲ,1031
ɲə,2096
zn,91
əb,6908
rn,4840
ðu,1861
kz,156
zi,2036
pu,4488
te,1361
ɪɲ,235
vu,647
ji,888
if,3063
fɔ,1892
mɔ,6278
pɫ,1499
uh,1715
ii,7979
yu,90
vr,1132
ʌɲ,536
eɛ,255
lə,1872
ɪz,390
bɔ,1289
ɔl,635
pʃ,158
dj,2076
eð,1553
mu,3444
rp,4908
ɑl,59
ɪl,25
dʃ,214
ʃm,2783
am,6198
ep,1729
pn,265
de,572
ɲɔ,745
hh,1891
hj,154
ʌɫ,271
ah,3898
he,1164
rj,2862
əʌ,962
ʌʃ,6237
pi,3849
θɔ,2181
dɪ,2537
ɫa,3939
tk,2425
ɑf,1164
iʌ,814
yd,267
bd,57
ɛɫ,6990
iɔ,1279
ks,305
ɡi,1023
ih,2115
hɔ,987
iɡ,1365
ɛʌ,600
uf,1332
ɕʌ,633
ʌl,1355
mt,2795
rw,1836
ɛi,4431
hɑ,650
eɫ,443
sh,145
re,4456
ɪs,538
ɪk,663
vd,2219
jɲ,47
hm,347
uv,689
aɡ,988
ʑv,19
ʃa,2280
rɲ,993
rʃ,2165
ʌd,1138
ʑu,806
əθ,1519
θɛ,1906
ɛl,1196
ɫɪ,4358
zu,1858
by,550
yl,372
dp,259
ɕu,469
ʌɡ,394
uð,1483
ɪɔ,1148
tɡ,171
əɑ,812
sy,1094
ak,5385
kt,2362
ab,3174
yɫ,30
ɕð,109
pp,113
ʌs,1575
ʑɑ,229
dʌ,1812
ɑɡ,513
sɑ,2905
və,1587
ed,852
ʑd,50
kn,293
yʃ,443
ia,4729
us,2667
sp,1638
kp,410
ua,2314
ɲi,155
hn,219
ue,260
zd,780
ɔm,3251
hʌ,218
yv,299
nɫ,352
ɕk,56
eθ,158
zɑ,279
ʑw,250
nz,615
zʌ,1062
fl,5
la,1263
ad,2197
eh,896
hə,1167
θi,846
ea,499
ʑɔ,1299
ɔv,1306
ɑz,1124
dn,356
ɡɔ,2895
ɕm,119
sv,562
va,1806
ɪe,88
ʑɡ,4
ɪa,1064
ɕɔ,1076
ɔf,3186
dð,348
eɑ,70
sm,1188
sf,360
ɪf,212
yp,489
ʃθ,63
ɪɡ,94
ʌz,1910
vw,142
tw,1808
fə,777
ɪb,382
ɪi,402
em,2134
ʃb,275
kθ,1348
aɫ,6989
ʃð,443
ɪɫ,241
ve,745
ne,268
ʃs,353
ht,349
kd,2477
θɲ,226
ɔa,1229
uɡ,1210
zð,77
ʌb,532
ɔɲ,551
ʌɔ,115
sz,120
ɛy,37
ɛɔ,615
fy,452
nk,2013
ɔɫ,1843
rv,2156
uʌ,188
ʑn,67
mz,355
dm,258
ʃɲ,183
ʌɛ,384
kð,184
ʌi,144
km,855
ða,234
ɕs,110
ɪj,449
rɡ,2257
ɡw,301
ɕy,1690
aɛ,2723
θu,279
aθ,1021
yɡ,32
hð,119
ɛə,634
hɫ,49
ɡɫ,212
aa,1142
hd,44
mɡ,63
fj,1440
ɔu,245
th,226
kʃ,161
ðj,2086
θs,144
ɔθ,365
θɪ,350
lw,504
ky,740
yʌ,180
lð,318
nɲ,608
vj,982
θm,123
sɫ,189
dv,74
se,265
ɪv,555
yz,198
zɛ,2879
ɕɫ,17
ɔɛ,402
ɪʃ,538
ɕn,234
za,1827
nv,579
ɡa,1660
uz,1583
tɲ,586
mk,514
hi,1811
ɔʌ,232
ui,1002
sb,478
ɑv,1532
lj,833
mv,173
pf,51
iʒ,62
ʒd,531
kb,137
ʌɑ,45
ɫy,167
ny,373
ɛɑ,742
sd,1185
dk,206
bɪ,848
yð,190
hy,894
ei,138
me,640
bj,753
rz,1073
mw,1037
rθ,249
θy,615
uə,147
ɫɛ,584
ðe,197
ʃw,314
ɕt,606
aʒ,374
ln,620
ɑɑ,403
pɲ,60
nθ,97
ʑb,16
ɡʌ,382
pj,1116
ʑʃ,37
eu,190
uɲ,238
fʌ,211
ðʌ,1043
θt,516
ɫʌ,578
ɑh,578
tl,11
ðd,43
ðʃ,48
lr,31
jk,62
kf,49
uʒ,36
ʒv,119
vʌ,1183
pθ,3
ɪθ,88
ɑə,260
ek,1138
ðɪ,158
sr,122
bt,75
eb,387
lm,503
nr,107
ðm,131
tɫ,397
θr,42
ɡɛ,457
ke,223
θe,177
kw,445
sɡ,98
tb,1258
yb,132
eɡ,322
ɡs,15
ef,185
kɫ,387
uɔ,148
ɑɔ,357
db,83
fɑ,90
ɔʒ,17
ɪɑ,242
jn,443
ʑə,823
dɫ,38
ld,307
iy,578
ɪu,334
bɫ,1511
ɕz,9
pk,49
yɲ,95
ɡð,149
ʌu,129
md,625
əʒ,246
vɪ,105
ʑy,837
hɪ,206
mθ,104
θw,395
aɔ,384
bw,31
ɛe,69
ya,86
ʃj,263
ɲv,417
ze,35
ɔɑ,59
jp,76
ɕɑ,224
kv,127
rɫ,525
hk,50
sw,264
mh,61
ie,45
jv,350
ʑm,94
tz,519
sθ,64
ðp,119
ez,1293
jd,352
ɔy,2
py,329
ms,507
ys,393
pl,48
hw,343
kl,161
zt,212
yk,668
ðɫ,10
fe,41
mf,217
hf,29
yi,87
ds,164
ʑs,26
ʑp,66
ls,188
ʃh,56
ʃz,76
jb,10
jʃ,28
pv,27
θp,187
ʑj,69
ʌh,592
sʌ,189
ʒɛ,79
ɡt,165
js,32
ðð,94
kɪ,122
ɑʌ,411
ʃv,144
ʑɛ,430
