r-gram,Counts
fill,408
illi,127
llim,728
pɛrə,4175
ɛrən,4283
rənd,4213
əndi,4153
ndiɑ,1777
krij,151
rijɔ,43
ijɔi,30
tɕje,823
ɕjej,237
jejt,145
tɔkə,838
ɔkən,388
tɔkɑ,207
iʃtɛ,3908
traɪ,114
raɪt,119
aɪtə,138
zbra,26
braz,33
razə,5
azət,3
ɛrəs,199
rəsi,529
əsir,151
sirɑ,42
mbuɫ,295
buɫɔ,302
uɫɔn,119
ɫɔnt,69
ɔntɛ,1049
sipə,92
ipər,102
pərf,111
ərfa,31
rfat,44
fatɕ,275
atɕɛ,207
tɕɛn,379
humn,48
umnɛ,48
mnɛr,48
nɛrə,29
frym,701
rymɑ,233
ndis,1762
disə,1753
fɫut,40
ɫutu,98
utur,117
turɔ,35
urɔn,104
rɔnt,210
ujʌr,233
jʌra,220
ʌrav,184
ravɛ,528
past,2646
asta,2039
staɪ,2024
bʌft,41
ʌftə,41
drit,360
ritɑ,151
mirə,1153
ndau,50
ritə,796
itən,1186
tɕwa,180
ɕwaɪ,180
waɪt,428
aɪti,177
ditə,2133
sirə,176
irən,254
natə,306
kəʃt,2690
əʃtu,2660
ɛrði,346
mbrʌ,125
brʌm,125
rʌmj,124
ʌmjɑ,20
mənd,51
əndʑ,55
ndʑe,103
dʑes,57
ʑesi,16
ditɑ,166
parə,976
jetə,3748
kupə,102
ɕjel,571
jell,1081
ellɔ,78
llɔr,82
lɔrɛ,56
ndaɪ,1163
daɪə,18
ʌrat,622
upən,51
iʃɪn,2086
pɔʃt,366
ɔʃtə,325
dytə,146
janə,1837
ellɪ,353
llɪn,820
ɡrum,87
rumb,121
umbu,180
mbul,160
bull,149
ullɔ,371
llɔh,104
lɔhɛ,66
ɔhɛn,837
vɛnd,3618
vɛtə,925
ɛtəm,568
ʃfat,149
tɕɛt,162
tɛrɑ,1
tɛrə,5
ulli,1031
limɪ,64
imɪn,1497
dɛtə,5
mbij,25
bijə,191
dʑel,55
ʑelb,32
elbə,28
lbər,27
bəri,715
ərim,925
rimɪ,705
barʌ,6
arʌr,11
rʌra,28
ndzj,186
dzje,186
zjer,250
jerɪ,61
erɪn,58
farə,548
drur,183
rurə,132
urət,109
frut,41
rutɔ,17
utɔr,39
tɔrɛ,126
japɪ,76
apɪn,94
pərm,376
ərmb,351
rmba,79
mbaɪ,388
baɪə,55
arən,91
sɛts,407
ɛtsi,553
tsiɫ,2125
siɫi,586
simb,232
imba,239
mbas,800
llɔj,123
lɔjɪ,15
ɔjɪt,15
prɔð,161
rɔðɔ,58
ɔðɔi,6
elbʌ,4
lbʌr,4
bʌri,2
ʌrim,199
rʌrɑ,38
bʌnɪ,87
ʌnɪn,83
tyrɛ,5508
mban,228
banɪ,104
anɪn,327
rutɑ,12
brɛn,280
rɛnd,376
ɛndɑ,189
trɛt,278
rɛtə,1476
kɛtə,408
ndri,130
ritʃ,270
itʃu,22
tʃuɛ,7
ʃuɛs,7
ndar,147
darə,139
natɑ,27
ʃərb,638
ərbe,171
rbeɪ,104
beɪn,73
eɪnə,264
ʃeɲɑ,54
dall,193
allu,139
lluɑ,180
luɑr,180
stin,23
tinə,162
inət,33
itət,582
vitɛ,84
itɛt,372
tʃuɑ,85
ʃuɑr,162
məðɛ,74
əðɛɲ,74
uɛsɪ,122
ɛsɪn,281
maðə,138
tɕev,107
ɕevɛ,107
evɛr,105
vɛri,477
ɛris,88
risj,20
isjɛ,15
sjɛn,48
itəs,106
vɔɡə,214
ɔɡəl,198
atəs,219
dʑiθ,4303
ʑiθa,532
iθaʃ,352
θaʃt,342
aʃtu,1315
yjɛt,42
ɛndɔ,854
ndɔs,635
dɔsi,122
risu,17
isur,201
atən,384
katə,1029
atər,1050
tərt,153
mbuʃ,339
buʃɛ,40
uʃɛn,18
numə,158
umər,158
tɕen,960
ɕenj,38
enje,39
njeʃ,1
dʑal,519
ʑall,436
allɑ,85
urɔɪ,68
rɔɪn,346
ɔɪnə,2077
zɔdʑ,80
ɔdʑt,55
dʑtə,54
ɫɑrt,794
nʌpə,380
ʌpər,380
hapə,83
apəs,34
pəsi,39
maðɛ,565
upəs,10
kafʃ,315
afʃə,263
fʃət,116
mʌðɑ,165
ujɔr,11
jɔrɛ,11
ʑiθɑ,1129
allɛ,156
llɛs,11
lɛsa,4
ɛsat,52
ɫəvi,108
əviz,106
vizɪ,6
izɪn,42
buʃɪ,10
uʃɪn,29
tʃdɔ,1162
ʃpɛn,183
pɛnd,166
turu,7
uruɛ,19
ruɛs,138
bɛkɔ,215
ɛkɔi,64
dukɛ,3230
θʌnə,1648
jeni,419
fryt,235
rytʃ,14
ytʃə,5
tʃəm,182
ʃumə,1227
uməz,30
məzɔ,26
əzɔn,77
zɔni,36
buʃn,13
uʃni,11
dɛtɛ,22
ɛtɛv,99
tɛvɛ,249
əzɔh,223
zɔhɛ,293
pɛst,55
ɛstə,143
ɔðɔj,16
ðɔjə,17
sipa,548
ipas,540
ərəʃ,23
rəʃt,19
əʃtɕ,38
ʃtɕa,18
tɕan,74
ɕanɔ,18
anɔr,338
nɔrə,340
biʃɑ,9
ɔkəs,292
ɛɡər,35
ɡərs,5
ərsi,55
rsir,3
sira,19
irat,76
ʑiθə,2088
ɔrət,610
bʌjm,81
ʌjmə,81
ɲeri,1753
eriu,919
riun,136
ʃʌmb,135
ʌmbə,832
mbəl,167
bəlt,121
əlty,120
ltyr,120
tyrə,449
yrəs,69
sɔnə,35
ndʑa,396
dʑas,26
ʑasi,1
asim,47
uʃtr,558
ʃtrɔ,222
trɔj,57
rɔjə,610
sund,141
undi,237
ndim,417
dimɪ,103
peʃt,46
eʃtɕ,44
ʃtɕɪ,25
tɕɪt,85
dɛtɪ,260
ɛtɪt,1488
llɪt,1122
zvɑr,24
vɑri,51
ɑrit,425
ritɛ,282
itɛn,237
maʃk,56
aʃku,146
ʃkul,63
kull,722
ullɪ,1310
fɛmr,10
ɛmrə,346
mrən,236
atyr,1335
zɔhu,39
ɔhun,175
huni,261
nʌnʃ,31
ʌnʃt,31
nʃtr,96
rɔje,73
ɔjen,66
undɔ,179
ndɔn,274
dɔni,246
ɫəʃɔ,75
əʃɔn,23
mbar,320
barə,131
pɛmə,45
baɪn,72
aɪnə,191
rbej,69
bejə,66
uʃtɕ,390
ʃtɕi,460
tɕim,418
afʃe,20
zɔɡu,19
dʑʌj,62
ʑʌje,25
vɛtv,80
ɛtvɛ,81
tvɛt,80
vɛtɛ,738
rymə,434
jetɛ,45
atəh,2041
təhɛ,2034
əhɛr,2162
hɛrə,2508
ʃikɔ,461
ikɔi,35
kiʃt,1961
bʌrə,1281
dʑaʃ,406
ʑaʃt,341
aʃtə,728
pʌrf,128
ʌrfu,62
rfun,71
fund,407
undw,28
ndwɑ,60
dwɑn,137
elli,280
tʌrə,2158
ʃtri,955
triɑ,50
ndər,2499
dərk,69
ərka,172
rkat,117
katɕ,121
ʃtat,806
tatə,701
barɔ,103
arɔi,62
vɛpr,898
ɛprə,71
prən,58
kryɛ,981
ryɛr,277
tʃɫɔ,16
ʃɫɔð,20
ɛprɑ,73
ʃeɲt,1196
eɲtə,908
ɲtər,430
tərɔ,1090
ərɔi,403
sɛps,4188
ɛpsɛ,4188
riju,61
ijuɑ,68
juɑr,84
kʌtɔ,863
ɔrid,26
ridʑ,53
idʑi,132
dʑin,23
ʑinɑ,1
rijw,13
ijwɑ,32
jwɑn,28
zɔti,4153
pɛrʌ,401
ɛrʌn,401
rʌnd,555
ʌndi,417
ɛndɛ,505
asɲə,785
ʃkur,61
kurə,304
urəz,1
fuʃə,139
mbir,1
birə,7
hɛðu,109
ɛður,136
ɛkzi,37
kzis,37
zist,73
istɔ,67
stɔn,36
tɔnt,122
punu,57
unuɑ,58
nuɑr,220
ndʑi,519
dʑit,358
ʑite,48
iteɪ,102
avul,7
ujis,1
jist,1
istɛ,332
fɔrm,153
ɔrmɔ,40
rmɔi,14
pɫuh,114
ɫuhu,114
uhur,135
huri,90
fryu,3
vrim,19
rima,46
imat,62
hund,27
undə,1889
ndəs,104
allə,958
mbɔl,19
bɔll,80
ɔlli,91
kɔpʃ,63
ɔpʃt,63
ɛdɛn,21
ɫind,989
indj,316
ndje,688
ɔrmu,41
rmuɑ,52
muɑr,291
mbin,15
binə,85
llɔɪ,243
ɛməʃ,1
kʌnd,151
ʌndʃ,83
ndʃm,121
dʃmɛ,119
pamj,74
amjɑ,36
jepn,128
epnɪ,36
pnɪn,63
mirɑ,159
nɡrʌ,131
ɡrʌn,131
rʌnə,234
pʃtɪ,32
ʃtɪt,250
dʑen,663
ʑend,506
ende,40
ndeʃ,103
deʃɪ,47
eʃɪn,616
pɛmɑ,11
etəs,316
ɲɔhh,93
ɔhhj,37
hhjɛ,40
hjɛs,16
irəs,364
kɛtɕ,948
ɛtɕɛ,173
tɕɛs,50
ɫumə,23
dilt,55
iltɛ,72
dɛni,23
ujit,4
jitu,2
itur,1245
ʃtɪn,247
ndah,51
dahe,11
aheɪ,11
ərje,613
rjeð,106
jeðɑ,9
ɛmri,185
ɫumɪ,122
umɪt,129
ʌʃtə,4618
piʃɔ,1
iʃɔn,14
ərɛθ,731
rɛθɔ,103
ɛθɔn,37
ɛndɪ,1402
ndɪn,1183
havi,9
aviɫ,7
viɫa,7
iɫah,21
ɫahu,109
ahut,697
fɫɔr,10
ɫɔri,10
ɔrir,3
riri,17
kəti,235
ɛndi,700
endɛ,116
ndɛn,106
bdɛɫ,3
dɛɫi,12
ɡuri,309
ɔnik,65
niks,10
iksɪ,4
ksɪt,12
ɡihɔ,5
ihɔn,41
kuʃɪ,7
uʃɪt,25
tiɡr,2
iɡri,2
asir,152
siri,217
iris,164
risə,749
ɫumi,44
ɛufr,21
ufra,46
frat,56
rati,25
mɔri,504
futi,24
dɛnɪ,14
ɛnɪt,78
tɕʌl,398
ɕʌll,398
ʌlli,539
punɔ,102
unɔn,47
nɔnt,74
rwɑn,650
wɑnt,30
ɑntɛ,30
urðə,845
rðər,840
ðərɔ,213
biɫe,35
ɫiri,140
iriʃ,13
riʃt,917
preɪ,1658
vdɛk,796
dɛku,387
ɛkur,503
siɡu,409
iɡur,479
ndih,269
dihh,268
ihhm,268
hhmə,102
ɫevɛ,5
vɛrd,4
ɛrdi,4
rdis,62
uʃəs,55
tʃɔi,143
tɕwɑ,45
ɕwɑn,32
sidɔ,66
njet,21
vuri,219
ɛmrɑ,290
baɡə,139
aɡət,164
ɡəti,143
ətis,40
tisə,113
ɔdʑv,9
dʑvɛ,9
fuʃa,87
uʃav,39
ʃavɛ,71
pərʃ,116
ərʃt,105
rʃta,71
tatʃ,14
atʃm,10
tʃmɛ,304
dʑum,86
ʑumə,24
θɛll,135
ɛllə,152
siɫɪ,679
iɫɪn,306
zuri,87
ʑumi,52
briɲ,11
riɲə,12
iɲət,17
mbyl,136
byll,108
ylli,36
miʃɪ,159
iɲən,5
hɛtɕ,291
ɛtɕu,93
tɕur,170
riut,323
ɡrwɑ,726
kɔts,96
ɔtsk,92
tskɑ,23
tska,72
skav,14
kavɛ,66
miʃi,108
iʃɪt,176
tɕuh,203
ɕuhɛ,77
uhɛt,768
jerə,686
buri,201
kʌtə,1413
ɑrsy,109
rsyɛ,114
brak,219
rakt,303
akti,309
ktis,218
baba,75
aban,100
banə,31
nʌnə,155
ʌnən,59
baʃk,1077
aʃkɔ,72
ʃkɔh,64
kɔhɛ,205
ɔhɛt,1198
jenə,316
rwɑj,330
wɑjɑ,673
ɫaku,176
akur,110
kuri,311
urit,241
ritɕ,91
kiʃɪ,748
turp,286
kʌsa,338
ʌsaɪ,338
dʑɑr,128
ʑɑrp,66
ɑrpr,14
rpri,12
dina,18
inak,16
naku,157
ndʌr,890
biʃa,55
iʃat,36
rwɑs,97
vərt,594
ərtɛ,596
rtɛt,675
tɛtə,724
hani,124
ɛmət,12
pərd,1233
ərdʑ,1079
rdʑe,619
dʑed,265
ʑedʑ,265
rprɪ,8
prɪt,4
ruti,4
ɛməv,6
məvɛ,53
mund,1593
hamə,18
ɛməs,4
prɛk,166
rɛkn,18
ɛkni,13
ndry,194
dryʃ,191
ryʃe,67
vdis,110
disn,40
isni,177
skɛn,7
kɛni,598
aspa,51
spak,50
sytə,563
tuaɪ,800
hapɛ,43
apɛn,28
endj,74
ɲihh,94
ihhn,146
hhni,123
dʌʃi,147
ʌʃir,156
ʃiru,12
irue,3
rueʃ,114
ueʃm,153
eʃmɛ,143
zdʑu,56
dʑuɑ,341
ʑuɑr,341
dikə,31
hʌnɡ,107
ʌnɡr,107
nɡri,941
burɪ,62
urɪt,418
apən,57
dyvɛ,8
panə,119
tɕep,22
ɕepə,2
epən,1
dʑeθ,27
ʑeθɛ,21
fiku,109
bʌnə,205
brɛz,261
rɛzɑ,18
buɫu,116
uɫuɑ,111
ɫuɑr,250
dədʑ,1257
ədʑw,134
dʑwɑ,233
ʑwɑn,121
zʌrɪ,550
ʌrɪn,262
zɔtɪ,3370
ɔtɪt,2775
ʃəti,9
tist,43
flla,4
llad,4
ladɪ,2
adɪn,17
fʃeh,262
ʃehə,14
ehən,5
pran,1926
rani,242
aniɑ,67
midi,770
idis,770
θiri,183
rdʑi,926
dʑid,872
ʑidʑ,872
ədʑɔ,826
dʑɔv,93
ʑɔvɑ,75
tʌnd,1864
patɑ,199
frik,532
rikə,465
ʃehɑ,10
trɛɡ,637
rɛɡɔ,399
ɛɡɔi,77
vall,388
kiʃɑ,209
ðəru,285
əruɑ,777
ruɑr,1717
haɪe,5
vurɛ,17
ranə,620
nɡrɑ,10
bʌrɛ,56
maʃt,151
aʃtr,164
trɔi,40
ɕenə,615
tɕɔf,898
ɕɔfʃ,59
malk,237
alku,66
lkuɑ,66
kuɑr,693
ɛtsə,130
tsəʃ,20
bɑrk,178
ɑrku,191
rkun,209
satɛ,303
ʃtje,182
ɑrmi,458
rmit,308
mitɕ,360
itɕə,114
tɕəs,391
ɕəsi,345
teje,538
arəs,82
farɑ,8
ʃtyp,169
typə,22
kɔkə,303
ʌndɛ,748
