r-gram,Counts
bəm,5040
əmə,10423
məd,865
ədʒ,1389
dʒə,1715
ʒəm,875
mər,1691
əri,931
rij,2116
ija,9259
jaʔ,1168
aʔɨ,5747
ʔɨɡ,9333
ɨɡɨ,12054
ɡɨz,8883
ɨzi,8733
ziʔ,8709
iʔa,10111
ʔaβ,12320
aβɨ,10665
βɨh,9062
ɨhe,9265
her,8782
ers,305
rsə,358
səm,3148
əma,6420
maj,2032
ajɨ,8180
jɨn,2487
ɨnɨ,27260
nɨn,4172
ɨna,15227
nam,1223
amɨ,5129
mɨd,3186
ɨdɨ,7075
dɨr,6013
ɨrɨ,12042
rɨn,3318
ɨnf,336
nfə,236
fətʼ,368
ətʼə,3873
tʼər,1298
ərə,9516
rəm,525
əmɨ,7727
rɨm,3124
ɨmb,4925
mba,541
bad,252
ado,334
don,200
onə,2867
nəβ,6319
əβə,10287
βər,7090
rət,1438
ətʃ,3536
tʃʔ,2390
ʃʔa,1348
ʔan,6699
anɨ,12417
nɨd,22963
ɨda,3791
dat,1207
atʃ,21262
tʃɨ,14093
ʃɨm,1891
ɨmʔ,6660
mʔa,5951
ʔal,11188
alɨ,7979
lɨn,4054
ɨnə,7523
rəβ,922
əβa,4792
βat,4563
atɨ,4528
tɨm,3649
ɨmt,1460
mtʃʼ,156
tʃʼə,1359
ʃʼəl,245
ələ,7511
ləm,5668
mam,624
amb,798
mbə,6371
bətʼ,501
ətʼɨ,2650
tʼɨl,624
ɨlɨ,3857
lɨkʼ,997
ɨkʼu,905
kʼul,40
ula,1283
laj,4866
ajn,279
jnə,274
rəj,379
əjə,2303
jəʔ,6040
əʔɨ,16703
erɨ,3395
ɨmm,2241
mmə,2000
mən,4305
ənɨ,12441
nɨf,1070
ɨfə,2546
fəs,943
əsb,454
sbə,1259
bəw,1163
əwɨ,9865
wɨh,768
ɨha,2815
hal,1331
ala,6150
ajs,252
jsə,114
səf,626
əfɨ,2499
fɨf,16
ɨfo,437
fon,45
ərʔ,1349
rʔɨ,2237
mbɨ,672
bɨr,607
rɨh,1201
han,782
anj,739
njɨ,1811
jɨh,4940
ɨhu,9313
hun,3068
unʔ,1377
nʔa,5202
alə,17706
ləb,398
əbɨ,254
nɨm,11028
ɨmh,1616
mho,322
hon,6343
nəʔ,613
anu,731
num,597
umə,1300
məl,4362
əlɨ,6470
lɨk,2008
ɨka,1183
kam,910
amʔ,966
mʔɨ,5025
ʔɨn,24660
ɨdə,7899
dəh,1338
əho,3391
əʔa,10832
ʔaj,4457
ajə,4502
ziβ,3
iβɨ,103
nat,4048
atʃʼ,559
man,1697
anl,385
nlə,1252
ləj,923
nun,501
unkʼ,145
nkʼə,252
kʼən,2094
ənb,577
nbɨ,459
bɨl,2081
ɨlo,1940
lotʼ,138
otʼə,174
əra,6463
raw,1956
awt,110
wtʃʼ,67
maw,810
awɨ,7194
wɨn,8551
ɨml,2363
mle,122
lel,1401
eli,488
lit,473
itʔ,571
tʔa,2869
ləw,4576
əwm,1080
wma,153
mat,1312
ata,2205
tam,993
amh,214
nətʼ,188
tʼɨw,80
ɨwa,3057
wat,848
ɨdkʼ,170
dkʼə,99
ənʔ,970
nʔɨ,4214
ɨho,2401
hot,180
otʃ,18315
tʃm,693
ʃmə,426
mək,1929
əka,2127
kak,1137
akə,3499
kəl,1909
əltʼ,29
ltʼə,86
tʼəf,975
əfə,2116
fər,2582
ərj,723
rjɨ,861
unb,723
nbə,3622
ana,2350
nab,2639
abə,4465
ham,619
amə,4231
lɨm,2328
ɨmj,4307
mjɨ,1885
jɨk,307
ɨkɨ,1870
kɨf,1204
fəl,804
əlʔ,382
lʔa,1799
ləʔ,4477
ɨmtʼ,328
mtʼə,267
ərɨ,9500
ɨnʔ,5301
ʔad,3493
adə,4502
dər,4596
rəɡ,2552
əɡə,9256
ɡək,34
əkə,3971
kətʼ,291
ərb,774
rbə,1776
bət,2395
əta,3035
tat,3123
ʃɨn,3966
nak,1182
bəl,1792
əla,5115
ajj,1147
jja,262
jal,3306
alu,4126
lut,1765
utɨ,2265
tɨn,5432
ɨmw,1599
mwɨ,357
tʃl,963
ʃlə,309
ɨdi,4563
dih,1446
ihu,781
hum,1582
umh,545
ertʼ,55
rtʼə,49
ɨns,1372
nsə,1052
ajb,548
jbɨ,54
awm,246
nəh,1558
əhu,5275
hul,9049
ulə,3057
lət,4950
ətə,8250
təɲ,2167
əɲa,2884
ɲakʼ,20
akʼə,1064
ɨmk,2041
mkə,2833
kəs,1282
əsə,9625
jbə,643
tʃj,1592
ʃja,205
əww,893
wwɨ,127
hab,72
bəʔ,8269
ɨds,488
dsɨ,230
sɨf,1607
ɨfɨ,1916
fɨr,2814
ɨra,7923
raj,622
jɨs,1648
ɨsə,3395
səβ,2203
əβɨ,3805
βɨs,849
səb,195
əbj,147
bjə,225
jəβ,1251
ɨsu,6224
sum,3684
umj,1349
jɨɡ,1042
ɨɡə,3763
ɡəl,1686
lətʼ,776
ətʼʔ,123
tʼʔa,247
mjə,4530
sun,1364
unm,276
nmɨ,592
ɨrb,461
rbɨ,202
awj,396
wjə,2046
jəw,1228
kəm,2557
tʃa,2969
ʃaw,363
bah,228
ahɨ,3440
hɨr,861
ɨrʔ,820
rʔa,1828
əwʔ,4674
wʔɨ,3003
iʔɨ,173
ʔɨβ,453
ɨβɨ,3524
mja,942
jam,2413
mmɨ,611
ɨrz,77
rzə,327
zər,828
ɨnj,3572
njə,3414
jəm,8243
əmi,7107
mis,975
isə,734
sətʼ,2106
ətʼs,27
tʼsa,9
sar,392
arɨ,2344
abu,11
bukʼ,34
ukʼa,165
kʼaj,260
aja,2944
jan,3201
anb,482
mla,615
ajʔ,1079
jʔɨ,758
dəw,1155
əwə,3926
wəɡ,1133
ɡən,1798
ənu,682
nuz,113
uzə,1149
əru,4825
ruj,482
uja,788
ləβ,1314
βət,3083
ətɨ,3286
nfɨ,202
ɨre,1037
ren,171
enj,233
