r-gram,Counts
bəməd,133
əmədʒ,145
mədʒə,217
ədʒəm,274
dʒəmə,388
ʒəmər,388
əməri,229
mərij,217
ərija,640
ʔɨɡɨz,8702
ɨɡɨzi,8702
ɡɨziʔ,8701
ɨziʔa,8699
ziʔaβ,8692
iʔaβɨ,8692
ʔaβɨh,8692
aβɨhe,8703
βɨher,8693
səmaj,830
əmajɨ,895
majɨn,127
ajɨnɨ,192
jɨnɨn,57
ɨnɨna,1142
mɨdɨr,2921
ɨdɨrɨ,535
dɨrɨn,192
fətʼər,105
ətʼərə,128
dɨrɨm,281
nəβər,5566
əβərə,2380
βərət,327
ərətʃ,309
ʔanɨd,2559
anɨda,690
nɨdat,473
ɨdatʃ,401
datʃɨ,272
atʃɨm,91
ʔalɨn,792
alɨnə,255
lɨnəβ,202
ɨnəβə,203
βərəβ,72
ərəβa,87
rəβat,79
əβatɨ,79
βatɨm,139
tʃʼələ,210
ʃʼələm,202
ələma,189
ləmam,56
bətʼɨl,30
ətʼɨlɨ,34
tʼɨlɨkʼ,69
ɨlɨkʼu,85
jəʔɨɡ,1530
əʔɨɡɨ,3658
ɨherɨ,2891
herɨm,1518
mənɨf,580
ənɨfə,722
nɨfəs,577
bəwɨh,135
əwɨha,205
səfɨf,5
əfɨfo,3
bɨrɨh,193
ɨrɨha,578
rɨhan,220
jɨhun,558
ɨhanɨ,58
hanɨm,28
ɨhanu,20
məlɨk,1123
əlɨka,741
lɨkam,701
ʔɨnɨd,12659
ɨnɨdə,5208
ɡɨziβ,2
ɨziβɨ,3
ziβɨh,2
iβɨhe,2
hanɨn,22
anɨnɨ,299
nɨnɨn,96
ləman,97
hanun,9
tʼəraw,86
ləmaw,47
əmawɨ,68
mawɨn,57
awɨnɨ,621
wɨnɨm,1535
lelit,313
ʔaləw,1258
matam,46
tʼɨwat,46
ɨwatɨ,26
watɨm,31
əwɨho,15
wɨhot,65
ɨhotʃ,137
məkak,1091
əkakə,1106
kakəl,1095
tʼəfər,17
wɨhan,35
ɨhana,29
akəlɨ,108
kəlɨm,40
jɨkɨf,17
ɨkɨfə,16
kɨfəl,34
əfərɨ,218
fərɨn,38
ʔadər,1156
adərə,1444
dərəɡ,1595
ərəɡə,1121
kətʼəf,6
ətʼəfə,11
bətat,325
ətatʃ,818
tatʃɨ,1042
atʃɨn,1401
tʃɨna,762
bəlaj,378
jalut,208
alutɨ,131
lutɨn,210
utɨnɨ,191
tɨnɨm,533
ɨnɨdi,3818
nɨdih,1376
ɨdihu,707
dihum,173
hulət,1503
ulətə,304
lətəɲ,304
ətəɲa,469
kəsəm,246
əsəma,810
jaləw,581
bəʔan,705
əʔanɨ,1609
sɨfɨr,723
ɨfɨra,883
jɨsəβ,121
ɨsəβɨ,96
səβɨs,147
əβɨsə,64
βɨsəb,4
jəβɨs,12
əβɨsu,22
βɨsum,12
jɨɡəl,102
ɨɡələ,93
ɡələtʼ,241
βɨsun,115
jəwɨh,56
məkəm,3
əkəma,90
kəmat,135
əmatʃ,306
matʃa,23
atʃaw,15
tʃawɨ,73
ʃawɨn,117
bahɨr,228
ɨziʔɨ,3
ziʔɨβ,3
iʔɨβɨ,3
ʔɨβɨh,3
ɨβɨhe,3
zərɨn,19
jəmis,293
əmisə,401
misətʼ,110
sarɨn,20
arɨnɨ,18
rɨnɨn,59
bukʼaj,29
ukʼaja,29
kʼajan,2
bəmɨd,793
əmɨdɨ,1331
wəɡən,731
əɡənu,72
jaləβ,94
aləβə,187
ləβət,337
əβətɨ,185
βətɨn,360
fɨren,10
jəmij,1134
əmija,1551
mijaf,39
ijafə,47
jafər,91
afəra,61
zafɨn,6
taβɨkʼ,2
aβɨkʼɨ,4
βɨkʼɨl,6
zərum,13
ʔaβəkʼ,11
aβəkʼə,17
βəkʼəl,91
əkʼələ,90
kʼələt,12
ələtʃ,119
sosɨt,685
osɨtə,167
sɨtəɲ,317
ɨtəɲa,472
kʼənɨn,47
ənɨna,161
elitɨ,76
litɨn,31
jɨləj,32
ɨləju,11
zənɨd,4162
hanat,11
bəsəm,489
ɨhunu,111
ləmɨl,24
əmɨlɨ,35
mɨlɨk,237
ɨlɨkɨ,215
lɨkɨt,482
ɨkɨto,63
kɨtot,47
ɨtotʃ,486
ləzəm,13
əzəmə,121
zəmən,619
əməno,26
mənot,13
ənotʃ,265
ləʔɨl,3
əʔɨlə,31
ʔɨlət,174
ɨləta,117
lətat,29
ləʔam,186
əʔamə,179
ʔamət,1145
aməta,48
mətat,102
ətatɨ,21
tatɨm,33
jaβər,56
aβəru,36
talal,90
alala,98
lalakʼ,89
alakʼo,71
lakʼot,68
akʼotʃ,78
anatɨ,46
natɨn,157
tɨlɨkʼ,74
bəkʼən,76
nɨdis,91
ɨdisə,85
disəl,13
isələ,17
sələtʼ,27
ələtʼɨ,70
lətʼɨn,27
tɨnɨʃ,36
ɨnɨʃu,7
nɨʃum,5
bəlel,215
əleli,130
kəwak,55
əwakɨ,55
wakɨβ,55
akɨβɨ,93
kɨβɨt,55
ɨβɨtɨ,46
βɨtɨn,40
ɨtɨnɨ,122
dəɡɨm,1513
əɡɨmo,1479
ʔanor,202
anora,89
norat,66
oratʃ,68
ratʃə,900
atʃəw,11765
əkʼənɨ,50
kʼənɨm,108
litɨm,55
ətʼɨnu,8
əmanɨ,157
manɨm,410
nɨdil,49
ɨdilə,16
diləj,5
iləju,5
ʔarat,496
aratə,118
ratəɲ,185
atəɲa,477
hɨjaw,295
nəfɨs,758
jalat,114
alatʃ,1932
latʃə,2066
tʃəwɨ,3804
ʃəwɨn,2029
tənɨkʼ,74
ənɨkʼə,193
nɨkʼəs,80
ɨkʼəsa,79
kʼəsakʼ,78
əsakʼa,32
sakʼaʃ,32
akʼaʃo,19
kʼaʃot,23
aʃotʃ,125
tasɨɡ,6
asɨɡə,87
sɨɡəɲ,3
wəfot,93
əfotʃ,142
fotʃɨ,123
otʃɨm,1059
kəmɨd,210
jɨβɨr,7
ɨβɨrə,29
βɨrər,1
ɨrəru,2
ʔanɨβ,198
anɨβə,202
nɨβər,287
ɨβəri,21
βəriw,1
əriwo,19
riwot,88
iwotʃ,290
wotʃɨ,848
otʃɨn,1883
wɨhaj,2
ɨhajɨ,2
hajɨt,1
ajɨtu,515
jasɨɡ,26
ɨɡəɲə,3
ɡəɲət,27
əɲətʃ,35
ɲətʃa,3
ətʃat,98
tʃatʃ,1904
ʃatʃə,1252
əwɨnɨ,955
ʃotʃu,21
otʃun,889
ɨjawa,154
jawan,150
fɨtʼɨr,52
ɨtʼɨrə,70
tʼɨrət,61
ɨrəta,29
rətat,52
jəmiβ,251
əmiβə,252
miβər,38
iβəru,4
βərut,397
ərutɨ,303
rutɨn,292
nɨdiç,1530
barək,73
arəka,64
rəkat,38
əkatʃ,54
katʃə,169
təβaz,9
əβazu,7
βazum,3
jəβah,39
əβahɨ,225
βahɨr,206
ahɨrɨ,91
hɨrɨn,42
ɨrɨnɨ,213
rɨnɨm,328
muluʔ,5
uluʔa,5
luʔat,285
jɨβɨz,9
ɨβɨzu,6
ʔamɨs,639
amɨsɨ,447
mɨsɨt,449
ɨsɨtə,209
tatɨn,72
ʔɨnɨs,344
ɨnɨsɨ,287
nɨsɨs,222
ɨsɨsa,129
sɨsat,17
ɨsatɨ,125
satɨn,64
atɨnɨ,193
tɨnɨn,168
ʃotʃɨ,63
jəmɨd,279
ʔaraw,98
arawi,95
rawit,625
awitɨ,653
witɨn,215
itɨnɨ,30
tawɨtʼ,6
awɨtʼa,66
sɨsaw,14
ɨsawɨ,25
sawɨn,97
jəmər,103
əməre,43
məret,112
tʃɨnɨ,1071
ʃɨnɨm,706
səwɨn,459
bəməl,143
əməlɨ,485
lɨkat,43
ɨkatʃ,60
katʃɨ,450
mɨsal,180
ɨsale,170
saleʔ,1
aleʔa,1
leʔat,1
eʔatʃ,65
ʔatʃɨ,215
ʔɨnɨf,19
ɨnɨfɨ,79
nɨfɨtʼ,3
ɨfɨtʼə,3
fɨtʼər,4
ʔasot,13
asotʃ,82
sotʃɨ,116
ʃɨnɨn,457
jəsəm,232
jəmin,389
əminɨ,48
minɨkʼ,33
inɨkʼə,25
əsakʼə,40
sakʼəs,36
akʼəsu,18
kʼəsut,9
əsutɨ,52
sutɨn,57
jɨɡɨz,6
ɨɡɨzu,3
əlɨku,82
bəʔɨɡ,1162
tʼərəw,39
wənɨd,1407
ənɨdɨ,1019
nɨdɨn,268
ɨdɨna,119
ʔadɨr,1039
adɨrɨ,1199
dɨrɨɡ,1163
ɨrɨɡo,244
ətʼəra,157
tʼərat,135
əratʃ,678
ɨdihɨ,489
dihɨm,474
ʔalat,841
ɡɨzuʔ,7
ɨzuʔa,16
zuʔat,64
uʔatɨ,58
ʔatɨm,242
uʔatʃ,919
ʔatʃə,984
ʔɨnəh,1360
ɨnəho,1354
məβɨl,160
jɨhon,1473
ɨhona,1117
honat,142
onatʃ,153
natʃɨ,484
atʃɨh,6667
tʃɨhu,5674
bəʔɨr,764
əʔɨrɨ,1835
ʔɨrɨs,4759
ɨrɨsu,3931
aləwɨ,467
ləwɨn,634
haməl,2
aməlɨ,149
məlɨm,25
əlɨma,34
lɨmal,29
jəzaf,10
əzafɨ,4
fəraw,29
ərawɨ,181
rawɨn,240
wɨnɨn,219
sətʼəh,172
ətʼəhw,53
tʼəhwa,53
əhwat,82
hwatʃ,387
watʃɨ,165
ləmɨd,52
ləsəm,55
majɨm,109
lalat,134
miβəkʼ,29
iβəkʼɨ,13
βəkʼɨl,66
əkʼɨlə,32
kʼɨləw,18
ɨhunɨ,250
hunɨl,47
unɨla,27
nɨlat,138
ɨlatʃ,897
jadər,1045
rəɡəw,249
əɡəwɨ,124
ɡəwɨn,136
nəhom,340
ʔɨdʒɨ,842
ɨdʒɨɡ,555
sɨdɨs,347
ɨdɨsɨ,365
dɨsɨt,363
ajɨna,226
səraw,685
ərawi,528
awita,17
witat,17
itatʃ,277
tatʃə,916
ʃəwɨm,1769
təfət,144
əfəts,110
fətsə,218
ətsəm,219
tsəmu,20
jəsər,466
əsəra,658
bəsəβ,117
əsəβa,227
səβat,672
əβatə,131
βatəɲ,130
təɲaw,928
tsəmə,95
əɲawɨ,552
ɲawɨm,356
kəsər,51
ʔarəf,27
arəfə,27
ɲawɨn,271
arəkə,150
rəkəw,32
kʼədəs,324
ədəsə,233
dəsəw,110
əsəwɨ,298
səwɨm,253
lijad,55
ijadə,314
adərɨ,1592
dərɨɡ,1559
ərɨɡə,261
rɨɡəw,329
kəfətʼ,6
əfətʼə,85
ʔarɨf,34
arɨfo,13
rɨfoʔ,14
ɨfoʔa,103
foʔal,97
oʔalɨ,508
alɨna,1882
ʔamɨl,1968
amɨla,1924
mɨlak,1916
badər,79
bətəf,33
ətəfə,124
təfətʼ,39
ətʼəru,152
lɨdət,4
jəmed,25
