r-gram,Counts
fi,16286
iʔ,7178
ʔa,65360
al,98157
lb,6461
ba,23359
ad,22119
dʔ,2419
ʔχ,528
χa,4609
lq,3534
qʔ,758
ll,22612
la,62651
aa,26188
ah,16865
hʔ,2705
as,23488
ss,5601
sm,3615
mu,8621
ua,6024
at,18636
tw,4690
wa,25125
ar,23629
rdˤ,3398
dˤw,692
wk,2549
ka,30168
an,42905
nt,7054
ta,19642
dˤχ,33
χu,1766
ur,2571
rb,4953
aw,26707
wχ,866
li,15239
ij,12068
jj,6007
ja,14489
hw,5651
wʕ,2405
ʕl,5127
dʒ,26517
ʒh,972
lɣ,1105
ɣa,1934
am,34686
ma,37057
rð,109
ðu,1012
ul,9155
lm,17471
wɹ,357
ɹu,5175
uħ,1416
ħʔ,811
hj,1612
jr,1189
rf,2843
fʕ,2112
ʕa,20198
mi,19446
ia,10913
wq,3218
qa,16424
lʔ,7736
hl,2899
aj,23325
jk,1327
ku,8080
un,15551
nn,6425
na,41562
nu,4030
fa,9367
ak,15053
rw,2945
ɹa,26331
aʔ,29858
uɹ,1371
nh,6689
hħ,452
ħa,8256
sa,19164
nw,3154
wf,887
fs,2506
sl,3331
hb,2446
jn,2359
að,14881
ðð,1017
wd,2558
dʕ,1718
rn,775
ha,19189
aɹ,9274
da,10911
aʕ,17249
il,10505
nm,2901
ʔw,1207
ns,2990
ab,29460
aħ,10401
ħj,223
jw,1699
wm,5270
ħd,1965
ʒa,9526
ld,4577
df,1391
iw,3676
tʔ,5323
ik,7236
af,13950
hf,2875
ʕm,2935
ml,5525
dw,1746
ti,7830
ii,6374
it,4899
ħt,1374
if,3101
nk,3524
kð,387
ðl,1173
lk,8887
ds,1254
aθ,4022
θa,2041
ni,10041
lt,4659
td,1788
ʒt,864
tm,4971
mʕ,3886
ʕʔ,2351
ht,1096
ħi,3975
id,6904
wl,7767
tð,552
ðh,1776
hr,1149
rʔ,4651
lj,3268
bi,8699
is,6094
dˤa,4186
md,1675
hd,1272
bħ,1164
wr,1959
hð,736
ða,10076
mb,3184
bt,3091
dˤʕ,906
ʕʃ,749
ʃb,619
wb,2492
bq,1213
ql,1851
jb,919
bz,484
zr,295
zɹ,177
wʃ,735
ʃd,438
ʒɹ,253
rj,685
jʕ,1472
lθ,292
θm,834
mɹ,1221
kd,225
ʒn,736
sh,1477
iz,437
rh,1605
ih,5911
hʕ,1119
aχ,6635
χr,1521
rd,4440
hk,1665
tk,3587
ʔl,2456
tf,3288
jl,1353
lw,4561
wt,3600
au,1217
ai,2482
mw,5284
si,5672
in,27701
tn,1806
ir,4377
rʕ,1924
ɹi,6543
lʕ,4341
ði,6867
im,8682
kb,881
br,1428
rl,1213
lħ,3456
ħk,698
km,5790
mʔ,5245
sɣ,174
ɣr,333
nd,3579
ʒu,2354
um,12896
ʒʕ,1626
lh,7944
tħ,1539
bʕ,3584
fdˤ,406
dˤʔ,565
hz,177
zħ,51
sħ,742
tr,1755
rt,4085
ʔf,745
fχ,351
χl,1241
tt,3662
ʕð,588
lð,921
nf,3052
sʔ,1381
dd,1584
db,823
adˤ,2049
dˤt,664
tb,2569
bh,4352
ʔi,7038
rk,1884
hq,831
kθ,1049
θɹ,211
ħħ,345
θr,495
ms,2588
tχ,932
dˤð,21
ʔm,1256
ww,1635
wħ,1171
ħu,1354
uʃ,662
ʃa,7340
dˤk,355
mk,2408
ʒm,1559
iʕ,6566
ʕd,3347
hn,1203
nʕ,2702
su,4003
kʃ,138
ts,1897
tu,2465
kʔ,491
ħr,1021
dˤf,288
th,5440
hχ,241
qh,603
ðk,601
kɹ,594
nθ,292
hu,15022
hi,4834
uw,1353
ʔu,1323
χdˤ,109
ʕu,3997
uh,2241
uʕ,3096
nj,3823
jd,2326
iq,3229
ʕt,3897
aq,10196
lʃ,876
ʒi,1581
hθ,206
rʃ,1219
mj,2690
tʕ,3312
kl,3172
iχ,819
rr,1989
fʔ,952
ʔk,1136
dh,2248
fr,1240
rɣ,167
ɣʔ,19
lf,3688
st,3673
tɹ,1007
ħf,788
ʕʕ,556
ʕw,1157
qd,1708
ħm,1677
ʔʔ,1157
dˤħ,144
nχ,510
qt,2652
tj,856
rɹ,9272
bʔ,3768
jm,2076
dl,1159
nʔ,6518
mt,4659
nl,2152
dˤθ,20
θu,1649
mm,5730
ndˤ,149
bj,813
jt,3744
tl,4360
wi,4566
sq,595
qi,2841
ʒb,782
bl,2613
wn,1588
χf,222
fh,931
mn,3260
wɣ,317
rs,1958
dn,868
nʃ,654
ʃr,595
rq,1137
wdˤ,631
ʕh,1942
wʔ,1180
hm,2146
aʃ,7357
ln,1759
nð,1522
ðr,600
dt,2031
ʒr,437
ʕɹ,367
lχ,1877
ʃʃ,3402
jχ,828
nq,1577
qs,531
mf,2672
iɹ,2713
us,3340
jʃ,669
ʃu,1275
wh,1263
uʔ,1922
bd,1924
ui,488
jθ,387
bw,3158
wð,430
dˤd,169
ji,2225
uq,1291
az,2152
za,1903
θθ,900
iħ,2751
ʃw,324
iθ,984
θħ,11
iʃ,1449
fu,1431
χð,1509
ðʔ,255
fð,572
ws,2838
mq,1131
ut,3307
js,2567
sn,1550
ʕi,4251
ħdˤ,145
dˤr,648
mð,341
mh,2941
fd,671
ʔd,392
ʕħ,158
fl,1743
ʒd,1748
dm,2750
qʕ,309
hs,509
sb,2110
fn,801
ðw,135
dˤl,460
bn,4621
dˤdˤ,754
dˤi,956
fq,2559
ðm,597
ið,1390
mr,2154
ðt,343
qb,974
ʔt,2531
ʒs,445
sd,950
ki,2843
χd,444
ʒl,2174
ʔħ,301
ħq,586
ft,2514
ju,1453
ʃh,445
jdˤ,1816
ʃi,1623
ub,4123
bu,3828
bɹ,1378
χt,1582
tʃ,761
ls,2366
χʃ,117
ʕj,551
jh,2382
tɣ,378
ʃʔ,270
sʕ,1184
mħ,1333
qɹ,343
sk,2005
ib,5675
θi,1517
di,5450
ʃt,560
qk,306
uj,864
ud,4470
qw,3271
dˤb,353
bs,1326
bb,1166
bk,1977
uk,1321
ħs,938
ʕr,991
χb,839
qm,480
hh,1206
dj,644
mʃ,706
jf,1597
fm,934
ħɹ,451
qʃ,112
fħ,386
ħb,937
tq,1998
bθ,227
lɹ,379
ɣn,244
dθ,238
nb,1828
dˤq,52
qr,600
lr,943
aɣ,1158
ɣt,343
ðq,85
ʕn,1367
bχ,494
hɹ,567
bdˤ,122
χi,1398
χʔ,212
dk,1369
qu,2078
ʔh,1106
bð,227
jħ,944
jq,2096
fj,137
ʒq,19
dˤn,129
dʃ,231
ħn,814
χɹ,521
kn,837
ldˤ,76
zm,412
sw,1386
ɣi,705
rħ,1372
dχ,1036
fw,684
hʃ,278
udˤ,343
dq,599
ʔn,467
ʃħ,55
bm,2066
mχ,600
wθ,456
θl,1276
ks,422
fk,729
χm,681
θb,280
ʃθ,35
ʕs,653
θt,469
θn,465
ʃɹ,1176
ʃq,257
ʃm,414
ʃj,36
χn,73
uχ,736
χw,135
χθ,5
χχ,191
ħw,1023
ħθ,143
lu,4704
uθ,309
ʃl,993
ʕz,620
zz,742
zi,1002
ʕb,3416
fθ,44
θw,155
sj,199
nħ,1183
uf,1486
lz,135
iɣ,228
dð,180
ðd,75
wu,1186
ħz,303
