r-gram,Counts
asd,975
sdv,364
dva,465
vad,688
adz,1148
dzə,429
zəs,14
əsa,561
sav,550
avl,11
vlo,6
loj,64
ojs,116
jsə,33
səl,13
əll,511
lla,504
laɪ,339
aɪu,255
ɪul,4
ulo,10
jsj,4
sje,279
jeʀ,616
eʀa,317
ʀav,99
ava,569
vas,506
dzd,47
zde,37
des,317
esa,362
avv,68
vvo,161
vor,2170
orpʰ,207
rpʰa,232
pʰaɹ,277
aɹi,552
ɹie,23
ien,32
enj,378
nje,1153
jev,1700
evi,195
viɹ,124
iɹi,53
ɹiɡ,48
iɡu,27
ɡun,49
unu,81
nua,211
uar,94
ard,375
rdu,121
duə,2
uəl,20
lal,62
alo,102
lov,250
ovj,127
vje,374
jer,1171
erɹ,26
rɹo,26
ɹor,173
ortʰ,1481
rtʰo,94
tʰoɹ,59
oɹə,483
ɹəj,366
əje,730
avj,203
ovh,72
vhi,24
hin,102
inkʰ,519
nkʰe,227
kʰeɹ,439
eɹo,334
avm,60
vme,71
meɡ,347
eɡu,64
una,255
nan,855
anu,463
nun,193
unə,280
nəpʰ,41
əpʰi,3
pʰis,31
iso,29
son,116
one,43
nea,88
eas,59
asi,158
siɡ,84
iɡa,683
ɡaj,43
aje,166
vil,26
ila,25
aɪi,855
ɪipʰ,4
ipʰo,86
pʰol,580
olo,588
lor,414
orj,305
rje,679
erɡ,869
rɡi,234
ɡiɹ,135
iɹə,156
ɹəɡ,252
əɡə,392
ɡəb,109
əbə,22
bəd,84
ədə,37
dəd,39
ədi,86
diu,81
iur,9
urv,22
rvo,335
vos,102
osɡ,115
sɡi,90
ɡiɡ,31
ɡaɪ,238
aɪj,257
ɪje,218
eva,534
vaɪ,192
aɪn,654
ɪnj,39
rɡɹ,256
ɡɹi,178
ɹin,592
inv,828
nvo,865
ɡin,285
ina,528
naz,72
azn,16
zni,6
niv,116
ive,29
ves,12
esu,187
sud,40
uda,103
daɡ,251
aɡu,100
ɡuj,12
uje,455
eʀn,13
ʀnkʰ,1
nkʰn,143
kʰna,37
nakʰ,87
akʰa,650
kʰar,130
arɡ,230
rɡa,176
aɪh,51
ɪho,15
hon,96
onu,21
nuj,129
ɡɹo,38
rtʰkʰ,42
tʰkʰe,49
kʰed,87
edi,75
din,238
nəkʰ,51
əkʰe,134
kʰeh,3
eho,112
ɡakʰ,65
akʰu,136
kʰuʃ,38
uʃi,7
ʃipʰ,1
iuj,27
nəd,68
dikʰ,247
ikʰɹ,1
kʰɹi,10
ɹis,150
ise,50
sea,78
ɡaa,96
aas,54
aso,188
soɹ,73
oɹe,407
ɹes,223
esd,89
sda,299
dan,376
ani,1275
nia,153
iaɹ,25
aɹe,496
ɹev,152
eve,113
vel,163
elj,57
lja,31
jan,758
anɡ,257
nɡo,79
ɡoʀ,169
oʀm,133
ʀmə,59
məɡ,61
əɡe,67
ɡer,137
ertʰ,436
rtʰa,605
tʰaɪ,221
vatʰ,48
atʰa,269
tʰam,104
amə,80
məs,33
ɪnɡ,10
nɡi,48
inə,237
nəv,59
əvo,203
voɹ,1002
oɹi,374
ind,607
ndz,559
dzi,506
zih,157
ihe,99
hed,323
edj,33
dje,59
jeɹ,443
eɹe,830
esi,172
sitʰ,52
itʰkʰ,9
tʰkʰə,18
kʰər,27
ərd,135
rdi,78
nkʰo,129
kʰov,253
ovə,257
vəu,16
əud,29
ude,260
sde,128
deɹ,870
eɹə,2528
ɹəd,130
əde,144
ɹəə,65
əəs,117
van,629
ano,1932
noɹ,467
oɹu,249
ɹuɹ,14
uɹe,75
ɹem,194
emə,79
mən,153
əno,134
nov,341
ovv,95
orɡ,131
aɪe,521
ɪen,70
enə,74
nəə,19
əsb,83
sba,185
ban,141
ann,377
nne,627
ean,184
nɡe,187
ɡej,52
ejo,11
jotʰ,115
otʰn,42
tʰna,16
nab,90
aba,292
bad,570
adi,146
diɡ,257
iɡv,15
ɡvə,3
vəɹ,773
əɹe,195
ɹeʒ,25
eʒa,5
ʒar,136
arn,349
rnv,25
nvi,80
vid,147
ide,256
ɹən,262
ənə,49
nəʃ,43
əʃa,66
ʃan,46
anm,164
nmə,90
mətʰ,16
ətʰə,52
tʰəɹ,96
əɹa,1107
ɹav,429
evj,212
jen,30
eno,108
ovkʰ,79
vkʰd,1
kʰdz,16
zən,240
əna,623
nav,287
avkʰ,55
vkʰa,74
kʰaɪ,198
ɪiɹ,13
iɹa,352
ɹatʰ,69
atʰə,48
tʰəj,59
evkʰ,186
atʰd,8
tʰdz,22
vma,59
maɪ,145
ɪie,5
iel,86
elə,95
ləu,12
əum,20
uma,125
eld,19
ldz,13
matʰ,56
atʰu,46
tʰus,13
usa,195
saɪ,150
ɪel,377
ləj,20
evm,90
avʀ,2
vʀa,3
ʀam,59
ame,537
mekʰ,22
ekʰə,25
kʰəʀ,1
əʀa,55
ekʰi,105
kʰiɹ,30
iɹe,232
ɹen,850
rɡu,357
ɡuɡ,12
uɡi,25
nar,237
ara,568
rav,133
nəa,109
əatʰ,13
atʰtʰ,24
tʰtʰa,38
tʰau,7
aum,5
umy,13
mys,36
ysi,38
sin,368
nəs,258
əse,642
sel,96
ell,136
lae,2
aer,6
era,141
ratʰ,11
tʰad,151
vjo,56
jopʰ,22
opʰe,31
pʰel,85
ləv,5
orv,313
rvə,105
ɹan,598
ana,1077
napʰ,80
apʰn,4
pʰna,14
naɡ,320
aɡn,116
ɡne,156
neɹ,3122
eɹu,1690
ɹun,1073
nuh,33
uho,65
hov,204
ovy,16
vyn,11
yne,51
unh,177
nha,380
haɪ,92
aɪɹ,174
ɪɹə,81
əne,589
ner,748
ran,276
nor,1193
eʀpʰ,144
ʀpʰo,36
pʰoɹ,43
ɹəa,537
əan,296
nəj,156
əjo,90
opʰa,26
pʰal,5
ale,58
ler,99
erv,128
rpʰo,113
orkʰ,333
rkʰə,126
kʰən,184
naɹ,68
aɹa,627
ɹah,69
aha,556
har,87
rne,674
nus,52
usə,69
sər,147
ərn,188
rnkʰ,2
nkʰa,398
kʰah,120
erj,268
jetʰ,322
etʰe,331
tʰeɡ,43
eɡa,177
eni,172
nin,552
inh,270
ham,758
ama,964
mar,1141
arj,144
rjo,47
viʀ,18
iʀa,4
kʰin,291
maɹ,286
ɹal,33
alj,34
ljo,4
otʰa,33
tʰan,345
nas,256
asu,128
sun,171
otʰə,73
tʰən,96
ankʰ,528
kʰam,127
ami,311
min,331
inɡ,188
nɡj,8
ɡja,57
nkʰi,204
inpʰ,168
npʰo,129
loɹ,193
oɹo,277
ɹoɹ,30
ɹeɹ,218
ɹəi,222
əin,109
nəh,98
əha,297
haɹ,240
aɹy,182
ɹyr,110
yrj,30
und,154
nda,238
daɹ,305
ɹij,43
ije,502
ʀan,169
num,81
ume,129
mer,284
avs,42
vse,123
setʰ,46
etʰi,34
tʰin,1136
yrd,13
rda,107
das,352
asn,141
sne,226
ɡud,89
ovs,200
vsi,38
yrh,16
rhi,43
nkʰd,40
kʰda,23
avɡ,27
vɡa,50
ɪna,163
asə,423
səd,7
əda,205
maʀ,34
aʀa,446
ʀaʀ,130
aʀi,61
ʀie,11
eli,533
lin,131
ɹəu,148
əutʰ,43
utʰə,77
tʰəh,44
ɹyɹ,18
yɹi,6
inn,109
nni,11
nis,128
isv,29
svə,29
vəh,9
əhi,33
vja,60
jaɹ,24
ɹetʰ,40
yrv,9
rva,196
atʰs,27
tʰsu,54
nəe,57
əer,40
vkʰi,24
ɹekʰ,188
ekʰh,30
kʰha,48
nkʰj,106
kʰje,160
nma,242
saʀ,155
ʀaɪ,62
ɪin,371
nəi,58
oɹa,506
nəʀ,1
tʰəd,18
avn,40
vno,23
noj,70
ojh,12
jhi,1
nkʰh,42
ɹeɡ,59
ɡan,387
anj,235
evn,60
ojd,29
jdz,8
sem,141
məkʰ,29
əkʰa,132
məu,49
əuj,46
uja,33
japʰ,43
apʰe,162
pʰetʰ,69
