r-gram,Counts
ie,4918
es,14052
sb,204
bs,165
st,6528
tʃ,2009
ʃɾ,595
ɾi,8942
is,5726
tð,201
ða,3329
aʊ,5427
ʊi,97
ið,1512
ðe,5547
en,29972
ns,5302
se,9076
em,2747
me,2095
ea,7747
aɾ,13613
ɾe,13411
na,10030
aβ,4840
βɾ,658
ɾa,11944
aa,4142
am,2133
nɡ,3517
ɡe,317
ne,12853
eɾ,10925
at,12890
ti,5805
io,4034
on,4849
ek,9219
ko,6635
ol,1104
li,1411
iβ,1255
βu,587
uɾ,5008
ɾu,1872
ua,3824
ke,8732
nd,8633
dɾ,722
aθ,2193
θe,7650
sa,15469
an,18088
ni,5879
ak,8869
et,17060
ta,18501
ai,4195
ia,8772
ob,145
be,1778
oβ,1059
βe,4746
θi,6042
it,7644
ts,10400
iu,1139
uð,1150
ae,8592
aj,1219
jj,2618
je,1130
np,891
pa,1866
as,6716
ma,2871
ɾɣ,621
ɣa,3379
ik,8360
ap,1293
sɾ,83
ɾo,1749
om,752
mi,814
iɲ,1635
ɲa,2158
að,5968
ab,854
nn,1350
ss,1701
so,2434
al,5308
lm,25
mo,603
nb,5164
bo,388
oo,255
os,1523
sr,44
ra,2400
ʃa,508
bɣ,5
βo,434
no,2907
ed,20
dr,4
ru,107
ut,3057
tɣ,263
ao,1299
eð,3037
ee,2569
da,1502
id,17
re,2263
eɣ,5049
ɣu,8347
ue,9181
lo,524
bɾ,74
te,13790
ei,958
aɣ,4532
nr,321
ro,299
oa,3926
ar,1768
βi,2235
oɾ,5479
si,3270
ʃi,156
nm,605
im,725
ɡɾ,109
ʃo,149
kβ,1738
βa,5103
βj,23
jʎ,19
ʎo,54
nθ,3651
iɾ,5483
do,253
la,6226
el,4022
le,2632
ud,6
de,1163
ðo,1088
ok,793
ep,600
pm,2
eɪ,2116
ɪɲ,3099
ki,2162
jo,275
oi,478
ba,4302
aɪ,11351
ɪt,6217
su,7662
us,4224
sθ,1118
ɪn,2711
er,2850
tb,169
mɡ,9
ɡa,1308
kð,668
dɣ,2
oɣ,974
ɣe,561
uθ,1748
ði,4936
ʊɾ,1363
ɾt,2748
ka,5533
kt,806
eb,245
au,697
un,2842
pe,974
ku,5728
ui,8172
in,5024
nf,446
fe,523
tu,7502
lk,479
or,853
sp,1518
pi,1213
du,2940
ɾð,1822
ðu,2365
kθ,638
to,1932
nu,763
if,778
ff,294
fa,187
kɾ,800
uk,1313
ib,298
bt,166
bk,857
ʊs,1608
ʊk,837
kɣ,735
ɣo,1881
il,1096
lt,606
ʊn,844
ɡu,1572
ɾθ,1055
oe,1747
pð,3
ɪθ,193
lð,1518
eʊ,1208
nk,2483
eβ,1889
ks,807
iθ,1297
ɾk,985
lu,1295
di,2201
po,778
op,808
pu,906
ul,1086
kb,377
kp,365
pɾ,1206
mp,753
pl,417
tθ,237
ɣi,218
mm,74
lθ,120
mb,705
tn,237
nl,632
ot,2173
km,260
tβ,468
ɲo,261
oθ,279
sβ,672
tl,58
oð,670
uu,230
ur,580
nt,2296
oɪ,1112
uɣ,870
ri,1683
iɣ,1053
tɾ,1138
uβ,946
βl,233
fi,1001
ip,724
lɣ,64
sk,2378
fo,78
ɾm,370
kn,347
ɪs,993
ɾn,475
ɡo,356
iʎ,1163
ʎi,207
tk,82
ii,746
ou,294
tt,634
ɲe,1990
ʃe,389
mj,32
jr,9
sl,190
sɣ,524
lβ,142
