r-gram,Counts
adi,2887
dit,597
ite,6812
tei,262
eiʃ,1750
iʃb,2604
ʃbɔ,2723
bɔɾ,3374
ɔɾa,4258
ɾak,900
aka,812
kaʃ,525
aʃɔ,2722
ʃɔm,3990
ɔmɔ,4055
mɔn,2773
ɔnɖ,674
nɖɔ,603
ɖɔl,238
ɔlo,755
lop,78
opɾ,932
pɾi,633
ɾitʰ,455
itʰi,394
tʰib,388
ibi,1388
biʃ,1590
iʃɾ,1780
ʃɾi,311
ɾiʃ,2437
iʃʈ,1297
ʃʈi,712
ʈik,176
iko,1004
koɾ,13284
oɾi,14668
ɾil,4308
ile,7813
len,6311
enp,702
npɔ,878
pɔɾ,5723
ɔɾe,8345
ɾei,641
ɔɾk,744
ɾko,1508
koh,2023
ohi,3649
hil,2067
end,781
ndi,464
dip,290
ipt,244
pti,139
tih,242
iho,1390
hou,493
ouk,423
ukt,916
kta,344
tah,11210
aha,12898
hat,1527
ate,2329
ted,891
edi,783
hoi,8995
oil,2528
ilt,1006
ltɔ,339
tɔkʰ,1440
ɔkʰɔ,2098
kʰɔn,2621
ɔni,1384
niʃ,1133
ɔɾd,1123
ɾdi,726
tiu,76
iut,222
utt,766
ttɔ,929
tɔm,502
ɔmd,191
mde,52
dekʰ,1419
ekʰi,635
kʰil,403
ene,994
neb,973
ebɔ,4781
bɔŋ,4189
ɔŋi,147
ŋiʃ,101
ɔɾɔ,2142
ɾɔn,2480
ɔndʰ,669
ndʰɔ,319
dʰɔk,562
ɔka,1450
kaɾ,2668
aɾh,646
ɾho,923
oit,3043
tip,261
ipɾ,784
itʰɔ,81
tʰɔk,460
ɔkk,149
kko,156
ena,3584
naɾ,2336
aɾi,2009
tiɾ,609
iɾn,299
ɾna,809
nam,2145
amd,175
mdi,130
dib,1125
ibɔ,1164
bɔʃ,1002
ɔʃo,228
ʃoɔ,7
oɔn,219
aɾe,2203
ɾeɾ,3017
eɾn,1753
amɾ,113
mɾa,94
ɾat,2410
atɾ,1228
tɾi,1904
ɾiɾ,353
iɾa,707
ɾakʰ,1048
akʰi,580
aɾʃ,3226
ɾʃɔ,4013
ʃɔn,3308
ndʰa,168
dʰao,10
aop,90
pɾa,1737
atɔ,595
tɔk,936
kal,1026
alh,67
lho,278
lep,336
epɾ,1506
pɾo,6066
ɾotʰ,292
otʰɔ,274
tʰɔm,315
ɔʃh,53
ʃho,304
ilp,549
lpɔ,763
enɟ,50
nɟɔ,130
ɟɔl,708
ɔle,2013
leɾ,2008
eɾm,1806
ɾmɔ,2184
mɔdʰ,1804
ɔdʰe,1364
dʰeb,133
ebi,1241
bit,1630
ita,2060
tan,1774
anh,439
nho,662
uko,112
koɟ,2
oɟɔ,658
ɔlɔ,1367
lɔk,686
ɔke,6011
ked,1085
edu,425
dui,609
uibʰ,9
ibʰa,163
bʰaɡ,157
aɡe,536
ɡep,42
oɾu,760
ɾuk,313
uki,96
kiʃ,218
eiɾ,574
iɾu,1791
ɾup,2525
upe,540
peb,35
ank,1275
nko,3515
ɾia,2791
iab,541
abi,711
ane,1753
neɾ,3358
eɾu,1079
ɾuɾ,72
uɾdʰ,132
ɾdʰb,110
dʰbɔ,228
bɔs,710
ɔstʰ,1932
stʰi,1076
tʰit,862
ito,6879
toɟ,203
ɔlh,250
teb,561
eɾɔ,1204
ɾɔdʰ,291
ɔdʰɔ,404
dʰɔs,25
ɔlp,591
lpɾ,177
ent,2470
nta,2770
teʃ,858
eʃe,2833
ʃei,2867
uph,113
pho,134
ɔɾb,1351
ɾbi,1728
ama,5447
mak,1372
ɔlɾ,90
lɾa,241
led,282
