r-gram,Counts
avr,186
vra,199
raa,123
aam,116
amp,110
mpa,313
pad,4
ada,41
dav,75
avɪ,125
vɪd,61
ɪdj,22
djɯ,23
jɯx,204
ɯxɵ,550
xɵn,273
ɵnt,3201
ntʃ,5400
tʃɛ,3487
ʃɛn,2022
ɛnç,438
nçu,106
çuɾ,192
uɾa,1240
ɾal,200
aln,118
lnɯ,783
nɯi,356
ɯii,264
iis,1805
isʊ,1510
sʊs,1510
ʊsx,401
sxr,230
xrɪ,667
rɪs,681
ɪst,713
sto,153
tos,108
osɯ,36
sɯn,382
ɯnj,150
njɯ,80
ɯxn,302
xnɛ,741
nɛs,392
ɛsɵ,177
sɵl,10
ɵlt,545
ltɯ,593
tɯm,594
ɯma,1245
maɾ,239
aɾɵ,442
ɾɵa,30
ɵav,22
ama,1440
mat,500
atʃ,1533
tʃɪ,655
ʃɪi,22
ɪis,3
isa,64
saa,125
aak,50
akp,42
kpʊ,108
pʊl,2444
ʊln,883
ɯis,4
aka,2935
kat,152
ɪia,4
iak,76
akɔ,70
kɔv,59
ɔvi,5
via,2
ɔva,3
vat,623
tʃi,186
ʃis,132
isɛ,1807
sɛm,5014
ɛmi,227
miu,28
iud,346
udɯ,12
dɯp,4
ɯpa,695
pau,46
aun,112
unɯ,924
nɯn,1171
ɯnp,826
npɵ,488
pɵr,1879
ɵrt,1016
rtɯ,382
tɯv,1017
ɯva,2091
van,475
anɵ,233
nɵs,591
ɵsɛ,2950
ɛmp,1313
mpʊ,281
ɯiu,40
uda,53
daa,4
aat,73
ɛmf,11
mfa,8
faɾ,120
aɾɛ,42
ɾɛs,290
ɛsp,33
spa,205
paz,2
aza,51
zaɾ,30
aɾa,3166
ɾav,364
avɵ,693
vɵs,1923
sɛn,4747
ɛna,262
nam,249
amɯ,995
mɯʃ,200
ɯʃɵ,426
ʃɵf,2
ɵfa,12
fam,5
mar,712
arp,147
rpʊ,308
nɯf,25
ɯfa,14
ɛsa,307
sat,888
ʃɪj,28
ɪjɛ,34
