r-gram,Counts
napot,28
apotʃ,16
potʃa,298
otʃat,88
tʃatk,78
ʃatku,74
stvor,94
tvori,58
voril,34
zemɲe,1461
nesli,196
eslit,22
slitʃ,11
litʃn,38
itʃna,10
pusta,21
natpr,16
atpro,3
tprop,3
propa,54
ropas,44
opasc,31
pasci,63
vznaʃ,25
znaʃe,18
naʃel,98
nadvo,48
advod,9
dvoda,5
vodam,43
odami,23
svjet,778
vjetl,213
jetlo,124
viɟel,558
dobre,588
odɟel,83
dɟeli,45
ɟelil,83
ottmi,2
nazva,158
azval,110
notsi,314
vetʃe,200
etʃer,180
jitro,13
prvɲi,267
obloh,10
bloha,2
prost,660
rostr,709
ostre,585
stred,301
odvot,2
utʃiɲ,1550
tʃiɲi,2442
ʃiɲil,1309
blohu,2
ktere,2133
tereʒ,1031
podob,424
odobl,3
doblo,4
bloho,4
lohoʊ,4
nadob,277
adobl,2
stalo,664
nebem,38
druhi,155
shrom,541
hroma,595
romaʃ,24
omaʃc,24
maʃct,22
aʃcte,22
podne,32
odneb,19
dnebe,30
misto,405
jedno,773
romaʒ,520
omaʒɟ,520
maʒɟe,255
aʒɟeɲ,238
ʒɟeɲi,238
morem,32
potom,724
sploɟ,237
travu,22
bilin,50
ilinu,22
vidav,120
idava,125
davaj,71
avaji,207
vajit,215
ajits,754
jitsi,837
simɲe,128
strom,125
plodn,22
lodni,4
nesoʊ,92
esoʊt,33
soʊts,174
oʊtsi,402
ovots,161
votse,156
podle,685
pokol,506
okole,518
koleɲ,506
oleɲi,526
sveho,1768
nazem,371
azemi,315
vidal,218
idala,19
semen,105
emeno,11
prina,95
rinaʃ,69
inaʃe,87
naʃej,40
aʃeji,36
ʃejit,24
ejits,221
treci,205
opjet,226
bucte,124
jetla,39
naobl,19
aoblo,6
obloz,7
bloze,7
nebes,393
ebesk,198
beske,147
dɟelo,6
ɟelov,17
elova,66
loval,382
ovala,116
odnot,2
dnots,2
nazna,16
aznam,31
zname,315
nameɲ,196
ameɲi,439
rozmɲ,12
ozmɲe,12
zmɲer,52
mɲere,37
ɲereɲ,9
ereɲi,15
tʃasu,253
svici,42
vicil,18
icila,16
osvje,368
vjets,1323
jetso,31
etsov,37
tsova,191
soval,97
velik,981
elika,133
vjetʃ,512
jetʃi,241
sprav,928
pravu,89
drʒel,136
rʒelo,5
menʃi,71
nadno,5
adnot,1
hvjez,71
vjezd,72
jezdi,37
posta,482
ostav,450
stavi,659
tavil,310
rʒela,10
tʃtvr,95
ʃtvrt,94
tvrti,27
jeʃce,479
videɪ,33
ideɪt,16
deɪte,125
hojno,61
ojnos,89
jnosc,38
nosci,885
velri,8
elrib,7
lribi,1
elike,642
fʃeli,581
ʃelij,120
elija,120
lijak,115
ijako,7
jakoʊ,64
ʒivoʊ,25
hibaj,8
ibaji,7
bajit,6
ktero,600
teroʊ,601
eroʊʃ,174
roʊʃt,29
oʊʃto,29
idali,68
jejix,2069
ʃelik,461
ptats,95
tatst,72
atstv,141
tstvo,41
kridl,85
ridla,53
majit,168
poʒeh,334
oʒehn,334
ʒehna,331
ehnal,81
ploct,6
locte,6
octeʃ,3
mnoʃt,3
noʃte,3
naplɲ,288
aplɲt,8
plɲte,11
morsk,91
orske,55
rozmn,137
ozmno,137
zmnoʒ,137
mnoʒu,28
noʒuj,28
oʒuje,17
jednu,68
kaʒdo,22
aʒdoʊ,21
jejih,56
ejiho,56
hovad,167
ovada,80
emɲep,30
mɲepl,30
ɲepla,30
eplaz,25
plazi,16
zvjer,59
zemsk,82
emsko,6
mskoʊ,8
vedle,287
eliki,431
eplas,5
opjed,41
tʃiɲm,8
ʃiɲme,8
tʃlov,932
ʃlovj,932
